tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P
0,7073.0,7097.0,7098.0,7099.0,7100.0,7101.0,7505.0,5071.0,5072.0,4321.0,7342.0,7125.0,7344.0,2510.0,7242.0,7238.0,7224.0,1581.0,1582.0,4793.0,6068.0,1584.0,983.0,984.0,985.0,1529.0,4542.0,1531.0,1532.0,1533.0,1534.0,1535.0,1536.0,1537.0,186.0,838.0,839.0,840.0,841.0,49.0,51.0,52.0,4725.0,6071.0
5108748,73800.0,73860.0,73892.0,73921.0,73964.0,74009.0,74020.0,74157.0,74220.0,74259.0,74346.0,74400.0,74462.0,74520.0,74558.0,74580.0,74616.0,74640.0,74696.0,74700.0,74779.0,74807.0,74880.0,74943.0,74985.0,75093.0,75145.0,75235.0,75300.0,75356.0,75420.0,75480.0,75540.0,75593.0,75660.0,75723.0,75780.0,75817.0,75893.0,75960.0,76038.0,76080.0,76238.0,76320.0
