tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P
5007802,30000.0,30068.0,30164.0,30230.0,30275.0,30308.0,30431.0,30513.0,30563.0,30674.0,30873.0,30945.0,31002.0,31078.0,31165.0,31223.0,31284.0,31384.0,31510.0,31598.0,31663.0,31737.0,31792.0,31886.0,31981.0,32119.0,32262.0,32469.0,32742.0,32907.0,33007.0,33201.0,33368.0,33414.0,33460.0,33490.0,33527.0,33579.0,33628.0,33650.0,33661.0,33712.0,33736.0,33770.0
5007804,39000.0,39068.0,39164.0,39230.0,39259.0,39281.0,39361.0,39414.0,39458.0,39555.0,39750.0,39820.0,39864.0,39912.0,39967.0,40013.0,40071.0,40139.0,40224.0,40305.0,40380.0,40464.0,40514.0,40599.0,40685.0,40814.0,40975.0,41138.0,41354.0,41484.0,41577.0,41705.0,41815.0,41851.0,41887.0,41921.0,41963.0,42021.0,42075.0,42096.0,42107.0,42156.0,42179.0,42212.0
5007806,61200.0,61254.0,61331.0,61385.0,61410.0,61429.0,61499.0,61545.0,61600.0,61722.0,61935.0,61979.0,62011.0,62058.0,62112.0,62170.0,62209.0,62270.0,62347.0,62411.0,62465.0,62525.0,62585.0,62687.0,62791.0,62882.0,63018.0,63208.0,63459.0,63610.0,63704.0,63871.0,64014.0,64095.0,64177.0,64218.0,64269.0,64340.0,64409.0,64432.0,64444.0,64497.0,64521.0,64556.0
5008323,31320.0,31388.0,31484.0,31550.0,31595.0,31628.0,31751.0,31833.0,31883.0,31994.0,32193.0,32265.0,32322.0,32398.0,32485.0,32543.0,32604.0,32704.0,32830.0,32918.0,32983.0,33057.0,33112.0,33206.0,33301.0,33439.0,33582.0,33789.0,34062.0,34227.0,34327.0,34521.0,34688.0,34734.0,34780.0,34810.0,34847.0,34899.0,34948.0,34970.0,34981.0,35032.0,35056.0,35090.0
5008324,61800.0,61851.0,61923.0,61972.0,62000.0,62021.0,62097.0,62147.0,62195.0,62299.0,62482.0,62555.0,62587.0,62644.0,62710.0,62759.0,62815.0,62903.0,63013.0,63090.0,63149.0,63216.0,63260.0,63335.0,63412.0,63528.0,63657.0,63863.0,64136.0,64300.0,64406.0,64591.0,64751.0,64845.0,64940.0,64982.0,65034.0,65106.0,65176.0,65199.0,65211.0,65264.0,65288.0,65322.0
5008734,26400.0,26506.0,26656.0,26759.0,26792.0,26817.0,26909.0,26970.0,27016.0,27117.0,27276.0,27316.0,27358.0,27407.0,27463.0,27505.0,27538.0,27586.0,27646.0,27696.0,27741.0,27791.0,27826.0,27885.0,27944.0,28042.0,28151.0,28268.0,28423.0,28517.0,28568.0,28653.0,28726.0,28765.0,28804.0,28825.0,28851.0,28887.0,28921.0,28936.0,28944.0,28979.0,28995.0,29019.0
5008736,33600.0,33656.0,33735.0,33789.0,33819.0,33841.0,33923.0,33978.0,34017.0,34104.0,34278.0,34319.0,34356.0,34415.0,34483.0,34534.0,34603.0,34657.0,34724.0,34796.0,34856.0,34924.0,34965.0,35035.0,35105.0,35251.0,35359.0,35497.0,35680.0,35790.0,35865.0,35990.0,36098.0,36138.0,36179.0,36213.0,36255.0,36313.0,36367.0,36387.0,36397.0,36442.0,36463.0,36493.0
5008740,48000.0,48063.0,48153.0,48215.0,48244.0,48266.0,48347.0,48402.0,48448.0,48549.0,48767.0,48828.0,48886.0,48935.0,48992.0,49053.0,49112.0,49186.0,49278.0,49348.0,49396.0,49450.0,49490.0,49557.0,49625.0,49797.0,49961.0,50121.0,50332.0,50459.0,50543.0,50677.0,50793.0,50848.0,50904.0,50939.0,50982.0,51042.0,51100.0,51122.0,51133.0,51183.0,51206.0,51238.0
5008742,56400.0,56452.0,56525.0,56575.0,56601.0,56620.0,56691.0,56739.0,56772.0,56846.0,57064.0,57128.0,57206.0,57243.0,57286.0,57323.0,57376.0,57430.0,57498.0,57588.0,57628.0,57674.0,57712.0,57776.0,57841.0,58006.0,58148.0,58328.0,58567.0,58711.0,58805.0,58926.0,59030.0,59078.0,59127.0,59163.0,59207.0,59268.0,59326.0,59354.0,59368.0,59432.0,59462.0,59504.0
5009954,63000.0,63052.0,63127.0,63178.0,63204.0,63224.0,63297.0,63345.0,63376.0,63444.0,63582.0,63618.0,63654.0,63704.0,63762.0,63797.0,63841.0,63896.0,63965.0,64037.0,64104.0,64179.0,64230.0,64317.0,64404.0,64478.0,64632.0,64808.0,65041.0,65181.0,65314.0,65444.0,65556.0,65590.0,65624.0,65653.0,65689.0,65738.0,65784.0,65807.0,65818.0,65870.0,65894.0,65928.0
