tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P
5006781,42300.0,42582.0,42787.0,43078.0,43228.0,43259.0,43329.0,43368.0,43475.0,43501.0,43560.0,43603.0,43683.0,43722.0,43765.0,43808.0,43861.0,43912.0,43974.0,44013.0,44069.0,44120.0,44149.0,44204.0,44240.0,44278.0,44367.0,44426.0,44536.0,44635.0,44655.0,44695.0,44720.0,44750.0,44812.0,44860.0,44924.0,45013.0,45161.0,45270.0,45316.0,45419.0,45459.0,45543.0,45596.0,45667.0,45728.0,45783.0,45839.0,45884.0,45926.0,45973.0,46008.0,46113.0,46171.0,46394.0
5006783,53100.0,53336.0,53530.0,53806.0,53949.0,53976.0,54038.0,54073.0,54168.0,54195.0,54256.0,54299.0,54379.0,54419.0,54464.0,54508.0,54583.0,54656.0,54744.0,54789.0,54853.0,54911.0,54945.0,55021.0,55073.0,55126.0,55263.0,55354.0,55457.0,55609.0,55639.0,55690.0,55722.0,55760.0,55833.0,55889.0,55963.0,56062.0,56227.0,56349.0,56400.0,56514.0,56563.0,56659.0,56718.0,56799.0,56881.0,56956.0,57036.0,57100.0,57160.0,57227.0,57271.0,57404.0,57420.0,57533.0
5009874,22500.0,22695.0,22826.0,23012.0,23107.0,23126.0,23166.0,23188.0,23249.0,23264.0,23298.0,23325.0,23375.0,23405.0,23438.0,23471.0,23500.0,23528.0,23562.0,23592.0,23636.0,23666.0,23684.0,23721.0,23749.0,23777.0,23835.0,23873.0,23908.0,23981.0,23995.0,24017.0,24031.0,24047.0,24079.0,24104.0,24136.0,24189.0,24277.0,24337.0,24362.0,24419.0,24447.0,24511.0,24552.0,24609.0,24653.0,24693.0,24729.0,24758.0,24785.0,24814.0,24840.0,24920.0,24932.0,25103.0
5009876,56400.0,56637.0,56831.0,57106.0,57248.0,57280.0,57341.0,57375.0,57468.0,57498.0,57567.0,57616.0,57708.0,57756.0,57810.0,57862.0,57947.0,58030.0,58129.0,58182.0,58259.0,58310.0,58339.0,58402.0,58448.0,58495.0,58601.0,58671.0,58770.0,58908.0,58935.0,58984.0,59014.0,59050.0,59115.0,59165.0,59232.0,59323.0,59475.0,59592.0,59641.0,59752.0,59795.0,59898.0,59962.0,60054.0,60136.0,60211.0,60279.0,60334.0,60385.0,60441.0,60480.0,60597.0,60613.0,60857.0
5011031,36900.0,37182.0,37387.0,37678.0,37828.0,37859.0,37929.0,37968.0,38075.0,38101.0,38160.0,38203.0,38283.0,38322.0,38365.0,38408.0,38461.0,38512.0,38574.0,38613.0,38669.0,38720.0,38749.0,38804.0,38840.0,38878.0,38967.0,39026.0,39136.0,39235.0,39255.0,39295.0,39320.0,39350.0,39412.0,39460.0,39524.0,39613.0,39761.0,39870.0,39916.0,40019.0,40059.0,40143.0,40196.0,40267.0,40328.0,40383.0,40439.0,40484.0,40526.0,40573.0,40608.0,40713.0,40771.0,40994.0
5011033,47700.0,47968.0,48165.0,48445.0,48590.0,48617.0,48685.0,48723.0,48826.0,48852.0,48913.0,48956.0,49038.0,49076.0,49119.0,49161.0,49214.0,49265.0,49327.0,49362.0,49413.0,49469.0,49502.0,49577.0,49615.0,49655.0,49760.0,49830.0,49937.0,50075.0,50103.0,50154.0,50186.0,50224.0,50299.0,50357.0,50433.0,50528.0,50688.0,50802.0,50850.0,50958.0,51001.0,51092.0,51149.0,51226.0,51306.0,51378.0,51439.0,51488.0,51534.0,51585.0,51623.0,51738.0,51757.0,51932.0
5011394,24300.0,24513.0,24661.0,24872.0,24981.0,25014.0,25072.0,25104.0,25193.0,25221.0,25286.0,25331.0,25416.0,25464.0,25518.0,25571.0,25625.0,25677.0,25739.0,25797.0,25880.0,25931.0,25961.0,26017.0,26057.0,26098.0,26171.0,26219.0,26308.0,26399.0,26417.0,26462.0,26490.0,26522.0,26569.0,26605.0,26652.0,26722.0,26839.0,26920.0,26954.0,27031.0,27067.0,27149.0,27207.0,27280.0,27343.0,27401.0,27457.0,27502.0,27544.0,27589.0,27627.0,27740.0,27761.0,28013.0
5011965,64800.0,65043.0,65262.0,65573.0,65733.0,65764.0,65843.0,65887.0,66008.0,66038.0,66107.0,66160.0,66260.0,66327.0,66402.0,66477.0,66598.0,66716.0,66858.0,66902.0,66964.0,67039.0,67083.0,67146.0,67188.0,67232.0,67325.0,67387.0,67475.0,67610.0,67637.0,67683.0,67712.0,67746.0,67804.0,67849.0,67907.0,67982.0,68108.0,68208.0,68250.0,68343.0,68380.0,68495.0,68550.0,68629.0,68692.0,68749.0,68807.0,68853.0,68897.0,68944.0,68978.0,69082.0,69100.0,69261.0
5013142,59400.0,59637.0,59831.0,60106.0,60248.0,60280.0,60341.0,60375.0,60468.0,60498.0,60567.0,60616.0,60708.0,60756.0,60810.0,60862.0,60947.0,61030.0,61129.0,61182.0,61259.0,61310.0,61339.0,61402.0,61448.0,61495.0,61601.0,61671.0,61770.0,61908.0,61935.0,61984.0,62014.0,62050.0,62115.0,62165.0,62232.0,62323.0,62475.0,62592.0,62641.0,62752.0,62795.0,62898.0,62962.0,63054.0,63136.0,63211.0,63279.0,63334.0,63385.0,63441.0,63480.0,63597.0,63613.0,63857.0
5013968,29700.0,30051.0,30239.0,30506.0,30644.0,30688.0,30775.0,30823.0,30955.0,30984.0,31051.0,31119.0,31246.0,31306.0,31373.0,31439.0,31503.0,31565.0,31641.0,31725.0,31845.0,31922.0,31967.0,32042.0,32086.0,32131.0,32232.0,32299.0,32411.0,32540.0,32566.0,32617.0,32648.0,32686.0,32746.0,32793.0,32855.0,32939.0,33080.0,33188.0,33233.0,33334.0,33366.0,33442.0,33500.0,33570.0,33640.0,33703.0,33762.0,33809.0,33853.0,33902.0,33939.0,34050.0,34067.0,34238.0
