tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P
5006444,38700.0,38819.0,38955.0,39062.0,39155.0,39234.0,39253.0,39324.0,39376.0,39439.0,39476.0,39550.0,39579.0,39632.0,39697.0,39741.0,39816.0,39904.0,39972.0,40048.0,40095.0,40174.0,40254.0,40339.0,40452.0,40663.0,40964.0,41119.0,41154.0,41224.0,41263.0,41369.0,41396.0,41459.0,41503.0,41587.0,41629.0,41676.0,41723.0,41784.0,41843.0,41914.0,41947.0,41994.0,42041.0,42069.0,42128.0,42165.0,42203.0,42318.0,42408.0,42510.0,42547.0,42615.0,42697.0,42766.0,42829.0
5006446,49500.0,49619.0,49755.0,49862.0,49955.0,50034.0,50053.0,50124.0,50176.0,50239.0,50276.0,50350.0,50379.0,50432.0,50497.0,50541.0,50616.0,50704.0,50772.0,50848.0,50895.0,50974.0,51054.0,51139.0,51252.0,51463.0,51764.0,51919.0,51954.0,52024.0,52063.0,52169.0,52196.0,52259.0,52303.0,52387.0,52429.0,52476.0,52523.0,52584.0,52643.0,52714.0,52747.0,52794.0,52841.0,52869.0,52928.0,52965.0,53003.0,53118.0,53208.0,53310.0,53347.0,53415.0,53497.0,53566.0,53629.0
5006448,60300.0,60423.0,60600.0,60697.0,60781.0,60862.0,60881.0,60953.0,61006.0,61071.0,61109.0,61175.0,61201.0,61249.0,61307.0,61344.0,61408.0,61491.0,61556.0,61629.0,61678.0,61761.0,61844.0,61923.0,62028.0,62280.0,62639.0,62824.0,62863.0,62940.0,62983.0,63100.0,63133.0,63208.0,63253.0,63339.0,63404.0,63477.0,63548.0,63660.0,63769.0,63900.0,63948.0,64016.0,64077.0,64113.0,64175.0,64215.0,64257.0,64384.0,64478.0,64584.0,64622.0,64693.0,64792.0,64862.0,64927.0
5007114,27900.0,28015.0,28171.0,28287.0,28388.0,28478.0,28499.0,28580.0,28639.0,28711.0,28753.0,28909.0,28971.0,29084.0,29221.0,29298.0,29428.0,29522.0,29593.0,29674.0,29733.0,29833.0,29935.0,30018.0,30167.0,30398.0,30727.0,30897.0,30943.0,31027.0,31074.0,31201.0,31232.0,31304.0,31361.0,31467.0,31521.0,31581.0,31641.0,31705.0,31767.0,31841.0,31902.0,31990.0,32039.0,32067.0,32124.0,32165.0,32207.0,32301.0,32386.0,32483.0,32520.0,32589.0,32675.0,32763.0,32843.0
5007116,39600.0,39719.0,39855.0,39962.0,40055.0,40134.0,40153.0,40224.0,40276.0,40339.0,40376.0,40450.0,40479.0,40532.0,40597.0,40641.0,40716.0,40804.0,40872.0,40948.0,40995.0,41074.0,41154.0,41239.0,41352.0,41563.0,41864.0,42019.0,42054.0,42124.0,42163.0,42269.0,42296.0,42359.0,42403.0,42487.0,42529.0,42576.0,42623.0,42684.0,42743.0,42814.0,42847.0,42894.0,42941.0,42969.0,43028.0,43065.0,43103.0,43218.0,43308.0,43410.0,43447.0,43515.0,43597.0,43666.0,43729.0
5007118,50400.0,50519.0,50655.0,50762.0,50855.0,50934.0,50953.0,51024.0,51076.0,51139.0,51176.0,51250.0,51279.0,51332.0,51397.0,51441.0,51516.0,51604.0,51672.0,51748.0,51795.0,51874.0,51954.0,52039.0,52152.0,52363.0,52664.0,52819.0,52854.0,52924.0,52963.0,53069.0,53096.0,53159.0,53203.0,53287.0,53329.0,53376.0,53423.0,53484.0,53543.0,53614.0,53647.0,53694.0,53741.0,53769.0,53828.0,53865.0,53903.0,54018.0,54108.0,54210.0,54247.0,54315.0,54397.0,54466.0,54529.0
5007120,62100.0,62234.0,62481.0,62580.0,62666.0,62751.0,62771.0,62847.0,62903.0,62971.0,63011.0,63074.0,63099.0,63145.0,63200.0,63241.0,63311.0,63392.0,63446.0,63507.0,63552.0,63629.0,63706.0,63795.0,63908.0,64158.0,64513.0,64696.0,64728.0,64801.0,64842.0,64953.0,64983.0,65052.0,65100.0,65190.0,65252.0,65322.0,65391.0,65479.0,65565.0,65668.0,65704.0,65756.0,65815.0,65850.0,65908.0,65945.0,65983.0,66096.0,66183.0,66282.0,66319.0,66388.0,66471.0,66538.0,66599.0
5007335,23400.0,23521.0,23671.0,23779.0,23872.0,23941.0,23958.0,24021.0,24067.0,24123.0,24155.0,24229.0,24258.0,24312.0,24378.0,24431.0,24522.0,24606.0,24678.0,24759.0,24805.0,24883.0,24961.0,25047.0,25163.0,25326.0,25558.0,25678.0,25719.0,25788.0,25826.0,25930.0,25960.0,26028.0,26074.0,26160.0,26210.0,26266.0,26320.0,26379.0,26436.0,26504.0,26560.0,26640.0,26693.0,26724.0,26777.0,26816.0,26856.0,26941.0,27017.0,27104.0,27145.0,27220.0,27306.0,27386.0,27460.0
5007337,34200.0,34319.0,34455.0,34562.0,34655.0,34734.0,34753.0,34824.0,34876.0,34939.0,34976.0,35050.0,35079.0,35132.0,35197.0,35241.0,35316.0,35404.0,35472.0,35548.0,35595.0,35674.0,35754.0,35839.0,35952.0,36163.0,36464.0,36619.0,36654.0,36724.0,36763.0,36869.0,36896.0,36959.0,37003.0,37087.0,37129.0,37176.0,37223.0,37284.0,37343.0,37414.0,37447.0,37494.0,37541.0,37569.0,37628.0,37665.0,37703.0,37818.0,37908.0,38010.0,38047.0,38115.0,38197.0,38266.0,38329.0
5007339,45000.0,45119.0,45255.0,45362.0,45455.0,45534.0,45553.0,45624.0,45676.0,45739.0,45776.0,45850.0,45879.0,45932.0,45997.0,46041.0,46116.0,46204.0,46272.0,46348.0,46395.0,46474.0,46554.0,46639.0,46752.0,46963.0,47264.0,47419.0,47454.0,47524.0,47563.0,47669.0,47696.0,47759.0,47803.0,47887.0,47929.0,47976.0,48023.0,48084.0,48143.0,48214.0,48247.0,48294.0,48341.0,48369.0,48428.0,48465.0,48503.0,48618.0,48708.0,48810.0,48847.0,48915.0,48997.0,49066.0,49129.0
