tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P
5006114,80400.0,80432.0,80469.0,80546.0,80599.0,80679.0,80722.0,80779.0,80831.0,80896.0,80936.0,80987.0,81038.0,81104.0,81127.0,81168.0,81199.0,81254.0,81300.0,81347.0,81377.0,81407.0,81438.0,81508.0,81559.0,81614.0,81660.0,81704.0,81748.0,81788.0,81810.0,81915.0,82137.0,82189.0,82228.0,82234.0,82470.0,82623.0,82717.0,82877.0,83014.0,83053.0,83093.0,83122.0,83158.0,83208.0,83254.0,83293.0,83339.0,83372.0,83419.0,83450.0,83479.0,83528.0,83560.0,83597.0,83624.0,83647.0,83708.0,83777.0,83849.0,83916.0,83988.0,84032.0,84121.0,84148.0,84197.0,84258.0,84337.0,84364.0,84448.0,84579.0
5006803,35100.0,35130.0,35172.0,35261.0,35335.0,35448.0,35507.0,35572.0,35632.0,35705.0,35741.0,35802.0,35862.0,35927.0,35949.0,35989.0,36013.0,36056.0,36105.0,36155.0,36192.0,36229.0,36267.0,36327.0,36370.0,36415.0,36453.0,36498.0,36543.0,36602.0,36634.0,36748.0,36987.0,37044.0,37086.0,37092.0,37210.0,37287.0,37369.0,37475.0,37566.0,37601.0,37636.0,37666.0,37703.0,37755.0,37803.0,37848.0,37900.0,37930.0,37972.0,38001.0,38028.0,38072.0,38107.0,38146.0,38167.0,38185.0,38242.0,38308.0,38377.0,38434.0,38495.0,38532.0,38608.0,38631.0,38672.0,38734.0,38812.0,38837.0,38916.0,39039.0
5007490,47700.0,47748.0,47792.0,47884.0,47953.0,48058.0,48107.0,48191.0,48269.0,48348.0,48394.0,48477.0,48558.0,48635.0,48661.0,48709.0,48750.0,48823.0,48902.0,48982.0,49022.0,49062.0,49102.0,49188.0,49251.0,49316.0,49369.0,49422.0,49474.0,49532.0,49563.0,49690.0,49957.0,50020.0,50067.0,50074.0,50249.0,50363.0,50445.0,50564.0,50666.0,50706.0,50746.0,50783.0,50828.0,50891.0,50949.0,50990.0,51037.0,51076.0,51132.0,51169.0,51204.0,51262.0,51302.0,51347.0,51383.0,51414.0,51505.0,51593.0,51685.0,51748.0,51816.0,51857.0,51941.0,51967.0,52011.0,52070.0,52171.0,52201.0,52295.0,52442.0
5007492,60300.0,60317.0,60341.0,60392.0,60441.0,60514.0,60546.0,60628.0,60703.0,60813.0,60849.0,60947.0,61043.0,61103.0,61123.0,61161.0,61195.0,61256.0,61304.0,61353.0,61391.0,61430.0,61469.0,61517.0,61552.0,61583.0,61608.0,61663.0,61717.0,61770.0,61799.0,61908.0,62137.0,62191.0,62231.0,62238.0,62504.0,62677.0,62758.0,62861.0,62949.0,62976.0,63003.0,63034.0,63073.0,63127.0,63178.0,63208.0,63243.0,63270.0,63308.0,63334.0,63358.0,63397.0,63453.0,63517.0,63555.0,63588.0,63632.0,63705.0,63782.0,63865.0,63954.0,64008.0,64118.0,64152.0,64212.0,64274.0,64365.0,64380.0,64427.0,64500.0
5007927,33300.0,33330.0,33372.0,33461.0,33535.0,33648.0,33707.0,33772.0,33832.0,33905.0,33941.0,34002.0,34062.0,34127.0,34149.0,34189.0,34213.0,34256.0,34305.0,34355.0,34392.0,34429.0,34467.0,34527.0,34570.0,34615.0,34653.0,34698.0,34743.0,34802.0,34834.0,34948.0,35187.0,35244.0,35286.0,35292.0,35410.0,35487.0,35569.0,35675.0,35766.0,35801.0,35836.0,35866.0,35903.0,35955.0,36003.0,36048.0,36100.0,36130.0,36172.0,36201.0,36228.0,36272.0,36307.0,36346.0,36367.0,36385.0,36442.0,36508.0,36577.0,36634.0,36695.0,36732.0,36808.0,36831.0,36872.0,36934.0,37012.0,37037.0,37116.0,37239.0
5007929,45900.0,45948.0,45992.0,46084.0,46153.0,46258.0,46307.0,46391.0,46469.0,46548.0,46594.0,46677.0,46758.0,46835.0,46861.0,46909.0,46950.0,47023.0,47102.0,47182.0,47222.0,47262.0,47302.0,47388.0,47451.0,47516.0,47569.0,47622.0,47674.0,47732.0,47763.0,47890.0,48157.0,48220.0,48267.0,48274.0,48449.0,48563.0,48645.0,48764.0,48866.0,48906.0,48946.0,48983.0,49028.0,49091.0,49149.0,49190.0,49237.0,49276.0,49332.0,49369.0,49404.0,49462.0,49502.0,49547.0,49583.0,49614.0,49705.0,49793.0,49885.0,49948.0,50016.0,50057.0,50141.0,50167.0,50211.0,50270.0,50371.0,50401.0,50495.0,50642.0
5007931,58500.0,58530.0,58576.0,58671.0,58735.0,58831.0,58885.0,58954.0,59018.0,59092.0,59136.0,59217.0,59297.0,59372.0,59397.0,59444.0,59480.0,59545.0,59621.0,59698.0,59731.0,59764.0,59798.0,59882.0,59942.0,59997.0,60042.0,60092.0,60142.0,60182.0,60204.0,60333.0,60604.0,60668.0,60715.0,60722.0,60945.0,61090.0,61198.0,61350.0,61480.0,61521.0,61563.0,61600.0,61646.0,61710.0,61771.0,61819.0,61875.0,61912.0,61965.0,62001.0,62034.0,62091.0,62135.0,62185.0,62211.0,62233.0,62300.0,62385.0,62473.0,62545.0,62623.0,62670.0,62766.0,62795.0,62847.0,62914.0,63027.0,63055.0,63142.0,63278.0
5007933,70800.0,70826.0,70867.0,70953.0,71015.0,71109.0,71153.0,71216.0,71275.0,71348.0,71402.0,71468.0,71533.0,71598.0,71620.0,71661.0,71697.0,71761.0,71842.0,71923.0,71961.0,72000.0,72039.0,72121.0,72180.0,72241.0,72291.0,72332.0,72373.0,72422.0,72448.0,72575.0,72841.0,72904.0,72951.0,72958.0,73236.0,73416.0,73493.0,73624.0,73737.0,73774.0,73811.0,73843.0,73883.0,73939.0,73991.0,74026.0,74066.0,74098.0,74144.0,74175.0,74204.0,74254.0,74300.0,74353.0,74378.0,74400.0,74448.0,74506.0,74567.0,74627.0,74691.0,74730.0,74810.0,74834.0,74877.0,74935.0,75024.0,75037.0,75078.0,75143.0
5007935,82800.0,82832.0,82869.0,82946.0,82999.0,83079.0,83122.0,83179.0,83231.0,83296.0,83336.0,83387.0,83438.0,83504.0,83527.0,83568.0,83599.0,83654.0,83700.0,83747.0,83777.0,83807.0,83838.0,83908.0,83959.0,84014.0,84060.0,84104.0,84148.0,84188.0,84210.0,84315.0,84537.0,84589.0,84628.0,84634.0,84870.0,85023.0,85117.0,85277.0,85414.0,85453.0,85493.0,85522.0,85558.0,85608.0,85654.0,85693.0,85739.0,85772.0,85819.0,85850.0,85879.0,85928.0,85960.0,85997.0,86024.0,86047.0,86108.0,86177.0,86249.0,86316.0,86388.0,86432.0,86521.0,86548.0,86597.0,86658.0,86737.0,86764.0,86848.0,86979.0
5009185,24300.0,24342.0,24382.0,24464.0,24523.0,24613.0,24662.0,24720.0,24774.0,24831.0,24866.0,24905.0,24943.0,24999.0,25018.0,25052.0,25086.0,25146.0,25213.0,25280.0,25314.0,25349.0,25384.0,25470.0,25533.0,25637.0,25723.0,25745.0,25766.0,25813.0,25838.0,25957.0,26207.0,26266.0,26310.0,26316.0,26414.0,26477.0,26530.0,26605.0,26670.0,26706.0,26742.0,26762.0,26787.0,26822.0,26855.0,26883.0,26915.0,26934.0,26962.0,26981.0,26998.0,27027.0,27044.0,27064.0,27077.0,27089.0,27114.0,27156.0,27199.0,27231.0,27265.0,27286.0,27328.0,27341.0,27364.0,27408.0,27475.0,27487.0,27525.0,27584.0
5009187,36900.0,36948.0,36992.0,37084.0,37153.0,37258.0,37307.0,37391.0,37469.0,37548.0,37594.0,37677.0,37758.0,37835.0,37861.0,37909.0,37950.0,38023.0,38102.0,38182.0,38222.0,38262.0,38302.0,38388.0,38451.0,38516.0,38569.0,38622.0,38674.0,38732.0,38763.0,38890.0,39157.0,39220.0,39267.0,39274.0,39449.0,39563.0,39645.0,39764.0,39866.0,39906.0,39946.0,39983.0,40028.0,40091.0,40149.0,40190.0,40237.0,40276.0,40332.0,40369.0,40404.0,40462.0,40502.0,40547.0,40583.0,40614.0,40705.0,40793.0,40885.0,40948.0,41016.0,41057.0,41141.0,41167.0,41211.0,41270.0,41371.0,41401.0,41495.0,41642.0
5009189,49500.0,49548.0,49592.0,49684.0,49753.0,49858.0,49907.0,49991.0,50069.0,50148.0,50194.0,50277.0,50358.0,50435.0,50461.0,50509.0,50550.0,50623.0,50702.0,50782.0,50822.0,50862.0,50902.0,50988.0,51051.0,51116.0,51169.0,51222.0,51274.0,51332.0,51363.0,51490.0,51757.0,51820.0,51867.0,51874.0,52049.0,52163.0,52245.0,52364.0,52466.0,52506.0,52546.0,52583.0,52628.0,52691.0,52749.0,52790.0,52837.0,52876.0,52932.0,52969.0,53004.0,53062.0,53102.0,53147.0,53183.0,53214.0,53305.0,53393.0,53485.0,53548.0,53616.0,53657.0,53741.0,53767.0,53811.0,53870.0,53971.0,54001.0,54095.0,54242.0
5009191,62100.0,62148.0,62193.0,62287.0,62359.0,62468.0,62521.0,62591.0,62655.0,62737.0,62798.0,62883.0,62967.0,63047.0,63074.0,63124.0,63167.0,63244.0,63318.0,63392.0,63434.0,63476.0,63518.0,63624.0,63701.0,63770.0,63827.0,63885.0,63943.0,64013.0,64051.0,64180.0,64452.0,64516.0,64564.0,64571.0,64852.0,65035.0,65123.0,65285.0,65424.0,65460.0,65496.0,65538.0,65590.0,65662.0,65729.0,65791.0,65862.0,65897.0,65948.0,65982.0,66014.0,66067.0,66113.0,66166.0,66199.0,66227.0,66296.0,66373.0,66453.0,66525.0,66602.0,66649.0,66744.0,66773.0,66825.0,66894.0,66987.0,67018.0,67115.0,67267.0
5009193,74400.0,74432.0,74469.0,74546.0,74599.0,74679.0,74722.0,74779.0,74831.0,74896.0,74936.0,74987.0,75038.0,75104.0,75127.0,75168.0,75199.0,75254.0,75300.0,75347.0,75377.0,75407.0,75438.0,75508.0,75559.0,75614.0,75660.0,75704.0,75748.0,75788.0,75810.0,75915.0,76137.0,76189.0,76228.0,76234.0,76470.0,76623.0,76717.0,76877.0,77014.0,77053.0,77093.0,77122.0,77158.0,77208.0,77254.0,77293.0,77339.0,77372.0,77419.0,77450.0,77479.0,77528.0,77560.0,77597.0,77624.0,77647.0,77708.0,77777.0,77849.0,77916.0,77988.0,78032.0,78121.0,78148.0,78197.0,78258.0,78337.0,78364.0,78448.0,78579.0
5009428,25200.0,25231.0,25269.0,25349.0,25418.0,25523.0,25567.0,25628.0,25684.0,25758.0,25798.0,25854.0,25910.0,25965.0,25984.0,26018.0,26046.0,26096.0,26157.0,26219.0,26249.0,26279.0,26310.0,26367.0,26409.0,26463.0,26508.0,26552.0,26596.0,26650.0,26679.0,26782.0,26998.0,27049.0,27087.0,27093.0,27211.0,27288.0,27354.0,27450.0,27532.0,27567.0,27603.0,27628.0,27659.0,27702.0,27742.0,27776.0,27815.0,27841.0,27878.0,27903.0,27926.0,27967.0,28002.0,28042.0,28065.0,28084.0,28127.0,28192.0,28260.0,28311.0,28366.0,28400.0,28468.0,28489.0,28526.0,28594.0,28668.0,28688.0,28751.0,28848.0
5009430,37800.0,37848.0,37892.0,37984.0,38053.0,38158.0,38207.0,38291.0,38369.0,38448.0,38494.0,38577.0,38658.0,38735.0,38761.0,38809.0,38850.0,38923.0,39002.0,39082.0,39122.0,39162.0,39202.0,39288.0,39351.0,39416.0,39469.0,39522.0,39574.0,39632.0,39663.0,39790.0,40057.0,40120.0,40167.0,40174.0,40349.0,40463.0,40545.0,40664.0,40766.0,40806.0,40846.0,40883.0,40928.0,40991.0,41049.0,41090.0,41137.0,41176.0,41232.0,41269.0,41304.0,41362.0,41402.0,41447.0,41483.0,41514.0,41605.0,41693.0,41785.0,41848.0,41916.0,41957.0,42041.0,42067.0,42111.0,42170.0,42271.0,42301.0,42395.0,42542.0
5009432,50400.0,50430.0,50476.0,50571.0,50635.0,50731.0,50785.0,50854.0,50918.0,50992.0,51036.0,51117.0,51197.0,51272.0,51297.0,51344.0,51380.0,51445.0,51521.0,51598.0,51631.0,51664.0,51698.0,51782.0,51842.0,51897.0,51942.0,51992.0,52042.0,52082.0,52104.0,52233.0,52504.0,52568.0,52615.0,52622.0,52845.0,52990.0,53098.0,53250.0,53380.0,53421.0,53463.0,53500.0,53546.0,53610.0,53671.0,53719.0,53775.0,53812.0,53865.0,53901.0,53934.0,53991.0,54035.0,54085.0,54111.0,54133.0,54200.0,54285.0,54373.0,54445.0,54523.0,54570.0,54666.0,54695.0,54747.0,54814.0,54927.0,54955.0,55042.0,55178.0
5009434,63000.0,63048.0,63093.0,63187.0,63259.0,63368.0,63421.0,63491.0,63555.0,63637.0,63698.0,63783.0,63867.0,63947.0,63974.0,64024.0,64067.0,64144.0,64218.0,64292.0,64334.0,64376.0,64418.0,64524.0,64601.0,64670.0,64727.0,64785.0,64843.0,64913.0,64951.0,65080.0,65352.0,65416.0,65464.0,65471.0,65752.0,65935.0,66023.0,66185.0,66324.0,66360.0,66396.0,66438.0,66490.0,66562.0,66629.0,66691.0,66762.0,66797.0,66848.0,66882.0,66914.0,66967.0,67013.0,67066.0,67099.0,67127.0,67196.0,67273.0,67353.0,67425.0,67502.0,67549.0,67644.0,67673.0,67725.0,67794.0,67887.0,67918.0,68015.0,68167.0
5011087,27300.0,27337.0,27381.0,27474.0,27574.0,27726.0,27803.0,27881.0,27953.0,28045.0,28093.0,28162.0,28230.0,28328.0,28361.0,28422.0,28460.0,28528.0,28605.0,28683.0,28734.0,28785.0,28837.0,28962.0,29052.0,29136.0,29206.0,29280.0,29353.0,29439.0,29485.0,29681.0,30094.0,30192.0,30264.0,30275.0,30440.0,30548.0,30648.0,30822.0,30972.0,31027.0,31083.0,31114.0,31153.0,31207.0,31258.0,31304.0,31356.0,31389.0,31436.0,31468.0,31498.0,31548.0,31584.0,31624.0,31649.0,31671.0,31743.0,31821.0,31902.0,31969.0,32041.0,32085.0,32175.0,32202.0,32251.0,32313.0,32400.0,32419.0,32480.0,32576.0
5011089,40200.0,40230.0,40267.0,40345.0,40407.0,40502.0,40549.0,40613.0,40672.0,40746.0,40791.0,40864.0,40935.0,41006.0,41030.0,41074.0,41108.0,41168.0,41236.0,41304.0,41343.0,41382.0,41421.0,41499.0,41556.0,41614.0,41663.0,41712.0,41760.0,41817.0,41847.0,41978.0,42254.0,42319.0,42368.0,42376.0,42554.0,42670.0,42773.0,42931.0,43067.0,43111.0,43155.0,43191.0,43235.0,43296.0,43353.0,43397.0,43448.0,43491.0,43553.0,43595.0,43634.0,43700.0,43741.0,43788.0,43813.0,43834.0,43901.0,43977.0,44057.0,44122.0,44192.0,44234.0,44321.0,44347.0,44394.0,44454.0,44548.0,44567.0,44626.0,44717.0
5011091,52200.0,52229.0,52267.0,52346.0,52414.0,52518.0,52561.0,52627.0,52689.0,52763.0,52806.0,52873.0,52939.0,53011.0,53035.0,53080.0,53112.0,53168.0,53230.0,53293.0,53332.0,53372.0,53412.0,53486.0,53540.0,53603.0,53656.0,53701.0,53745.0,53798.0,53826.0,53974.0,54286.0,54360.0,54415.0,54424.0,54615.0,54739.0,54852.0,55014.0,55153.0,55225.0,55298.0,55342.0,55396.0,55471.0,55541.0,55587.0,55639.0,55696.0,55777.0,55832.0,55883.0,55969.0,56022.0,56082.0,56134.0,56179.0,56292.0,56397.0,56506.0,56594.0,56689.0,56747.0,56864.0,56900.0,56963.0,57034.0,57238.0,57259.0,57327.0,57433.0
5011093,64800.0,64828.0,64875.0,64972.0,65036.0,65132.0,65170.0,65234.0,65293.0,65367.0,65409.0,65481.0,65551.0,65620.0,65643.0,65686.0,65722.0,65785.0,65847.0,65910.0,65947.0,65984.0,66022.0,66106.0,66167.0,66236.0,66294.0,66344.0,66394.0,66451.0,66481.0,66629.0,66940.0,67014.0,67069.0,67076.0,67309.0,67460.0,67580.0,67780.0,67953.0,68049.0,68146.0,68193.0,68251.0,68331.0,68406.0,68459.0,68520.0,68571.0,68644.0,68693.0,68739.0,68815.0,68862.0,68915.0,68947.0,68975.0,69053.0,69137.0,69225.0,69301.0,69383.0,69433.0,69534.0,69565.0,69619.0,69691.0,69811.0,69829.0,69887.0,69977.0
5011407,33000.0,33031.0,33072.0,33158.0,33247.0,33382.0,33437.0,33519.0,33594.0,33682.0,33722.0,33786.0,33848.0,33924.0,33950.0,33998.0,34034.0,34098.0,34165.0,34233.0,34276.0,34319.0,34363.0,34451.0,34514.0,34578.0,34631.0,34692.0,34752.0,34826.0,34866.0,35045.0,35422.0,35511.0,35577.0,35587.0,35748.0,35853.0,35957.0,36118.0,36257.0,36297.0,36338.0,36369.0,36408.0,36462.0,36512.0,36552.0,36599.0,36629.0,36672.0,36701.0,36728.0,36775.0,36810.0,36850.0,36869.0,36885.0,36931.0,36986.0,37043.0,37101.0,37164.0,37202.0,37280.0,37304.0,37345.0,37408.0,37494.0,37523.0,37615.0,37758.0
5011409,45600.0,45630.0,45667.0,45745.0,45807.0,45902.0,45949.0,46013.0,46072.0,46146.0,46191.0,46264.0,46335.0,46406.0,46430.0,46474.0,46508.0,46568.0,46636.0,46704.0,46743.0,46782.0,46821.0,46899.0,46956.0,47014.0,47063.0,47112.0,47160.0,47217.0,47247.0,47378.0,47654.0,47719.0,47768.0,47776.0,47954.0,48070.0,48173.0,48331.0,48467.0,48511.0,48555.0,48591.0,48635.0,48696.0,48753.0,48797.0,48848.0,48891.0,48953.0,48995.0,49034.0,49100.0,49141.0,49188.0,49213.0,49234.0,49301.0,49377.0,49457.0,49522.0,49592.0,49634.0,49721.0,49747.0,49794.0,49854.0,49948.0,49967.0,50026.0,50117.0
5011411,57600.0,57629.0,57667.0,57746.0,57814.0,57918.0,57961.0,58027.0,58089.0,58163.0,58206.0,58273.0,58339.0,58411.0,58435.0,58480.0,58512.0,58568.0,58630.0,58693.0,58732.0,58772.0,58812.0,58886.0,58940.0,59003.0,59056.0,59101.0,59145.0,59198.0,59226.0,59374.0,59686.0,59760.0,59815.0,59824.0,60015.0,60139.0,60252.0,60414.0,60553.0,60625.0,60698.0,60742.0,60796.0,60871.0,60941.0,60987.0,61039.0,61096.0,61177.0,61232.0,61283.0,61369.0,61422.0,61482.0,61534.0,61579.0,61692.0,61797.0,61906.0,61994.0,62089.0,62147.0,62264.0,62300.0,62363.0,62434.0,62638.0,62659.0,62727.0,62833.0
5011413,70800.0,70830.0,70868.0,70948.0,71004.0,71090.0,71127.0,71183.0,71234.0,71301.0,71348.0,71411.0,71473.0,71536.0,71557.0,71596.0,71626.0,71679.0,71742.0,71806.0,71839.0,71873.0,71907.0,71973.0,72021.0,72076.0,72121.0,72162.0,72203.0,72250.0,72275.0,72406.0,72682.0,72747.0,72796.0,72804.0,73012.0,73147.0,73253.0,73404.0,73534.0,73587.0,73641.0,73678.0,73724.0,73788.0,73847.0,73893.0,73946.0,73983.0,74036.0,74071.0,74104.0,74159.0,74198.0,74243.0,74270.0,74293.0,74368.0,74449.0,74533.0,74602.0,74676.0,74721.0,74813.0,74841.0,74891.0,74960.0,75062.0,75080.0,75136.0,75224.0
5011415,82800.0,82829.0,82864.0,82936.0,82987.0,83063.0,83089.0,83139.0,83185.0,83238.0,83277.0,83328.0,83378.0,83430.0,83448.0,83480.0,83507.0,83554.0,83606.0,83658.0,83687.0,83717.0,83747.0,83817.0,83867.0,83913.0,83951.0,83988.0,84025.0,84069.0,84092.0,84205.0,84443.0,84499.0,84541.0,84548.0,84743.0,84870.0,84970.0,85103.0,85217.0,85262.0,85308.0,85339.0,85378.0,85432.0,85482.0,85522.0,85569.0,85599.0,85642.0,85671.0,85698.0,85744.0,85782.0,85824.0,85847.0,85867.0,85919.0,85980.0,86043.0,86105.0,86171.0,86211.0,86293.0,86318.0,86363.0,86425.0,86512.0,86524.0,86563.0,86624.0
5011416,24000.0,24030.0,24067.0,24143.0,24203.0,24293.0,24351.0,24410.0,24465.0,24540.0,24588.0,24645.0,24701.0,24768.0,24791.0,24833.0,24863.0,24917.0,24983.0,25049.0,25085.0,25122.0,25159.0,25244.0,25306.0,25364.0,25412.0,25470.0,25528.0,25607.0,25649.0,25784.0,26068.0,26135.0,26185.0,26192.0,26318.0,26400.0,26478.0,26633.0,26766.0,26810.0,26855.0,26882.0,26916.0,26963.0,27006.0,27047.0,27095.0,27128.0,27175.0,27207.0,27236.0,27285.0,27320.0,27359.0,27379.0,27396.0,27460.0,27551.0,27646.0,27717.0,27793.0,27839.0,27933.0,27962.0,28014.0,28077.0,28166.0,28192.0,28275.0,28404.0
5011418,37200.0,37230.0,37267.0,37345.0,37407.0,37502.0,37549.0,37613.0,37672.0,37746.0,37791.0,37864.0,37935.0,38006.0,38030.0,38074.0,38108.0,38168.0,38236.0,38304.0,38343.0,38382.0,38421.0,38499.0,38556.0,38614.0,38663.0,38712.0,38760.0,38817.0,38847.0,38978.0,39254.0,39319.0,39368.0,39376.0,39554.0,39670.0,39773.0,39931.0,40067.0,40111.0,40155.0,40191.0,40235.0,40296.0,40353.0,40397.0,40448.0,40491.0,40553.0,40595.0,40634.0,40700.0,40741.0,40788.0,40813.0,40834.0,40901.0,40977.0,41057.0,41122.0,41192.0,41234.0,41321.0,41347.0,41394.0,41454.0,41548.0,41567.0,41626.0,41717.0
5011420,49200.0,49230.0,49267.0,49345.0,49407.0,49502.0,49549.0,49613.0,49672.0,49746.0,49791.0,49864.0,49935.0,50006.0,50030.0,50074.0,50108.0,50168.0,50236.0,50304.0,50343.0,50382.0,50421.0,50499.0,50556.0,50614.0,50663.0,50712.0,50760.0,50817.0,50847.0,50978.0,51254.0,51319.0,51368.0,51376.0,51554.0,51670.0,51773.0,51931.0,52067.0,52111.0,52155.0,52191.0,52235.0,52296.0,52353.0,52397.0,52448.0,52491.0,52553.0,52595.0,52634.0,52700.0,52741.0,52788.0,52813.0,52834.0,52901.0,52977.0,53057.0,53122.0,53192.0,53234.0,53321.0,53347.0,53394.0,53454.0,53548.0,53567.0,53626.0,53717.0
5011422,61800.0,61828.0,61875.0,61972.0,62036.0,62132.0,62170.0,62234.0,62293.0,62367.0,62409.0,62481.0,62551.0,62620.0,62643.0,62686.0,62722.0,62785.0,62847.0,62910.0,62947.0,62984.0,63022.0,63106.0,63167.0,63236.0,63294.0,63344.0,63394.0,63451.0,63481.0,63629.0,63940.0,64014.0,64069.0,64076.0,64309.0,64460.0,64580.0,64780.0,64953.0,65049.0,65146.0,65193.0,65251.0,65331.0,65406.0,65459.0,65520.0,65571.0,65644.0,65693.0,65739.0,65815.0,65862.0,65915.0,65947.0,65975.0,66053.0,66137.0,66225.0,66301.0,66383.0,66433.0,66534.0,66565.0,66619.0,66691.0,66811.0,66829.0,66887.0,66977.0
5011424,75600.0,75629.0,75664.0,75736.0,75787.0,75863.0,75889.0,75939.0,75985.0,76038.0,76077.0,76128.0,76178.0,76230.0,76248.0,76280.0,76307.0,76354.0,76406.0,76458.0,76487.0,76517.0,76547.0,76617.0,76667.0,76713.0,76751.0,76788.0,76825.0,76869.0,76892.0,77005.0,77243.0,77299.0,77341.0,77348.0,77543.0,77670.0,77770.0,77903.0,78017.0,78062.0,78108.0,78139.0,78178.0,78232.0,78282.0,78322.0,78369.0,78399.0,78442.0,78471.0,78498.0,78544.0,78582.0,78624.0,78647.0,78667.0,78719.0,78780.0,78843.0,78905.0,78971.0,79011.0,79093.0,79118.0,79163.0,79225.0,79312.0,79324.0,79363.0,79424.0
5011483,31500.0,31530.0,31572.0,31661.0,31735.0,31848.0,31907.0,31972.0,32032.0,32105.0,32141.0,32202.0,32262.0,32327.0,32349.0,32389.0,32413.0,32456.0,32505.0,32555.0,32592.0,32629.0,32667.0,32727.0,32770.0,32815.0,32853.0,32898.0,32943.0,33002.0,33034.0,33148.0,33387.0,33444.0,33486.0,33492.0,33610.0,33687.0,33769.0,33875.0,33966.0,34001.0,34036.0,34066.0,34103.0,34155.0,34203.0,34248.0,34300.0,34330.0,34372.0,34401.0,34428.0,34472.0,34507.0,34546.0,34567.0,34585.0,34642.0,34708.0,34777.0,34834.0,34895.0,34932.0,35008.0,35031.0,35072.0,35134.0,35212.0,35237.0,35316.0,35439.0
5011485,44100.0,44148.0,44192.0,44284.0,44353.0,44458.0,44507.0,44591.0,44669.0,44748.0,44794.0,44877.0,44958.0,45035.0,45061.0,45109.0,45150.0,45223.0,45302.0,45382.0,45422.0,45462.0,45502.0,45588.0,45651.0,45716.0,45769.0,45822.0,45874.0,45932.0,45963.0,46090.0,46357.0,46420.0,46467.0,46474.0,46649.0,46763.0,46845.0,46964.0,47066.0,47106.0,47146.0,47183.0,47228.0,47291.0,47349.0,47390.0,47437.0,47476.0,47532.0,47569.0,47604.0,47662.0,47702.0,47747.0,47783.0,47814.0,47905.0,47993.0,48085.0,48148.0,48216.0,48257.0,48341.0,48367.0,48411.0,48470.0,48571.0,48601.0,48695.0,48842.0
5011487,56700.0,56730.0,56776.0,56871.0,56935.0,57031.0,57085.0,57154.0,57218.0,57292.0,57336.0,57417.0,57497.0,57572.0,57597.0,57644.0,57680.0,57745.0,57821.0,57898.0,57931.0,57964.0,57998.0,58082.0,58142.0,58197.0,58242.0,58292.0,58342.0,58382.0,58404.0,58533.0,58804.0,58868.0,58915.0,58922.0,59145.0,59290.0,59398.0,59550.0,59680.0,59721.0,59763.0,59800.0,59846.0,59910.0,59971.0,60019.0,60075.0,60112.0,60165.0,60201.0,60234.0,60291.0,60335.0,60385.0,60411.0,60433.0,60500.0,60585.0,60673.0,60745.0,60823.0,60870.0,60966.0,60995.0,61047.0,61114.0,61227.0,61255.0,61342.0,61478.0
5011489,69600.0,69626.0,69667.0,69753.0,69815.0,69909.0,69953.0,70016.0,70075.0,70148.0,70202.0,70268.0,70333.0,70398.0,70420.0,70461.0,70497.0,70561.0,70642.0,70723.0,70761.0,70800.0,70839.0,70921.0,70980.0,71041.0,71091.0,71132.0,71173.0,71222.0,71248.0,71375.0,71641.0,71704.0,71751.0,71758.0,72036.0,72216.0,72293.0,72424.0,72537.0,72574.0,72611.0,72643.0,72683.0,72739.0,72791.0,72826.0,72866.0,72898.0,72944.0,72975.0,73004.0,73054.0,73100.0,73153.0,73178.0,73200.0,73248.0,73306.0,73367.0,73427.0,73491.0,73530.0,73610.0,73634.0,73677.0,73735.0,73824.0,73837.0,73878.0,73943.0
5011491,81600.0,81632.0,81669.0,81746.0,81799.0,81879.0,81922.0,81979.0,82031.0,82096.0,82136.0,82187.0,82238.0,82304.0,82327.0,82368.0,82399.0,82454.0,82500.0,82547.0,82577.0,82607.0,82638.0,82708.0,82759.0,82814.0,82860.0,82904.0,82948.0,82988.0,83010.0,83115.0,83337.0,83389.0,83428.0,83434.0,83670.0,83823.0,83917.0,84077.0,84214.0,84253.0,84293.0,84322.0,84358.0,84408.0,84454.0,84493.0,84539.0,84572.0,84619.0,84650.0,84679.0,84728.0,84760.0,84797.0,84824.0,84847.0,84908.0,84977.0,85049.0,85116.0,85188.0,85232.0,85321.0,85348.0,85397.0,85458.0,85537.0,85564.0,85648.0,85779.0
