tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P
5003331,48600.0,48648.0,48692.0,48784.0,48853.0,48958.0,49007.0,49091.0,49169.0,49248.0,49294.0,49377.0,49458.0,49535.0,49561.0,49609.0,49650.0,49723.0,49802.0,49882.0,49922.0,49962.0,50002.0,50088.0,50151.0,50216.0,50269.0,50322.0,50374.0,50432.0,50463.0,50590.0,50857.0,50920.0,50967.0,50974.0,51149.0,51263.0,51345.0,51464.0,51566.0,51606.0,51646.0,51683.0,51728.0,51791.0,51849.0,51890.0,51937.0,51976.0,52032.0,52069.0,52104.0,52162.0,52202.0,52247.0,52283.0,52314.0,52405.0,52493.0,52585.0,52648.0,52716.0,52757.0,52841.0,52867.0,52911.0,52970.0,53071.0,53101.0,53195.0,53342.0
5003333,61200.0,61248.0,61293.0,61387.0,61459.0,61568.0,61621.0,61691.0,61755.0,61837.0,61898.0,61983.0,62067.0,62147.0,62174.0,62224.0,62267.0,62344.0,62418.0,62492.0,62534.0,62576.0,62618.0,62724.0,62801.0,62870.0,62927.0,62985.0,63043.0,63113.0,63151.0,63280.0,63552.0,63616.0,63664.0,63671.0,63952.0,64135.0,64223.0,64385.0,64524.0,64560.0,64596.0,64638.0,64690.0,64762.0,64829.0,64891.0,64962.0,64997.0,65048.0,65082.0,65114.0,65167.0,65213.0,65266.0,65299.0,65327.0,65396.0,65473.0,65553.0,65625.0,65702.0,65749.0,65844.0,65873.0,65925.0,65994.0,66087.0,66118.0,66215.0,66367.0
5003335,73200.0,73232.0,73269.0,73346.0,73399.0,73479.0,73522.0,73579.0,73631.0,73696.0,73736.0,73787.0,73838.0,73904.0,73927.0,73968.0,73999.0,74054.0,74100.0,74147.0,74177.0,74207.0,74238.0,74308.0,74359.0,74414.0,74460.0,74504.0,74548.0,74588.0,74610.0,74715.0,74937.0,74989.0,75028.0,75034.0,75270.0,75423.0,75517.0,75677.0,75814.0,75853.0,75893.0,75922.0,75958.0,76008.0,76054.0,76093.0,76139.0,76172.0,76219.0,76250.0,76279.0,76328.0,76360.0,76397.0,76424.0,76447.0,76508.0,76577.0,76649.0,76716.0,76788.0,76832.0,76921.0,76948.0,76997.0,77058.0,77137.0,77164.0,77248.0,77379.0
5003338,32400.0,32430.0,32472.0,32561.0,32635.0,32748.0,32807.0,32872.0,32932.0,33005.0,33041.0,33102.0,33162.0,33227.0,33249.0,33289.0,33313.0,33356.0,33405.0,33455.0,33492.0,33529.0,33567.0,33627.0,33670.0,33715.0,33753.0,33798.0,33843.0,33902.0,33934.0,34048.0,34287.0,34344.0,34386.0,34392.0,34510.0,34587.0,34669.0,34775.0,34866.0,34901.0,34936.0,34966.0,35003.0,35055.0,35103.0,35148.0,35200.0,35230.0,35272.0,35301.0,35328.0,35372.0,35407.0,35446.0,35467.0,35485.0,35542.0,35608.0,35677.0,35734.0,35795.0,35832.0,35908.0,35931.0,35972.0,36034.0,36112.0,36137.0,36216.0,36339.0
5003340,45000.0,45048.0,45092.0,45184.0,45253.0,45358.0,45407.0,45491.0,45569.0,45648.0,45694.0,45777.0,45858.0,45935.0,45961.0,46009.0,46050.0,46123.0,46202.0,46282.0,46322.0,46362.0,46402.0,46488.0,46551.0,46616.0,46669.0,46722.0,46774.0,46832.0,46863.0,46990.0,47257.0,47320.0,47367.0,47374.0,47549.0,47663.0,47745.0,47864.0,47966.0,48006.0,48046.0,48083.0,48128.0,48191.0,48249.0,48290.0,48337.0,48376.0,48432.0,48469.0,48504.0,48562.0,48602.0,48647.0,48683.0,48714.0,48805.0,48893.0,48985.0,49048.0,49116.0,49157.0,49241.0,49267.0,49311.0,49370.0,49471.0,49501.0,49595.0,49742.0
5003342,57600.0,57630.0,57676.0,57771.0,57835.0,57931.0,57985.0,58054.0,58118.0,58192.0,58236.0,58317.0,58397.0,58472.0,58497.0,58544.0,58580.0,58645.0,58721.0,58798.0,58831.0,58864.0,58898.0,58982.0,59042.0,59097.0,59142.0,59192.0,59242.0,59282.0,59304.0,59433.0,59704.0,59768.0,59815.0,59822.0,60045.0,60190.0,60298.0,60450.0,60580.0,60621.0,60663.0,60700.0,60746.0,60810.0,60871.0,60919.0,60975.0,61012.0,61065.0,61101.0,61134.0,61191.0,61235.0,61285.0,61311.0,61333.0,61400.0,61485.0,61573.0,61645.0,61723.0,61770.0,61866.0,61895.0,61947.0,62014.0,62127.0,62155.0,62242.0,62378.0
5003494,27900.0,27931.0,27969.0,28049.0,28118.0,28223.0,28267.0,28328.0,28384.0,28458.0,28498.0,28554.0,28610.0,28665.0,28684.0,28718.0,28746.0,28796.0,28857.0,28919.0,28949.0,28979.0,29010.0,29067.0,29109.0,29163.0,29208.0,29252.0,29296.0,29350.0,29379.0,29482.0,29698.0,29749.0,29787.0,29793.0,29911.0,29988.0,30054.0,30150.0,30232.0,30267.0,30303.0,30328.0,30359.0,30402.0,30442.0,30476.0,30515.0,30541.0,30578.0,30603.0,30626.0,30667.0,30702.0,30742.0,30765.0,30784.0,30827.0,30892.0,30960.0,31011.0,31066.0,31100.0,31168.0,31189.0,31226.0,31294.0,31368.0,31388.0,31451.0,31548.0
5003496,40500.0,40653.0,40712.0,40834.0,40897.0,40992.0,41076.0,41201.0,41317.0,41371.0,41403.0,41457.0,41510.0,41599.0,41629.0,41685.0,41730.0,41810.0,41908.0,42006.0,42043.0,42080.0,42118.0,42211.0,42278.0,42338.0,42387.0,42410.0,42432.0,42580.0,42659.0,42777.0,43026.0,43085.0,43129.0,43136.0,43286.0,43383.0,43512.0,43663.0,43792.0,43833.0,43874.0,43901.0,43935.0,43982.0,44026.0,44062.0,44104.0,44137.0,44184.0,44216.0,44245.0,44294.0,44347.0,44407.0,44429.0,44448.0,44513.0,44623.0,44738.0,44799.0,44865.0,44905.0,44986.0,45011.0,45054.0,45132.0,45257.0,45265.0,45290.0,45330.0
5003498,53100.0,53130.0,53176.0,53271.0,53335.0,53431.0,53485.0,53554.0,53618.0,53692.0,53736.0,53817.0,53897.0,53972.0,53997.0,54044.0,54080.0,54145.0,54221.0,54298.0,54331.0,54364.0,54398.0,54482.0,54542.0,54597.0,54642.0,54692.0,54742.0,54782.0,54804.0,54933.0,55204.0,55268.0,55315.0,55322.0,55545.0,55690.0,55798.0,55950.0,56080.0,56121.0,56163.0,56200.0,56246.0,56310.0,56371.0,56419.0,56475.0,56512.0,56565.0,56601.0,56634.0,56691.0,56735.0,56785.0,56811.0,56833.0,56900.0,56985.0,57073.0,57145.0,57223.0,57270.0,57366.0,57395.0,57447.0,57514.0,57627.0,57655.0,57742.0,57878.0
5003500,66000.0,66048.0,66093.0,66187.0,66259.0,66368.0,66421.0,66491.0,66555.0,66637.0,66698.0,66783.0,66867.0,66947.0,66974.0,67024.0,67067.0,67144.0,67218.0,67292.0,67334.0,67376.0,67418.0,67524.0,67601.0,67670.0,67727.0,67785.0,67843.0,67913.0,67951.0,68080.0,68352.0,68416.0,68464.0,68471.0,68752.0,68935.0,69023.0,69185.0,69324.0,69360.0,69396.0,69438.0,69490.0,69562.0,69629.0,69691.0,69762.0,69797.0,69848.0,69882.0,69914.0,69967.0,70013.0,70066.0,70099.0,70127.0,70196.0,70273.0,70353.0,70425.0,70502.0,70549.0,70644.0,70673.0,70725.0,70794.0,70887.0,70918.0,71015.0,71167.0
5003502,78000.0,78032.0,78069.0,78146.0,78199.0,78279.0,78322.0,78379.0,78431.0,78496.0,78536.0,78587.0,78638.0,78704.0,78727.0,78768.0,78799.0,78854.0,78900.0,78947.0,78977.0,79007.0,79038.0,79108.0,79159.0,79214.0,79260.0,79304.0,79348.0,79388.0,79410.0,79515.0,79737.0,79789.0,79828.0,79834.0,80070.0,80223.0,80317.0,80477.0,80614.0,80653.0,80693.0,80722.0,80758.0,80808.0,80854.0,80893.0,80939.0,80972.0,81019.0,81050.0,81079.0,81128.0,81160.0,81197.0,81224.0,81247.0,81308.0,81377.0,81449.0,81516.0,81588.0,81632.0,81721.0,81748.0,81797.0,81858.0,81937.0,81964.0,82048.0,82179.0
5004341,25200.0,25237.0,25281.0,25374.0,25474.0,25626.0,25703.0,25781.0,25853.0,25945.0,25993.0,26062.0,26130.0,26228.0,26261.0,26322.0,26360.0,26428.0,26505.0,26583.0,26634.0,26685.0,26737.0,26862.0,26952.0,27036.0,27106.0,27180.0,27253.0,27339.0,27385.0,27581.0,27994.0,28092.0,28164.0,28175.0,28340.0,28448.0,28548.0,28722.0,28872.0,28927.0,28983.0,29014.0,29053.0,29107.0,29158.0,29204.0,29256.0,29289.0,29336.0,29368.0,29398.0,29448.0,29484.0,29524.0,29549.0,29571.0,29643.0,29721.0,29802.0,29869.0,29941.0,29985.0,30075.0,30102.0,30151.0,30213.0,30300.0,30319.0,30380.0,30476.0
5004343,38400.0,38430.0,38467.0,38545.0,38607.0,38702.0,38749.0,38813.0,38872.0,38946.0,38991.0,39064.0,39135.0,39206.0,39230.0,39274.0,39308.0,39368.0,39436.0,39504.0,39543.0,39582.0,39621.0,39699.0,39756.0,39814.0,39863.0,39912.0,39960.0,40017.0,40047.0,40178.0,40454.0,40519.0,40568.0,40576.0,40754.0,40870.0,40973.0,41131.0,41267.0,41311.0,41355.0,41391.0,41435.0,41496.0,41553.0,41597.0,41648.0,41691.0,41753.0,41795.0,41834.0,41900.0,41941.0,41988.0,42013.0,42034.0,42101.0,42177.0,42257.0,42322.0,42392.0,42434.0,42521.0,42547.0,42594.0,42654.0,42748.0,42767.0,42826.0,42917.0
5004345,50400.0,50429.0,50467.0,50546.0,50614.0,50718.0,50761.0,50827.0,50889.0,50963.0,51006.0,51073.0,51139.0,51211.0,51235.0,51280.0,51312.0,51368.0,51430.0,51493.0,51532.0,51572.0,51612.0,51686.0,51740.0,51803.0,51856.0,51901.0,51945.0,51998.0,52026.0,52174.0,52486.0,52560.0,52615.0,52624.0,52815.0,52939.0,53052.0,53214.0,53353.0,53425.0,53498.0,53542.0,53596.0,53671.0,53741.0,53787.0,53839.0,53896.0,53977.0,54032.0,54083.0,54169.0,54222.0,54282.0,54334.0,54379.0,54492.0,54597.0,54706.0,54794.0,54889.0,54947.0,55064.0,55100.0,55163.0,55234.0,55438.0,55459.0,55527.0,55633.0
5004347,63000.0,63028.0,63075.0,63172.0,63236.0,63332.0,63370.0,63434.0,63493.0,63567.0,63609.0,63681.0,63751.0,63820.0,63843.0,63886.0,63922.0,63985.0,64047.0,64110.0,64147.0,64184.0,64222.0,64306.0,64367.0,64436.0,64494.0,64544.0,64594.0,64651.0,64681.0,64829.0,65140.0,65214.0,65269.0,65276.0,65509.0,65660.0,65780.0,65980.0,66153.0,66249.0,66346.0,66393.0,66451.0,66531.0,66606.0,66659.0,66720.0,66771.0,66844.0,66893.0,66939.0,67015.0,67062.0,67115.0,67147.0,67175.0,67253.0,67337.0,67425.0,67501.0,67583.0,67633.0,67734.0,67765.0,67819.0,67891.0,68011.0,68029.0,68087.0,68177.0
5005149,22800.0,22830.0,22867.0,22943.0,23003.0,23093.0,23151.0,23210.0,23265.0,23340.0,23388.0,23445.0,23501.0,23568.0,23591.0,23633.0,23663.0,23717.0,23783.0,23849.0,23885.0,23922.0,23959.0,24044.0,24106.0,24164.0,24212.0,24270.0,24328.0,24407.0,24449.0,24584.0,24868.0,24935.0,24985.0,24992.0,25118.0,25200.0,25278.0,25433.0,25566.0,25610.0,25655.0,25682.0,25716.0,25763.0,25806.0,25847.0,25895.0,25928.0,25975.0,26007.0,26036.0,26085.0,26120.0,26159.0,26179.0,26196.0,26260.0,26351.0,26446.0,26517.0,26593.0,26639.0,26733.0,26762.0,26814.0,26877.0,26966.0,26992.0,27075.0,27204.0
5005151,36000.0,36037.0,36076.0,36157.0,36219.0,36312.0,36360.0,36428.0,36490.0,36557.0,36601.0,36668.0,36734.0,36806.0,36830.0,36875.0,36912.0,36978.0,37040.0,37103.0,37139.0,37175.0,37212.0,37295.0,37355.0,37408.0,37452.0,37506.0,37559.0,37616.0,37647.0,37798.0,38115.0,38190.0,38246.0,38254.0,38416.0,38522.0,38618.0,38769.0,38898.0,38941.0,38985.0,39016.0,39055.0,39109.0,39160.0,39197.0,39239.0,39270.0,39314.0,39344.0,39372.0,39418.0,39451.0,39489.0,39510.0,39528.0,39585.0,39653.0,39724.0,39783.0,39846.0,39885.0,39964.0,39988.0,40030.0,40084.0,40166.0,40189.0,40263.0,40378.0
5005153,48000.0,48030.0,48067.0,48145.0,48207.0,48302.0,48349.0,48413.0,48472.0,48546.0,48591.0,48664.0,48735.0,48806.0,48830.0,48874.0,48908.0,48968.0,49036.0,49104.0,49143.0,49182.0,49221.0,49299.0,49356.0,49414.0,49463.0,49512.0,49560.0,49617.0,49647.0,49778.0,50054.0,50119.0,50168.0,50176.0,50354.0,50470.0,50573.0,50731.0,50867.0,50911.0,50955.0,50991.0,51035.0,51096.0,51153.0,51197.0,51248.0,51291.0,51353.0,51395.0,51434.0,51500.0,51541.0,51588.0,51613.0,51634.0,51701.0,51777.0,51857.0,51922.0,51992.0,52034.0,52121.0,52147.0,52194.0,52254.0,52348.0,52367.0,52426.0,52517.0
5005155,60600.0,60626.0,60666.0,60748.0,60818.0,60923.0,60963.0,61033.0,61097.0,61162.0,61207.0,61278.0,61348.0,61417.0,61440.0,61483.0,61516.0,61575.0,61633.0,61692.0,61727.0,61762.0,61797.0,61879.0,61939.0,62010.0,62069.0,62114.0,62158.0,62213.0,62242.0,62405.0,62749.0,62830.0,62890.0,62900.0,63164.0,63336.0,63460.0,63670.0,63850.0,63984.0,64120.0,64171.0,64234.0,64321.0,64403.0,64462.0,64531.0,64596.0,64689.0,64752.0,64810.0,64909.0,64966.0,65030.0,65062.0,65089.0,65191.0,65288.0,65389.0,65477.0,65572.0,65629.0,65746.0,65782.0,65845.0,65922.0,66140.0,66157.0,66210.0,66292.0
5005157,74400.0,74429.0,74464.0,74536.0,74587.0,74663.0,74689.0,74739.0,74785.0,74838.0,74877.0,74928.0,74978.0,75030.0,75048.0,75080.0,75107.0,75154.0,75206.0,75258.0,75287.0,75317.0,75347.0,75417.0,75467.0,75513.0,75551.0,75588.0,75625.0,75669.0,75692.0,75805.0,76043.0,76099.0,76141.0,76148.0,76343.0,76470.0,76570.0,76703.0,76817.0,76862.0,76908.0,76939.0,76978.0,77032.0,77082.0,77122.0,77169.0,77199.0,77242.0,77271.0,77298.0,77344.0,77382.0,77424.0,77447.0,77467.0,77519.0,77580.0,77643.0,77705.0,77771.0,77811.0,77893.0,77918.0,77963.0,78025.0,78112.0,78124.0,78163.0,78224.0
5005175,33600.0,33631.0,33672.0,33758.0,33847.0,33982.0,34037.0,34119.0,34194.0,34282.0,34322.0,34386.0,34448.0,34524.0,34550.0,34598.0,34634.0,34698.0,34765.0,34833.0,34876.0,34919.0,34963.0,35051.0,35114.0,35178.0,35231.0,35292.0,35352.0,35426.0,35466.0,35645.0,36022.0,36111.0,36177.0,36187.0,36348.0,36453.0,36557.0,36718.0,36857.0,36897.0,36938.0,36969.0,37008.0,37062.0,37112.0,37152.0,37199.0,37229.0,37272.0,37301.0,37328.0,37375.0,37410.0,37450.0,37469.0,37485.0,37531.0,37586.0,37643.0,37701.0,37764.0,37802.0,37880.0,37904.0,37945.0,38008.0,38094.0,38123.0,38215.0,38358.0
5005177,46200.0,46230.0,46267.0,46345.0,46407.0,46502.0,46549.0,46613.0,46672.0,46746.0,46791.0,46864.0,46935.0,47006.0,47030.0,47074.0,47108.0,47168.0,47236.0,47304.0,47343.0,47382.0,47421.0,47499.0,47556.0,47614.0,47663.0,47712.0,47760.0,47817.0,47847.0,47978.0,48254.0,48319.0,48368.0,48376.0,48554.0,48670.0,48773.0,48931.0,49067.0,49111.0,49155.0,49191.0,49235.0,49296.0,49353.0,49397.0,49448.0,49491.0,49553.0,49595.0,49634.0,49700.0,49741.0,49788.0,49813.0,49834.0,49901.0,49977.0,50057.0,50122.0,50192.0,50234.0,50321.0,50347.0,50394.0,50454.0,50548.0,50567.0,50626.0,50717.0
5005179,58200.0,58229.0,58267.0,58346.0,58414.0,58518.0,58561.0,58627.0,58689.0,58763.0,58806.0,58873.0,58939.0,59011.0,59035.0,59080.0,59112.0,59168.0,59230.0,59293.0,59332.0,59372.0,59412.0,59486.0,59540.0,59603.0,59656.0,59701.0,59745.0,59798.0,59826.0,59974.0,60286.0,60360.0,60415.0,60424.0,60615.0,60739.0,60852.0,61014.0,61153.0,61225.0,61298.0,61342.0,61396.0,61471.0,61541.0,61587.0,61639.0,61696.0,61777.0,61832.0,61883.0,61969.0,62022.0,62082.0,62134.0,62179.0,62292.0,62397.0,62506.0,62594.0,62689.0,62747.0,62864.0,62900.0,62963.0,63034.0,63238.0,63259.0,63327.0,63433.0
5006106,30600.0,30631.0,30669.0,30749.0,30818.0,30923.0,30967.0,31028.0,31084.0,31158.0,31198.0,31254.0,31310.0,31365.0,31384.0,31418.0,31446.0,31496.0,31557.0,31619.0,31649.0,31679.0,31710.0,31767.0,31809.0,31863.0,31908.0,31952.0,31996.0,32050.0,32079.0,32182.0,32398.0,32449.0,32487.0,32493.0,32611.0,32688.0,32754.0,32850.0,32932.0,32967.0,33003.0,33028.0,33059.0,33102.0,33142.0,33176.0,33215.0,33241.0,33278.0,33303.0,33326.0,33367.0,33402.0,33442.0,33465.0,33484.0,33527.0,33592.0,33660.0,33711.0,33766.0,33800.0,33868.0,33889.0,33926.0,33994.0,34068.0,34088.0,34151.0,34248.0
5006110,55800.0,55830.0,55876.0,55971.0,56035.0,56131.0,56185.0,56254.0,56318.0,56392.0,56436.0,56517.0,56597.0,56672.0,56697.0,56744.0,56780.0,56845.0,56921.0,56998.0,57031.0,57064.0,57098.0,57182.0,57242.0,57297.0,57342.0,57392.0,57442.0,57482.0,57504.0,57633.0,57904.0,57968.0,58015.0,58022.0,58245.0,58390.0,58498.0,58650.0,58780.0,58821.0,58863.0,58900.0,58946.0,59010.0,59071.0,59119.0,59175.0,59212.0,59265.0,59301.0,59334.0,59391.0,59435.0,59485.0,59511.0,59533.0,59600.0,59685.0,59773.0,59845.0,59923.0,59970.0,60066.0,60095.0,60147.0,60214.0,60327.0,60355.0,60442.0,60578.0
5006112,68400.0,68426.0,68467.0,68553.0,68615.0,68709.0,68753.0,68816.0,68875.0,68948.0,69002.0,69068.0,69133.0,69198.0,69220.0,69261.0,69297.0,69361.0,69442.0,69523.0,69561.0,69600.0,69639.0,69721.0,69780.0,69841.0,69891.0,69932.0,69973.0,70022.0,70048.0,70175.0,70441.0,70504.0,70551.0,70558.0,70836.0,71016.0,71093.0,71224.0,71337.0,71374.0,71411.0,71443.0,71483.0,71539.0,71591.0,71626.0,71666.0,71698.0,71744.0,71775.0,71804.0,71854.0,71900.0,71953.0,71978.0,72000.0,72048.0,72106.0,72167.0,72227.0,72291.0,72330.0,72410.0,72434.0,72477.0,72535.0,72624.0,72637.0,72678.0,72743.0
