tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P
0,2270.0,2274.0,7601.0,2508.0,2278.0,2279.0,2720.0,2280.0,2281.0,2282.0,4468.0,2283.0,616.0,617.0,618.0,619.0,675.0,4380.0
5011982,27000.0,27176.0,27282.0,27402.0,27449.0,27473.0,27490.0,27524.0,27547.0,27585.0,27612.0,27637.0,27689.0,27720.0,27751.0,27785.0,27803.0,27871.0
5011984,30600.0,30772.0,30875.0,30992.0,31038.0,31062.0,31078.0,31111.0,31133.0,31170.0,31196.0,31220.0,31271.0,31301.0,31331.0,31373.0,31396.0,31450.0
5011986,34200.0,34403.0,34525.0,34663.0,34717.0,34745.0,34764.0,34803.0,34829.0,34873.0,34904.0,34932.0,34992.0,35028.0,35064.0,35089.0,35102.0,35208.0
5011988,37800.0,38013.0,38141.0,38287.0,38344.0,38373.0,38394.0,38435.0,38462.0,38508.0,38541.0,38571.0,38634.0,38672.0,38709.0,38765.0,38795.0,38900.0
5011990,41400.0,41613.0,41741.0,41887.0,41944.0,41973.0,41994.0,42035.0,42062.0,42108.0,42141.0,42171.0,42234.0,42272.0,42309.0,42365.0,42395.0,42500.0
5011992,45000.0,45251.0,45401.0,45572.0,45639.0,45673.0,45697.0,45745.0,45777.0,45831.0,45870.0,45905.0,45979.0,46023.0,46068.0,46110.0,46132.0,46249.0
5011994,48600.0,48851.0,49001.0,49172.0,49239.0,49273.0,49297.0,49345.0,49377.0,49431.0,49470.0,49505.0,49579.0,49623.0,49668.0,49710.0,49732.0,49849.0
5013924,27000.0,27277.0,27443.0,27632.0,27706.0,27744.0,27771.0,27824.0,27860.0,27920.0,27963.0,28002.0,28084.0,28133.0,28182.0,28238.0,28268.0,28360.0
5013926,30600.0,30855.0,31008.0,31182.0,31250.0,31285.0,31309.0,31357.0,31390.0,31445.0,31484.0,31520.0,31596.0,31641.0,31685.0,31752.0,31787.0,31899.0
5013928,34200.0,34439.0,34582.0,34745.0,34809.0,34842.0,34865.0,34910.0,34941.0,34993.0,35030.0,35064.0,35135.0,35177.0,35218.0,35272.0,35301.0,35393.0
5013930,37800.0,38038.0,38181.0,38344.0,38408.0,38441.0,38464.0,38509.0,38540.0,38591.0,38628.0,38661.0,38732.0,38774.0,38815.0,38870.0,38900.0,39020.0
5013932,41400.0,41638.0,41781.0,41944.0,42008.0,42041.0,42064.0,42109.0,42140.0,42191.0,42228.0,42261.0,42332.0,42374.0,42415.0,42470.0,42500.0,42620.0
5013934,45000.0,45249.0,45398.0,45568.0,45635.0,45669.0,45693.0,45740.0,45772.0,45826.0,45864.0,45899.0,45973.0,46017.0,46061.0,46105.0,46129.0,46249.0
5013936,48600.0,48849.0,48998.0,49168.0,49235.0,49269.0,49293.0,49340.0,49372.0,49426.0,49464.0,49499.0,49573.0,49617.0,49661.0,49705.0,49729.0,49849.0
5013938,52200.0,52449.0,52598.0,52768.0,52835.0,52869.0,52893.0,52940.0,52972.0,53026.0,53064.0,53099.0,53173.0,53217.0,53261.0,53305.0,53329.0,53449.0
5013940,55800.0,56031.0,56169.0,56327.0,56389.0,56421.0,56443.0,56487.0,56517.0,56567.0,56603.0,56635.0,56704.0,56745.0,56783.0,56829.0,56853.0,56981.0
5013942,59400.0,59631.0,59769.0,59927.0,59989.0,60021.0,60043.0,60087.0,60117.0,60167.0,60203.0,60235.0,60304.0,60345.0,60383.0,60429.0,60453.0,60581.0
5013944,63000.0,63303.0,63485.0,63692.0,63773.0,63815.0,63844.0,63902.0,63941.0,64006.0,64053.0,64096.0,64186.0,64239.0,64292.0,64324.0,64341.0,64500.0
5013948,70200.0,70382.0,70491.0,70616.0,70665.0,70690.0,70708.0,70743.0,70766.0,70805.0,70833.0,70859.0,70913.0,70945.0,70977.0,71015.0,71035.0,71145.0
5083771,27000.0,27267.0,27427.0,27609.0,27680.0,27717.0,27743.0,27794.0,27828.0,27886.0,27927.0,27964.0,28043.0,28090.0,28137.0,28191.0,28220.0,28308.0
