tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P
5016088,73800.0,73865.0,73892.0,73918.0,73953.0,73976.0,73996.0,74024.0,74080.0,74110.0,74128.0,74189.0,74231.0,74278.0,74346.0,74404.0,74434.0,74467.0,74495.0,74588.0,74626.0,74667.0,74718.0,74751.0,74795.0,74837.0,74856.0,74881.0,74949.0,74974.0,75004.0,75084.0,75102.0,75152.0,75181.0,75205.0,75277.0,75324.0,75341.0,75430.0,75455.0,75470.0,75491.0,75522.0,75555.0,75606.0,75630.0,75678.0,75731.0,75790.0,75825.0,75860.0,75898.0,75918.0,75930.0,75967.0,76011.0,76058.0,76115.0,76189.0,76262.0,76352.0
5019102,27000.0,27062.0,27088.0,27110.0,27140.0,27159.0,27174.0,27196.0,27249.0,27283.0,27302.0,27340.0,27390.0,27436.0,27492.0,27540.0,27566.0,27595.0,27619.0,27700.0,27731.0,27772.0,27814.0,27841.0,27877.0,27912.0,27928.0,27948.0,27999.0,28018.0,28040.0,28099.0,28112.0,28147.0,28172.0,28193.0,28261.0,28319.0,28343.0,28401.0,28419.0,28430.0,28451.0,28480.0,28520.0,28556.0,28572.0,28606.0,28645.0,28688.0,28714.0,28756.0,28802.0,28822.0,28833.0,28879.0,28918.0,28964.0,29019.0,29091.0,29162.0,29250.0
5019108,59400.0,59481.0,59515.0,59549.0,59594.0,59624.0,59646.0,59678.0,59737.0,59768.0,59786.0,59861.0,59912.0,59970.0,60036.0,60093.0,60127.0,60165.0,60196.0,60301.0,60341.0,60416.0,60469.0,60503.0,60549.0,60593.0,60613.0,60637.0,60693.0,60714.0,60738.0,60804.0,60819.0,60904.0,60935.0,60960.0,61028.0,61078.0,61095.0,61154.0,61192.0,61215.0,61241.0,61279.0,61344.0,61403.0,61430.0,61486.0,61534.0,61587.0,61619.0,61674.0,61735.0,61760.0,61774.0,61836.0,61905.0,61964.0,62036.0,62110.0,62183.0,62273.0
5019112,79800.0,79842.0,79860.0,79879.0,79904.0,79920.0,79945.0,79980.0,80040.0,80078.0,80100.0,80160.0,80220.0,80280.0,80312.0,80340.0,80350.0,80361.0,80370.0,80400.0,80460.0,80520.0,80534.0,80543.0,80555.0,80567.0,80572.0,80580.0,80599.0,80606.0,80614.0,80636.0,80640.0,80700.0,80733.0,80760.0,80820.0,80880.0,81000.0,81060.0,81098.0,81120.0,81145.0,81180.0,81240.0,81265.0,81276.0,81300.0,81322.0,81346.0,81360.0,81389.0,81420.0,81458.0,81480.0,81540.0,81840.0,81867.0,81900.0,81951.0,82002.0,82065.0
5019257,73800.0,73875.0,73907.0,73940.0,73984.0,74012.0,74031.0,74058.0,74120.0,74149.0,74165.0,74231.0,74275.0,74323.0,74390.0,74448.0,74478.0,74512.0,74540.0,74633.0,74670.0,74719.0,74770.0,74803.0,74847.0,74889.0,74908.0,74932.0,74997.0,75021.0,75049.0,75125.0,75142.0,75193.0,75222.0,75246.0,75320.0,75369.0,75391.0,75461.0,75493.0,75512.0,75540.0,75579.0,75614.0,75663.0,75686.0,75732.0,75777.0,75826.0,75856.0,75905.0,75960.0,75980.0,75992.0,76060.0,76117.0,76175.0,76245.0,76319.0,76392.0,76482.0
5019259,83400.0,83472.0,83503.0,83528.0,83560.0,83581.0,83596.0,83617.0,83675.0,83702.0,83717.0,83761.0,83809.0,83861.0,83923.0,83975.0,84005.0,84039.0,84067.0,84160.0,84195.0,84237.0,84279.0,84306.0,84342.0,84376.0,84392.0,84411.0,84461.0,84480.0,84502.0,84561.0,84574.0,84614.0,84647.0,84673.0,84747.0,84799.0,84819.0,84882.0,84918.0,84939.0,84963.0,84998.0,85036.0,85069.0,85084.0,85114.0,85164.0,85219.0,85252.0,85299.0,85351.0,85372.0,85384.0,85440.0,85517.0,85585.0,85666.0,85743.0,85819.0,85913.0
5019330,48600.0,48684.0,48720.0,48764.0,48822.0,48860.0,48882.0,48914.0,48975.0,49008.0,49027.0,49094.0,49156.0,49205.0,49278.0,49341.0,49376.0,49416.0,49449.0,49560.0,49600.0,49650.0,49699.0,49731.0,49773.0,49813.0,49832.0,49855.0,49952.0,49988.0,50030.0,50143.0,50168.0,50254.0,50285.0,50310.0,50384.0,50437.0,50460.0,50539.0,50586.0,50614.0,50656.0,50715.0,50804.0,50858.0,50883.0,50932.0,50990.0,51054.0,51092.0,51149.0,51211.0,51239.0,51255.0,51329.0,51386.0,51460.0,51549.0,51623.0,51696.0,51786.0
5019332,59400.0,59473.0,59504.0,59536.0,59578.0,59605.0,59627.0,59659.0,59719.0,59753.0,59773.0,59842.0,59894.0,59960.0,60034.0,60098.0,60130.0,60166.0,60196.0,60295.0,60331.0,60371.0,60419.0,60450.0,60491.0,60530.0,60548.0,60570.0,60641.0,60667.0,60698.0,60782.0,60801.0,60870.0,60906.0,60935.0,61013.0,61061.0,61081.0,61138.0,61175.0,61197.0,61232.0,61281.0,61338.0,61393.0,61418.0,61470.0,61533.0,61603.0,61645.0,61714.0,61791.0,61817.0,61831.0,61885.0,61933.0,62018.0,62121.0,62193.0,62264.0,62352.0
5019334,70200.0,70275.0,70307.0,70340.0,70384.0,70412.0,70431.0,70458.0,70520.0,70549.0,70565.0,70631.0,70675.0,70723.0,70790.0,70848.0,70878.0,70912.0,70940.0,71033.0,71070.0,71119.0,71170.0,71203.0,71247.0,71289.0,71308.0,71332.0,71397.0,71421.0,71449.0,71525.0,71542.0,71593.0,71622.0,71646.0,71720.0,71769.0,71791.0,71861.0,71893.0,71912.0,71940.0,71979.0,72014.0,72063.0,72086.0,72132.0,72177.0,72226.0,72256.0,72305.0,72360.0,72380.0,72392.0,72460.0,72517.0,72575.0,72645.0,72719.0,72792.0,72882.0
5019336,79800.0,79872.0,79903.0,79928.0,79960.0,79981.0,79996.0,80017.0,80075.0,80102.0,80117.0,80161.0,80209.0,80261.0,80323.0,80375.0,80405.0,80439.0,80467.0,80560.0,80595.0,80637.0,80679.0,80706.0,80742.0,80776.0,80792.0,80811.0,80861.0,80880.0,80902.0,80961.0,80974.0,81014.0,81047.0,81073.0,81147.0,81199.0,81219.0,81282.0,81318.0,81339.0,81363.0,81398.0,81436.0,81469.0,81484.0,81514.0,81564.0,81619.0,81652.0,81699.0,81751.0,81772.0,81784.0,81840.0,81917.0,81985.0,82066.0,82143.0,82219.0,82313.0
