tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P
5006467,39600.0,39607.0,39665.0,39697.0,39744.0,39783.0,39854.0,40097.0,40209.0,40274.0,40372.0,40456.0,40490.0,40525.0,40555.0,40592.0,40643.0,40689.0,40724.0,40765.0,40795.0,40838.0,40873.0,40902.0,40954.0,40986.0,41025.0,41082.0,41130.0,41160.0,41202.0,41247.0,41327.0,41412.0,41475.0,41519.0,41565.0,41601.0,41640.0,41687.0,41738.0,41789.0,41821.0,41882.0,41921.0,41996.0,42049.0,42079.0,42163.0,42204.0
5006469,46800.0,46807.0,46861.0,46891.0,46935.0,46971.0,47037.0,47318.0,47447.0,47553.0,47686.0,47800.0,47835.0,47871.0,47909.0,47956.0,48021.0,48080.0,48125.0,48177.0,48213.0,48265.0,48307.0,48340.0,48398.0,48434.0,48478.0,48542.0,48595.0,48622.0,48658.0,48710.0,48802.0,48900.0,48974.0,49026.0,49081.0,49122.0,49168.0,49223.0,49258.0,49293.0,49315.0,49357.0,49384.0,49435.0,49470.0,49502.0,49592.0,49635.0
5006471,54000.0,54008.0,54074.0,54111.0,54164.0,54208.0,54287.0,54671.0,54847.0,54934.0,55078.0,55201.0,55241.0,55282.0,55327.0,55383.0,55461.0,55533.0,55583.0,55641.0,55684.0,55745.0,55794.0,55834.0,55892.0,55929.0,55973.0,56038.0,56091.0,56117.0,56157.0,56201.0,56278.0,56360.0,56447.0,56509.0,56573.0,56624.0,56668.0,56720.0,56759.0,56798.0,56822.0,56868.0,56898.0,56955.0,56994.0,57019.0,57087.0,57119.0
5006473,61200.0,61207.0,61263.0,61294.0,61339.0,61376.0,61442.0,61747.0,61887.0,61971.0,62121.0,62250.0,62301.0,62353.0,62387.0,62430.0,62489.0,62544.0,62580.0,62621.0,62661.0,62719.0,62765.0,62803.0,62861.0,62898.0,62942.0,63007.0,63060.0,63105.0,63148.0,63206.0,63307.0,63414.0,63489.0,63542.0,63597.0,63646.0,63697.0,63757.0,63798.0,63839.0,63865.0,63914.0,63945.0,64006.0,64049.0,64074.0,64145.0,64179.0
5006475,68400.0,68407.0,68466.0,68498.0,68545.0,68584.0,68655.0,69027.0,69198.0,69294.0,69448.0,69580.0,69623.0,69667.0,69698.0,69737.0,69790.0,69840.0,69882.0,69931.0,69970.0,70026.0,70071.0,70106.0,70149.0,70176.0,70208.0,70256.0,70295.0,70319.0,70349.0,70390.0,70462.0,70538.0,70596.0,70637.0,70680.0,70723.0,70762.0,70809.0,70848.0,70887.0,70911.0,70957.0,70986.0,71043.0,71082.0,71106.0,71173.0,71206.0
5007139,37200.0,37207.0,37265.0,37297.0,37344.0,37383.0,37454.0,37697.0,37809.0,37874.0,37972.0,38056.0,38090.0,38125.0,38155.0,38192.0,38243.0,38289.0,38324.0,38365.0,38395.0,38438.0,38473.0,38502.0,38554.0,38586.0,38625.0,38682.0,38730.0,38760.0,38802.0,38847.0,38927.0,39012.0,39075.0,39119.0,39165.0,39201.0,39240.0,39287.0,39338.0,39389.0,39421.0,39482.0,39521.0,39596.0,39649.0,39679.0,39763.0,39804.0
5007141,44400.0,44407.0,44461.0,44491.0,44535.0,44571.0,44637.0,44918.0,45047.0,45153.0,45286.0,45400.0,45435.0,45471.0,45509.0,45556.0,45621.0,45680.0,45725.0,45777.0,45813.0,45865.0,45907.0,45940.0,45998.0,46034.0,46078.0,46142.0,46195.0,46222.0,46258.0,46310.0,46402.0,46500.0,46574.0,46626.0,46681.0,46722.0,46768.0,46823.0,46858.0,46893.0,46915.0,46957.0,46984.0,47035.0,47070.0,47102.0,47192.0,47235.0
5007145,58800.0,58808.0,58874.0,58911.0,58964.0,59008.0,59087.0,59471.0,59647.0,59734.0,59878.0,60001.0,60041.0,60082.0,60127.0,60183.0,60261.0,60333.0,60383.0,60441.0,60484.0,60545.0,60594.0,60634.0,60692.0,60729.0,60773.0,60838.0,60891.0,60917.0,60957.0,61001.0,61078.0,61160.0,61247.0,61309.0,61373.0,61424.0,61468.0,61520.0,61559.0,61598.0,61622.0,61668.0,61698.0,61755.0,61794.0,61819.0,61887.0,61919.0
5007149,72900.0,72907.0,72966.0,72998.0,73045.0,73084.0,73155.0,73527.0,73698.0,73794.0,73948.0,74080.0,74123.0,74167.0,74198.0,74237.0,74290.0,74340.0,74382.0,74431.0,74470.0,74526.0,74571.0,74606.0,74649.0,74676.0,74708.0,74756.0,74795.0,74819.0,74849.0,74890.0,74962.0,75038.0,75096.0,75137.0,75180.0,75223.0,75262.0,75309.0,75348.0,75387.0,75411.0,75457.0,75486.0,75543.0,75582.0,75606.0,75673.0,75706.0
5007151,80100.0,80108.0,80171.0,80206.0,80257.0,80299.0,80376.0,80673.0,80809.0,80916.0,81041.0,81148.0,81185.0,81223.0,81248.0,81279.0,81322.0,81363.0,81398.0,81439.0,81470.0,81515.0,81551.0,81580.0,81622.0,81648.0,81680.0,81726.0,81764.0,81798.0,81834.0,81874.0,81945.0,82020.0,82081.0,82124.0,82168.0,82210.0,82257.0,82312.0,82349.0,82386.0,82409.0,82453.0,82481.0,82536.0,82575.0,82598.0,82663.0,82694.0
5007859,33600.0,33609.0,33678.0,33716.0,33772.0,33818.0,33900.0,34195.0,34331.0,34419.0,34569.0,34698.0,34743.0,34789.0,34823.0,34865.0,34923.0,34977.0,35020.0,35070.0,35106.0,35158.0,35200.0,35234.0,35287.0,35320.0,35360.0,35419.0,35468.0,35497.0,35542.0,35590.0,35674.0,35762.0,35838.0,35891.0,35946.0,35990.0,36033.0,36085.0,36129.0,36173.0,36200.0,36252.0,36285.0,36349.0,36392.0,36427.0,36524.0,36571.0
5007861,43200.0,43209.0,43278.0,43316.0,43372.0,43418.0,43500.0,43795.0,43931.0,44019.0,44169.0,44298.0,44343.0,44389.0,44423.0,44465.0,44523.0,44577.0,44620.0,44670.0,44706.0,44758.0,44800.0,44834.0,44887.0,44920.0,44960.0,45019.0,45068.0,45097.0,45142.0,45190.0,45274.0,45362.0,45438.0,45491.0,45546.0,45590.0,45633.0,45685.0,45729.0,45773.0,45800.0,45852.0,45885.0,45949.0,45992.0,46027.0,46124.0,46171.0
5007863,52800.0,52809.0,52878.0,52916.0,52972.0,53018.0,53100.0,53395.0,53531.0,53619.0,53769.0,53898.0,53943.0,53989.0,54023.0,54065.0,54123.0,54177.0,54220.0,54270.0,54306.0,54358.0,54400.0,54434.0,54487.0,54520.0,54560.0,54619.0,54668.0,54697.0,54742.0,54790.0,54874.0,54962.0,55038.0,55091.0,55146.0,55190.0,55233.0,55285.0,55329.0,55373.0,55400.0,55452.0,55485.0,55549.0,55592.0,55627.0,55724.0,55771.0
5007865,62580.0,62592.0,62687.0,62740.0,62817.0,62880.0,62995.0,63406.0,63594.0,63691.0,63882.0,64047.0,64168.0,64291.0,64334.0,64387.0,64461.0,64530.0,64587.0,64653.0,64704.0,64777.0,64835.0,64882.0,64950.0,64993.0,65045.0,65121.0,65184.0,65226.0,65277.0,65330.0,65423.0,65520.0,65596.0,65649.0,65704.0,65775.0,65834.0,65904.0,65945.0,65986.0,66012.0,66061.0,66092.0,66152.0,66194.0,66218.0,66284.0,66316.0
5007867,71100.0,71109.0,71184.0,71225.0,71286.0,71336.0,71425.0,71714.0,71847.0,71946.0,72090.0,72213.0,72256.0,72300.0,72335.0,72379.0,72440.0,72497.0,72544.0,72599.0,72639.0,72696.0,72742.0,72780.0,72833.0,72866.0,72906.0,72965.0,73014.0,73046.0,73083.0,73128.0,73208.0,73292.0,73361.0,73410.0,73460.0,73505.0,73550.0,73603.0,73640.0,73677.0,73700.0,73744.0,73772.0,73827.0,73865.0,73887.0,73948.0,73977.0
5007869,78300.0,78308.0,78371.0,78406.0,78457.0,78499.0,78576.0,78835.0,78954.0,79038.0,79165.0,79275.0,79316.0,79357.0,79385.0,79420.0,79468.0,79512.0,79551.0,79595.0,79625.0,79668.0,79703.0,79732.0,79772.0,79797.0,79827.0,79871.0,79907.0,79932.0,79964.0,80002.0,80069.0,80139.0,80200.0,80243.0,80287.0,80330.0,80373.0,80425.0,80459.0,80493.0,80514.0,80555.0,80581.0,80631.0,80667.0,80689.0,80750.0,80780.0
5008427,28800.0,28805.0,28849.0,28873.0,28909.0,28938.0,28992.0,29114.0,29170.0,29248.0,29357.0,29450.0,29486.0,29522.0,29539.0,29560.0,29589.0,29616.0,29640.0,29667.0,29692.0,29729.0,29758.0,29782.0,29824.0,29850.0,29882.0,29928.0,29966.0,29986.0,30011.0,30048.0,30114.0,30184.0,30232.0,30266.0,30301.0,30326.0,30360.0,30401.0,30433.0,30465.0,30485.0,30522.0,30546.0,30592.0,30623.0,30668.0,30794.0,30855.0
5008429,36000.0,36007.0,36065.0,36097.0,36144.0,36183.0,36254.0,36497.0,36609.0,36674.0,36772.0,36856.0,36890.0,36925.0,36955.0,36992.0,37043.0,37089.0,37124.0,37165.0,37195.0,37238.0,37273.0,37302.0,37354.0,37386.0,37425.0,37482.0,37530.0,37560.0,37602.0,37647.0,37727.0,37812.0,37875.0,37919.0,37965.0,38001.0,38040.0,38087.0,38138.0,38189.0,38221.0,38282.0,38321.0,38396.0,38449.0,38479.0,38563.0,38604.0
