tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P,081_P
5003003,49800.0,49900.0,49972.0,50009.0,50079.0,50281.0,50338.0,50403.0,50436.0,50476.0,50514.0,50555.0,50595.0,50653.0,50689.0,50754.0,50808.0,50857.0,50912.0,50949.0,50984.0,51056.0,51125.0,51189.0,51246.0,51321.0,51415.0,51450.0,51482.0,51525.0,51612.0,51689.0,51799.0,51859.0,52049.0,52207.0,52431.0,52578.0,52820.0,52918.0,52992.0,53091.0,53154.0,53196.0,53267.0,53299.0,53364.0,53438.0,53521.0,53542.0,53642.0,53688.0,53747.0,53798.0,53851.0,53877.0,53930.0,54025.0,54152.0,54215.0,54264.0,54320.0,54376.0,54414.0,54499.0,54558.0,54592.0,54616.0,54645.0,54687.0,54721.0,54789.0,54866.0,54917.0,54962.0,54993.0,55029.0,55060.0,55132.0,55151.0,55274.0
5003004,59400.0,59510.0,59570.0,59600.0,59659.0,59838.0,59894.0,59958.0,59990.0,60030.0,60067.0,60108.0,60144.0,60196.0,60228.0,60287.0,60336.0,60379.0,60428.0,60462.0,60495.0,60562.0,60625.0,60664.0,60705.0,60761.0,60831.0,60858.0,60883.0,60932.0,61031.0,61120.0,61196.0,61237.0,61384.0,61567.0,61802.0,61957.0,62212.0,62311.0,62386.0,62472.0,62541.0,62587.0,62665.0,62690.0,62751.0,62820.0,62897.0,62916.0,63006.0,63048.0,63127.0,63176.0,63227.0,63248.0,63292.0,63372.0,63491.0,63542.0,63582.0,63627.0,63673.0,63710.0,63793.0,63850.0,63883.0,63906.0,63935.0,63976.0,64010.0,64078.0,64154.0,64204.0,64249.0,64280.0,64316.0,64347.0,64418.0,64437.0,64565.0
5003593,22200.0,22269.0,22317.0,22341.0,22389.0,22545.0,22596.0,22654.0,22683.0,22719.0,22753.0,22789.0,22829.0,22887.0,22923.0,22988.0,23042.0,23091.0,23146.0,23183.0,23219.0,23292.0,23362.0,23403.0,23436.0,23495.0,23568.0,23601.0,23631.0,23683.0,23790.0,23885.0,23963.0,24005.0,24090.0,24191.0,24330.0,24422.0,24573.0,24650.0,24708.0,24766.0,24821.0,24858.0,24920.0,24945.0,25002.0,25066.0,25138.0,25156.0,25242.0,25282.0,25336.0,25372.0,25410.0,25427.0,25462.0,25525.0,25589.0,25638.0,25679.0,25725.0,25772.0,25802.0,25869.0,25915.0,25941.0,25959.0,25981.0,26013.0,26039.0,26091.0,26149.0,26188.0,26223.0,26247.0,26274.0,26297.0,26352.0,26366.0,26461.0
5003595,35400.0,35495.0,35555.0,35585.0,35644.0,35844.0,35903.0,35970.0,36004.0,36046.0,36085.0,36127.0,36168.0,36226.0,36262.0,36328.0,36383.0,36432.0,36485.0,36520.0,36554.0,36623.0,36690.0,36737.0,36802.0,36866.0,36947.0,36981.0,37012.0,37069.0,37186.0,37290.0,37407.0,37470.0,37620.0,37794.0,38011.0,38153.0,38388.0,38494.0,38573.0,38673.0,38751.0,38803.0,38891.0,38920.0,38991.0,39072.0,39162.0,39185.0,39277.0,39319.0,39376.0,39423.0,39473.0,39501.0,39558.0,39662.0,39786.0,39847.0,39898.0,39955.0,40012.0,40048.0,40129.0,40185.0,40218.0,40242.0,40271.0,40313.0,40347.0,40415.0,40492.0,40543.0,40588.0,40619.0,40655.0,40686.0,40758.0,40777.0,40903.0
5003597,48960.0,49065.0,49133.0,49168.0,49236.0,49430.0,49491.0,49560.0,49595.0,49638.0,49678.0,49722.0,49764.0,49824.0,49861.0,49928.0,49984.0,50034.0,50090.0,50130.0,50169.0,50248.0,50323.0,50376.0,50433.0,50501.0,50587.0,50624.0,50657.0,50702.0,50794.0,50876.0,50984.0,51043.0,51188.0,51368.0,51598.0,51749.0,51999.0,52108.0,52190.0,52292.0,52375.0,52430.0,52522.0,52553.0,52641.0,52740.0,52851.0,52878.0,52991.0,53044.0,53107.0,53158.0,53212.0,53246.0,53316.0,53442.0,53598.0,53684.0,53744.0,53811.0,53879.0,53922.0,54018.0,54084.0,54122.0,54149.0,54182.0,54230.0,54269.0,54347.0,54435.0,54493.0,54545.0,54580.0,54621.0,54656.0,54737.0,54757.0,54891.0
5003636,45000.0,45100.0,45172.0,45209.0,45279.0,45481.0,45538.0,45603.0,45636.0,45676.0,45714.0,45755.0,45795.0,45853.0,45889.0,45954.0,46008.0,46057.0,46112.0,46149.0,46184.0,46256.0,46325.0,46389.0,46446.0,46521.0,46615.0,46650.0,46682.0,46725.0,46812.0,46889.0,46999.0,47059.0,47249.0,47407.0,47631.0,47778.0,48020.0,48118.0,48192.0,48291.0,48354.0,48396.0,48467.0,48499.0,48564.0,48638.0,48721.0,48742.0,48842.0,48888.0,48947.0,48998.0,49051.0,49077.0,49130.0,49225.0,49352.0,49415.0,49464.0,49520.0,49576.0,49614.0,49699.0,49758.0,49792.0,49816.0,49845.0,49887.0,49921.0,49989.0,50066.0,50117.0,50162.0,50193.0,50229.0,50260.0,50332.0,50351.0,50474.0
5003638,58200.0,58310.0,58370.0,58400.0,58459.0,58638.0,58694.0,58758.0,58790.0,58830.0,58867.0,58908.0,58944.0,58996.0,59028.0,59087.0,59136.0,59179.0,59228.0,59262.0,59295.0,59362.0,59425.0,59464.0,59505.0,59561.0,59631.0,59658.0,59683.0,59732.0,59831.0,59920.0,59996.0,60037.0,60184.0,60367.0,60602.0,60757.0,61012.0,61111.0,61186.0,61272.0,61341.0,61387.0,61465.0,61490.0,61551.0,61620.0,61697.0,61716.0,61806.0,61848.0,61927.0,61976.0,62027.0,62048.0,62092.0,62172.0,62291.0,62342.0,62382.0,62427.0,62473.0,62510.0,62593.0,62650.0,62683.0,62706.0,62735.0,62776.0,62810.0,62878.0,62954.0,63004.0,63049.0,63080.0,63116.0,63147.0,63218.0,63237.0,63365.0
5003853,28200.0,28291.0,28342.0,28368.0,28419.0,28629.0,28697.0,28774.0,28813.0,28861.0,28906.0,28955.0,29001.0,29067.0,29108.0,29183.0,29245.0,29300.0,29362.0,29407.0,29450.0,29538.0,29622.0,29677.0,29738.0,29853.0,29996.0,30031.0,30062.0,30114.0,30221.0,30317.0,30415.0,30468.0,30580.0,30737.0,30972.0,31127.0,31382.0,31485.0,31562.0,31643.0,31711.0,31757.0,31833.0,31858.0,31916.0,31982.0,32056.0,32075.0,32175.0,32221.0,32283.0,32327.0,32373.0,32397.0,32447.0,32537.0,32626.0,32682.0,32727.0,32778.0,32829.0,32862.0,32936.0,32988.0,33018.0,33039.0,33065.0,33103.0,33134.0,33195.0,33264.0,33310.0,33351.0,33379.0,33411.0,33439.0,33504.0,33521.0,33631.0
5003855,42480.0,42585.0,42653.0,42688.0,42756.0,42950.0,43011.0,43080.0,43115.0,43158.0,43198.0,43242.0,43284.0,43344.0,43381.0,43448.0,43504.0,43554.0,43610.0,43650.0,43689.0,43768.0,43843.0,43896.0,43953.0,44021.0,44107.0,44144.0,44177.0,44222.0,44314.0,44396.0,44504.0,44563.0,44708.0,44888.0,45118.0,45269.0,45519.0,45628.0,45710.0,45812.0,45895.0,45950.0,46042.0,46073.0,46161.0,46260.0,46371.0,46398.0,46511.0,46564.0,46627.0,46678.0,46732.0,46766.0,46836.0,46962.0,47118.0,47204.0,47264.0,47331.0,47399.0,47442.0,47538.0,47604.0,47642.0,47669.0,47702.0,47750.0,47789.0,47867.0,47955.0,48013.0,48065.0,48100.0,48141.0,48176.0,48257.0,48277.0,48411.0
5003857,61800.0,61923.0,61986.0,62018.0,62080.0,62391.0,62444.0,62505.0,62536.0,62574.0,62609.0,62649.0,62685.0,62736.0,62768.0,62826.0,62874.0,62917.0,62967.0,63007.0,63045.0,63123.0,63198.0,63255.0,63307.0,63390.0,63494.0,63534.0,63571.0,63613.0,63698.0,63774.0,63885.0,63946.0,64138.0,64334.0,64605.0,64783.0,65077.0,65175.0,65249.0,65353.0,65434.0,65488.0,65577.0,65611.0,65701.0,65803.0,65916.0,65944.0,66047.0,66095.0,66155.0,66204.0,66255.0,66283.0,66341.0,66448.0,66569.0,66645.0,66702.0,66766.0,66830.0,66869.0,66956.0,67016.0,67051.0,67077.0,67110.0,67157.0,67195.0,67271.0,67357.0,67414.0,67465.0,67500.0,67540.0,67575.0,67655.0,67674.0,67803.0
