tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P,081_P
5006575,21600.0,21669.0,21717.0,21741.0,21789.0,21945.0,21996.0,22054.0,22083.0,22119.0,22153.0,22189.0,22229.0,22287.0,22323.0,22388.0,22442.0,22491.0,22546.0,22583.0,22619.0,22692.0,22762.0,22803.0,22836.0,22895.0,22968.0,23001.0,23031.0,23083.0,23190.0,23285.0,23363.0,23405.0,23490.0,23591.0,23730.0,23822.0,23973.0,24050.0,24108.0,24166.0,24221.0,24258.0,24320.0,24345.0,24402.0,24466.0,24538.0,24556.0,24642.0,24682.0,24736.0,24772.0,24810.0,24827.0,24862.0,24925.0,24989.0,25038.0,25079.0,25125.0,25172.0,25202.0,25269.0,25315.0,25341.0,25359.0,25381.0,25413.0,25439.0,25491.0,25549.0,25588.0,25623.0,25647.0,25674.0,25697.0,25752.0,25766.0,25861.0
5006970,40320.0,40415.0,40475.0,40505.0,40564.0,40764.0,40823.0,40890.0,40924.0,40966.0,41005.0,41047.0,41088.0,41146.0,41182.0,41248.0,41303.0,41352.0,41405.0,41440.0,41474.0,41543.0,41610.0,41657.0,41722.0,41786.0,41867.0,41901.0,41932.0,41989.0,42106.0,42210.0,42327.0,42390.0,42540.0,42714.0,42931.0,43073.0,43308.0,43414.0,43493.0,43593.0,43671.0,43723.0,43811.0,43840.0,43911.0,43992.0,44082.0,44105.0,44197.0,44239.0,44296.0,44343.0,44393.0,44421.0,44478.0,44582.0,44706.0,44767.0,44818.0,44875.0,44932.0,44968.0,45049.0,45105.0,45138.0,45162.0,45191.0,45233.0,45267.0,45335.0,45412.0,45463.0,45508.0,45539.0,45575.0,45606.0,45678.0,45697.0,45823.0
5006972,54000.0,54115.0,54183.0,54218.0,54285.0,54508.0,54568.0,54636.0,54670.0,54712.0,54751.0,54795.0,54832.0,54885.0,54918.0,54978.0,55027.0,55071.0,55120.0,55158.0,55195.0,55271.0,55343.0,55395.0,55450.0,55540.0,55653.0,55690.0,55723.0,55766.0,55853.0,55931.0,56044.0,56105.0,56263.0,56444.0,56697.0,56863.0,57136.0,57239.0,57316.0,57411.0,57493.0,57547.0,57638.0,57675.0,57808.0,57958.0,58126.0,58167.0,58279.0,58331.0,58390.0,58443.0,58499.0,58527.0,58585.0,58691.0,58849.0,58976.0,59061.0,59156.0,59252.0,59293.0,59384.0,59447.0,59483.0,59510.0,59543.0,59591.0,59630.0,59708.0,59796.0,59854.0,59906.0,59941.0,59982.0,60017.0,60099.0,60122.0,60276.0
5007220,34800.0,34892.0,34946.0,34974.0,35028.0,35216.0,35269.0,35330.0,35361.0,35399.0,35434.0,35474.0,35518.0,35582.0,35622.0,35694.0,35754.0,35807.0,35867.0,35900.0,35931.0,35995.0,36057.0,36107.0,36169.0,36219.0,36281.0,36323.0,36362.0,36407.0,36498.0,36579.0,36688.0,36748.0,36933.0,37123.0,37311.0,37434.0,37638.0,37721.0,37783.0,37885.0,37948.0,37990.0,38060.0,38083.0,38141.0,38207.0,38281.0,38300.0,38374.0,38408.0,38462.0,38509.0,38559.0,38584.0,38635.0,38726.0,38864.0,38938.0,38984.0,39036.0,39089.0,39123.0,39199.0,39252.0,39281.0,39305.0,39335.0,39377.0,39412.0,39481.0,39559.0,39610.0,39656.0,39687.0,39723.0,39754.0,39827.0,39843.0,39952.0
5007222,47400.0,47500.0,47572.0,47609.0,47679.0,47881.0,47938.0,48003.0,48036.0,48076.0,48114.0,48155.0,48195.0,48253.0,48289.0,48354.0,48408.0,48457.0,48512.0,48549.0,48584.0,48656.0,48725.0,48789.0,48846.0,48921.0,49015.0,49050.0,49082.0,49125.0,49212.0,49289.0,49399.0,49459.0,49649.0,49807.0,50031.0,50178.0,50420.0,50518.0,50592.0,50691.0,50754.0,50796.0,50867.0,50899.0,50964.0,51038.0,51121.0,51142.0,51242.0,51288.0,51347.0,51398.0,51451.0,51477.0,51530.0,51625.0,51752.0,51815.0,51864.0,51920.0,51976.0,52014.0,52099.0,52158.0,52192.0,52216.0,52245.0,52287.0,52321.0,52389.0,52466.0,52517.0,52562.0,52593.0,52629.0,52660.0,52732.0,52751.0,52874.0
5007226,75000.0,75097.0,75150.0,75177.0,75230.0,75385.0,75436.0,75494.0,75523.0,75559.0,75593.0,75632.0,75669.0,75722.0,75755.0,75815.0,75865.0,75910.0,75960.0,75995.0,76029.0,76098.0,76164.0,76199.0,76227.0,76281.0,76349.0,76392.0,76431.0,76463.0,76528.0,76585.0,76664.0,76707.0,76835.0,76955.0,77188.0,77341.0,77594.0,77684.0,77751.0,77813.0,77869.0,77907.0,77970.0,78010.0,78071.0,78140.0,78217.0,78235.0,78339.0,78387.0,78447.0,78487.0,78529.0,78545.0,78578.0,78638.0,78733.0,78794.0,78823.0,78856.0,78890.0,78916.0,78974.0,79014.0,79036.0,79054.0,79076.0,79108.0,79134.0,79186.0,79245.0,79284.0,79319.0,79343.0,79370.0,79394.0,79449.0,79469.0,79598.0
5007261,34800.0,34895.0,34955.0,34985.0,35044.0,35244.0,35303.0,35370.0,35404.0,35446.0,35485.0,35527.0,35568.0,35626.0,35662.0,35728.0,35783.0,35832.0,35885.0,35920.0,35954.0,36023.0,36090.0,36137.0,36202.0,36266.0,36347.0,36381.0,36412.0,36469.0,36586.0,36690.0,36807.0,36870.0,37020.0,37194.0,37411.0,37553.0,37788.0,37894.0,37973.0,38073.0,38151.0,38203.0,38291.0,38320.0,38391.0,38472.0,38562.0,38585.0,38677.0,38719.0,38776.0,38823.0,38873.0,38901.0,38958.0,39062.0,39186.0,39247.0,39298.0,39355.0,39412.0,39448.0,39529.0,39585.0,39618.0,39642.0,39671.0,39713.0,39747.0,39815.0,39892.0,39943.0,39988.0,40019.0,40055.0,40086.0,40158.0,40177.0,40303.0
5007265,63000.0,63110.0,63166.0,63195.0,63251.0,63476.0,63528.0,63587.0,63617.0,63654.0,63688.0,63725.0,63758.0,63805.0,63834.0,63887.0,63931.0,63970.0,64015.0,64051.0,64086.0,64157.0,64226.0,64273.0,64317.0,64395.0,64492.0,64531.0,64566.0,64603.0,64679.0,64746.0,64839.0,64889.0,65009.0,65174.0,65423.0,65586.0,65855.0,65951.0,66023.0,66116.0,66182.0,66226.0,66300.0,66336.0,66416.0,66506.0,66606.0,66631.0,66722.0,66764.0,66820.0,66867.0,66916.0,66938.0,66983.0,67065.0,67165.0,67222.0,67261.0,67305.0,67348.0,67381.0,67455.0,67506.0,67535.0,67556.0,67582.0,67620.0,67651.0,67713.0,67783.0,67829.0,67870.0,67898.0,67931.0,67959.0,68024.0,68042.0,68159.0
5007571,22800.0,22869.0,22917.0,22941.0,22989.0,23145.0,23196.0,23254.0,23283.0,23319.0,23353.0,23389.0,23429.0,23487.0,23523.0,23588.0,23642.0,23691.0,23746.0,23783.0,23819.0,23892.0,23962.0,24003.0,24036.0,24095.0,24168.0,24201.0,24231.0,24283.0,24390.0,24485.0,24563.0,24605.0,24690.0,24791.0,24930.0,25022.0,25173.0,25250.0,25308.0,25366.0,25421.0,25458.0,25520.0,25545.0,25602.0,25666.0,25738.0,25756.0,25842.0,25882.0,25936.0,25972.0,26010.0,26027.0,26062.0,26125.0,26189.0,26238.0,26279.0,26325.0,26372.0,26402.0,26469.0,26515.0,26541.0,26559.0,26581.0,26613.0,26639.0,26691.0,26749.0,26788.0,26823.0,26847.0,26874.0,26897.0,26952.0,26966.0,27061.0
5007573,36000.0,36095.0,36155.0,36185.0,36244.0,36444.0,36503.0,36570.0,36604.0,36646.0,36685.0,36727.0,36768.0,36826.0,36862.0,36928.0,36983.0,37032.0,37085.0,37120.0,37154.0,37223.0,37290.0,37337.0,37402.0,37466.0,37547.0,37581.0,37612.0,37669.0,37786.0,37890.0,38007.0,38070.0,38220.0,38394.0,38611.0,38753.0,38988.0,39094.0,39173.0,39273.0,39351.0,39403.0,39491.0,39520.0,39591.0,39672.0,39762.0,39785.0,39877.0,39919.0,39976.0,40023.0,40073.0,40101.0,40158.0,40262.0,40386.0,40447.0,40498.0,40555.0,40612.0,40648.0,40729.0,40785.0,40818.0,40842.0,40871.0,40913.0,40947.0,41015.0,41092.0,41143.0,41188.0,41219.0,41255.0,41286.0,41358.0,41377.0,41503.0
5007575,49680.0,49785.0,49853.0,49888.0,49956.0,50150.0,50211.0,50280.0,50315.0,50358.0,50398.0,50442.0,50484.0,50544.0,50581.0,50648.0,50704.0,50754.0,50810.0,50850.0,50889.0,50968.0,51043.0,51096.0,51153.0,51221.0,51307.0,51344.0,51377.0,51422.0,51514.0,51596.0,51704.0,51763.0,51908.0,52088.0,52318.0,52469.0,52719.0,52828.0,52910.0,53012.0,53095.0,53150.0,53242.0,53273.0,53361.0,53460.0,53571.0,53598.0,53711.0,53764.0,53827.0,53878.0,53932.0,53966.0,54036.0,54162.0,54318.0,54404.0,54464.0,54531.0,54599.0,54642.0,54738.0,54804.0,54842.0,54869.0,54902.0,54950.0,54989.0,55067.0,55155.0,55213.0,55265.0,55300.0,55341.0,55376.0,55457.0,55477.0,55611.0
5007603,39600.0,39695.0,39755.0,39785.0,39844.0,40044.0,40103.0,40170.0,40204.0,40246.0,40285.0,40327.0,40368.0,40426.0,40462.0,40528.0,40583.0,40632.0,40685.0,40720.0,40754.0,40823.0,40890.0,40937.0,41002.0,41066.0,41147.0,41181.0,41212.0,41269.0,41386.0,41490.0,41607.0,41670.0,41820.0,41994.0,42211.0,42353.0,42588.0,42694.0,42773.0,42873.0,42951.0,43003.0,43091.0,43120.0,43191.0,43272.0,43362.0,43385.0,43477.0,43519.0,43576.0,43623.0,43673.0,43701.0,43758.0,43862.0,43986.0,44047.0,44098.0,44155.0,44212.0,44248.0,44329.0,44385.0,44418.0,44442.0,44471.0,44513.0,44547.0,44615.0,44692.0,44743.0,44788.0,44819.0,44855.0,44886.0,44958.0,44977.0,45103.0
5007605,53280.0,53395.0,53463.0,53498.0,53565.0,53788.0,53848.0,53916.0,53950.0,53992.0,54031.0,54075.0,54112.0,54165.0,54198.0,54258.0,54307.0,54351.0,54400.0,54438.0,54475.0,54551.0,54623.0,54675.0,54730.0,54820.0,54933.0,54970.0,55003.0,55046.0,55133.0,55211.0,55324.0,55385.0,55543.0,55724.0,55977.0,56143.0,56416.0,56519.0,56596.0,56691.0,56773.0,56827.0,56918.0,56955.0,57088.0,57238.0,57406.0,57447.0,57559.0,57611.0,57670.0,57723.0,57779.0,57807.0,57865.0,57971.0,58129.0,58256.0,58341.0,58436.0,58532.0,58573.0,58664.0,58727.0,58763.0,58790.0,58823.0,58871.0,58910.0,58988.0,59076.0,59134.0,59186.0,59221.0,59262.0,59297.0,59379.0,59402.0,59556.0
5007607,75000.0,75104.0,75151.0,75175.0,75222.0,75383.0,75426.0,75475.0,75500.0,75531.0,75560.0,75591.0,75623.0,75669.0,75698.0,75750.0,75794.0,75833.0,75877.0,75912.0,75946.0,76015.0,76082.0,76118.0,76152.0,76205.0,76271.0,76303.0,76332.0,76366.0,76436.0,76499.0,76568.0,76606.0,76699.0,76847.0,77053.0,77188.0,77411.0,77489.0,77547.0,77629.0,77683.0,77719.0,77780.0,77819.0,77884.0,77958.0,78041.0,78062.0,78154.0,78196.0,78248.0,78298.0,78351.0,78372.0,78416.0,78496.0,78585.0,78647.0,78683.0,78724.0,78766.0,78800.0,78875.0,78927.0,78956.0,78977.0,79003.0,79040.0,79070.0,79131.0,79199.0,79244.0,79284.0,79312.0,79344.0,79371.0,79435.0,79451.0,79560.0
5007661,38880.0,38975.0,39035.0,39065.0,39124.0,39324.0,39383.0,39450.0,39484.0,39526.0,39565.0,39607.0,39648.0,39706.0,39742.0,39808.0,39863.0,39912.0,39965.0,40000.0,40034.0,40103.0,40170.0,40217.0,40282.0,40346.0,40427.0,40461.0,40492.0,40549.0,40666.0,40770.0,40887.0,40950.0,41100.0,41274.0,41491.0,41633.0,41868.0,41974.0,42053.0,42153.0,42231.0,42283.0,42371.0,42400.0,42471.0,42552.0,42642.0,42665.0,42757.0,42799.0,42856.0,42903.0,42953.0,42981.0,43038.0,43142.0,43266.0,43327.0,43378.0,43435.0,43492.0,43528.0,43609.0,43665.0,43698.0,43722.0,43751.0,43793.0,43827.0,43895.0,43972.0,44023.0,44068.0,44099.0,44135.0,44166.0,44238.0,44257.0,44383.0
5007662,48240.0,48345.0,48413.0,48448.0,48516.0,48710.0,48771.0,48840.0,48875.0,48918.0,48958.0,49002.0,49044.0,49104.0,49141.0,49208.0,49264.0,49314.0,49370.0,49410.0,49449.0,49528.0,49603.0,49656.0,49713.0,49781.0,49867.0,49904.0,49937.0,49982.0,50074.0,50156.0,50264.0,50323.0,50468.0,50648.0,50878.0,51029.0,51279.0,51388.0,51470.0,51572.0,51655.0,51710.0,51802.0,51833.0,51921.0,52020.0,52131.0,52158.0,52271.0,52324.0,52387.0,52438.0,52492.0,52526.0,52596.0,52722.0,52878.0,52964.0,53024.0,53091.0,53159.0,53202.0,53298.0,53364.0,53402.0,53429.0,53462.0,53510.0,53549.0,53627.0,53715.0,53773.0,53825.0,53860.0,53901.0,53936.0,54017.0,54037.0,54171.0
5007664,63600.0,63710.0,63766.0,63795.0,63851.0,64076.0,64128.0,64187.0,64217.0,64254.0,64288.0,64325.0,64358.0,64405.0,64434.0,64487.0,64531.0,64570.0,64615.0,64651.0,64686.0,64757.0,64826.0,64873.0,64917.0,64995.0,65092.0,65131.0,65166.0,65203.0,65279.0,65346.0,65439.0,65489.0,65609.0,65774.0,66023.0,66186.0,66455.0,66551.0,66623.0,66716.0,66782.0,66826.0,66900.0,66936.0,67016.0,67106.0,67206.0,67231.0,67322.0,67364.0,67420.0,67467.0,67516.0,67538.0,67583.0,67665.0,67765.0,67822.0,67861.0,67905.0,67948.0,67981.0,68055.0,68106.0,68135.0,68156.0,68182.0,68220.0,68251.0,68313.0,68383.0,68429.0,68470.0,68498.0,68531.0,68559.0,68624.0,68642.0,68759.0
5008196,34200.0,34312.0,34370.0,34400.0,34458.0,34638.0,34695.0,34760.0,34793.0,34834.0,34872.0,34915.0,34953.0,35008.0,35042.0,35104.0,35156.0,35202.0,35255.0,35289.0,35322.0,35389.0,35454.0,35501.0,35552.0,35620.0,35705.0,35734.0,35760.0,35815.0,35927.0,36026.0,36135.0,36195.0,36312.0,36461.0,36714.0,36880.0,37154.0,37241.0,37307.0,37397.0,37469.0,37517.0,37598.0,37631.0,37691.0,37758.0,37833.0,37852.0,37949.0,37994.0,38051.0,38094.0,38140.0,38163.0,38210.0,38295.0,38401.0,38461.0,38507.0,38559.0,38612.0,38646.0,38722.0,38775.0,38805.0,38828.0,38856.0,38896.0,38929.0,38995.0,39069.0,39118.0,39162.0,39192.0,39227.0,39257.0,39328.0,39344.0,39449.0
5008199,64800.0,64910.0,64966.0,64995.0,65051.0,65276.0,65328.0,65387.0,65417.0,65454.0,65488.0,65525.0,65558.0,65605.0,65634.0,65687.0,65731.0,65770.0,65815.0,65851.0,65886.0,65957.0,66026.0,66073.0,66117.0,66195.0,66292.0,66331.0,66366.0,66403.0,66479.0,66546.0,66639.0,66689.0,66809.0,66974.0,67223.0,67386.0,67655.0,67751.0,67823.0,67916.0,67982.0,68026.0,68100.0,68136.0,68216.0,68306.0,68406.0,68431.0,68522.0,68564.0,68620.0,68667.0,68716.0,68738.0,68783.0,68865.0,68965.0,69022.0,69061.0,69105.0,69148.0,69181.0,69255.0,69306.0,69335.0,69356.0,69382.0,69420.0,69451.0,69513.0,69583.0,69629.0,69670.0,69698.0,69731.0,69759.0,69824.0,69842.0,69959.0
5008211,25800.0,25841.0,25879.0,25898.0,25935.0,26082.0,26126.0,26176.0,26201.0,26232.0,26261.0,26295.0,26323.0,26363.0,26388.0,26433.0,26471.0,26505.0,26542.0,26570.0,26597.0,26652.0,26705.0,26738.0,26768.0,26822.0,26890.0,26926.0,26958.0,26979.0,27022.0,27060.0,27120.0,27153.0,27229.0,27321.0,27463.0,27556.0,27709.0,27774.0,27822.0,27847.0,27879.0,27901.0,27937.0,27959.0,28008.0,28064.0,28126.0,28142.0,28208.0,28239.0,28290.0,28317.0,28345.0,28357.0,28382.0,28428.0,28488.0,28548.0,28572.0,28599.0,28626.0,28652.0,28709.0,28749.0,28771.0,28784.0,28800.0,28824.0,28843.0,28882.0,28925.0,28954.0,28980.0,28998.0,29018.0,29035.0,29076.0,29090.0,29183.0
5008213,37500.0,37592.0,37646.0,37674.0,37728.0,37916.0,37969.0,38030.0,38061.0,38099.0,38134.0,38174.0,38218.0,38282.0,38322.0,38394.0,38454.0,38507.0,38567.0,38600.0,38631.0,38695.0,38757.0,38807.0,38869.0,38919.0,38981.0,39023.0,39062.0,39107.0,39198.0,39279.0,39388.0,39448.0,39633.0,39823.0,40011.0,40134.0,40338.0,40421.0,40483.0,40585.0,40648.0,40690.0,40760.0,40783.0,40841.0,40907.0,40981.0,41000.0,41074.0,41108.0,41162.0,41209.0,41259.0,41284.0,41335.0,41426.0,41564.0,41638.0,41684.0,41736.0,41789.0,41823.0,41899.0,41952.0,41981.0,42005.0,42035.0,42077.0,42112.0,42181.0,42259.0,42310.0,42356.0,42387.0,42423.0,42454.0,42527.0,42543.0,42652.0
5008218,35700.0,35792.0,35846.0,35874.0,35928.0,36116.0,36169.0,36230.0,36261.0,36299.0,36334.0,36374.0,36418.0,36482.0,36522.0,36594.0,36654.0,36707.0,36767.0,36800.0,36831.0,36895.0,36957.0,37007.0,37069.0,37119.0,37181.0,37223.0,37262.0,37307.0,37398.0,37479.0,37588.0,37648.0,37833.0,38023.0,38211.0,38334.0,38538.0,38621.0,38683.0,38785.0,38848.0,38890.0,38960.0,38983.0,39041.0,39107.0,39181.0,39200.0,39274.0,39308.0,39362.0,39409.0,39459.0,39484.0,39535.0,39626.0,39764.0,39838.0,39884.0,39936.0,39989.0,40023.0,40099.0,40152.0,40181.0,40205.0,40235.0,40277.0,40312.0,40381.0,40459.0,40510.0,40556.0,40587.0,40623.0,40654.0,40727.0,40743.0,40852.0
5008221,57600.0,57710.0,57770.0,57800.0,57859.0,58038.0,58094.0,58158.0,58190.0,58230.0,58267.0,58308.0,58344.0,58396.0,58428.0,58487.0,58536.0,58579.0,58628.0,58662.0,58695.0,58762.0,58825.0,58864.0,58905.0,58961.0,59031.0,59058.0,59083.0,59132.0,59231.0,59320.0,59396.0,59437.0,59584.0,59767.0,60002.0,60157.0,60412.0,60511.0,60586.0,60672.0,60741.0,60787.0,60865.0,60890.0,60951.0,61020.0,61097.0,61116.0,61206.0,61248.0,61327.0,61376.0,61427.0,61448.0,61492.0,61572.0,61691.0,61742.0,61782.0,61827.0,61873.0,61910.0,61993.0,62050.0,62083.0,62106.0,62135.0,62176.0,62210.0,62278.0,62354.0,62404.0,62449.0,62480.0,62516.0,62547.0,62618.0,62637.0,62765.0
5008799,37440.0,37535.0,37595.0,37625.0,37684.0,37884.0,37943.0,38010.0,38044.0,38086.0,38125.0,38167.0,38208.0,38266.0,38302.0,38368.0,38423.0,38472.0,38525.0,38560.0,38594.0,38663.0,38730.0,38777.0,38842.0,38906.0,38987.0,39021.0,39052.0,39109.0,39226.0,39330.0,39447.0,39510.0,39660.0,39834.0,40051.0,40193.0,40428.0,40534.0,40613.0,40713.0,40791.0,40843.0,40931.0,40960.0,41031.0,41112.0,41202.0,41225.0,41317.0,41359.0,41416.0,41463.0,41513.0,41541.0,41598.0,41702.0,41826.0,41887.0,41938.0,41995.0,42052.0,42088.0,42169.0,42225.0,42258.0,42282.0,42311.0,42353.0,42387.0,42455.0,42532.0,42583.0,42628.0,42659.0,42695.0,42726.0,42798.0,42817.0,42943.0
5008801,51120.0,51235.0,51303.0,51338.0,51405.0,51628.0,51688.0,51756.0,51790.0,51832.0,51871.0,51915.0,51952.0,52005.0,52038.0,52098.0,52147.0,52191.0,52240.0,52278.0,52315.0,52391.0,52463.0,52515.0,52570.0,52660.0,52773.0,52810.0,52843.0,52886.0,52973.0,53051.0,53164.0,53225.0,53383.0,53564.0,53817.0,53983.0,54256.0,54359.0,54436.0,54531.0,54613.0,54667.0,54758.0,54795.0,54928.0,55078.0,55246.0,55287.0,55399.0,55451.0,55510.0,55563.0,55619.0,55647.0,55705.0,55811.0,55969.0,56096.0,56181.0,56276.0,56372.0,56413.0,56504.0,56567.0,56603.0,56630.0,56663.0,56711.0,56750.0,56828.0,56916.0,56974.0,57026.0,57061.0,57102.0,57137.0,57219.0,57242.0,57396.0
5008803,66000.0,66110.0,66166.0,66195.0,66251.0,66476.0,66528.0,66587.0,66617.0,66654.0,66688.0,66725.0,66758.0,66805.0,66834.0,66887.0,66931.0,66970.0,67015.0,67051.0,67086.0,67157.0,67226.0,67273.0,67317.0,67395.0,67492.0,67531.0,67566.0,67603.0,67679.0,67746.0,67839.0,67889.0,68009.0,68174.0,68423.0,68586.0,68855.0,68951.0,69023.0,69116.0,69182.0,69226.0,69300.0,69336.0,69416.0,69506.0,69606.0,69631.0,69722.0,69764.0,69820.0,69867.0,69916.0,69938.0,69983.0,70065.0,70165.0,70222.0,70261.0,70305.0,70348.0,70381.0,70455.0,70506.0,70535.0,70556.0,70582.0,70620.0,70651.0,70713.0,70783.0,70829.0,70870.0,70898.0,70931.0,70959.0,71024.0,71042.0,71159.0
5009341,52200.0,52300.0,52372.0,52409.0,52479.0,52681.0,52738.0,52803.0,52836.0,52876.0,52914.0,52955.0,52995.0,53053.0,53089.0,53154.0,53208.0,53257.0,53312.0,53349.0,53384.0,53456.0,53525.0,53589.0,53646.0,53721.0,53815.0,53850.0,53882.0,53925.0,54012.0,54089.0,54199.0,54259.0,54449.0,54607.0,54831.0,54978.0,55220.0,55318.0,55392.0,55491.0,55554.0,55596.0,55667.0,55699.0,55764.0,55838.0,55921.0,55942.0,56042.0,56088.0,56147.0,56198.0,56251.0,56277.0,56330.0,56425.0,56552.0,56615.0,56664.0,56720.0,56776.0,56814.0,56899.0,56958.0,56992.0,57016.0,57045.0,57087.0,57121.0,57189.0,57266.0,57317.0,57362.0,57393.0,57429.0,57460.0,57532.0,57551.0,57674.0
5009357,45360.0,45465.0,45533.0,45568.0,45636.0,45830.0,45891.0,45960.0,45995.0,46038.0,46078.0,46122.0,46164.0,46224.0,46261.0,46328.0,46384.0,46434.0,46490.0,46530.0,46569.0,46648.0,46723.0,46776.0,46833.0,46901.0,46987.0,47024.0,47057.0,47102.0,47194.0,47276.0,47384.0,47443.0,47588.0,47768.0,47998.0,48149.0,48399.0,48508.0,48590.0,48692.0,48775.0,48830.0,48922.0,48953.0,49041.0,49140.0,49251.0,49278.0,49391.0,49444.0,49507.0,49558.0,49612.0,49646.0,49716.0,49842.0,49998.0,50084.0,50144.0,50211.0,50279.0,50322.0,50418.0,50484.0,50522.0,50549.0,50582.0,50630.0,50669.0,50747.0,50835.0,50893.0,50945.0,50980.0,51021.0,51056.0,51137.0,51157.0,51291.0
5009359,60000.0,60123.0,60186.0,60218.0,60280.0,60591.0,60644.0,60705.0,60736.0,60774.0,60809.0,60849.0,60885.0,60936.0,60968.0,61026.0,61074.0,61117.0,61167.0,61207.0,61245.0,61323.0,61398.0,61455.0,61507.0,61590.0,61694.0,61734.0,61771.0,61813.0,61898.0,61974.0,62085.0,62146.0,62338.0,62534.0,62805.0,62983.0,63277.0,63375.0,63449.0,63553.0,63634.0,63688.0,63777.0,63811.0,63901.0,64003.0,64116.0,64144.0,64247.0,64295.0,64355.0,64404.0,64455.0,64483.0,64541.0,64648.0,64769.0,64845.0,64902.0,64966.0,65030.0,65069.0,65156.0,65216.0,65251.0,65277.0,65310.0,65357.0,65395.0,65471.0,65557.0,65614.0,65665.0,65700.0,65740.0,65775.0,65855.0,65874.0,66003.0
5010339,41400.0,41501.0,41554.0,41581.0,41634.0,41836.0,41880.0,41931.0,41957.0,41988.0,42017.0,42050.0,42099.0,42169.0,42212.0,42291.0,42357.0,42416.0,42481.0,42516.0,42549.0,42617.0,42683.0,42741.0,42783.0,42824.0,42875.0,42895.0,42914.0,42956.0,43041.0,43117.0,43229.0,43290.0,43378.0,43553.0,43782.0,43933.0,44181.0,44282.0,44358.0,44477.0,44569.0,44630.0,44733.0,44778.0,44843.0,44917.0,45000.0,45021.0,45197.0,45279.0,45353.0,45403.0,45455.0,45489.0,45559.0,45686.0,45893.0,45934.0,45980.0,46032.0,46085.0,46124.0,46211.0,46272.0,46307.0,46332.0,46364.0,46409.0,46446.0,46520.0,46603.0,46658.0,46707.0,46740.0,46779.0,46812.0,46890.0,46906.0,47011.0
5010341,55200.0,55310.0,55370.0,55400.0,55459.0,55638.0,55694.0,55758.0,55790.0,55830.0,55867.0,55908.0,55944.0,55996.0,56028.0,56087.0,56136.0,56179.0,56228.0,56262.0,56295.0,56362.0,56425.0,56464.0,56505.0,56561.0,56631.0,56658.0,56683.0,56732.0,56831.0,56920.0,56996.0,57037.0,57184.0,57367.0,57602.0,57757.0,58012.0,58111.0,58186.0,58272.0,58341.0,58387.0,58465.0,58490.0,58551.0,58620.0,58697.0,58716.0,58806.0,58848.0,58927.0,58976.0,59027.0,59048.0,59092.0,59172.0,59291.0,59342.0,59382.0,59427.0,59473.0,59510.0,59593.0,59650.0,59683.0,59706.0,59735.0,59776.0,59810.0,59878.0,59954.0,60004.0,60049.0,60080.0,60116.0,60147.0,60218.0,60237.0,60365.0
5010545,31800.0,31912.0,31970.0,32000.0,32058.0,32238.0,32295.0,32360.0,32393.0,32434.0,32472.0,32515.0,32553.0,32608.0,32642.0,32704.0,32756.0,32802.0,32855.0,32889.0,32922.0,32989.0,33054.0,33101.0,33152.0,33220.0,33305.0,33334.0,33360.0,33415.0,33527.0,33626.0,33735.0,33795.0,33912.0,34061.0,34314.0,34480.0,34754.0,34841.0,34907.0,34997.0,35069.0,35117.0,35198.0,35231.0,35291.0,35358.0,35433.0,35452.0,35549.0,35594.0,35651.0,35694.0,35740.0,35763.0,35810.0,35895.0,36001.0,36061.0,36107.0,36159.0,36212.0,36246.0,36322.0,36375.0,36405.0,36428.0,36456.0,36496.0,36529.0,36595.0,36669.0,36718.0,36762.0,36792.0,36827.0,36857.0,36928.0,36944.0,37049.0
5010547,51840.0,51945.0,52013.0,52048.0,52116.0,52310.0,52371.0,52440.0,52475.0,52518.0,52558.0,52602.0,52644.0,52704.0,52741.0,52808.0,52864.0,52914.0,52970.0,53010.0,53049.0,53128.0,53203.0,53256.0,53313.0,53381.0,53467.0,53504.0,53537.0,53582.0,53674.0,53756.0,53864.0,53923.0,54068.0,54248.0,54478.0,54629.0,54879.0,54988.0,55070.0,55172.0,55255.0,55310.0,55402.0,55433.0,55521.0,55620.0,55731.0,55758.0,55871.0,55924.0,55987.0,56038.0,56092.0,56126.0,56196.0,56322.0,56478.0,56564.0,56624.0,56691.0,56759.0,56802.0,56898.0,56964.0,57002.0,57029.0,57062.0,57110.0,57149.0,57227.0,57315.0,57373.0,57425.0,57460.0,57501.0,57536.0,57617.0,57637.0,57771.0
