tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P
5091738,73200.0,73332.0,73367.0,73426.0,73450.0,73500.0,73533.0,73572.0,73625.0,73667.0,73709.0,73761.0,73830.0,73878.0,73920.0,73984.0,74020.0,74081.0,74199.0,74374.0,74387.0,74599.0,74765.0,74831.0,75069.0,75207.0,75270.0,75339.0,75455.0,75529.0,75556.0,75630.0,75674.0,75707.0,75742.0,75846.0,75990.0,76055.0,76128.0,76201.0,76246.0,76280.0,76344.0,76385.0,76448.0,76631.0,76910.0,76986.0,77020.0,77063.0,77116.0,77171.0,77233.0,77289.0,77336.0,77383.0,77452.0,77473.0,77496.0,77520.0,77532.0,77549.0,77569.0,77602.0,77631.0,77642.0,77662.0,77690.0,77731.0,77739.0,77768.0,77787.0,77808.0
5092512,48000.0,48106.0,48142.0,48177.0,48191.0,48221.0,48246.0,48276.0,48317.0,48358.0,48379.0,48405.0,48442.0,48468.0,48491.0,48524.0,48556.0,48609.0,48694.0,48820.0,48829.0,48980.0,49099.0,49146.0,49317.0,49441.0,49512.0,49590.0,49721.0,49804.0,49840.0,49936.0,50013.0,50071.0,50117.0,50169.0,50259.0,50293.0,50331.0,50384.0,50418.0,50473.0,50520.0,50542.0,50577.0,50786.0,51104.0,51191.0,51230.0,51256.0,51289.0,51323.0,51361.0,51395.0,51424.0,51453.0,51495.0,51516.0,51539.0,51563.0,51575.0,51592.0,51612.0,51645.0,51674.0,51685.0,51705.0,51733.0,51774.0,51782.0,51811.0,51830.0,51851.0
5092514,60000.0,60120.0,60180.0,60234.0,60256.0,60300.0,60348.0,60404.0,60480.0,60540.0,60594.0,60660.0,60716.0,60755.0,60789.0,60840.0,60885.0,60960.0,61053.0,61190.0,61200.0,61274.0,61332.0,61355.0,61440.0,61560.0,61630.0,61707.0,61837.0,61920.0,61953.0,62040.0,62109.0,62160.0,62220.0,62280.0,62400.0,62485.0,62580.0,62654.0,62700.0,62760.0,62820.0,62880.0,62940.0,63132.0,63425.0,63505.0,63540.0,63575.0,63619.0,63665.0,63717.0,63763.0,63802.0,63841.0,63900.0,63939.0,63982.0,64027.0,64050.0,64082.0,64120.0,64181.0,64235.0,64256.0,64294.0,64347.0,64423.0,64438.0,64491.0,64526.0,64560.0
5092516,72000.0,72120.0,72180.0,72234.0,72256.0,72300.0,72332.0,72369.0,72420.0,72480.0,72507.0,72540.0,72596.0,72635.0,72669.0,72720.0,72742.0,72780.0,72873.0,73010.0,73020.0,73094.0,73152.0,73175.0,73260.0,73380.0,73450.0,73527.0,73657.0,73740.0,73773.0,73860.0,73929.0,73980.0,74040.0,74100.0,74160.0,74217.0,74280.0,74354.0,74400.0,74460.0,74520.0,74580.0,74640.0,74813.0,75076.0,75148.0,75180.0,75210.0,75247.0,75285.0,75328.0,75367.0,75400.0,75433.0,75480.0,75519.0,75562.0,75607.0,75630.0,75662.0,75700.0,75761.0,75815.0,75836.0,75874.0,75927.0,76003.0,76018.0,76071.0,76106.0,76140.0
5092584,54000.0,54120.0,54180.0,54234.0,54256.0,54300.0,54348.0,54404.0,54480.0,54540.0,54594.0,54660.0,54716.0,54755.0,54789.0,54840.0,54885.0,54960.0,55053.0,55190.0,55200.0,55274.0,55332.0,55355.0,55440.0,55560.0,55630.0,55707.0,55837.0,55920.0,55953.0,56040.0,56109.0,56160.0,56220.0,56280.0,56400.0,56485.0,56580.0,56654.0,56700.0,56760.0,56820.0,56880.0,56940.0,57132.0,57425.0,57505.0,57540.0,57575.0,57619.0,57665.0,57717.0,57763.0,57802.0,57841.0,57900.0,57939.0,57982.0,58027.0,58050.0,58082.0,58120.0,58181.0,58235.0,58256.0,58294.0,58347.0,58423.0,58438.0,58491.0,58526.0,58560.0
5092586,66000.0,66120.0,66180.0,66234.0,66256.0,66300.0,66348.0,66404.0,66480.0,66540.0,66594.0,66660.0,66716.0,66755.0,66789.0,66840.0,66862.0,66900.0,66993.0,67130.0,67140.0,67214.0,67272.0,67295.0,67380.0,67500.0,67570.0,67647.0,67777.0,67860.0,67909.0,68040.0,68143.0,68220.0,68280.0,68340.0,68460.0,68517.0,68580.0,68654.0,68700.0,68760.0,68880.0,68940.0,69000.0,69192.0,69485.0,69565.0,69600.0,69641.0,69693.0,69746.0,69806.0,69860.0,69906.0,69952.0,70020.0,70059.0,70102.0,70147.0,70170.0,70202.0,70240.0,70301.0,70355.0,70376.0,70414.0,70467.0,70543.0,70558.0,70611.0,70646.0,70680.0
5092710,49200.0,49325.0,49347.0,49389.0,49406.0,49442.0,49482.0,49529.0,49593.0,49652.0,49710.0,49781.0,49851.0,49900.0,49943.0,50007.0,50044.0,50106.0,50241.0,50440.0,50454.0,50714.0,50918.0,50999.0,51291.0,51432.0,51501.0,51577.0,51705.0,51786.0,51819.0,51909.0,51989.0,52048.0,52085.0,52146.0,52241.0,52289.0,52343.0,52424.0,52475.0,52506.0,52561.0,52586.0,52634.0,52797.0,53045.0,53113.0,53143.0,53175.0,53215.0,53257.0,53304.0,53346.0,53382.0,53418.0,53471.0,53492.0,53515.0,53539.0,53551.0,53568.0,53588.0,53621.0,53650.0,53661.0,53681.0,53709.0,53750.0,53758.0,53787.0,53806.0,53827.0
5092712,62400.0,62520.0,62640.0,62720.0,62753.0,62820.0,62868.0,62924.0,63000.0,63060.0,63114.0,63180.0,63254.0,63306.0,63351.0,63420.0,63487.0,63600.0,63809.0,64118.0,64140.0,64233.0,64306.0,64335.0,64440.0,64560.0,64653.0,64756.0,64929.0,65040.0,65089.0,65220.0,65289.0,65340.0,65400.0,65700.0,66000.0,66113.0,66240.0,66351.0,66420.0,66480.0,66600.0,66660.0,66720.0,67008.0,67447.0,67567.0,67620.0,67661.0,67713.0,67766.0,67826.0,67880.0,67926.0,67972.0,68040.0,68075.0,68114.0,68155.0,68176.0,68205.0,68239.0,68295.0,68345.0,68364.0,68398.0,68446.0,68515.0,68529.0,68578.0,68610.0,68640.0
5092891,60300.0,60460.0,60489.0,60550.0,60575.0,60626.0,60656.0,60691.0,60739.0,60798.0,60845.0,60903.0,60999.0,61066.0,61125.0,61214.0,61247.0,61302.0,61444.0,61653.0,61668.0,61912.0,62104.0,62180.0,62456.0,62663.0,62726.0,62796.0,62914.0,62989.0,63050.0,63212.0,63294.0,63355.0,63390.0,63517.0,63671.0,63731.0,63797.0,63852.0,63887.0,63935.0,64008.0,64046.0,64109.0,64447.0,64961.0,65101.0,65164.0,65203.0,65252.0,65302.0,65359.0,65410.0,65453.0,65496.0,65561.0,65582.0,65605.0,65629.0,65641.0,65658.0,65678.0,65711.0,65740.0,65751.0,65771.0,65799.0,65840.0,65848.0,65877.0,65896.0,65917.0
5093503,30000.0,30132.0,30159.0,30221.0,30246.0,30297.0,30344.0,30399.0,30474.0,30534.0,30587.0,30652.0,30715.0,30759.0,30797.0,30855.0,30887.0,30941.0,31065.0,31248.0,31261.0,31440.0,31581.0,31637.0,31838.0,31943.0,32011.0,32086.0,32212.0,32291.0,32326.0,32421.0,32463.0,32495.0,32523.0,32587.0,32719.0,32791.0,32872.0,32925.0,32959.0,32995.0,33058.0,33089.0,33132.0,33284.0,33516.0,33579.0,33608.0,33634.0,33667.0,33701.0,33740.0,33775.0,33804.0,33833.0,33876.0,33897.0,33920.0,33944.0,33956.0,33973.0,33993.0,34026.0,34055.0,34066.0,34086.0,34114.0,34155.0,34163.0,34192.0,34211.0,34232.0
