tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P
0,3099.0,3100.0,3101.0,3102.0,3103.0,5105.0,3105.0,3106.0,3107.0,3108.0,3111.0,3058.0,3059.0,3060.0,3061.0,3062.0,3063.0,3064.0,3065.0,3066.0,3067.0,3068.0,3069.0,3070.0,4983.0
5010467,24600.0,24618.0,24630.0,24641.0,24652.0,24675.0,24692.0,24699.0,24711.0,24720.0,24840.0,24960.0,24986.0,25014.0,25043.0,25080.0,25151.0,25200.0,25250.0,25291.0,25320.0,25336.0,25347.0,25363.0,25380.0
5010469,28200.0,28250.0,28284.0,28313.0,28343.0,28406.0,28453.0,28472.0,28505.0,28526.0,28621.0,28692.0,28715.0,28741.0,28768.0,28802.0,28845.0,28875.0,28928.0,28971.0,29001.0,29048.0,29080.0,29127.0,29173.0
5010471,31800.0,31859.0,31899.0,31933.0,31969.0,32044.0,32099.0,32121.0,32160.0,32184.0,32309.0,32400.0,32430.0,32463.0,32498.0,32543.0,32587.0,32618.0,32675.0,32722.0,32754.0,32835.0,32890.0,32971.0,33049.0
5010473,35400.0,35455.0,35492.0,35524.0,35557.0,35627.0,35679.0,35700.0,35737.0,35761.0,35861.0,35952.0,35979.0,36009.0,36041.0,36081.0,36125.0,36155.0,36214.0,36263.0,36297.0,36377.0,36432.0,36511.0,36587.0
5010475,39000.0,39055.0,39092.0,39124.0,39157.0,39227.0,39279.0,39300.0,39337.0,39361.0,39461.0,39552.0,39579.0,39609.0,39641.0,39681.0,39725.0,39755.0,39814.0,39863.0,39897.0,39977.0,40032.0,40111.0,40187.0
5010477,42600.0,42655.0,42692.0,42724.0,42757.0,42827.0,42879.0,42900.0,42937.0,42961.0,43061.0,43152.0,43179.0,43209.0,43241.0,43281.0,43325.0,43355.0,43414.0,43463.0,43497.0,43577.0,43632.0,43711.0,43787.0
5010479,46200.0,46252.0,46287.0,46317.0,46348.0,46413.0,46461.0,46481.0,46516.0,46537.0,46631.0,46715.0,46742.0,46771.0,46802.0,46841.0,46885.0,46916.0,46974.0,47022.0,47055.0,47125.0,47173.0,47243.0,47311.0
5010481,49800.0,49852.0,49887.0,49917.0,49948.0,50013.0,50061.0,50081.0,50116.0,50137.0,50231.0,50315.0,50342.0,50371.0,50402.0,50441.0,50485.0,50516.0,50574.0,50622.0,50655.0,50725.0,50773.0,50843.0,50911.0
5010483,53400.0,53459.0,53499.0,53533.0,53568.0,53642.0,53697.0,53719.0,53758.0,53783.0,53882.0,53970.0,54000.0,54032.0,54066.0,54109.0,54159.0,54194.0,54252.0,54300.0,54333.0,54419.0,54478.0,54564.0,54646.0
5010485,57000.0,57057.0,57095.0,57128.0,57162.0,57234.0,57287.0,57309.0,57347.0,57370.0,57466.0,57568.0,57599.0,57632.0,57667.0,57712.0,57758.0,57789.0,57850.0,57901.0,57936.0,58014.0,58067.0,58145.0,58219.0
5010487,60600.0,60651.0,60685.0,60714.0,60745.0,60809.0,60856.0,60875.0,60909.0,60930.0,61015.0,61078.0,61101.0,61126.0,61152.0,61185.0,61226.0,61254.0,61294.0,61327.0,61349.0,61417.0,61464.0,61532.0,61597.0
5010489,64200.0,64246.0,64277.0,64303.0,64331.0,64389.0,64432.0,64449.0,64480.0,64499.0,64581.0,64656.0,64681.0,64708.0,64736.0,64772.0,64816.0,64847.0,64888.0,64922.0,64945.0,65007.0,65049.0,65110.0,65169.0
5010491,67800.0,67845.0,67876.0,67902.0,67929.0,67986.0,68028.0,68045.0,68075.0,68096.0,68180.0,68247.0,68268.0,68291.0,68316.0,68347.0,68381.0,68404.0,68437.0,68465.0,68484.0,68533.0,68567.0,68616.0,68664.0
5010493,71400.0,71445.0,71476.0,71502.0,71529.0,71586.0,71628.0,71645.0,71675.0,71696.0,71780.0,71847.0,71868.0,71891.0,71916.0,71947.0,71981.0,72004.0,72037.0,72065.0,72084.0,72133.0,72167.0,72216.0,72264.0
5010495,75000.0,75043.0,75072.0,75097.0,75123.0,75178.0,75218.0,75234.0,75263.0,75282.0,75362.0,75421.0,75440.0,75461.0,75483.0,75511.0,75542.0,75564.0,75596.0,75622.0,75640.0,75685.0,75716.0,75761.0,75804.0
5010497,78600.0,78643.0,78672.0,78697.0,78723.0,78778.0,78818.0,78834.0,78863.0,78882.0,78962.0,79021.0,79040.0,79061.0,79083.0,79111.0,79142.0,79164.0,79196.0,79222.0,79240.0,79285.0,79316.0,79361.0,79404.0
5010499,82200.0,82243.0,82272.0,82297.0,82323.0,82378.0,82418.0,82434.0,82463.0,82482.0,82562.0,82621.0,82640.0,82661.0,82683.0,82711.0,82742.0,82764.0,82796.0,82822.0,82840.0,82885.0,82916.0,82961.0,83004.0
5014639,31800.0,31849.0,31882.0,31910.0,31939.0,32001.0,32047.0,32066.0,32099.0,32118.0,32199.0,32288.0,32309.0,32332.0,32356.0,32387.0,32427.0,32455.0,32480.0,32501.0,32516.0,32556.0,32583.0,32623.0,32662.0
5014643,39000.0,39056.0,39094.0,39126.0,39160.0,39230.0,39282.0,39303.0,39340.0,39363.0,39463.0,39546.0,39574.0,39605.0,39637.0,39678.0,39743.0,39787.0,39844.0,39891.0,39923.0,40011.0,40071.0,40158.0,40242.0
5014647,46200.0,46250.0,46283.0,46312.0,46342.0,46405.0,46451.0,46470.0,46503.0,46523.0,46617.0,46690.0,46714.0,46740.0,46767.0,46802.0,46844.0,46873.0,46927.0,46972.0,47003.0,47087.0,47144.0,47227.0,47307.0
5019022,41400.0,41444.0,41474.0,41500.0,41527.0,41583.0,41624.0,41641.0,41671.0,41689.0,41771.0,41846.0,41867.0,41890.0,41914.0,41943.0,41967.0,41984.0,42018.0,42046.0,42065.0,42113.0,42146.0,42193.0,42238.0
5019024,45000.0,45047.0,45079.0,45106.0,45134.0,45193.0,45237.0,45255.0,45286.0,45305.0,45380.0,45465.0,45490.0,45517.0,45545.0,45581.0,45616.0,45640.0,45687.0,45726.0,45753.0,45819.0,45864.0,45930.0,45994.0
5019032,59400.0,59449.0,59482.0,59510.0,59540.0,59602.0,59648.0,59667.0,59700.0,59721.0,59799.0,59878.0,59911.0,59947.0,59985.0,60032.0,60082.0,60116.0,60156.0,60189.0,60212.0,60278.0,60323.0,60389.0,60453.0
5019040,77400.0,77440.0,77467.0,77490.0,77514.0,77564.0,77601.0,77616.0,77643.0,77660.0,77739.0,77799.0,77819.0,77841.0,77864.0,77894.0,77924.0,77945.0,77970.0,77991.0,78005.0,78046.0,78074.0,78115.0,78153.0
5092034,37800.0,37843.0,37872.0,37897.0,37923.0,37977.0,38017.0,38033.0,38061.0,38078.0,38157.0,38229.0,38249.0,38271.0,38294.0,38322.0,38345.0,38361.0,38394.0,38421.0,38439.0,38485.0,38516.0,38561.0,38605.0
5092036,41400.0,41443.0,41472.0,41497.0,41523.0,41577.0,41617.0,41633.0,41661.0,41678.0,41757.0,41829.0,41849.0,41871.0,41894.0,41922.0,41945.0,41961.0,41994.0,42021.0,42039.0,42085.0,42116.0,42161.0,42205.0
5092038,45000.0,45045.0,45075.0,45101.0,45128.0,45185.0,45227.0,45244.0,45274.0,45293.0,45365.0,45447.0,45471.0,45497.0,45524.0,45559.0,45593.0,45616.0,45662.0,45699.0,45725.0,45789.0,45833.0,45897.0,45957.0
5092723,48600.0,48645.0,48675.0,48701.0,48728.0,48785.0,48827.0,48844.0,48874.0,48893.0,48965.0,49047.0,49071.0,49097.0,49124.0,49159.0,49193.0,49216.0,49262.0,49299.0,49325.0,49389.0,49433.0,49497.0,49557.0
5092725,52200.0,52241.0,52269.0,52293.0,52318.0,52370.0,52409.0,52425.0,52453.0,52470.0,52543.0,52603.0,52622.0,52642.0,52664.0,52691.0,52731.0,52758.0,52788.0,52813.0,52830.0,52890.0,52931.0,52990.0,53047.0
5092727,55800.0,55828.0,55847.0,55863.0,55880.0,55915.0,55941.0,55952.0,55970.0,55980.0,56160.0,56340.0,56366.0,56394.0,56423.0,56460.0,56531.0,56580.0,56630.0,56671.0,56700.0,56733.0,56756.0,56789.0,56820.0
5092729,59400.0,59447.0,59479.0,59506.0,59535.0,59595.0,59639.0,59657.0,59689.0,59709.0,59784.0,59860.0,59891.0,59925.0,59961.0,60008.0,60056.0,60089.0,60127.0,60159.0,60181.0,60245.0,60289.0,60353.0,60413.0
5092731,63000.0,63036.0,63060.0,63081.0,63103.0,63149.0,63183.0,63197.0,63221.0,63236.0,63306.0,63376.0,63403.0,63432.0,63463.0,63502.0,63533.0,63555.0,63581.0,63602.0,63617.0,63660.0,63690.0,63733.0,63774.0
5092733,66600.0,66638.0,66663.0,66685.0,66708.0,66756.0,66791.0,66805.0,66830.0,66845.0,66927.0,66988.0,67008.0,67030.0,67053.0,67083.0,67120.0,67146.0,67173.0,67195.0,67211.0,67257.0,67289.0,67335.0,67380.0
5092735,73800.0,73838.0,73864.0,73886.0,73909.0,73958.0,73994.0,74009.0,74035.0,74050.0,74126.0,74184.0,74203.0,74224.0,74246.0,74275.0,74304.0,74324.0,74348.0,74368.0,74382.0,74421.0,74448.0,74487.0,74524.0
