tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P
5015055,69600.0,69749.0,69874.0,69898.0,69982.0,70032.0,70080.0,70138.0,70178.0,70235.0,70269.0,70300.0,70400.0,70444.0,70509.0,70547.0,70583.0,70624.0,70675.0,70724.0,70802.0,70848.0,70889.0,70928.0,70967.0,71022.0,71062.0,71112.0,71144.0,71168.0,71234.0,71279.0,71312.0,71346.0,71381.0,71421.0,71460.0,71488.0,71554.0,71592.0,71618.0,71689.0,71714.0,71763.0,71803.0,71828.0,71881.0,71920.0,71997.0,72022.0,72048.0,72092.0,72117.0,72147.0,72211.0,72232.0,72251.0,72262.0,72287.0,72303.0,72318.0,72337.0,72375.0,72398.0,72420.0,72439.0,72466.0,72502.0,72532.0,72552.0,72586.0,72610.0,72636.0,72656.0
5016229,74700.0,74790.0,74866.0,74880.0,74956.0,75000.0,75027.0,75060.0,75097.0,75149.0,75180.0,75194.0,75240.0,75289.0,75360.0,75388.0,75414.0,75444.0,75480.0,75540.0,75600.0,75660.0,75691.0,75720.0,75759.0,75813.0,75852.0,75900.0,75935.0,75960.0,75996.0,76020.0,76050.0,76080.0,76140.0,76185.0,76229.0,76260.0,76337.0,76380.0,76412.0,76500.0,76560.0,76593.0,76620.0,76646.0,76700.0,76740.0,76801.0,76821.0,76842.0,76877.0,76897.0,76920.0,76957.0,76969.0,76980.0,76984.0,76994.0,77000.0,77006.0,77014.0,77029.0,77040.0,77104.0,77160.0,77175.0,77194.0,77210.0,77220.0,77240.0,77254.0,77269.0,77280.0
5018434,33300.0,33460.0,33594.0,33619.0,33715.0,33771.0,33814.0,33867.0,33888.0,33918.0,33936.0,33957.0,34027.0,34066.0,34122.0,34153.0,34182.0,34215.0,34255.0,34285.0,34335.0,34377.0,34424.0,34467.0,34497.0,34539.0,34570.0,34609.0,34640.0,34663.0,34713.0,34747.0,34777.0,34808.0,34836.0,34875.0,34913.0,34940.0,35035.0,35089.0,35111.0,35171.0,35196.0,35250.0,35294.0,35321.0,35378.0,35420.0,35502.0,35528.0,35556.0,35603.0,35629.0,35663.0,35735.0,35758.0,35779.0,35790.0,35817.0,35834.0,35850.0,35870.0,35910.0,35935.0,35964.0,35989.0,36039.0,36104.0,36160.0,36196.0,36231.0,36256.0,36282.0,36302.0
5018436,44100.0,44263.0,44400.0,44425.0,44507.0,44556.0,44597.0,44648.0,44677.0,44718.0,44743.0,44766.0,44841.0,44884.0,44947.0,44978.0,45007.0,45041.0,45083.0,45130.0,45178.0,45228.0,45277.0,45322.0,45360.0,45413.0,45451.0,45499.0,45526.0,45545.0,45604.0,45644.0,45677.0,45712.0,45753.0,45796.0,45838.0,45867.0,45945.0,45989.0,46012.0,46076.0,46101.0,46157.0,46203.0,46237.0,46308.0,46360.0,46446.0,46474.0,46503.0,46552.0,46580.0,46614.0,46683.0,46705.0,46725.0,46735.0,46759.0,46774.0,46788.0,46806.0,46842.0,46864.0,46892.0,46917.0,46943.0,46977.0,47006.0,47025.0,47077.0,47114.0,47154.0,47186.0
5018438,54900.0,55058.0,55190.0,55215.0,55299.0,55348.0,55393.0,55447.0,55472.0,55508.0,55530.0,55553.0,55627.0,55671.0,55734.0,55777.0,55817.0,55863.0,55919.0,55959.0,56029.0,56079.0,56142.0,56201.0,56255.0,56330.0,56384.0,56453.0,56485.0,56508.0,56578.0,56626.0,56654.0,56682.0,56739.0,56813.0,56885.0,56936.0,57041.0,57100.0,57129.0,57210.0,57232.0,57286.0,57331.0,57366.0,57439.0,57492.0,57586.0,57616.0,57648.0,57701.0,57731.0,57769.0,57841.0,57864.0,57885.0,57896.0,57922.0,57938.0,57954.0,57973.0,58011.0,58035.0,58058.0,58079.0,58108.0,58145.0,58177.0,58198.0,58236.0,58263.0,58292.0,58314.0
5018442,73200.0,73322.0,73424.0,73443.0,73505.0,73542.0,73582.0,73631.0,73654.0,73686.0,73705.0,73727.0,73799.0,73846.0,73915.0,73944.0,73971.0,74002.0,74041.0,74094.0,74167.0,74206.0,74237.0,74265.0,74290.0,74325.0,74350.0,74382.0,74404.0,74421.0,74487.0,74532.0,74555.0,74579.0,74604.0,74633.0,74661.0,74680.0,74743.0,74779.0,74796.0,74842.0,74860.0,74896.0,74926.0,74947.0,74992.0,75025.0,75096.0,75119.0,75143.0,75184.0,75207.0,75235.0,75291.0,75309.0,75326.0,75336.0,75360.0,75375.0,75390.0,75408.0,75444.0,75466.0,75487.0,75505.0,75530.0,75563.0,75591.0,75609.0,75647.0,75674.0,75703.0,75727.0
5084532,69300.0,69514.0,69693.0,69727.0,69829.0,69889.0,69935.0,69992.0,70012.0,70041.0,70059.0,70079.0,70143.0,70194.0,70268.0,70296.0,70322.0,70352.0,70389.0,70431.0,70536.0,70575.0,70625.0,70671.0,70708.0,70759.0,70796.0,70843.0,70884.0,70914.0,70979.0,71022.0,71068.0,71115.0,71153.0,71187.0,71220.0,71243.0,71313.0,71352.0,71378.0,71449.0,71472.0,71509.0,71540.0,71567.0,71624.0,71666.0,71747.0,71773.0,71801.0,71847.0,71873.0,71906.0,71971.0,71992.0,72011.0,72021.0,72044.0,72059.0,72073.0,72091.0,72126.0,72147.0,72164.0,72179.0,72207.0,72244.0,72275.0,72295.0,72334.0,72362.0,72392.0,72416.0
5085262,40500.0,40657.0,40789.0,40813.0,40892.0,40939.0,40979.0,41027.0,41055.0,41094.0,41118.0,41140.0,41212.0,41254.0,41314.0,41344.0,41372.0,41404.0,41445.0,41490.0,41536.0,41584.0,41631.0,41674.0,41710.0,41761.0,41798.0,41844.0,41869.0,41888.0,41945.0,41983.0,42015.0,42048.0,42087.0,42128.0,42168.0,42197.0,42272.0,42314.0,42336.0,42398.0,42422.0,42476.0,42520.0,42552.0,42620.0,42671.0,42754.0,42781.0,42809.0,42856.0,42883.0,42915.0,42981.0,43002.0,43022.0,43032.0,43055.0,43069.0,43083.0,43100.0,43134.0,43156.0,43183.0,43207.0,43232.0,43265.0,43293.0,43311.0,43362.0,43398.0,43436.0,43466.0
5085264,51300.0,51462.0,51598.0,51624.0,51688.0,51725.0,51771.0,51827.0,51857.0,51899.0,51924.0,51946.0,52016.0,52065.0,52136.0,52168.0,52198.0,52233.0,52276.0,52368.0,52453.0,52512.0,52571.0,52625.0,52675.0,52745.0,52795.0,52860.0,52891.0,52913.0,52983.0,53030.0,53062.0,53095.0,53143.0,53193.0,53241.0,53275.0,53380.0,53439.0,53460.0,53518.0,53539.0,53582.0,53617.0,53650.0,53719.0,53770.0,53850.0,53876.0,53903.0,53948.0,53974.0,54005.0,54064.0,54083.0,54101.0,54110.0,54131.0,54144.0,54157.0,54173.0,54204.0,54222.0,54245.0,54265.0,54289.0,54320.0,54346.0,54363.0,54416.0,54453.0,54493.0,54525.0
5085268,69600.0,69744.0,69865.0,69887.0,69968.0,70016.0,70062.0,70118.0,70156.0,70211.0,70244.0,70274.0,70370.0,70413.0,70475.0,70512.0,70547.0,70587.0,70635.0,70682.0,70757.0,70801.0,70841.0,70878.0,70916.0,70969.0,71007.0,71055.0,71086.0,71109.0,71173.0,71216.0,71247.0,71280.0,71314.0,71353.0,71391.0,71417.0,71481.0,71517.0,71542.0,71610.0,71634.0,71681.0,71720.0,71744.0,71795.0,71833.0,71907.0,71931.0,71956.0,71998.0,72022.0,72051.0,72113.0,72133.0,72151.0,72161.0,72185.0,72200.0,72215.0,72233.0,72269.0,72292.0,72313.0,72331.0,72358.0,72392.0,72421.0,72440.0,72473.0,72496.0,72521.0,72540.0
