tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P
0,3815.0,3816.0,3566.0,3567.0,7292.0,3818.0,3819.0,3820.0,3822.0,3823.0,3824.0,3565.0,3825.0,3826.0,3827.0,3828.0,3829.0,3831.0,3832.0,3833.0,3834.0,3835.0,3836.0,3837.0,3838.0,3840.0,3842.0,3843.0,3844.0,3845.0,3846.0,3848.0,3849.0,3850.0,3851.0,3852.0,3853.0,3854.0,3855.0,3856.0,3857.0,3858.0,3859.0,3860.0,3861.0,3862.0,3863.0,3748.0,6050.0,7398.0,6252.0,302.0,333.0,403.0,747.0,748.0
5004891,27000.0,27025.0,27076.0,27120.0,27190.0,27222.0,27257.0,27284.0,27317.0,27355.0,27395.0,27431.0,27485.0,27534.0,27589.0,27639.0,27671.0,27741.0,27788.0,27859.0,27893.0,27919.0,27985.0,28012.0,28040.0,28067.0,28108.0,28138.0,28193.0,28223.0,28275.0,28355.0,28381.0,28411.0,28425.0,28466.0,28519.0,28551.0,28584.0,28631.0,28673.0,28718.0,28735.0,28776.0,28800.0,28837.0,28917.0,28969.0,29036.0,30290.0,30356.0,30442.0,30482.0,30571.0,30628.0,30660.0
5005142,26100.0,26125.0,26176.0,26220.0,26290.0,26322.0,26357.0,26384.0,26417.0,26455.0,26495.0,26531.0,26585.0,26634.0,26689.0,26739.0,26771.0,26841.0,26888.0,26959.0,26993.0,27019.0,27085.0,27112.0,27140.0,27167.0,27208.0,27238.0,27293.0,27323.0,27375.0,27455.0,27481.0,27511.0,27525.0,27566.0,27619.0,27651.0,27684.0,27731.0,27773.0,27818.0,27835.0,27876.0,27900.0,27937.0,28017.0,28069.0,28136.0,29390.0,29456.0,29542.0,29582.0,29671.0,29728.0,29760.0
5009987,24900.0,24922.0,24968.0,25007.0,25069.0,25097.0,25128.0,25152.0,25181.0,25215.0,25250.0,25282.0,25330.0,25374.0,25423.0,25467.0,25496.0,25558.0,25600.0,25663.0,25693.0,25716.0,25775.0,25799.0,25824.0,25851.0,25891.0,25920.0,25973.0,26001.0,26051.0,26128.0,26153.0,26182.0,26196.0,26236.0,26287.0,26317.0,26346.0,26388.0,26425.0,26465.0,26480.0,26516.0,26537.0,26570.0,26641.0,26695.0,26764.0,28057.0,28123.0,28209.0,28249.0,28338.0,28395.0,28427.0
5011292,23700.0,23722.0,23768.0,23807.0,23869.0,23897.0,23928.0,23952.0,23981.0,24015.0,24050.0,24082.0,24130.0,24174.0,24223.0,24267.0,24296.0,24358.0,24400.0,24463.0,24493.0,24516.0,24575.0,24599.0,24624.0,24651.0,24691.0,24720.0,24773.0,24801.0,24851.0,24928.0,24953.0,24982.0,24996.0,25036.0,25087.0,25117.0,25146.0,25188.0,25225.0,25265.0,25280.0,25316.0,25337.0,25370.0,25441.0,25495.0,25564.0,26857.0,26923.0,27009.0,27049.0,27138.0,27195.0,27227.0
5019115,28500.0,28524.0,28572.0,28614.0,28680.0,28710.0,28743.0,28769.0,28800.0,28836.0,28874.0,28908.0,28959.0,29006.0,29058.0,29105.0,29136.0,29202.0,29247.0,29314.0,29346.0,29370.0,29433.0,29459.0,29486.0,29512.0,29553.0,29582.0,29637.0,29666.0,29717.0,29797.0,29823.0,29853.0,29867.0,29908.0,29960.0,29992.0,30029.0,30082.0,30129.0,30180.0,30200.0,30246.0,30273.0,30315.0,30402.0,30463.0,30541.0,31997.0,32063.0,32149.0,32189.0,32278.0,32335.0,32367.0
5091861,26100.0,26124.0,26173.0,26215.0,26282.0,26313.0,26347.0,26373.0,26404.0,26441.0,26479.0,26514.0,26566.0,26613.0,26665.0,26713.0,26744.0,26811.0,26857.0,26925.0,26958.0,26983.0,27047.0,27073.0,27100.0,27126.0,27165.0,27193.0,27246.0,27274.0,27324.0,27401.0,27426.0,27455.0,27469.0,27509.0,27559.0,27591.0,27623.0,27668.0,27708.0,27751.0,27768.0,27807.0,27830.0,27866.0,27943.0,27993.0,28057.0,29263.0,29326.0,29408.0,29446.0,29531.0,29586.0,29619.0
5092774,23700.0,23721.0,23765.0,23803.0,23863.0,23890.0,23920.0,23943.0,23971.0,24004.0,24038.0,24069.0,24115.0,24157.0,24204.0,24246.0,24274.0,24334.0,24375.0,24436.0,24465.0,24487.0,24544.0,24567.0,24591.0,24614.0,24652.0,24679.0,24730.0,24757.0,24805.0,24879.0,24904.0,24932.0,24945.0,24983.0,25032.0,25062.0,25090.0,25130.0,25166.0,25204.0,25219.0,25254.0,25275.0,25307.0,25374.0,25426.0,25492.0,26736.0,26799.0,26881.0,26919.0,27004.0,27059.0,27092.0
5092777,28500.0,28523.0,28570.0,28610.0,28674.0,28703.0,28735.0,28760.0,28790.0,28825.0,28861.0,28894.0,28943.0,28988.0,29038.0,29083.0,29112.0,29176.0,29219.0,29284.0,29315.0,29338.0,29399.0,29424.0,29450.0,29473.0,29512.0,29540.0,29593.0,29621.0,29671.0,29748.0,29773.0,29802.0,29815.0,29854.0,29904.0,29935.0,29971.0,30022.0,30067.0,30116.0,30135.0,30179.0,30205.0,30245.0,30329.0,30388.0,30463.0,31863.0,31926.0,32008.0,32046.0,32131.0,32186.0,32219.0
5098441,24900.0,24921.0,24965.0,25003.0,25063.0,25090.0,25120.0,25143.0,25171.0,25204.0,25238.0,25269.0,25315.0,25357.0,25404.0,25446.0,25474.0,25534.0,25575.0,25636.0,25665.0,25687.0,25744.0,25767.0,25791.0,25814.0,25852.0,25879.0,25930.0,25957.0,26005.0,26079.0,26104.0,26132.0,26145.0,26183.0,26232.0,26262.0,26290.0,26330.0,26366.0,26404.0,26419.0,26454.0,26475.0,26507.0,26574.0,26626.0,26692.0,27936.0,27999.0,28081.0,28119.0,28204.0,28259.0,28292.0
