tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P
5096491,64200.0,64318.0,64382.0,64480.0,64505.0,64547.0,64638.0,64716.0,64771.0,64824.0,64931.0,65002.0,65058.0,65148.0,65248.0,65340.0,65383.0,65435.0,65526.0,65579.0,65691.0,65743.0,65784.0,65866.0,65982.0,66009.0,66078.0,66140.0,66149.0
5096493,69000.0,69081.0,69125.0,69191.0,69211.0,69244.0,69309.0,69365.0,69398.0,69430.0,69466.0,69511.0,69546.0,69602.0,69664.0,69721.0,69752.0,69785.0,69842.0,69875.0,69947.0,69985.0,70014.0,70074.0,70148.0,70172.0,70246.0,70314.0,70324.0
5096495,72600.0,72681.0,72725.0,72791.0,72811.0,72844.0,72909.0,72965.0,72998.0,73030.0,73066.0,73111.0,73146.0,73202.0,73264.0,73321.0,73352.0,73385.0,73442.0,73475.0,73547.0,73585.0,73614.0,73674.0,73748.0,73772.0,73846.0,73914.0,73924.0
5101072,49200.0,49302.0,49357.0,49442.0,49465.0,49504.0,49594.0,49670.0,49715.0,49759.0,49822.0,49887.0,49939.0,50021.0,50113.0,50197.0,50234.0,50286.0,50376.0,50428.0,50541.0,50589.0,50626.0,50700.0,50784.0,50812.0,50879.0,50940.0,50949.0
5101074,54000.0,54118.0,54182.0,54280.0,54305.0,54347.0,54438.0,54516.0,54571.0,54624.0,54731.0,54802.0,54858.0,54948.0,55048.0,55140.0,55183.0,55235.0,55326.0,55379.0,55491.0,55543.0,55584.0,55666.0,55782.0,55809.0,55878.0,55940.0,55949.0
5101076,64200.0,64318.0,64382.0,64480.0,64505.0,64547.0,64638.0,64716.0,64771.0,64824.0,64931.0,65002.0,65058.0,65148.0,65248.0,65340.0,65383.0,65435.0,65526.0,65579.0,65691.0,65743.0,65784.0,65866.0,65982.0,66009.0,66078.0,66140.0,66149.0
5101078,69000.0,69081.0,69125.0,69191.0,69211.0,69244.0,69309.0,69365.0,69398.0,69430.0,69466.0,69511.0,69546.0,69602.0,69664.0,69721.0,69752.0,69785.0,69842.0,69875.0,69947.0,69985.0,70014.0,70074.0,70148.0,70172.0,70246.0,70314.0,70324.0
5101080,72600.0,72681.0,72725.0,72791.0,72811.0,72844.0,72909.0,72965.0,72998.0,73030.0,73066.0,73111.0,73146.0,73202.0,73264.0,73321.0,73352.0,73385.0,73442.0,73475.0,73547.0,73585.0,73614.0,73674.0,73748.0,73772.0,73846.0,73914.0,73924.0
5101419,25800.0,25874.0,25914.0,25975.0,25990.0,26016.0,26071.0,26118.0,26165.0,26211.0,26254.0,26308.0,26350.0,26418.0,26493.0,26562.0,26610.0,26647.0,26712.0,26750.0,26830.0,26871.0,26903.0,26967.0,27030.0,27059.0,27125.0,27185.0,27194.0
5101421,30600.0,30651.0,30679.0,30720.0,30809.0,30960.0,30992.0,31020.0,31050.0,31080.0,31260.0,31312.0,31353.0,31419.0,31492.0,31560.0,31860.0,31900.0,31971.0,32012.0,32100.0,32172.0,32228.0,32340.0,32400.0,32520.0,32608.0,32688.0,32700.0
5101423,41400.0,41479.0,41522.0,41588.0,41614.0,41657.0,41726.0,41784.0,41836.0,41887.0,41934.0,41992.0,42038.0,42111.0,42193.0,42268.0,42302.0,42343.0,42415.0,42457.0,42547.0,42587.0,42618.0,42681.0,42746.0,42776.0,42850.0,42918.0,42928.0
5101425,46200.0,46302.0,46357.0,46442.0,46465.0,46504.0,46594.0,46670.0,46715.0,46759.0,46822.0,46887.0,46939.0,47021.0,47113.0,47197.0,47234.0,47286.0,47376.0,47428.0,47541.0,47589.0,47626.0,47700.0,47784.0,47812.0,47879.0,47940.0,47949.0
5112179,37800.0,37879.0,37922.0,37988.0,38014.0,38057.0,38126.0,38184.0,38236.0,38287.0,38334.0,38392.0,38438.0,38511.0,38593.0,38668.0,38702.0,38743.0,38815.0,38857.0,38947.0,38987.0,39018.0,39081.0,39146.0,39176.0,39250.0,39318.0,39328.0
5112181,52200.0,52302.0,52357.0,52442.0,52465.0,52504.0,52594.0,52670.0,52715.0,52759.0,52822.0,52887.0,52939.0,53021.0,53113.0,53197.0,53234.0,53286.0,53376.0,53428.0,53541.0,53589.0,53626.0,53700.0,53784.0,53812.0,53879.0,53940.0,53949.0
5112183,57600.0,57718.0,57782.0,57880.0,57905.0,57947.0,58038.0,58116.0,58171.0,58224.0,58331.0,58402.0,58458.0,58548.0,58648.0,58740.0,58783.0,58835.0,58926.0,58979.0,59091.0,59143.0,59184.0,59266.0,59382.0,59409.0,59478.0,59540.0,59549.0
5112185,62100.0,62218.0,62282.0,62380.0,62405.0,62447.0,62538.0,62616.0,62671.0,62724.0,62831.0,62902.0,62958.0,63048.0,63148.0,63240.0,63283.0,63335.0,63426.0,63479.0,63591.0,63643.0,63684.0,63766.0,63882.0,63909.0,63978.0,64040.0,64049.0
5112188,75600.0,75671.0,75709.0,75767.0,75785.0,75816.0,75875.0,75926.0,75962.0,75998.0,76033.0,76074.0,76106.0,76157.0,76214.0,76267.0,76288.0,76314.0,76360.0,76387.0,76445.0,76482.0,76511.0,76570.0,76634.0,76664.0,76727.0,76784.0,76792.0
