tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P
5096518,52800.0,52839.0,52887.0,52960.0,53009.0,53052.0,53097.0,53157.0,53188.0,53243.0,53291.0,53330.0,53367.0,53419.0,53488.0,53515.0,53566.0,53613.0,53660.0,53750.0,53842.0,53890.0,53943.0,54032.0,54074.0,54194.0,54218.0,54329.0,54503.0,54848.0,55076.0,55234.0,55300.0,55377.0,55429.0,55484.0,55636.0,55706.0,55760.0,55824.0,55882.0,55932.0,56012.0,56049.0,56090.0,56130.0,56173.0,56284.0,56360.0,56499.0,56545.0,56628.0
5096520,62400.0,62435.0,62478.0,62544.0,62587.0,62628.0,62671.0,62728.0,62758.0,62811.0,62857.0,62895.0,62930.0,62980.0,63046.0,63072.0,63120.0,63167.0,63213.0,63306.0,63401.0,63448.0,63500.0,63587.0,63626.0,63747.0,63769.0,63873.0,64044.0,64382.0,64575.0,64725.0,64801.0,64891.0,64951.0,65015.0,65191.0,65257.0,65308.0,65370.0,65428.0,65478.0,65560.0,65594.0,65632.0,65669.0,65709.0,65826.0,65906.0,66052.0,66097.0,66178.0
5096522,72000.0,72034.0,72077.0,72142.0,72184.0,72222.0,72262.0,72316.0,72344.0,72394.0,72437.0,72472.0,72505.0,72552.0,72614.0,72639.0,72686.0,72731.0,72776.0,72848.0,72923.0,72969.0,73020.0,73106.0,73147.0,73265.0,73287.0,73388.0,73537.0,73832.0,74044.0,74166.0,74228.0,74301.0,74350.0,74402.0,74546.0,74598.0,74638.0,74687.0,74739.0,74785.0,74857.0,74889.0,74925.0,74960.0,74998.0,75077.0,75131.0,75230.0,75278.0,75365.0
5096524,81000.0,81030.0,81067.0,81124.0,81161.0,81194.0,81229.0,81275.0,81299.0,81342.0,81379.0,81410.0,81439.0,81479.0,81532.0,81553.0,81593.0,81629.0,81664.0,81726.0,81790.0,81830.0,81874.0,81948.0,81981.0,82080.0,82100.0,82192.0,82343.0,82642.0,82785.0,82889.0,82932.0,82983.0,83017.0,83054.0,83155.0,83201.0,83237.0,83280.0,83326.0,83366.0,83441.0,83471.0,83505.0,83538.0,83572.0,83629.0,83668.0,83740.0,83785.0,83867.0
5097040,28800.0,28831.0,28869.0,28927.0,28965.0,28997.0,29030.0,29074.0,29097.0,29138.0,29174.0,29203.0,29230.0,29268.0,29319.0,29339.0,29379.0,29412.0,29445.0,29498.0,29552.0,29583.0,29618.0,29677.0,29704.0,29763.0,29776.0,29836.0,29920.0,30087.0,30186.0,30276.0,30311.0,30353.0,30381.0,30411.0,30493.0,30530.0,30559.0,30594.0,30632.0,30665.0,30715.0,30738.0,30764.0,30790.0,30833.0,30881.0,30914.0,30975.0,31033.0,31139.0
5097042,36000.0,36031.0,36069.0,36127.0,36165.0,36197.0,36230.0,36274.0,36297.0,36338.0,36374.0,36403.0,36430.0,36468.0,36519.0,36539.0,36579.0,36612.0,36645.0,36698.0,36752.0,36783.0,36818.0,36877.0,36904.0,36963.0,36976.0,37036.0,37120.0,37287.0,37386.0,37476.0,37511.0,37553.0,37581.0,37611.0,37693.0,37730.0,37759.0,37794.0,37832.0,37865.0,37915.0,37938.0,37964.0,37990.0,38033.0,38081.0,38114.0,38175.0,38233.0,38339.0
5097044,44400.0,44439.0,44487.0,44560.0,44607.0,44644.0,44683.0,44736.0,44764.0,44812.0,44854.0,44889.0,44921.0,44966.0,45026.0,45050.0,45096.0,45137.0,45177.0,45254.0,45334.0,45374.0,45418.0,45492.0,45526.0,45646.0,45666.0,45759.0,45896.0,46168.0,46381.0,46506.0,46553.0,46608.0,46645.0,46684.0,46793.0,46843.0,46881.0,46927.0,46982.0,47030.0,47109.0,47137.0,47169.0,47200.0,47233.0,47309.0,47361.0,47457.0,47508.0,47602.0
5097046,52800.0,52839.0,52887.0,52960.0,53007.0,53044.0,53083.0,53136.0,53164.0,53212.0,53254.0,53289.0,53321.0,53366.0,53426.0,53450.0,53496.0,53537.0,53577.0,53654.0,53734.0,53774.0,53818.0,53892.0,53926.0,54046.0,54066.0,54159.0,54296.0,54568.0,54781.0,54906.0,54953.0,55008.0,55045.0,55084.0,55193.0,55243.0,55281.0,55327.0,55382.0,55430.0,55509.0,55537.0,55569.0,55600.0,55633.0,55709.0,55761.0,55857.0,55908.0,56002.0
5097048,61200.0,61234.0,61276.0,61340.0,61383.0,61419.0,61457.0,61508.0,61535.0,61582.0,61623.0,61656.0,61687.0,61731.0,61789.0,61812.0,61855.0,61899.0,61943.0,62014.0,62087.0,62128.0,62173.0,62249.0,62283.0,62378.0,62401.0,62512.0,62674.0,62995.0,63198.0,63334.0,63387.0,63449.0,63491.0,63535.0,63657.0,63703.0,63739.0,63782.0,63834.0,63880.0,63953.0,63983.0,64017.0,64051.0,64083.0,64157.0,64208.0,64299.0,64344.0,64426.0
5097050,69600.0,69632.0,69672.0,69732.0,69771.0,69805.0,69841.0,69889.0,69914.0,69958.0,69997.0,70029.0,70059.0,70101.0,70156.0,70178.0,70220.0,70260.0,70300.0,70374.0,70451.0,70491.0,70535.0,70609.0,70644.0,70769.0,70791.0,70894.0,71041.0,71331.0,71529.0,71649.0,71700.0,71760.0,71800.0,71843.0,71962.0,72015.0,72056.0,72105.0,72155.0,72199.0,72282.0,72311.0,72343.0,72375.0,72411.0,72473.0,72516.0,72594.0,72638.0,72717.0
