tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P
5005768,49800.0,50090.0,50098.0,50136.0,50183.0,50228.0,50308.0,50394.0,50424.0,50482.0,50505.0,50540.0,50564.0,50584.0,50609.0,50654.0,50707.0,50752.0,50855.0,50875.0,51026.0,51050.0,51112.0,51153.0,51207.0,51244.0,51276.0,51314.0,51372.0,51406.0,51466.0,51533.0,51600.0,51633.0,51666.0,51700.0,51784.0,51844.0,51892.0,51931.0,51975.0,52019.0,52067.0,52093.0,52216.0,52458.0
5005772,62700.0,62944.0,62953.0,62997.0,63059.0,63099.0,63169.0,63245.0,63272.0,63323.0,63343.0,63374.0,63395.0,63411.0,63433.0,63473.0,63519.0,63572.0,63691.0,63714.0,63837.0,63857.0,63907.0,63944.0,63993.0,64026.0,64051.0,64080.0,64123.0,64150.0,64198.0,64261.0,64324.0,64354.0,64384.0,64414.0,64482.0,64531.0,64585.0,64630.0,64671.0,64711.0,64752.0,64774.0,64893.0,65128.0
5006525,32400.0,32667.0,32674.0,32701.0,32751.0,32786.0,32849.0,32917.0,32941.0,32987.0,33005.0,33032.0,33051.0,33066.0,33091.0,33136.0,33189.0,33231.0,33325.0,33343.0,33476.0,33497.0,33552.0,33584.0,33626.0,33654.0,33676.0,33702.0,33742.0,33774.0,33832.0,33897.0,33963.0,33997.0,34031.0,34066.0,34135.0,34185.0,34241.0,34287.0,34333.0,34379.0,34421.0,34444.0,34544.0,34740.0
5006527,38400.0,38736.0,38756.0,38815.0,38884.0,38924.0,38996.0,39073.0,39100.0,39152.0,39173.0,39204.0,39226.0,39243.0,39270.0,39319.0,39376.0,39420.0,39520.0,39539.0,39682.0,39705.0,39763.0,39811.0,39873.0,39915.0,39953.0,39998.0,40066.0,40102.0,40166.0,40236.0,40306.0,40341.0,40377.0,40413.0,40499.0,40562.0,40618.0,40664.0,40704.0,40743.0,40795.0,40823.0,40941.0,41173.0
5006529,44400.0,44690.0,44698.0,44736.0,44783.0,44828.0,44908.0,44994.0,45024.0,45082.0,45105.0,45140.0,45164.0,45184.0,45209.0,45254.0,45307.0,45352.0,45455.0,45475.0,45626.0,45650.0,45712.0,45753.0,45807.0,45844.0,45876.0,45914.0,45972.0,46006.0,46066.0,46133.0,46200.0,46233.0,46266.0,46300.0,46384.0,46444.0,46492.0,46531.0,46575.0,46619.0,46667.0,46693.0,46816.0,47058.0
5006531,51000.0,51290.0,51298.0,51336.0,51383.0,51428.0,51508.0,51594.0,51624.0,51682.0,51705.0,51740.0,51764.0,51784.0,51809.0,51854.0,51907.0,51952.0,52055.0,52075.0,52226.0,52250.0,52312.0,52353.0,52407.0,52444.0,52476.0,52514.0,52572.0,52606.0,52666.0,52733.0,52800.0,52833.0,52866.0,52900.0,52984.0,53044.0,53092.0,53131.0,53175.0,53219.0,53267.0,53293.0,53416.0,53658.0
5006533,57600.0,57844.0,57853.0,57897.0,57959.0,57999.0,58069.0,58145.0,58172.0,58223.0,58243.0,58274.0,58295.0,58311.0,58333.0,58373.0,58419.0,58472.0,58591.0,58614.0,58737.0,58757.0,58807.0,58844.0,58893.0,58926.0,58951.0,58980.0,59023.0,59050.0,59098.0,59161.0,59224.0,59254.0,59284.0,59314.0,59382.0,59431.0,59485.0,59530.0,59571.0,59611.0,59652.0,59674.0,59793.0,60028.0
5006535,63900.0,64144.0,64153.0,64197.0,64259.0,64299.0,64369.0,64445.0,64472.0,64523.0,64543.0,64574.0,64595.0,64611.0,64633.0,64673.0,64719.0,64772.0,64891.0,64914.0,65037.0,65057.0,65107.0,65144.0,65193.0,65226.0,65251.0,65280.0,65323.0,65350.0,65398.0,65461.0,65524.0,65554.0,65584.0,65614.0,65682.0,65731.0,65785.0,65830.0,65871.0,65911.0,65952.0,65974.0,66093.0,66328.0
5006537,69900.0,70159.0,70166.0,70203.0,70246.0,70283.0,70349.0,70420.0,70445.0,70493.0,70512.0,70541.0,70561.0,70578.0,70599.0,70638.0,70683.0,70733.0,70847.0,70869.0,71000.0,71021.0,71074.0,71112.0,71161.0,71195.0,71223.0,71256.0,71307.0,71341.0,71400.0,71465.0,71531.0,71561.0,71591.0,71621.0,71701.0,71758.0,71806.0,71845.0,71878.0,71910.0,71950.0,71972.0,72085.0,72307.0
5006539,75900.0,76113.0,76119.0,76144.0,76227.0,76266.0,76335.0,76409.0,76435.0,76485.0,76505.0,76535.0,76556.0,76570.0,76592.0,76632.0,76679.0,76723.0,76823.0,76842.0,76958.0,76977.0,77024.0,77057.0,77100.0,77129.0,77157.0,77190.0,77239.0,77267.0,77318.0,77367.0,77417.0,77444.0,77472.0,77500.0,77571.0,77622.0,77661.0,77693.0,77720.0,77746.0,77779.0,77797.0,77888.0,78067.0
