tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P
5007798,78600.0,78706.0,78750.0,78799.0,78870.0,78944.0,78968.0,79062.0,79088.0,79174.0,79223.0,79258.0,79309.0,79361.0,79396.0,79430.0,79465.0,79490.0,79510.0,79572.0,79637.0,79712.0,79744.0,79775.0,79798.0,79837.0,79886.0,79920.0,79948.0,79977.0,80011.0,80034.0,80080.0
5009630,29700.0,29812.0,29872.0,29938.0,30035.0,30135.0,30172.0,30310.0,30348.0,30447.0,30497.0,30532.0,30594.0,30657.0,30699.0,30740.0,30783.0,30813.0,30837.0,30931.0,31029.0,31091.0,31122.0,31152.0,31174.0,31212.0,31260.0,31293.0,31321.0,31349.0,31382.0,31405.0,31449.0
5009632,39300.0,39431.0,39492.0,39559.0,39643.0,39731.0,39757.0,39856.0,39887.0,39988.0,40036.0,40071.0,40132.0,40194.0,40236.0,40277.0,40319.0,40349.0,40372.0,40483.0,40599.0,40676.0,40708.0,40739.0,40762.0,40801.0,40850.0,40883.0,40911.0,40940.0,40973.0,40996.0,41042.0
5009636,51600.0,51744.0,51808.0,51878.0,51964.0,52054.0,52085.0,52184.0,52216.0,52310.0,52361.0,52398.0,52460.0,52524.0,52567.0,52609.0,52652.0,52682.0,52705.0,52830.0,52961.0,53036.0,53068.0,53099.0,53122.0,53161.0,53210.0,53244.0,53272.0,53301.0,53335.0,53358.0,53404.0
5009637,58800.0,58979.0,59042.0,59111.0,59207.0,59306.0,59340.0,59445.0,59480.0,59594.0,59653.0,59695.0,59758.0,59822.0,59865.0,59907.0,59951.0,59982.0,60005.0,60137.0,60274.0,60367.0,60399.0,60430.0,60453.0,60493.0,60542.0,60576.0,60605.0,60634.0,60668.0,60692.0,60737.0
5009639,64800.0,64979.0,65042.0,65111.0,65207.0,65306.0,65340.0,65445.0,65480.0,65594.0,65653.0,65695.0,65758.0,65822.0,65865.0,65907.0,65951.0,65982.0,66005.0,66137.0,66274.0,66367.0,66399.0,66430.0,66453.0,66493.0,66542.0,66576.0,66605.0,66634.0,66668.0,66692.0,66737.0
5009641,70500.0,70615.0,70668.0,70726.0,70815.0,70908.0,70943.0,71032.0,71065.0,71169.0,71227.0,71268.0,71322.0,71377.0,71414.0,71450.0,71488.0,71514.0,71535.0,71619.0,71706.0,71775.0,71807.0,71838.0,71861.0,71901.0,71950.0,71984.0,72013.0,72042.0,72076.0,72100.0,72145.0
5012012,44400.0,44544.0,44608.0,44678.0,44764.0,44854.0,44885.0,44984.0,45016.0,45110.0,45161.0,45198.0,45260.0,45324.0,45367.0,45409.0,45452.0,45482.0,45505.0,45630.0,45761.0,45836.0,45868.0,45899.0,45922.0,45961.0,46010.0,46044.0,46072.0,46101.0,46135.0,46158.0,46204.0
5012018,63000.0,63179.0,63242.0,63311.0,63407.0,63506.0,63540.0,63645.0,63680.0,63794.0,63853.0,63895.0,63958.0,64022.0,64065.0,64107.0,64151.0,64182.0,64205.0,64337.0,64474.0,64567.0,64599.0,64630.0,64653.0,64693.0,64742.0,64776.0,64805.0,64834.0,64868.0,64892.0,64937.0
5013748,33300.0,33412.0,33472.0,33538.0,33635.0,33735.0,33772.0,33910.0,33948.0,34047.0,34097.0,34132.0,34194.0,34257.0,34299.0,34340.0,34383.0,34413.0,34437.0,34531.0,34629.0,34691.0,34722.0,34752.0,34774.0,34812.0,34860.0,34893.0,34921.0,34949.0,34982.0,35005.0,35049.0
5013752,46200.0,46344.0,46408.0,46478.0,46564.0,46654.0,46685.0,46784.0,46816.0,46910.0,46961.0,46998.0,47060.0,47124.0,47167.0,47209.0,47252.0,47282.0,47305.0,47430.0,47561.0,47636.0,47668.0,47699.0,47722.0,47761.0,47810.0,47844.0,47872.0,47901.0,47935.0,47958.0,48004.0
5013758,64200.0,64379.0,64442.0,64511.0,64607.0,64706.0,64740.0,64845.0,64880.0,64994.0,65053.0,65095.0,65158.0,65222.0,65265.0,65307.0,65351.0,65382.0,65405.0,65537.0,65674.0,65767.0,65799.0,65830.0,65853.0,65893.0,65942.0,65976.0,66005.0,66034.0,66068.0,66092.0,66137.0
5017493,31500.0,31612.0,31672.0,31738.0,31835.0,31935.0,31972.0,32110.0,32148.0,32247.0,32297.0,32332.0,32394.0,32457.0,32499.0,32540.0,32583.0,32613.0,32637.0,32731.0,32829.0,32891.0,32922.0,32952.0,32974.0,33012.0,33060.0,33093.0,33121.0,33149.0,33182.0,33205.0,33249.0
