tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P
5007942,79200.0,79208.0,79269.0,79303.0,79353.0,79394.0,79466.0,79701.0,79809.0,79892.0,80017.0,80124.0,80165.0,80207.0,80235.0,80269.0,80317.0,80361.0,80395.0,80435.0,80463.0,80503.0,80530.0,80555.0,80598.0,80641.0,80690.0,80739.0,80795.0,80835.0,80878.0,80919.0,80942.0,80971.0,81025.0,81043.0,81075.0,81104.0,81125.0,81162.0
5008758,34200.0,34212.0,34304.0,34355.0,34430.0,34491.0,34602.0,34913.0,35056.0,35133.0,35293.0,35431.0,35469.0,35507.0,35535.0,35569.0,35617.0,35661.0,35697.0,35738.0,35767.0,35809.0,35837.0,35863.0,35907.0,35948.0,35995.0,36042.0,36096.0,36136.0,36178.0,36214.0,36234.0,36260.0,36307.0,36324.0,36357.0,36380.0,36396.0,36436.0
5008760,41400.0,41408.0,41471.0,41506.0,41557.0,41599.0,41676.0,41951.0,42077.0,42164.0,42316.0,42446.0,42483.0,42521.0,42556.0,42600.0,42661.0,42718.0,42755.0,42797.0,42829.0,42875.0,42906.0,42935.0,42982.0,43026.0,43077.0,43127.0,43185.0,43226.0,43272.0,43307.0,43327.0,43352.0,43398.0,43413.0,43453.0,43479.0,43497.0,43537.0
5008762,48600.0,48608.0,48673.0,48709.0,48761.0,48804.0,48881.0,49127.0,49240.0,49338.0,49483.0,49607.0,49656.0,49705.0,49744.0,49793.0,49861.0,49924.0,49968.0,50018.0,50064.0,50130.0,50174.0,50215.0,50285.0,50337.0,50397.0,50457.0,50526.0,50576.0,50629.0,50673.0,50698.0,50729.0,50786.0,50805.0,50859.0,50892.0,50916.0,50959.0
5008764,55800.0,55810.0,55892.0,55937.0,56003.0,56057.0,56156.0,56466.0,56608.0,56709.0,56876.0,57019.0,57091.0,57165.0,57210.0,57266.0,57343.0,57414.0,57467.0,57529.0,57588.0,57673.0,57730.0,57783.0,57872.0,57928.0,57992.0,58056.0,58129.0,58183.0,58247.0,58300.0,58330.0,58368.0,58438.0,58461.0,58525.0,58565.0,58593.0,58640.0
5008766,63000.0,63012.0,63106.0,63158.0,63234.0,63297.0,63410.0,63844.0,64044.0,64164.0,64360.0,64529.0,64650.0,64773.0,64820.0,64879.0,64960.0,65036.0,65091.0,65154.0,65214.0,65299.0,65356.0,65409.0,65500.0,65556.0,65621.0,65685.0,65759.0,65812.0,65875.0,65929.0,65959.0,65997.0,66068.0,66093.0,66148.0,66186.0,66213.0,66258.0
5008768,70200.0,70208.0,70275.0,70312.0,70366.0,70410.0,70490.0,70814.0,70963.0,71049.0,71197.0,71324.0,71373.0,71422.0,71459.0,71505.0,71568.0,71626.0,71669.0,71718.0,71753.0,71803.0,71837.0,71868.0,71921.0,71969.0,72025.0,72081.0,72144.0,72190.0,72247.0,72293.0,72319.0,72351.0,72411.0,72431.0,72468.0,72504.0,72530.0,72569.0
5010324,26100.0,26104.0,26139.0,26158.0,26186.0,26209.0,26251.0,26375.0,26432.0,26479.0,26541.0,26595.0,26611.0,26627.0,26642.0,26661.0,26687.0,26711.0,26742.0,26777.0,26797.0,26826.0,26846.0,26864.0,26896.0,26932.0,26974.0,27016.0,27064.0,27099.0,27140.0,27162.0,27174.0,27190.0,27219.0,27229.0,27248.0,27263.0,27274.0,27303.0
5010326,31800.0,31807.0,31859.0,31888.0,31930.0,31965.0,32027.0,32203.0,32284.0,32393.0,32460.0,32518.0,32545.0,32572.0,32591.0,32615.0,32648.0,32679.0,32705.0,32735.0,32763.0,32803.0,32830.0,32855.0,32896.0,32928.0,32965.0,33002.0,33044.0,33074.0,33119.0,33148.0,33164.0,33184.0,33222.0,33235.0,33265.0,33289.0,33307.0,33340.0
5010330,43800.0,43809.0,43878.0,43916.0,43972.0,44018.0,44099.0,44331.0,44437.0,44535.0,44674.0,44793.0,44825.0,44857.0,44890.0,44931.0,44988.0,45040.0,45086.0,45140.0,45179.0,45235.0,45273.0,45308.0,45366.0,45407.0,45455.0,45502.0,45556.0,45596.0,45644.0,45684.0,45706.0,45734.0,45786.0,45804.0,45847.0,45875.0,45895.0,45934.0
5012341,30600.0,30607.0,30659.0,30688.0,30730.0,30765.0,30827.0,31003.0,31084.0,31193.0,31260.0,31318.0,31345.0,31372.0,31391.0,31415.0,31448.0,31479.0,31505.0,31535.0,31563.0,31603.0,31630.0,31655.0,31696.0,31728.0,31765.0,31802.0,31844.0,31874.0,31919.0,31948.0,31964.0,31984.0,32022.0,32035.0,32065.0,32089.0,32107.0,32140.0
5012345,42600.0,42609.0,42681.0,42721.0,42779.0,42827.0,42912.0,43113.0,43206.0,43276.0,43393.0,43494.0,43527.0,43561.0,43595.0,43638.0,43697.0,43752.0,43792.0,43839.0,43873.0,43922.0,43955.0,43985.0,44036.0,44076.0,44122.0,44168.0,44221.0,44259.0,44313.0,44349.0,44369.0,44394.0,44441.0,44457.0,44495.0,44518.0,44534.0,44583.0
