tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P
5007283,25200.0,25339.0,25413.0,25468.0,25523.0,25566.0,25617.0,25636.0,25669.0,25697.0,25778.0,25805.0,25837.0,25887.0,25924.0,25979.0,26021.0,26092.0,26111.0,26160.0,26224.0,26256.0,26303.0,26352.0,26426.0,26454.0,26501.0,26541.0,26568.0,26603.0,26665.0,26747.0,26790.0,26907.0,26998.0,27088.0,27126.0,27192.0,27222.0,27258.0,27307.0,27362.0,27406.0,27478.0,27519.0,27587.0,27619.0,27666.0,27703.0,27767.0,27806.0,27892.0,27970.0,28028.0,28087.0,28144.0,28201.0,28247.0,28323.0,28397.0,28496.0,28576.0,28847.0,28925.0,29215.0
5009041,44100.0,44207.0,44264.0,44329.0,44394.0,44448.0,44512.0,44536.0,44578.0,44615.0,44725.0,44762.0,44799.0,44856.0,44899.0,44962.0,45010.0,45084.0,45107.0,45167.0,45267.0,45317.0,45391.0,45465.0,45579.0,45616.0,45677.0,45717.0,45744.0,45779.0,45829.0,45896.0,45935.0,46040.0,46122.0,46203.0,46237.0,46297.0,46323.0,46345.0,46377.0,46413.0,46454.0,46522.0,46549.0,46594.0,46623.0,46665.0,46698.0,46755.0,46796.0,46887.0,46965.0,47023.0,47069.0,47113.0,47158.0,47194.0,47253.0,47330.0,47457.0,47560.0,47905.0,47976.0,48238.0
5010740,39600.0,39725.0,39792.0,39861.0,39930.0,39983.0,40047.0,40071.0,40113.0,40148.0,40236.0,40265.0,40304.0,40364.0,40409.0,40475.0,40524.0,40604.0,40626.0,40684.0,40819.0,40887.0,40986.0,41067.0,41191.0,41231.0,41297.0,41337.0,41365.0,41401.0,41470.0,41563.0,41603.0,41712.0,41796.0,41880.0,41918.0,41985.0,42015.0,42040.0,42072.0,42109.0,42146.0,42208.0,42246.0,42308.0,42339.0,42385.0,42421.0,42483.0,42525.0,42620.0,42721.0,42785.0,42843.0,42899.0,42956.0,43002.0,43078.0,43175.0,43313.0,43425.0,43803.0,43874.0,44135.0
5011030,27000.0,27146.0,27223.0,27286.0,27348.0,27404.0,27470.0,27495.0,27539.0,27576.0,27682.0,27718.0,27755.0,27812.0,27854.0,27916.0,27962.0,28078.0,28100.0,28159.0,28253.0,28300.0,28368.0,28427.0,28516.0,28551.0,28610.0,28658.0,28691.0,28733.0,28807.0,28906.0,28950.0,29071.0,29165.0,29258.0,29306.0,29390.0,29428.0,29472.0,29545.0,29627.0,29688.0,29790.0,29839.0,29919.0,29959.0,30017.0,30063.0,30142.0,30191.0,30300.0,30421.0,30499.0,30567.0,30633.0,30699.0,30753.0,30842.0,30961.0,31094.0,31201.0,31562.0,31638.0,31917.0
5011374,26100.0,26214.0,26275.0,26327.0,26378.0,26408.0,26444.0,26457.0,26480.0,26500.0,26568.0,26591.0,26615.0,26651.0,26678.0,26718.0,26748.0,26816.0,26833.0,26878.0,26950.0,26986.0,27039.0,27086.0,27159.0,27188.0,27236.0,27274.0,27300.0,27333.0,27419.0,27533.0,27557.0,27622.0,27672.0,27721.0,27753.0,27809.0,27833.0,27868.0,27898.0,27931.0,27963.0,28015.0,28053.0,28116.0,28141.0,28178.0,28207.0,28258.0,28309.0,28423.0,28460.0,28478.0,28517.0,28555.0,28593.0,28624.0,28676.0,28801.0,28920.0,29016.0,29340.0,29419.0,29710.0
5011376,35100.0,35207.0,35264.0,35329.0,35394.0,35448.0,35512.0,35536.0,35578.0,35615.0,35725.0,35762.0,35799.0,35856.0,35899.0,35962.0,36010.0,36084.0,36107.0,36167.0,36267.0,36317.0,36391.0,36465.0,36579.0,36616.0,36677.0,36717.0,36744.0,36779.0,36829.0,36896.0,36935.0,37040.0,37122.0,37203.0,37237.0,37297.0,37323.0,37345.0,37377.0,37413.0,37454.0,37522.0,37549.0,37594.0,37623.0,37665.0,37698.0,37755.0,37796.0,37887.0,37965.0,38023.0,38069.0,38113.0,38158.0,38194.0,38253.0,38330.0,38457.0,38560.0,38905.0,38976.0,39238.0
5011378,45900.0,46047.0,46125.0,46195.0,46264.0,46300.0,46343.0,46359.0,46387.0,46412.0,46521.0,46558.0,46595.0,46652.0,46694.0,46756.0,46802.0,46874.0,46893.0,46943.0,47077.0,47144.0,47241.0,47328.0,47462.0,47504.0,47573.0,47613.0,47641.0,47676.0,47743.0,47832.0,47872.0,47980.0,48064.0,48147.0,48174.0,48222.0,48244.0,48269.0,48299.0,48333.0,48371.0,48434.0,48466.0,48519.0,48551.0,48599.0,48637.0,48702.0,48736.0,48812.0,48905.0,48979.0,49035.0,49089.0,49144.0,49188.0,49261.0,49331.0,49455.0,49555.0,49892.0,49964.0,50229.0
5011380,56700.0,56818.0,56881.0,56940.0,56998.0,57032.0,57072.0,57087.0,57113.0,57135.0,57254.0,57294.0,57323.0,57368.0,57402.0,57452.0,57490.0,57544.0,57556.0,57589.0,57690.0,57741.0,57814.0,57895.0,58018.0,58055.0,58116.0,58135.0,58148.0,58164.0,58183.0,58209.0,58258.0,58391.0,58494.0,58597.0,58637.0,58707.0,58739.0,58780.0,58809.0,58842.0,58878.0,58939.0,58962.0,58999.0,59032.0,59080.0,59118.0,59183.0,59222.0,59308.0,59403.0,59479.0,59521.0,59562.0,59603.0,59637.0,59692.0,59770.0,59903.0,60011.0,60373.0,60452.0,60743.0
5011960,37800.0,37925.0,37992.0,38061.0,38130.0,38183.0,38247.0,38271.0,38313.0,38348.0,38436.0,38465.0,38504.0,38564.0,38609.0,38675.0,38724.0,38804.0,38826.0,38884.0,39019.0,39087.0,39186.0,39267.0,39391.0,39431.0,39497.0,39537.0,39565.0,39601.0,39670.0,39763.0,39803.0,39912.0,39996.0,40080.0,40118.0,40185.0,40215.0,40240.0,40272.0,40309.0,40346.0,40408.0,40446.0,40508.0,40539.0,40585.0,40621.0,40683.0,40725.0,40820.0,40921.0,40985.0,41043.0,41099.0,41156.0,41202.0,41278.0,41375.0,41513.0,41625.0,42003.0,42074.0,42335.0
5011962,48600.0,48724.0,48790.0,48852.0,48914.0,48963.0,49022.0,49044.0,49083.0,49115.0,49206.0,49237.0,49274.0,49332.0,49375.0,49438.0,49486.0,49563.0,49586.0,49646.0,49748.0,49799.0,49873.0,49942.0,50048.0,50082.0,50140.0,50182.0,50211.0,50247.0,50322.0,50422.0,50460.0,50563.0,50643.0,50721.0,50757.0,50821.0,50850.0,50876.0,50916.0,50960.0,50994.0,51050.0,51081.0,51132.0,51164.0,51211.0,51248.0,51310.0,51342.0,51413.0,51501.0,51564.0,51621.0,51676.0,51732.0,51777.0,51852.0,51926.0,52055.0,52160.0,52512.0,52582.0,52842.0
