tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P
5104606,37800.0,37944.0,37978.0,38035.0,38128.0,38265.0,38275.0,38423.0,38539.0,38585.0,38814.0,39017.0,39157.0,39221.0,39259.0,39410.0,39470.0,39518.0,39575.0,39643.0,39673.0,39754.0,39854.0,39910.0,39973.0,40035.0,40074.0,40115.0,40179.0,40215.0,40329.0,40586.0,40646.0,40771.0,40844.0,40879.0,40930.0,40968.0,41073.0,41108.0,41136.0,41187.0,41225.0,41290.0,41338.0,41364.0,41384.0,41509.0
5104760,34800.0,34972.0,35008.0,35069.0,35185.0,35357.0,35369.0,35539.0,35672.0,35725.0,35986.0,36132.0,36280.0,36347.0,36386.0,36540.0,36593.0,36636.0,36687.0,36748.0,36775.0,36848.0,36938.0,36988.0,37045.0,37099.0,37133.0,37178.0,37251.0,37280.0,37383.0,37615.0,37669.0,37782.0,37848.0,37879.0,37923.0,37960.0,38062.0,38097.0,38125.0,38175.0,38211.0,38266.0,38307.0,38329.0,38346.0,38451.0
5104764,56400.0,56520.0,56563.0,56635.0,56776.0,56984.0,56999.0,57206.0,57369.0,57433.0,57754.0,58025.0,58173.0,58241.0,58300.0,58533.0,58602.0,58657.0,58723.0,58802.0,58837.0,58931.0,59046.0,59111.0,59182.0,59255.0,59300.0,59338.0,59411.0,59452.0,59613.0,59977.0,60062.0,60238.0,60341.0,60439.0,60582.0,60641.0,60803.0,60858.0,60902.0,60981.0,61039.0,61105.0,61153.0,61179.0,61199.0,61325.0
5105086,29400.0,29572.0,29608.0,29669.0,29785.0,29957.0,29969.0,30139.0,30272.0,30325.0,30586.0,30732.0,30880.0,30947.0,30986.0,31140.0,31193.0,31236.0,31287.0,31348.0,31375.0,31448.0,31538.0,31588.0,31645.0,31699.0,31733.0,31778.0,31851.0,31880.0,31983.0,32215.0,32269.0,32382.0,32448.0,32479.0,32523.0,32560.0,32662.0,32697.0,32725.0,32775.0,32811.0,32866.0,32907.0,32929.0,32946.0,33051.0
5107465,64200.0,64320.0,64363.0,64435.0,64576.0,64784.0,64799.0,65006.0,65169.0,65233.0,65554.0,65825.0,65973.0,66041.0,66100.0,66333.0,66402.0,66457.0,66523.0,66602.0,66637.0,66731.0,66846.0,66911.0,66982.0,67055.0,67100.0,67138.0,67211.0,67252.0,67413.0,67777.0,67862.0,68038.0,68141.0,68239.0,68382.0,68441.0,68603.0,68658.0,68702.0,68781.0,68839.0,68905.0,68953.0,68979.0,68999.0,69125.0
5107725,33600.0,33772.0,33808.0,33869.0,33985.0,34157.0,34169.0,34339.0,34472.0,34525.0,34786.0,34932.0,35080.0,35147.0,35186.0,35340.0,35393.0,35436.0,35487.0,35548.0,35575.0,35648.0,35738.0,35788.0,35845.0,35899.0,35933.0,35978.0,36051.0,36080.0,36183.0,36415.0,36469.0,36582.0,36648.0,36679.0,36723.0,36760.0,36862.0,36897.0,36925.0,36975.0,37011.0,37066.0,37107.0,37129.0,37146.0,37251.0
5110570,31200.0,31372.0,31408.0,31469.0,31585.0,31757.0,31769.0,31939.0,32072.0,32125.0,32386.0,32532.0,32680.0,32747.0,32786.0,32940.0,32993.0,33036.0,33087.0,33148.0,33175.0,33248.0,33338.0,33388.0,33445.0,33499.0,33533.0,33578.0,33651.0,33680.0,33783.0,34015.0,34069.0,34182.0,34248.0,34279.0,34323.0,34360.0,34462.0,34497.0,34525.0,34575.0,34611.0,34666.0,34707.0,34729.0,34746.0,34851.0
5111916,39600.0,39744.0,39778.0,39835.0,39928.0,40065.0,40075.0,40223.0,40339.0,40385.0,40614.0,40817.0,40957.0,41021.0,41059.0,41210.0,41270.0,41318.0,41375.0,41443.0,41473.0,41554.0,41654.0,41710.0,41773.0,41835.0,41874.0,41915.0,41979.0,42015.0,42129.0,42386.0,42446.0,42571.0,42644.0,42679.0,42730.0,42768.0,42873.0,42908.0,42936.0,42987.0,43025.0,43090.0,43138.0,43164.0,43184.0,43309.0
5112022,73200.0,73320.0,73365.0,73440.0,73556.0,73728.0,73740.0,73872.0,73976.0,74017.0,74220.0,74400.0,74482.0,74520.0,74557.0,74700.0,74744.0,74780.0,74822.0,74873.0,74896.0,74957.0,75031.0,75073.0,75120.0,75194.0,75240.0,75360.0,75480.0,75600.0,75676.0,75848.0,75888.0,75971.0,76020.0,76069.0,76140.0,76187.0,76315.0,76358.0,76392.0,76454.0,76500.0,76569.0,76620.0,76648.0,76669.0,76800.0
5112260,42000.0,42144.0,42178.0,42235.0,42328.0,42465.0,42475.0,42623.0,42739.0,42785.0,43014.0,43217.0,43357.0,43421.0,43459.0,43610.0,43670.0,43718.0,43775.0,43843.0,43873.0,43954.0,44054.0,44110.0,44173.0,44235.0,44274.0,44315.0,44379.0,44415.0,44529.0,44786.0,44846.0,44971.0,45044.0,45079.0,45130.0,45168.0,45273.0,45308.0,45336.0,45387.0,45425.0,45490.0,45538.0,45564.0,45584.0,45709.0
5113790,54000.0,54120.0,54163.0,54235.0,54376.0,54584.0,54599.0,54806.0,54969.0,55033.0,55354.0,55625.0,55773.0,55841.0,55900.0,56133.0,56202.0,56257.0,56323.0,56402.0,56437.0,56531.0,56646.0,56711.0,56782.0,56855.0,56900.0,56938.0,57011.0,57052.0,57213.0,57577.0,57662.0,57838.0,57941.0,58039.0,58182.0,58241.0,58403.0,58458.0,58502.0,58581.0,58639.0,58705.0,58753.0,58779.0,58799.0,58925.0
5113792,66000.0,66120.0,66163.0,66235.0,66376.0,66584.0,66599.0,66806.0,66969.0,67033.0,67354.0,67625.0,67773.0,67841.0,67900.0,68133.0,68202.0,68257.0,68323.0,68402.0,68437.0,68531.0,68646.0,68711.0,68782.0,68855.0,68900.0,68938.0,69011.0,69052.0,69213.0,69577.0,69662.0,69838.0,69941.0,70039.0,70182.0,70241.0,70403.0,70458.0,70502.0,70581.0,70639.0,70705.0,70753.0,70779.0,70799.0,70925.0
5116838,58500.0,58620.0,58663.0,58735.0,58876.0,59084.0,59099.0,59306.0,59469.0,59533.0,59854.0,60125.0,60273.0,60341.0,60400.0,60633.0,60702.0,60757.0,60823.0,60902.0,60937.0,61031.0,61146.0,61211.0,61282.0,61355.0,61400.0,61438.0,61511.0,61552.0,61713.0,62077.0,62162.0,62338.0,62441.0,62539.0,62682.0,62741.0,62903.0,62958.0,63002.0,63081.0,63139.0,63205.0,63253.0,63279.0,63299.0,63425.0
5116840,70800.0,70920.0,70965.0,71040.0,71156.0,71328.0,71340.0,71472.0,71576.0,71617.0,71820.0,72000.0,72082.0,72120.0,72157.0,72300.0,72344.0,72380.0,72422.0,72473.0,72496.0,72557.0,72631.0,72673.0,72720.0,72794.0,72840.0,72960.0,73080.0,73200.0,73276.0,73448.0,73488.0,73571.0,73620.0,73669.0,73740.0,73787.0,73915.0,73958.0,73992.0,74054.0,74100.0,74169.0,74220.0,74248.0,74269.0,74400.0
