tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P
5003836,61800.0,61846.0,61884.0,61933.0,61998.0,62035.0,62091.0,62125.0,62166.0,62225.0,62266.0,62307.0,62355.0,62413.0,62483.0,62538.0,62616.0,62715.0,62769.0,62894.0,63131.0,63492.0,63650.0,63745.0,63807.0,63888.0,63961.0,64015.0,64124.0,64227.0,64292.0,64343.0,64475.0,64534.0,64595.0,64633.0,64667.0,64737.0,64795.0,64910.0,65009.0,65045.0,65115.0,65161.0,65223.0,65293.0,65373.0,65411.0,65461.0,65492.0,65529.0,65546.0,65576.0,65604.0,65636.0,65674.0,65714.0,65764.0,65801.0,65870.0,65916.0
5004175,36000.0,36046.0,36084.0,36133.0,36198.0,36235.0,36293.0,36328.0,36370.0,36440.0,36489.0,36537.0,36593.0,36666.0,36754.0,36820.0,36915.0,37048.0,37120.0,37251.0,37496.0,37819.0,37961.0,38047.0,38104.0,38170.0,38230.0,38278.0,38358.0,38434.0,38482.0,38519.0,38593.0,38626.0,38680.0,38714.0,38743.0,38797.0,38842.0,38912.0,38972.0,39000.0,39055.0,39091.0,39130.0,39174.0,39223.0,39249.0,39282.0,39308.0,39339.0,39353.0,39383.0,39411.0,39443.0,39481.0,39521.0,39571.0,39608.0,39677.0,39723.0
5004177,46800.0,46846.0,46884.0,46934.0,47000.0,47038.0,47096.0,47131.0,47173.0,47228.0,47266.0,47304.0,47349.0,47409.0,47481.0,47532.0,47606.0,47704.0,47758.0,47871.0,48106.0,48421.0,48559.0,48651.0,48711.0,48775.0,48834.0,48879.0,48954.0,49025.0,49070.0,49105.0,49206.0,49251.0,49309.0,49346.0,49378.0,49437.0,49487.0,49567.0,49635.0,49670.0,49739.0,49776.0,49840.0,49912.0,49994.0,50030.0,50077.0,50107.0,50142.0,50158.0,50188.0,50216.0,50248.0,50286.0,50326.0,50376.0,50413.0,50482.0,50528.0
5004179,57600.0,57646.0,57684.0,57733.0,57798.0,57835.0,57891.0,57925.0,57966.0,58025.0,58066.0,58107.0,58155.0,58213.0,58283.0,58338.0,58416.0,58515.0,58569.0,58694.0,58931.0,59292.0,59450.0,59545.0,59607.0,59688.0,59761.0,59815.0,59924.0,60027.0,60092.0,60143.0,60275.0,60334.0,60395.0,60433.0,60467.0,60537.0,60595.0,60710.0,60809.0,60845.0,60915.0,60961.0,61023.0,61093.0,61173.0,61211.0,61261.0,61292.0,61329.0,61346.0,61376.0,61404.0,61436.0,61474.0,61514.0,61564.0,61601.0,61670.0,61716.0
5004181,70200.0,70239.0,70272.0,70314.0,70370.0,70403.0,70455.0,70487.0,70525.0,70631.0,70704.0,70776.0,70861.0,70923.0,70996.0,71046.0,71117.0,71199.0,71243.0,71380.0,71583.0,71848.0,71964.0,72049.0,72104.0,72174.0,72238.0,72282.0,72357.0,72428.0,72473.0,72509.0,72585.0,72618.0,72669.0,72701.0,72730.0,72779.0,72819.0,72899.0,72968.0,72996.0,73050.0,73086.0,73123.0,73165.0,73211.0,73242.0,73281.0,73308.0,73340.0,73355.0,73385.0,73413.0,73445.0,73483.0,73523.0,73573.0,73610.0,73679.0,73725.0
5004557,46800.0,46853.0,46896.0,46953.0,47028.0,47071.0,47140.0,47182.0,47231.0,47287.0,47326.0,47364.0,47409.0,47460.0,47520.0,47582.0,47670.0,47744.0,47785.0,47870.0,48100.0,48441.0,48590.0,48678.0,48736.0,48789.0,48837.0,48884.0,48952.0,49017.0,49058.0,49090.0,49160.0,49191.0,49239.0,49269.0,49295.0,49348.0,49393.0,49465.0,49526.0,49557.0,49616.0,49649.0,49690.0,49737.0,49789.0,49823.0,49866.0,49894.0,49928.0,49943.0,49973.0,50001.0,50033.0,50071.0,50111.0,50161.0,50198.0,50267.0,50313.0
5004559,57600.0,57637.0,57667.0,57706.0,57758.0,57789.0,57838.0,57868.0,57904.0,57951.0,57984.0,58016.0,58054.0,58100.0,58154.0,58198.0,58261.0,58338.0,58380.0,58480.0,58710.0,58971.0,59086.0,59173.0,59230.0,59284.0,59334.0,59378.0,59451.0,59520.0,59564.0,59599.0,59670.0,59701.0,59750.0,59781.0,59808.0,59859.0,59902.0,59962.0,60013.0,60044.0,60104.0,60143.0,60180.0,60223.0,60271.0,60293.0,60322.0,60353.0,60390.0,60407.0,60437.0,60464.0,60496.0,60534.0,60574.0,60623.0,60660.0,60729.0,60775.0
5004561,68400.0,68440.0,68473.0,68516.0,68572.0,68604.0,68658.0,68691.0,68731.0,68778.0,68811.0,68843.0,68880.0,68931.0,68992.0,69041.0,69112.0,69195.0,69240.0,69375.0,69617.0,69931.0,70069.0,70165.0,70227.0,70294.0,70355.0,70388.0,70455.0,70519.0,70559.0,70590.0,70650.0,70676.0,70722.0,70751.0,70776.0,70815.0,70848.0,70908.0,70960.0,70985.0,71033.0,71050.0,71085.0,71124.0,71168.0,71201.0,71243.0,71266.0,71294.0,71307.0,71337.0,71364.0,71396.0,71434.0,71473.0,71522.0,71558.0,71627.0,71673.0
5004563,75600.0,75622.0,75640.0,75664.0,75695.0,75714.0,75753.0,75776.0,75804.0,75833.0,75853.0,75873.0,75896.0,75932.0,75974.0,76004.0,76047.0,76099.0,76128.0,76291.0,76469.0,76721.0,76831.0,76914.0,76968.0,77040.0,77105.0,77137.0,77182.0,77224.0,77251.0,77271.0,77318.0,77339.0,77379.0,77404.0,77427.0,77460.0,77488.0,77541.0,77586.0,77607.0,77649.0,77674.0,77709.0,77749.0,77793.0,77815.0,77843.0,77859.0,77878.0,77886.0,77916.0,77944.0,77976.0,78014.0,78054.0,78104.0,78141.0,78210.0,78256.0
5004565,82800.0,82822.0,82840.0,82864.0,82895.0,82914.0,82953.0,82976.0,83004.0,83033.0,83053.0,83073.0,83096.0,83132.0,83174.0,83204.0,83247.0,83299.0,83328.0,83491.0,83669.0,83921.0,84031.0,84114.0,84168.0,84240.0,84305.0,84337.0,84382.0,84424.0,84451.0,84471.0,84518.0,84539.0,84579.0,84604.0,84627.0,84660.0,84688.0,84741.0,84786.0,84807.0,84849.0,84874.0,84909.0,84949.0,84993.0,85015.0,85043.0,85059.0,85078.0,85086.0,85116.0,85144.0,85176.0,85214.0,85254.0,85304.0,85341.0,85410.0,85456.0
