tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P
0,956.0,957.0,958.0,959.0,960.0,961.0,962.0,963.0,964.0,965.0,966.0,967.0,968.0,1252.0,1228.0,1244.0,4597.0,1246.0,1229.0,5174.0,6078.0,7112.0,972.0,973.0,974.0,975.0,5055.0,976.0,127.0,112.0,113.0,128.0,129.0,130.0,131.0,132.0,7458.0,979.0,980.0,981.0,1576.0,1577.0,1578.0,4364.0,1579.0,1580.0,7237.0,7241.0,7247.0,7243.0,7334.0,6274.0,1838.0,2338.0,2290.0,6179.0,6180.0,7297.0,7389.0,7025.0
5014829,72000.0,72046.0,72099.0,72126.0,72174.0,72219.0,72270.0,72309.0,72367.0,72417.0,72520.0,72553.0,72595.0,72662.0,72724.0,72756.0,72873.0,73006.0,73037.0,73064.0,73093.0,73159.0,73221.0,73314.0,73391.0,73476.0,73558.0,73600.0,73658.0,73723.0,73809.0,73895.0,73938.0,73959.0,73991.0,74025.0,74085.0,74167.0,74242.0,74277.0,74355.0,74384.0,74409.0,74471.0,74493.0,74556.0,74593.0,74617.0,74640.0,74682.0,74719.0,74776.0,74804.0,74852.0,74924.0,74977.0,74986.0,75000.0,75086.0,75308.0
