tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P
5096274,61200.0,61320.0,61365.0,61440.0,61556.0,61728.0,61740.0,61867.0,61967.0,62007.0,62160.0,62400.0,62470.0,62547.0,62677.0,62760.0,62793.0,62880.0,62936.0,62987.0,63027.0,63055.0,63120.0,63180.0,63227.0,63300.0,63360.0,63417.0,63480.0,63554.0,63600.0,63660.0,63720.0,63754.0,63780.0,63834.0,63922.0,63963.0,64020.0,64080.0,64125.0,64215.0,64260.0,64326.0,64357.0,64390.0,64457.0,64500.0,64553.0,64605.0,64677.0,64747.0,64800.0,64954.0,64987.0,65036.0,65099.0,65140.0,65220.0
5096276,70200.0,70320.0,70342.0,70380.0,70473.0,70610.0,70620.0,70747.0,70847.0,70887.0,71040.0,71280.0,71338.0,71402.0,71510.0,71580.0,71613.0,71700.0,71742.0,71780.0,71810.0,71831.0,71880.0,71940.0,71987.0,72060.0,72120.0,72148.0,72180.0,72254.0,72300.0,72360.0,72420.0,72454.0,72480.0,72521.0,72587.0,72618.0,72660.0,72720.0,72750.0,72810.0,72840.0,72890.0,72913.0,72938.0,72988.0,73020.0,73062.0,73103.0,73161.0,73217.0,73260.0,73414.0,73447.0,73496.0,73559.0,73600.0,73680.0
5096278,77400.0,77520.0,77542.0,77580.0,77650.0,77753.0,77760.0,77851.0,77922.0,77950.0,78060.0,78180.0,78227.0,78278.0,78365.0,78420.0,78453.0,78540.0,78568.0,78594.0,78614.0,78628.0,78660.0,78720.0,78744.0,78780.0,78840.0,78868.0,78900.0,78937.0,78960.0,79020.0,79080.0,79114.0,79140.0,79181.0,79247.0,79278.0,79320.0,79380.0,79410.0,79470.0,79500.0,79550.0,79573.0,79598.0,79648.0,79680.0,79722.0,79763.0,79821.0,79877.0,79920.0,80052.0,80081.0,80123.0,80177.0,80212.0,80280.0
5096280,84000.0,84120.0,84142.0,84180.0,84250.0,84353.0,84360.0,84451.0,84522.0,84550.0,84660.0,84780.0,84827.0,84878.0,84965.0,85020.0,85053.0,85140.0,85168.0,85194.0,85214.0,85228.0,85260.0,85320.0,85344.0,85380.0,85440.0,85468.0,85500.0,85537.0,85560.0,85620.0,85680.0,85714.0,85740.0,85781.0,85847.0,85878.0,85920.0,85980.0,86010.0,86070.0,86100.0,86150.0,86173.0,86198.0,86248.0,86280.0,86322.0,86363.0,86421.0,86477.0,86520.0,86652.0,86681.0,86723.0,86777.0,86812.0,86880.0
5097104,60300.0,60480.0,60547.0,60660.0,60846.0,61121.0,61140.0,61322.0,61465.0,61521.0,61740.0,62040.0,62122.0,62212.0,62364.0,62460.0,62509.0,62640.0,62710.0,62774.0,62824.0,62859.0,62940.0,63000.0,63047.0,63120.0,63300.0,63385.0,63480.0,63554.0,63600.0,63660.0,63720.0,63754.0,63780.0,63848.0,63958.0,64010.0,64080.0,64200.0,64245.0,64335.0,64380.0,64446.0,64477.0,64510.0,64577.0,64620.0,64673.0,64725.0,64797.0,64867.0,64920.0,65074.0,65107.0,65156.0,65219.0,65260.0,65340.0
5097417,30900.0,30903.0,30935.0,30988.0,31099.0,31264.0,31276.0,31441.0,31571.0,31622.0,31820.0,31939.0,32000.0,32067.0,32180.0,32253.0,32286.0,32376.0,32423.0,32466.0,32499.0,32522.0,32577.0,32615.0,32655.0,32717.0,32820.0,32873.0,32933.0,32988.0,33023.0,33051.0,33114.0,33150.0,33177.0,33231.0,33319.0,33360.0,33416.0,33481.0,33510.0,33568.0,33598.0,33640.0,33659.0,33680.0,33722.0,33750.0,33786.0,33821.0,33870.0,33917.0,33951.0,34075.0,34102.0,34142.0,34193.0,34226.0,34289.0
5097419,40500.0,40504.0,40551.0,40631.0,40750.0,40926.0,40938.0,41115.0,41254.0,41309.0,41521.0,41661.0,41729.0,41804.0,41930.0,42010.0,42053.0,42168.0,42210.0,42249.0,42279.0,42300.0,42349.0,42394.0,42428.0,42480.0,42675.0,42749.0,42832.0,42905.0,42950.0,42989.0,43037.0,43074.0,43103.0,43163.0,43260.0,43306.0,43368.0,43428.0,43458.0,43518.0,43549.0,43616.0,43647.0,43680.0,43748.0,43793.0,43840.0,43885.0,43949.0,44010.0,44056.0,44184.0,44212.0,44253.0,44305.0,44339.0,44406.0
5097421,51300.0,51303.0,51339.0,51400.0,51516.0,51687.0,51699.0,51899.0,52056.0,52118.0,52359.0,52458.0,52565.0,52684.0,52884.0,53011.0,53072.0,53235.0,53287.0,53335.0,53372.0,53398.0,53459.0,53546.0,53595.0,53671.0,53795.0,53898.0,54012.0,54085.0,54130.0,54150.0,54189.0,54224.0,54251.0,54370.0,54565.0,54656.0,54781.0,54840.0,54875.0,54945.0,54981.0,55041.0,55069.0,55099.0,55159.0,55198.0,55239.0,55279.0,55334.0,55387.0,55427.0,55557.0,55585.0,55627.0,55680.0,55715.0,55783.0
5097423,62100.0,62280.0,62347.0,62460.0,62646.0,62921.0,62940.0,63122.0,63265.0,63321.0,63540.0,63840.0,63922.0,64012.0,64164.0,64260.0,64309.0,64440.0,64510.0,64574.0,64624.0,64659.0,64740.0,64800.0,64847.0,64920.0,65100.0,65185.0,65280.0,65354.0,65400.0,65460.0,65520.0,65554.0,65580.0,65648.0,65758.0,65810.0,65880.0,66000.0,66045.0,66135.0,66180.0,66246.0,66277.0,66310.0,66377.0,66420.0,66473.0,66525.0,66597.0,66667.0,66720.0,66874.0,66907.0,66956.0,67019.0,67060.0,67140.0
5097936,32400.0,32520.0,32542.0,32580.0,32650.0,32753.0,32760.0,32833.0,32890.0,32913.0,33000.0,33120.0,33167.0,33218.0,33305.0,33360.0,33393.0,33480.0,33522.0,33560.0,33590.0,33611.0,33660.0,33720.0,33744.0,33780.0,33840.0,33868.0,33900.0,33937.0,33960.0,34020.0,34080.0,34114.0,34140.0,34181.0,34247.0,34278.0,34320.0,34380.0,34410.0,34470.0,34500.0,34533.0,34548.0,34564.0,34597.0,34620.0,34652.0,34683.0,34726.0,34768.0,34800.0,34932.0,34961.0,35003.0,35057.0,35092.0,35160.0
