tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P
5113830,41100.0,41120.0,41161.0,41179.0,41207.0,41237.0,41270.0,41281.0,41299.0,41312.0,41340.0,41437.0,41520.0,41559.0,41580.0,41649.0,41693.0,41760.0,41784.0,41820.0,41880.0,41932.0,41955.0,42000.0,42028.0,42060.0,42103.0,42190.0,42240.0,42290.0,42360.0,42412.0,42480.0,42660.0,42690.0,42714.0,42746.0,42780.0,42948.0,42960.0,43068.0,43153.0,43213.0,43255.0,43380.0,43440.0,43463.0,43620.0,43712.0,43800.0,43920.0,43970.0,43991.0,44040.0,44076.0,44123.0,44167.0,44220.0,44262.0,44355.0,44400.0,44420.0,44436.0,44470.0,44486.0,44517.0,44546.0,44580.0
5113832,51900.0,51920.0,51961.0,51979.0,52007.0,52037.0,52070.0,52081.0,52099.0,52112.0,52140.0,52237.0,52320.0,52438.0,52500.0,52592.0,52651.0,52740.0,52787.0,52860.0,52920.0,52972.0,52995.0,53040.0,53068.0,53100.0,53143.0,53230.0,53280.0,53330.0,53400.0,53478.0,53580.0,53760.0,53790.0,53814.0,53846.0,53880.0,54048.0,54060.0,54183.0,54280.0,54348.0,54396.0,54540.0,54600.0,54623.0,54780.0,54872.0,54960.0,55080.0,55155.0,55187.0,55260.0,55296.0,55343.0,55387.0,55440.0,55482.0,55575.0,55620.0,55640.0,55656.0,55690.0,55706.0,55737.0,55766.0,55800.0
5113834,64800.0,64840.0,64922.0,64958.0,65015.0,65076.0,65142.0,65164.0,65200.0,65226.0,65283.0,65314.0,65341.0,65407.0,65441.0,65494.0,65528.0,65580.0,65622.0,65688.0,65742.0,65813.0,65845.0,65906.0,65957.0,66015.0,66058.0,66145.0,66195.0,66252.0,66333.0,66389.0,66461.0,66549.0,66612.0,66664.0,66733.0,66804.0,66978.0,66991.0,67271.0,67491.0,67646.0,67755.0,68079.0,68182.0,68203.0,68347.0,68427.0,68504.0,68620.0,68711.0,68749.0,68838.0,68880.0,68935.0,68988.0,69051.0,69106.0,69229.0,69288.0,69323.0,69350.0,69408.0,69436.0,69490.0,69541.0,69602.0
5113928,27600.0,27631.0,27695.0,27723.0,27767.0,27814.0,27865.0,27882.0,27910.0,27931.0,27974.0,28017.0,28053.0,28111.0,28141.0,28204.0,28244.0,28305.0,28369.0,28467.0,28525.0,28609.0,28647.0,28719.0,28747.0,28779.0,28804.0,28855.0,28885.0,28928.0,28988.0,29036.0,29099.0,29224.0,29270.0,29307.0,29357.0,29408.0,29551.0,29561.0,29699.0,29808.0,29885.0,29939.0,30099.0,30173.0,30189.0,30297.0,30358.0,30417.0,30479.0,30526.0,30545.0,30590.0,30620.0,30660.0,30698.0,30744.0,30778.0,30855.0,30892.0,30926.0,30953.0,31011.0,31038.0,31091.0,31141.0,31201.0
5113930,39300.0,39320.0,39361.0,39379.0,39407.0,39437.0,39470.0,39481.0,39499.0,39512.0,39540.0,39637.0,39720.0,39759.0,39780.0,39849.0,39893.0,39960.0,39984.0,40020.0,40080.0,40132.0,40155.0,40200.0,40228.0,40260.0,40303.0,40390.0,40440.0,40490.0,40560.0,40612.0,40680.0,40860.0,40890.0,40914.0,40946.0,40980.0,41148.0,41160.0,41268.0,41353.0,41413.0,41455.0,41580.0,41640.0,41663.0,41820.0,41912.0,42000.0,42120.0,42170.0,42191.0,42240.0,42276.0,42323.0,42367.0,42420.0,42462.0,42555.0,42600.0,42620.0,42636.0,42670.0,42686.0,42717.0,42746.0,42780.0
5113932,50100.0,50120.0,50161.0,50179.0,50207.0,50237.0,50270.0,50281.0,50299.0,50312.0,50340.0,50437.0,50520.0,50638.0,50700.0,50792.0,50851.0,50940.0,50987.0,51060.0,51120.0,51172.0,51195.0,51240.0,51268.0,51300.0,51343.0,51430.0,51480.0,51530.0,51600.0,51678.0,51780.0,51960.0,51990.0,52014.0,52046.0,52080.0,52248.0,52260.0,52383.0,52480.0,52548.0,52596.0,52740.0,52800.0,52823.0,52980.0,53072.0,53160.0,53280.0,53355.0,53387.0,53460.0,53496.0,53543.0,53587.0,53640.0,53682.0,53775.0,53820.0,53840.0,53856.0,53890.0,53906.0,53937.0,53966.0,54000.0
5113933,60000.0,60040.0,60122.0,60158.0,60215.0,60276.0,60342.0,60364.0,60400.0,60426.0,60483.0,60514.0,60541.0,60607.0,60641.0,60694.0,60728.0,60780.0,60822.0,60888.0,60942.0,61013.0,61045.0,61106.0,61157.0,61215.0,61258.0,61345.0,61395.0,61452.0,61533.0,61589.0,61661.0,61749.0,61812.0,61864.0,61933.0,62004.0,62178.0,62191.0,62471.0,62691.0,62846.0,62955.0,63279.0,63382.0,63403.0,63547.0,63627.0,63704.0,63820.0,63911.0,63949.0,64038.0,64080.0,64135.0,64188.0,64251.0,64306.0,64429.0,64488.0,64523.0,64550.0,64608.0,64636.0,64690.0,64741.0,64802.0
5113935,72000.0,72032.0,72097.0,72125.0,72170.0,72218.0,72270.0,72287.0,72315.0,72336.0,72380.0,72413.0,72441.0,72471.0,72487.0,72533.0,72562.0,72606.0,72644.0,72703.0,72751.0,72825.0,72858.0,72923.0,72953.0,72987.0,73008.0,73050.0,73075.0,73125.0,73195.0,73240.0,73298.0,73368.0,73408.0,73441.0,73485.0,73530.0,73684.0,73695.0,73912.0,74083.0,74203.0,74288.0,74539.0,74622.0,74636.0,74732.0,74797.0,74859.0,74954.0,75141.0,75219.0,75401.0,75433.0,75475.0,75515.0,75563.0,75598.0,75677.0,75716.0,75748.0,75773.0,75827.0,75852.0,75902.0,75949.0,76004.0
5113937,82200.0,82220.0,82261.0,82279.0,82307.0,82337.0,82370.0,82381.0,82399.0,82412.0,82440.0,82570.0,82680.0,82759.0,82800.0,82869.0,82913.0,82980.0,83004.0,83040.0,83100.0,83152.0,83175.0,83220.0,83248.0,83280.0,83309.0,83367.0,83400.0,83425.0,83460.0,83512.0,83580.0,83700.0,83715.0,83727.0,83743.0,83760.0,83928.0,83940.0,84017.0,84078.0,84121.0,84151.0,84240.0,84300.0,84308.0,84360.0,84421.0,84480.0,84540.0,84590.0,84611.0,84660.0,84684.0,84715.0,84745.0,84780.0,84822.0,84915.0,84960.0,84980.0,84996.0,85030.0,85046.0,85077.0,85106.0,85140.0
5114835,34200.0,34249.0,34348.0,34391.0,34460.0,34533.0,34612.0,34639.0,34682.0,34714.0,34782.0,34819.0,34851.0,34929.0,34969.0,35032.0,35072.0,35133.0,35195.0,35291.0,35358.0,35452.0,35494.0,35575.0,35605.0,35638.0,35681.0,35767.0,35816.0,35866.0,35936.0,36067.0,36236.0,36371.0,36426.0,36471.0,36531.0,36592.0,36802.0,36817.0,37067.0,37264.0,37403.0,37501.0,37791.0,37871.0,37889.0,38009.0,38065.0,38119.0,38205.0,38259.0,38282.0,38334.0,38365.0,38406.0,38445.0,38492.0,38524.0,38596.0,38630.0,38660.0,38684.0,38735.0,38759.0,38806.0,38851.0,38904.0
5114837,44700.0,44720.0,44761.0,44779.0,44807.0,44837.0,44870.0,44881.0,44899.0,44912.0,44940.0,45037.0,45120.0,45238.0,45300.0,45392.0,45451.0,45540.0,45587.0,45660.0,45720.0,45772.0,45795.0,45840.0,45868.0,45900.0,45943.0,46030.0,46080.0,46130.0,46200.0,46278.0,46380.0,46560.0,46590.0,46614.0,46646.0,46680.0,46848.0,46860.0,46983.0,47080.0,47148.0,47196.0,47340.0,47400.0,47423.0,47580.0,47672.0,47760.0,47880.0,47955.0,47987.0,48060.0,48096.0,48143.0,48187.0,48240.0,48282.0,48375.0,48420.0,48440.0,48456.0,48490.0,48506.0,48537.0,48566.0,48600.0
5114839,63600.0,63640.0,63722.0,63758.0,63815.0,63876.0,63942.0,63964.0,64000.0,64026.0,64083.0,64114.0,64141.0,64207.0,64241.0,64294.0,64328.0,64380.0,64422.0,64488.0,64542.0,64613.0,64645.0,64706.0,64757.0,64815.0,64858.0,64945.0,64995.0,65052.0,65133.0,65189.0,65261.0,65349.0,65412.0,65464.0,65533.0,65604.0,65778.0,65791.0,66071.0,66291.0,66446.0,66555.0,66879.0,66982.0,67003.0,67147.0,67227.0,67304.0,67420.0,67511.0,67549.0,67638.0,67680.0,67735.0,67788.0,67851.0,67906.0,68029.0,68088.0,68123.0,68150.0,68208.0,68236.0,68290.0,68341.0,68402.0
5117333,55200.0,55240.0,55322.0,55358.0,55415.0,55476.0,55542.0,55564.0,55600.0,55626.0,55683.0,55714.0,55741.0,55807.0,55841.0,55894.0,55928.0,55980.0,56022.0,56088.0,56142.0,56213.0,56245.0,56306.0,56357.0,56415.0,56458.0,56545.0,56595.0,56652.0,56733.0,56789.0,56861.0,56949.0,57012.0,57064.0,57133.0,57204.0,57378.0,57391.0,57671.0,57891.0,58046.0,58155.0,58479.0,58582.0,58603.0,58747.0,58827.0,58904.0,59020.0,59111.0,59149.0,59238.0,59280.0,59335.0,59388.0,59451.0,59506.0,59629.0,59688.0,59723.0,59750.0,59808.0,59836.0,59890.0,59941.0,60002.0
