tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P
0,7347.0,3669.0,7349.0,1631.0,1632.0,5053.0,1633.0,1634.0,1635.0,1636.0,1637.0,1638.0,1639.0,1640.0,231.0,232.0,233.0,234.0,235.0,236.0,237.0,213.0,214.0,4432.0,119.0,44.0,7603.0,45.0,46.0,47.0,48.0,49.0,51.0,52.0,262.0,270.0,336.0,1279.0,1282.0,4456.0,1284.0,1285.0,1287.0,1288.0,1289.0,1290.0,1291.0,1292.0,1293.0,1294.0,1295.0,1296.0,1297.0,1298.0,1299.0,1300.0,1301.0,1302.0,1303.0,1304.0,1305.0,1320.0,1321.0,1322.0,1323.0,1324.0,7068.0,2966.0,2967.0,2968.0,2969.0,2970.0,2971.0,5051.0,5052.0,2975.0
5002517,31200.0,31294.0,31362.0,31442.0,31460.0,31490.0,31518.0,31591.0,31608.0,31650.0,31720.0,31757.0,31863.0,31933.0,31998.0,32129.0,32194.0,32237.0,32321.0,32352.0,32481.0,32527.0,32575.0,32624.0,32675.0,32735.0,32778.0,32830.0,32902.0,32988.0,33053.0,33146.0,33255.0,33314.0,33457.0,33656.0,33917.0,34125.0,34318.0,34397.0,34452.0,34562.0,34722.0,34775.0,34826.0,34894.0,34989.0,35045.0,35098.0,35140.0,35191.0,35234.0,35288.0,35317.0,35375.0,35429.0,35486.0,35514.0,35553.0,35579.0,35627.0,35666.0,35699.0,35724.0,35748.0,35774.0,35815.0,35848.0,35880.0,35911.0,35940.0,35970.0,36064.0,36205.0,36235.0,36277.0
5002519,45360.0,45454.0,45522.0,45602.0,45620.0,45650.0,45678.0,45751.0,45766.0,45804.0,45877.0,45917.0,46014.0,46108.0,46174.0,46305.0,46370.0,46404.0,46471.0,46496.0,46599.0,46637.0,46679.0,46721.0,46766.0,46821.0,46861.0,46908.0,46972.0,47049.0,47109.0,47196.0,47292.0,47345.0,47549.0,47728.0,47946.0,48120.0,48281.0,48376.0,48433.0,48548.0,48717.0,48786.0,48853.0,48943.0,49035.0,49102.0,49165.0,49215.0,49277.0,49333.0,49403.0,49440.0,49504.0,49563.0,49625.0,49657.0,49704.0,49733.0,49789.0,49840.0,49884.0,49917.0,49948.0,49982.0,50036.0,50080.0,50113.0,50145.0,50175.0,50207.0,50262.0,50343.0,50375.0,50432.0
5002521,58200.0,58307.0,58385.0,58477.0,58497.0,58531.0,58563.0,58646.0,58665.0,58715.0,58789.0,58836.0,58929.0,59046.0,59121.0,59271.0,59345.0,59404.0,59519.0,59562.0,59739.0,59801.0,59852.0,59904.0,59959.0,60011.0,60048.0,60092.0,60158.0,60236.0,60301.0,60394.0,60510.0,60573.0,60789.0,60969.0,61230.0,61438.0,61630.0,61719.0,61782.0,61908.0,62091.0,62193.0,62292.0,62423.0,62539.0,62623.0,62702.0,62765.0,62841.0,62900.0,62973.0,63012.0,63090.0,63162.0,63237.0,63276.0,63334.0,63363.0,63418.0,63471.0,63516.0,63550.0,63582.0,63617.0,63673.0,63717.0,63750.0,63782.0,63812.0,63844.0,63898.0,63979.0,64012.0,64062.0
5002595,46800.0,46892.0,46959.0,47038.0,47055.0,47084.0,47112.0,47182.0,47195.0,47229.0,47296.0,47342.0,47437.0,47544.0,47620.0,47772.0,47847.0,47888.0,47969.0,47999.0,48123.0,48166.0,48209.0,48253.0,48301.0,48350.0,48385.0,48426.0,48494.0,48574.0,48627.0,48704.0,48791.0,48838.0,48993.0,49166.0,49407.0,49599.0,49777.0,49869.0,49917.0,50014.0,50155.0,50205.0,50253.0,50317.0,50392.0,50459.0,50522.0,50572.0,50633.0,50689.0,50758.0,50795.0,50869.0,50937.0,51009.0,51036.0,51078.0,51196.0,51420.0,51478.0,51528.0,51566.0,51602.0,51641.0,51703.0,51753.0,51798.0,51842.0,51883.0,51928.0,51994.0,52092.0,52117.0,52164.0
5002597,59760.0,59833.0,59886.0,59948.0,59962.0,59985.0,60007.0,60063.0,60073.0,60097.0,60154.0,60195.0,60270.0,60367.0,60426.0,60544.0,60602.0,60638.0,60709.0,60735.0,60844.0,60884.0,60916.0,60948.0,60983.0,61024.0,61053.0,61087.0,61153.0,61232.0,61291.0,61375.0,61468.0,61518.0,61681.0,61826.0,62042.0,62214.0,62374.0,62506.0,62559.0,62665.0,62820.0,62866.0,62911.0,62970.0,63057.0,63115.0,63170.0,63213.0,63266.0,63314.0,63374.0,63405.0,63462.0,63515.0,63570.0,63599.0,63631.0,63654.0,63698.0,63745.0,63785.0,63815.0,63843.0,63874.0,63924.0,63964.0,64000.0,64035.0,64068.0,64104.0,64156.0,64233.0,64271.0,64310.0
5002738,38880.0,38975.0,39044.0,39125.0,39143.0,39173.0,39202.0,39276.0,39294.0,39339.0,39406.0,39445.0,39545.0,39622.0,39684.0,39809.0,39871.0,39909.0,39984.0,40012.0,40126.0,40166.0,40217.0,40268.0,40323.0,40384.0,40428.0,40480.0,40548.0,40630.0,40700.0,40799.0,40938.0,41014.0,41236.0,41409.0,41616.0,41781.0,41934.0,42020.0,42075.0,42185.0,42345.0,42409.0,42471.0,42553.0,42634.0,42694.0,42751.0,42796.0,42851.0,42903.0,42967.0,43001.0,43056.0,43107.0,43160.0,43188.0,43232.0,43259.0,43311.0,43353.0,43389.0,43416.0,43442.0,43470.0,43515.0,43551.0,43581.0,43610.0,43637.0,43666.0,43736.0,43839.0,43869.0,43918.0
5002740,51840.0,51938.0,52009.0,52093.0,52112.0,52143.0,52173.0,52249.0,52267.0,52314.0,52376.0,52416.0,52517.0,52604.0,52671.0,52805.0,52871.0,52918.0,53010.0,53044.0,53186.0,53237.0,53282.0,53328.0,53377.0,53430.0,53468.0,53513.0,53578.0,53656.0,53714.0,53798.0,53895.0,53948.0,54223.0,54402.0,54624.0,54801.0,54964.0,55051.0,55108.0,55222.0,55387.0,55457.0,55525.0,55616.0,55712.0,55793.0,55870.0,55931.0,56004.0,56069.0,56150.0,56193.0,56292.0,56383.0,56479.0,56518.0,56574.0,56609.0,56675.0,56731.0,56779.0,56815.0,56849.0,56887.0,56947.0,56995.0,57033.0,57070.0,57105.0,57142.0,57200.0,57286.0,57321.0,57380.0
5002742,65700.0,65798.0,65870.0,65954.0,65973.0,66004.0,66034.0,66110.0,66127.0,66171.0,66248.0,66298.0,66399.0,66474.0,66547.0,66693.0,66766.0,66820.0,66925.0,66964.0,67126.0,67183.0,67231.0,67280.0,67331.0,67386.0,67426.0,67472.0,67534.0,67608.0,67677.0,67776.0,67880.0,67936.0,68068.0,68228.0,68480.0,68680.0,68866.0,68974.0,69040.0,69173.0,69367.0,69450.0,69530.0,69637.0,69759.0,69835.0,69907.0,69964.0,70033.0,70091.0,70164.0,70203.0,70278.0,70348.0,70421.0,70458.0,70504.0,70534.0,70591.0,70644.0,70689.0,70723.0,70755.0,70790.0,70846.0,70892.0,70929.0,70964.0,70997.0,71033.0,71082.0,71155.0,71188.0,71230.0
5003650,30000.0,30092.0,30159.0,30238.0,30256.0,30285.0,30313.0,30383.0,30395.0,30426.0,30573.0,30625.0,30729.0,30804.0,30891.0,31065.0,31152.0,31213.0,31332.0,31376.0,31559.0,31624.0,31674.0,31725.0,31778.0,31844.0,31891.0,31947.0,32019.0,32104.0,32189.0,32311.0,32410.0,32464.0,32592.0,32762.0,33034.0,33250.0,33451.0,33545.0,33600.0,33710.0,33870.0,33914.0,33956.0,34013.0,34125.0,34181.0,34233.0,34274.0,34325.0,34359.0,34402.0,34425.0,34488.0,34546.0,34606.0,34629.0,34660.0,34693.0,34755.0,34792.0,34823.0,34847.0,34869.0,34893.0,34932.0,34963.0,34991.0,35018.0,35043.0,35069.0,35104.0,35157.0,35186.0,35229.0
