tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P
5011437,73020.0,73083.0,73154.0,73327.0,73467.0,73497.0,73779.0,73882.0,74022.0,74076.0,74159.0,74246.0,74369.0,74410.0,74678.0,74699.0,74713.0,74859.0,74911.0,74964.0,75010.0,75071.0,75138.0,75225.0,75285.0,75349.0,75387.0,75446.0,75513.0,75539.0,75556.0,75669.0,75733.0,75774.0,75853.0,75959.0,76030.0,76072.0,76103.0,76154.0
5011439,80220.0,80297.0,80382.0,80487.0,80572.0,80590.0,80761.0,80831.0,80926.0,80992.0,81057.0,81124.0,81225.0,81245.0,81486.0,81505.0,81518.0,81641.0,81684.0,81734.0,81776.0,81824.0,81874.0,81930.0,81969.0,82011.0,82047.0,82102.0,82164.0,82188.0,82204.0,82307.0,82365.0,82406.0,82485.0,82597.0,82672.0,82716.0,82749.0,82802.0
5012764,59820.0,59947.0,60088.0,60258.0,60395.0,60425.0,60701.0,60805.0,60946.0,61029.0,61132.0,61240.0,61393.0,61431.0,61755.0,61780.0,61799.0,61950.0,62005.0,62064.0,62109.0,62170.0,62235.0,62324.0,62386.0,62452.0,62491.0,62551.0,62619.0,62647.0,62666.0,62788.0,62858.0,62900.0,62980.0,63100.0,63181.0,63229.0,63264.0,63322.0
5012779,62820.0,62947.0,63088.0,63258.0,63395.0,63425.0,63701.0,63805.0,63946.0,64029.0,64132.0,64240.0,64393.0,64431.0,64755.0,64780.0,64799.0,64950.0,65005.0,65064.0,65109.0,65170.0,65235.0,65324.0,65386.0,65452.0,65491.0,65551.0,65619.0,65647.0,65666.0,65788.0,65858.0,65900.0,65980.0,66100.0,66181.0,66229.0,66264.0,66322.0
5012781,71220.0,71297.0,71383.0,71519.0,71629.0,71653.0,71875.0,71949.0,72050.0,72128.0,72212.0,72300.0,72425.0,72464.0,72758.0,72781.0,72797.0,72941.0,72991.0,73045.0,73087.0,73139.0,73194.0,73277.0,73335.0,73397.0,73434.0,73491.0,73556.0,73580.0,73596.0,73700.0,73760.0,73800.0,73876.0,73989.0,74065.0,74110.0,74143.0,74197.0
5013070,63420.0,63547.0,63688.0,63858.0,63995.0,64025.0,64301.0,64405.0,64546.0,64629.0,64732.0,64840.0,64993.0,65031.0,65355.0,65380.0,65399.0,65550.0,65605.0,65664.0,65709.0,65770.0,65835.0,65924.0,65986.0,66052.0,66091.0,66151.0,66219.0,66247.0,66266.0,66388.0,66458.0,66500.0,66580.0,66700.0,66781.0,66829.0,66864.0,66922.0
5013265,32520.0,32659.0,32813.0,32950.0,33061.0,33085.0,33308.0,33366.0,33445.0,33518.0,33622.0,33730.0,33902.0,33944.0,34277.0,34303.0,34322.0,34435.0,34471.0,34507.0,34555.0,34606.0,34664.0,34740.0,34793.0,34849.0,34887.0,34945.0,35011.0,35043.0,35064.0,35203.0,35283.0,35320.0,35389.0,35511.0,35593.0,35642.0,35678.0,35735.0
5013269,48720.0,48833.0,48959.0,49097.0,49209.0,49233.0,49459.0,49553.0,49681.0,49773.0,49860.0,49950.0,50074.0,50111.0,50425.0,50449.0,50467.0,50601.0,50648.0,50697.0,50736.0,50801.0,50857.0,50946.0,51008.0,51073.0,51111.0,51169.0,51235.0,51262.0,51280.0,51398.0,51465.0,51503.0,51576.0,51691.0,51769.0,51815.0,51849.0,51904.0
5013271,57120.0,57247.0,57388.0,57558.0,57695.0,57725.0,58001.0,58105.0,58246.0,58329.0,58432.0,58540.0,58693.0,58731.0,59055.0,59080.0,59099.0,59250.0,59305.0,59364.0,59409.0,59470.0,59535.0,59624.0,59686.0,59752.0,59791.0,59851.0,59919.0,59947.0,59966.0,60088.0,60158.0,60200.0,60280.0,60400.0,60481.0,60529.0,60564.0,60622.0
5013273,65820.0,65947.0,66088.0,66258.0,66395.0,66425.0,66701.0,66805.0,66946.0,67029.0,67132.0,67240.0,67393.0,67431.0,67755.0,67780.0,67799.0,67950.0,68005.0,68064.0,68109.0,68170.0,68235.0,68324.0,68386.0,68452.0,68491.0,68551.0,68619.0,68647.0,68666.0,68788.0,68858.0,68900.0,68980.0,69100.0,69181.0,69229.0,69264.0,69322.0
