tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P
0,7591.0,7617.0,496.0,7490.0,515.0,516.0,4384.0,519.0,521.0,522.0,7659.0,523.0,1740.0,1741.0,1742.0,1743.0,1744.0,1745.0,1746.0,1747.0,1748.0,1749.0,1751.0,1752.0,1753.0,1754.0,1759.0,1758.0,1750.0,1769.0,1770.0,1771.0,1760.0,1761.0,1762.0,1763.0,1764.0,1765.0,1767.0
5008687,36900.0,36940.0,37011.0,37030.0,37111.0,37159.0,37201.0,37252.0,37282.0,37324.0,37349.0,37368.0,37420.0,37488.0,37538.0,37564.0,37601.0,37622.0,37642.0,37693.0,37749.0,37791.0,37823.0,37870.0,37899.0,37929.0,37961.0,38008.0,38030.0,38075.0,38103.0,38136.0,38165.0,38198.0,38232.0,38275.0,38302.0,38364.0,38430.0
5011194,44700.0,44756.0,44854.0,44880.0,44956.0,45000.0,45054.0,45120.0,45157.0,45209.0,45240.0,45258.0,45308.0,45372.0,45420.0,45480.0,45536.0,45569.0,45600.0,45660.0,45694.0,45720.0,45780.0,45840.0,45874.0,45909.0,45946.0,46001.0,46026.0,46080.0,46108.0,46141.0,46171.0,46204.0,46239.0,46283.0,46310.0,46373.0,46440.0
5092122,60300.0,60369.0,60491.0,60523.0,60674.0,60763.0,60817.0,60883.0,60922.0,60978.0,61012.0,61039.0,61112.0,61206.0,61276.0,61322.0,61370.0,61398.0,61424.0,61484.0,61524.0,61555.0,61591.0,61642.0,61672.0,61704.0,61737.0,61786.0,61809.0,61858.0,61886.0,61919.0,61948.0,61981.0,62015.0,62058.0,62084.0,62146.0,62209.0
5098476,26100.0,26149.0,26235.0,26258.0,26355.0,26412.0,26457.0,26512.0,26539.0,26577.0,26599.0,26619.0,26674.0,26746.0,26800.0,26835.0,26876.0,26900.0,26923.0,26969.0,27003.0,27029.0,27057.0,27081.0,27104.0,27128.0,27153.0,27191.0,27208.0,27246.0,27273.0,27304.0,27332.0,27363.0,27396.0,27437.0,27462.0,27521.0,27583.0
5107700,39300.0,39339.0,39407.0,39425.0,39503.0,39549.0,39589.0,39638.0,39666.0,39706.0,39731.0,39749.0,39799.0,39864.0,39913.0,39938.0,39973.0,39994.0,40013.0,40062.0,40115.0,40156.0,40187.0,40232.0,40260.0,40289.0,40319.0,40364.0,40385.0,40429.0,40456.0,40488.0,40516.0,40548.0,40581.0,40623.0,40649.0,40709.0,40770.0
5112851,23400.0,23434.0,23495.0,23511.0,23578.0,23617.0,23650.0,23691.0,23709.0,23734.0,23749.0,23763.0,23801.0,23850.0,23887.0,23900.0,23935.0,23955.0,23974.0,24012.0,24035.0,24053.0,24080.0,24099.0,24119.0,24139.0,24160.0,24192.0,24207.0,24238.0,24261.0,24288.0,24312.0,24339.0,24367.0,24403.0,24425.0,24477.0,24532.0
5116709,30900.0,30947.0,31031.0,31053.0,31154.0,31214.0,31261.0,31318.0,31348.0,31390.0,31415.0,31442.0,31516.0,31612.0,31683.0,31720.0,31762.0,31786.0,31809.0,31860.0,31898.0,31926.0,31954.0,31987.0,32010.0,32034.0,32059.0,32097.0,32114.0,32152.0,32180.0,32213.0,32242.0,32275.0,32309.0,32352.0,32378.0,32440.0,32503.0
5116731,84600.0,84630.0,84684.0,84698.0,84769.0,84811.0,84844.0,84885.0,84909.0,84943.0,84963.0,84978.0,85019.0,85073.0,85113.0,85143.0,85183.0,85206.0,85228.0,85277.0,85316.0,85346.0,85376.0,85413.0,85438.0,85464.0,85491.0,85531.0,85550.0,85590.0,85615.0,85645.0,85671.0,85701.0,85732.0,85771.0,85795.0,85851.0,85909.0
