tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P
5015616,61500.0,61572.0,61651.0,61743.0,61817.0,61833.0,61982.0,62050.0,62142.0,62170.0,62351.0,62412.0,62435.0,62455.0,62484.0,62506.0,62539.0,62557.0,62589.0,62619.0,62657.0,62697.0,62719.0,62875.0,62915.0,62943.0,63058.0,63097.0,63137.0,63161.0,63234.0,63281.0,63319.0,63344.0,63368.0,63432.0,63488.0,63525.0,63595.0,63666.0,63725.0,63767.0
5015622,83100.0,83154.0,83214.0,83295.0,83361.0,83375.0,83508.0,83591.0,83703.0,83739.0,83971.0,83996.0,84018.0,84037.0,84064.0,84089.0,84118.0,84137.0,84171.0,84203.0,84243.0,84285.0,84308.0,84429.0,84460.0,84481.0,84587.0,84623.0,84663.0,84692.0,84757.0,84798.0,84823.0,84848.0,84871.0,84914.0,84952.0,84976.0,85022.0,85069.0,85108.0,85155.0
5016649,30000.0,30146.0,30308.0,30438.0,30543.0,30566.0,30778.0,30846.0,30938.0,31003.0,31187.0,31232.0,31273.0,31309.0,31361.0,31389.0,31421.0,31443.0,31484.0,31524.0,31574.0,31627.0,31655.0,31765.0,31793.0,31813.0,31927.0,31971.0,32020.0,32050.0,32176.0,32257.0,32359.0,32399.0,32436.0,32568.0,32684.0,32760.0,32889.0,32919.0,32944.0,33013.0
5016651,37200.0,37317.0,37446.0,37544.0,37623.0,37640.0,37800.0,37868.0,37961.0,38048.0,38251.0,38348.0,38388.0,38423.0,38473.0,38499.0,38531.0,38554.0,38597.0,38634.0,38681.0,38730.0,38756.0,38886.0,38919.0,38942.0,39046.0,39082.0,39118.0,39143.0,39203.0,39241.0,39281.0,39309.0,39335.0,39381.0,39422.0,39449.0,39495.0,39525.0,39550.0,39591.0
5016653,44400.0,44506.0,44624.0,44737.0,44828.0,44848.0,45032.0,45115.0,45227.0,45319.0,45524.0,45591.0,45626.0,45657.0,45701.0,45727.0,45760.0,45783.0,45825.0,45867.0,45920.0,45976.0,46005.0,46158.0,46197.0,46224.0,46339.0,46383.0,46429.0,46462.0,46531.0,46575.0,46613.0,46660.0,46704.0,46780.0,46846.0,46890.0,46979.0,47020.0,47053.0,47181.0
5016655,51600.0,51706.0,51824.0,51937.0,52028.0,52048.0,52232.0,52315.0,52427.0,52519.0,52724.0,52791.0,52826.0,52857.0,52901.0,52927.0,52960.0,52983.0,53025.0,53067.0,53120.0,53176.0,53205.0,53358.0,53397.0,53424.0,53539.0,53583.0,53629.0,53662.0,53731.0,53775.0,53813.0,53860.0,53904.0,53980.0,54046.0,54090.0,54179.0,54220.0,54253.0,54381.0
5016657,58800.0,58917.0,59048.0,59207.0,59336.0,59364.0,59624.0,59726.0,59866.0,59959.0,60167.0,60235.0,60285.0,60329.0,60392.0,60418.0,60453.0,60476.0,60519.0,60561.0,60615.0,60671.0,60701.0,60872.0,60915.0,60946.0,61065.0,61109.0,61160.0,61195.0,61290.0,61351.0,61401.0,61489.0,61570.0,61694.0,61803.0,61874.0,61940.0,62004.0,62056.0,62180.0
5016659,66600.0,66717.0,66848.0,67007.0,67136.0,67164.0,67424.0,67526.0,67666.0,67759.0,67967.0,68035.0,68085.0,68129.0,68192.0,68218.0,68253.0,68276.0,68319.0,68361.0,68415.0,68471.0,68501.0,68672.0,68715.0,68746.0,68865.0,68909.0,68960.0,68995.0,69090.0,69151.0,69201.0,69289.0,69370.0,69494.0,69603.0,69674.0,69740.0,69804.0,69856.0,69980.0
5016661,73800.0,73885.0,73979.0,74077.0,74156.0,74173.0,74334.0,74408.0,74508.0,74575.0,74807.0,74854.0,74889.0,74920.0,74964.0,74992.0,75026.0,75047.0,75086.0,75126.0,75177.0,75230.0,75258.0,75408.0,75446.0,75473.0,75580.0,75621.0,75668.0,75702.0,75777.0,75825.0,75857.0,75888.0,75917.0,75965.0,76008.0,76036.0,76096.0,76137.0,76170.0,76245.0
5016663,81000.0,81075.0,81158.0,81256.0,81335.0,81352.0,81513.0,81583.0,81679.0,81735.0,81917.0,81957.0,81983.0,82006.0,82037.0,82063.0,82095.0,82115.0,82151.0,82183.0,82224.0,82267.0,82290.0,82414.0,82446.0,82468.0,82561.0,82594.0,82636.0,82669.0,82729.0,82768.0,82800.0,82828.0,82853.0,82891.0,82925.0,82947.0,83009.0,83052.0,83088.0,83162.0
5018259,33600.0,33746.0,33908.0,34038.0,34143.0,34166.0,34378.0,34446.0,34538.0,34603.0,34787.0,34832.0,34873.0,34909.0,34961.0,34989.0,35021.0,35043.0,35084.0,35124.0,35174.0,35227.0,35255.0,35365.0,35393.0,35413.0,35527.0,35571.0,35620.0,35650.0,35776.0,35857.0,35959.0,35999.0,36036.0,36168.0,36284.0,36360.0,36489.0,36519.0,36544.0,36613.0
5018261,40800.0,40917.0,41046.0,41144.0,41223.0,41240.0,41400.0,41468.0,41561.0,41648.0,41851.0,41948.0,41988.0,42023.0,42073.0,42099.0,42131.0,42154.0,42197.0,42234.0,42281.0,42330.0,42356.0,42486.0,42519.0,42542.0,42646.0,42682.0,42718.0,42743.0,42803.0,42841.0,42881.0,42909.0,42935.0,42981.0,43022.0,43049.0,43095.0,43125.0,43150.0,43191.0
5018263,48000.0,48106.0,48224.0,48337.0,48428.0,48448.0,48632.0,48715.0,48827.0,48919.0,49124.0,49191.0,49226.0,49257.0,49301.0,49327.0,49360.0,49383.0,49425.0,49467.0,49520.0,49576.0,49605.0,49758.0,49797.0,49824.0,49939.0,49983.0,50029.0,50062.0,50131.0,50175.0,50213.0,50260.0,50304.0,50380.0,50446.0,50490.0,50579.0,50620.0,50653.0,50781.0
5018265,55200.0,55317.0,55448.0,55607.0,55736.0,55764.0,56024.0,56126.0,56266.0,56359.0,56567.0,56635.0,56685.0,56729.0,56792.0,56818.0,56853.0,56876.0,56919.0,56961.0,57015.0,57071.0,57101.0,57272.0,57315.0,57346.0,57465.0,57509.0,57560.0,57595.0,57690.0,57751.0,57801.0,57889.0,57970.0,58094.0,58203.0,58274.0,58340.0,58404.0,58456.0,58580.0
5018267,62400.0,62517.0,62648.0,62807.0,62936.0,62964.0,63224.0,63326.0,63466.0,63559.0,63767.0,63835.0,63885.0,63929.0,63992.0,64018.0,64053.0,64076.0,64119.0,64161.0,64215.0,64271.0,64301.0,64472.0,64515.0,64546.0,64665.0,64709.0,64760.0,64795.0,64890.0,64951.0,65001.0,65089.0,65170.0,65294.0,65403.0,65474.0,65540.0,65604.0,65656.0,65780.0
5018269,70200.0,70285.0,70379.0,70477.0,70556.0,70573.0,70734.0,70808.0,70908.0,70975.0,71207.0,71254.0,71289.0,71320.0,71364.0,71392.0,71426.0,71447.0,71486.0,71526.0,71577.0,71630.0,71658.0,71808.0,71846.0,71873.0,71980.0,72021.0,72068.0,72102.0,72177.0,72225.0,72257.0,72288.0,72317.0,72365.0,72408.0,72436.0,72496.0,72537.0,72570.0,72645.0
5018271,77400.0,77475.0,77558.0,77656.0,77735.0,77752.0,77913.0,77983.0,78079.0,78135.0,78317.0,78357.0,78383.0,78406.0,78437.0,78463.0,78495.0,78515.0,78551.0,78583.0,78624.0,78667.0,78690.0,78814.0,78846.0,78868.0,78961.0,78994.0,79036.0,79069.0,79129.0,79168.0,79200.0,79228.0,79253.0,79291.0,79325.0,79347.0,79409.0,79452.0,79488.0,79562.0
5018273,84000.0,84075.0,84158.0,84256.0,84335.0,84352.0,84513.0,84583.0,84679.0,84735.0,84917.0,84957.0,84983.0,85006.0,85037.0,85063.0,85095.0,85115.0,85151.0,85183.0,85224.0,85267.0,85290.0,85414.0,85446.0,85468.0,85561.0,85594.0,85636.0,85669.0,85729.0,85768.0,85800.0,85828.0,85853.0,85891.0,85925.0,85947.0,86009.0,86052.0,86088.0,86162.0
