tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P
5005926,60000.0,60055.0,60076.0,60125.0,60180.0,60205.0,60263.0,60316.0,60337.0,60386.0,60443.0,60494.0,60584.0,60725.0,60801.0,60844.0,60896.0,60939.0,61015.0,61225.0,61508.0,61670.0,61689.0,61815.0,61874.0,61931.0,62021.0,62086.0,62113.0,62175.0,62216.0,62269.0,62330.0,62414.0,62458.0,62497.0,62601.0,62646.0,62678.0,62720.0,62752.0,62793.0,62848.0
5007533,30600.0,30666.0,30691.0,30750.0,30817.0,30848.0,30918.0,30976.0,30999.0,31073.0,31168.0,31254.0,31407.0,31596.0,31698.0,31754.0,31827.0,31887.0,31995.0,32263.0,32624.0,32831.0,32851.0,32986.0,33061.0,33134.0,33214.0,33278.0,33305.0,33367.0,33407.0,33459.0,33514.0,33590.0,33629.0,33666.0,33762.0,33801.0,33828.0,33864.0,33892.0,33928.0,33974.0
5007535,39600.0,39658.0,39680.0,39732.0,39791.0,39818.0,39880.0,39933.0,39954.0,39994.0,40053.0,40106.0,40199.0,40338.0,40413.0,40454.0,40514.0,40563.0,40653.0,40870.0,41163.0,41331.0,41353.0,41502.0,41563.0,41621.0,41700.0,41757.0,41781.0,41837.0,41874.0,41922.0,41972.0,42042.0,42079.0,42115.0,42211.0,42253.0,42283.0,42322.0,42352.0,42391.0,42441.0
5007537,49200.0,49263.0,49287.0,49342.0,49405.0,49434.0,49500.0,49553.0,49574.0,49619.0,49676.0,49727.0,49818.0,49974.0,50058.0,50105.0,50168.0,50219.0,50312.0,50525.0,50813.0,50978.0,51000.0,51145.0,51209.0,51271.0,51345.0,51417.0,51447.0,51517.0,51555.0,51605.0,51663.0,51744.0,51786.0,51830.0,51946.0,51993.0,52026.0,52069.0,52103.0,52146.0,52202.0
5007539,58800.0,58859.0,58881.0,58933.0,58992.0,59019.0,59081.0,59128.0,59147.0,59206.0,59268.0,59324.0,59422.0,59592.0,59684.0,59735.0,59806.0,59864.0,59970.0,60216.0,60547.0,60737.0,60760.0,60913.0,61001.0,61085.0,61206.0,61320.0,61368.0,61478.0,61529.0,61595.0,61666.0,61764.0,61815.0,61858.0,61971.0,62019.0,62053.0,62098.0,62132.0,62176.0,62234.0
5007541,68400.0,68454.0,68474.0,68522.0,68577.0,68602.0,68659.0,68700.0,68716.0,68758.0,68801.0,68840.0,68908.0,69047.0,69122.0,69164.0,69225.0,69275.0,69364.0,69556.0,69814.0,69962.0,69978.0,70087.0,70148.0,70206.0,70328.0,70569.0,70670.0,70904.0,70938.0,70983.0,71038.0,71115.0,71156.0,71192.0,71288.0,71332.0,71363.0,71404.0,71435.0,71475.0,71528.0
5008312,48000.0,48056.0,48077.0,48126.0,48183.0,48209.0,48268.0,48318.0,48338.0,48387.0,48449.0,48505.0,48604.0,48734.0,48804.0,48842.0,48904.0,48954.0,49045.0,49263.0,49557.0,49725.0,49745.0,49884.0,49944.0,50001.0,50075.0,50139.0,50166.0,50228.0,50260.0,50302.0,50353.0,50424.0,50462.0,50502.0,50608.0,50652.0,50683.0,50724.0,50756.0,50796.0,50849.0
5008314,55200.0,55255.0,55276.0,55325.0,55380.0,55405.0,55463.0,55516.0,55537.0,55586.0,55643.0,55694.0,55784.0,55925.0,56001.0,56044.0,56096.0,56139.0,56215.0,56425.0,56708.0,56870.0,56889.0,57015.0,57074.0,57131.0,57221.0,57286.0,57313.0,57375.0,57416.0,57469.0,57530.0,57614.0,57658.0,57697.0,57801.0,57846.0,57878.0,57920.0,57952.0,57993.0,58048.0
5008316,62400.0,62460.0,62483.0,62536.0,62596.0,62624.0,62686.0,62742.0,62765.0,62796.0,62850.0,62899.0,62985.0,63134.0,63214.0,63259.0,63302.0,63337.0,63401.0,63630.0,63939.0,64117.0,64136.0,64263.0,64329.0,64392.0,64442.0,64501.0,64526.0,64584.0,64616.0,64658.0,64707.0,64775.0,64811.0,64850.0,64951.0,64996.0,65027.0,65068.0,65100.0,65141.0,65195.0
5008318,70200.0,70254.0,70274.0,70322.0,70377.0,70402.0,70459.0,70497.0,70512.0,70555.0,70605.0,70650.0,70730.0,70864.0,70936.0,70976.0,71019.0,71054.0,71118.0,71353.0,71671.0,71853.0,71870.0,71986.0,72043.0,72097.0,72165.0,72217.0,72239.0,72289.0,72325.0,72372.0,72424.0,72497.0,72535.0,72573.0,72672.0,72714.0,72743.0,72782.0,72812.0,72850.0,72900.0
5008320,77400.0,77446.0,77463.0,77504.0,77550.0,77571.0,77620.0,77661.0,77677.0,77723.0,77757.0,77788.0,77843.0,77963.0,78028.0,78064.0,78100.0,78130.0,78183.0,78384.0,78654.0,78809.0,78827.0,78949.0,78996.0,79042.0,79108.0,79155.0,79175.0,79220.0,79247.0,79283.0,79322.0,79376.0,79405.0,79433.0,79506.0,79552.0,79584.0,79627.0,79660.0,79702.0,79758.0
5009384,32400.0,32462.0,32486.0,32541.0,32604.0,32633.0,32699.0,32746.0,32765.0,32806.0,32896.0,32977.0,33121.0,33304.0,33403.0,33458.0,33518.0,33567.0,33656.0,33914.0,34262.0,34461.0,34479.0,34599.0,34666.0,34730.0,34806.0,34866.0,34891.0,34950.0,34986.0,35034.0,35089.0,35165.0,35205.0,35240.0,35331.0,35377.0,35409.0,35451.0,35484.0,35526.0,35581.0
5009386,42000.0,42058.0,42080.0,42132.0,42191.0,42218.0,42280.0,42333.0,42354.0,42394.0,42453.0,42506.0,42599.0,42738.0,42813.0,42854.0,42914.0,42963.0,43053.0,43270.0,43563.0,43731.0,43753.0,43902.0,43963.0,44021.0,44100.0,44157.0,44181.0,44237.0,44274.0,44322.0,44372.0,44442.0,44479.0,44515.0,44611.0,44653.0,44683.0,44722.0,44752.0,44791.0,44841.0
5009388,51600.0,51663.0,51687.0,51742.0,51805.0,51834.0,51900.0,51953.0,51974.0,52019.0,52076.0,52127.0,52218.0,52374.0,52458.0,52505.0,52568.0,52619.0,52712.0,52925.0,53213.0,53378.0,53400.0,53545.0,53609.0,53671.0,53745.0,53817.0,53847.0,53917.0,53955.0,54005.0,54063.0,54144.0,54186.0,54230.0,54346.0,54393.0,54426.0,54469.0,54503.0,54546.0,54602.0
5009390,61200.0,61258.0,61280.0,61331.0,61390.0,61417.0,61479.0,61528.0,61547.0,61604.0,61653.0,61697.0,61775.0,61939.0,62028.0,62077.0,62154.0,62217.0,62332.0,62631.0,63035.0,63266.0,63289.0,63442.0,63528.0,63610.0,63732.0,63829.0,63870.0,63964.0,64013.0,64078.0,64152.0,64254.0,64308.0,64349.0,64455.0,64502.0,64535.0,64579.0,64613.0,64656.0,64714.0
5009392,70200.0,70254.0,70274.0,70322.0,70377.0,70402.0,70459.0,70500.0,70516.0,70558.0,70601.0,70640.0,70708.0,70847.0,70922.0,70964.0,71025.0,71075.0,71164.0,71356.0,71614.0,71762.0,71778.0,71887.0,71948.0,72006.0,72128.0,72369.0,72470.0,72704.0,72738.0,72783.0,72838.0,72915.0,72956.0,72992.0,73088.0,73132.0,73163.0,73204.0,73235.0,73275.0,73328.0
5009394,77400.0,77447.0,77465.0,77507.0,77554.0,77576.0,77625.0,77662.0,77677.0,77716.0,77750.0,77781.0,77836.0,77962.0,78030.0,78067.0,78112.0,78149.0,78216.0,78427.0,78712.0,78876.0,78890.0,78983.0,79033.0,79082.0,79149.0,79250.0,79292.0,79390.0,79420.0,79460.0,79503.0,79562.0,79593.0,79627.0,79718.0,79758.0,79786.0,79824.0,79853.0,79890.0,79939.0
5011575,44400.0,44456.0,44477.0,44526.0,44583.0,44609.0,44668.0,44718.0,44738.0,44787.0,44849.0,44905.0,45004.0,45134.0,45204.0,45242.0,45304.0,45354.0,45445.0,45663.0,45957.0,46125.0,46145.0,46284.0,46344.0,46401.0,46475.0,46539.0,46566.0,46628.0,46660.0,46702.0,46753.0,46824.0,46862.0,46902.0,47008.0,47052.0,47083.0,47124.0,47156.0,47196.0,47249.0
5011577,51600.0,51656.0,51677.0,51726.0,51783.0,51809.0,51868.0,51918.0,51938.0,51987.0,52049.0,52105.0,52204.0,52334.0,52404.0,52442.0,52504.0,52554.0,52645.0,52863.0,53157.0,53325.0,53345.0,53484.0,53544.0,53601.0,53675.0,53739.0,53766.0,53828.0,53860.0,53902.0,53953.0,54024.0,54062.0,54102.0,54208.0,54252.0,54283.0,54324.0,54356.0,54396.0,54449.0
5011579,58800.0,58855.0,58876.0,58925.0,58980.0,59005.0,59063.0,59116.0,59137.0,59186.0,59243.0,59294.0,59384.0,59525.0,59601.0,59644.0,59696.0,59739.0,59815.0,60025.0,60308.0,60470.0,60489.0,60615.0,60674.0,60731.0,60821.0,60886.0,60913.0,60975.0,61016.0,61069.0,61130.0,61214.0,61258.0,61297.0,61401.0,61446.0,61478.0,61520.0,61552.0,61593.0,61648.0
5013188,36000.0,36058.0,36080.0,36132.0,36191.0,36218.0,36280.0,36333.0,36354.0,36394.0,36453.0,36506.0,36599.0,36738.0,36813.0,36854.0,36914.0,36963.0,37053.0,37270.0,37563.0,37731.0,37753.0,37902.0,37963.0,38021.0,38100.0,38157.0,38181.0,38237.0,38274.0,38322.0,38372.0,38442.0,38479.0,38515.0,38611.0,38653.0,38683.0,38722.0,38752.0,38791.0,38841.0
5013190,45600.0,45663.0,45687.0,45742.0,45805.0,45834.0,45900.0,45953.0,45974.0,46019.0,46076.0,46127.0,46218.0,46374.0,46458.0,46505.0,46568.0,46619.0,46712.0,46925.0,47213.0,47378.0,47400.0,47545.0,47609.0,47671.0,47745.0,47817.0,47847.0,47917.0,47955.0,48005.0,48063.0,48144.0,48186.0,48230.0,48346.0,48393.0,48426.0,48469.0,48503.0,48546.0,48602.0
5013192,55200.0,55259.0,55281.0,55333.0,55392.0,55419.0,55481.0,55528.0,55547.0,55606.0,55668.0,55724.0,55822.0,55992.0,56084.0,56135.0,56206.0,56264.0,56370.0,56616.0,56947.0,57137.0,57160.0,57313.0,57401.0,57485.0,57606.0,57720.0,57768.0,57878.0,57929.0,57995.0,58066.0,58164.0,58215.0,58258.0,58371.0,58419.0,58453.0,58498.0,58532.0,58576.0,58634.0
5013194,64800.0,64859.0,64881.0,64933.0,64992.0,65019.0,65082.0,65124.0,65141.0,65177.0,65229.0,65276.0,65358.0,65505.0,65584.0,65628.0,65701.0,65761.0,65869.0,66120.0,66459.0,66653.0,66672.0,66802.0,66880.0,66955.0,67040.0,67103.0,67129.0,67190.0,67233.0,67289.0,67370.0,67483.0,67542.0,67583.0,67692.0,67734.0,67764.0,67803.0,67833.0,67872.0,67923.0
5013196,73800.0,73854.0,73874.0,73922.0,73977.0,74002.0,74059.0,74100.0,74116.0,74158.0,74201.0,74240.0,74308.0,74447.0,74522.0,74564.0,74625.0,74675.0,74764.0,74956.0,75214.0,75362.0,75378.0,75487.0,75548.0,75606.0,75728.0,75969.0,76070.0,76304.0,76338.0,76383.0,76438.0,76515.0,76556.0,76592.0,76688.0,76732.0,76763.0,76804.0,76835.0,76875.0,76928.0
5013198,81000.0,81047.0,81065.0,81107.0,81154.0,81176.0,81225.0,81262.0,81277.0,81316.0,81350.0,81381.0,81436.0,81562.0,81630.0,81667.0,81712.0,81749.0,81816.0,82027.0,82312.0,82476.0,82490.0,82583.0,82633.0,82682.0,82749.0,82850.0,82892.0,82990.0,83020.0,83060.0,83103.0,83162.0,83193.0,83227.0,83318.0,83358.0,83386.0,83424.0,83453.0,83490.0,83539.0
5013460,33600.0,33662.0,33686.0,33741.0,33804.0,33833.0,33899.0,33946.0,33965.0,34006.0,34096.0,34177.0,34321.0,34504.0,34603.0,34658.0,34718.0,34767.0,34856.0,35114.0,35462.0,35661.0,35679.0,35799.0,35866.0,35930.0,36006.0,36066.0,36091.0,36150.0,36186.0,36234.0,36289.0,36365.0,36405.0,36440.0,36531.0,36577.0,36609.0,36651.0,36684.0,36726.0,36781.0
5013462,43200.0,43263.0,43287.0,43342.0,43405.0,43434.0,43500.0,43553.0,43574.0,43619.0,43676.0,43727.0,43818.0,43974.0,44058.0,44105.0,44168.0,44219.0,44312.0,44525.0,44813.0,44978.0,45000.0,45145.0,45209.0,45271.0,45345.0,45417.0,45447.0,45517.0,45555.0,45605.0,45663.0,45744.0,45786.0,45830.0,45946.0,45993.0,46026.0,46069.0,46103.0,46146.0,46202.0
5013464,52800.0,52863.0,52887.0,52942.0,53005.0,53034.0,53100.0,53153.0,53174.0,53219.0,53276.0,53327.0,53418.0,53574.0,53658.0,53705.0,53768.0,53819.0,53912.0,54125.0,54413.0,54578.0,54600.0,54745.0,54809.0,54871.0,54945.0,55017.0,55047.0,55117.0,55155.0,55205.0,55263.0,55344.0,55386.0,55430.0,55546.0,55593.0,55626.0,55669.0,55703.0,55746.0,55802.0
5013466,62400.0,62458.0,62480.0,62531.0,62590.0,62617.0,62679.0,62728.0,62747.0,62804.0,62853.0,62897.0,62975.0,63139.0,63228.0,63277.0,63354.0,63417.0,63532.0,63831.0,64235.0,64466.0,64489.0,64642.0,64728.0,64810.0,64932.0,65029.0,65070.0,65164.0,65213.0,65278.0,65352.0,65454.0,65508.0,65549.0,65655.0,65702.0,65735.0,65779.0,65813.0,65856.0,65914.0
5013468,72000.0,72054.0,72074.0,72122.0,72177.0,72202.0,72259.0,72300.0,72316.0,72358.0,72401.0,72440.0,72508.0,72647.0,72722.0,72764.0,72825.0,72875.0,72964.0,73156.0,73414.0,73562.0,73578.0,73687.0,73748.0,73806.0,73928.0,74169.0,74270.0,74504.0,74538.0,74583.0,74638.0,74715.0,74756.0,74792.0,74888.0,74932.0,74963.0,75004.0,75035.0,75075.0,75128.0
5013470,79200.0,79247.0,79265.0,79307.0,79354.0,79376.0,79425.0,79462.0,79477.0,79516.0,79550.0,79581.0,79636.0,79762.0,79830.0,79867.0,79912.0,79949.0,80016.0,80227.0,80512.0,80676.0,80690.0,80783.0,80833.0,80882.0,80949.0,81050.0,81092.0,81190.0,81220.0,81260.0,81303.0,81362.0,81393.0,81427.0,81518.0,81558.0,81586.0,81624.0,81653.0,81690.0,81739.0
5015009,34800.0,34862.0,34886.0,34941.0,35004.0,35033.0,35099.0,35146.0,35165.0,35206.0,35296.0,35377.0,35521.0,35704.0,35803.0,35858.0,35918.0,35967.0,36056.0,36314.0,36662.0,36861.0,36879.0,36999.0,37066.0,37130.0,37206.0,37266.0,37291.0,37350.0,37386.0,37434.0,37489.0,37565.0,37605.0,37640.0,37731.0,37777.0,37809.0,37851.0,37884.0,37926.0,37981.0
5015011,44400.0,44463.0,44487.0,44542.0,44605.0,44634.0,44700.0,44753.0,44774.0,44819.0,44876.0,44927.0,45018.0,45174.0,45258.0,45305.0,45368.0,45419.0,45512.0,45725.0,46013.0,46178.0,46200.0,46345.0,46409.0,46471.0,46545.0,46617.0,46647.0,46717.0,46755.0,46805.0,46863.0,46944.0,46986.0,47030.0,47146.0,47193.0,47226.0,47269.0,47303.0,47346.0,47402.0
