tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P
5003103,41400.0,41439.0,41504.0,41522.0,41616.0,41663.0,41711.0,41739.0,41791.0,41859.0,41931.0,41956.0,42017.0,42064.0,42118.0,42146.0,42176.0,42213.0,42249.0,42282.0,42324.0,42366.0,42417.0,42451.0,42465.0,42529.0,42943.0,42992.0,43050.0,43107.0,43130.0,43171.0,43201.0,43246.0,43284.0,43310.0,43347.0,43402.0,43527.0,43559.0,43607.0,43666.0,43765.0,43809.0,43894.0,43992.0,44142.0,44245.0,44454.0,44502.0,44615.0,44745.0,44847.0,44961.0,45028.0,45108.0,45163.0,45218.0,45287.0,45319.0,45356.0,45399.0,45456.0,45508.0,45538.0,45602.0,45650.0,45674.0,45695.0,45744.0,45948.0
5003105,54000.0,54039.0,54105.0,54123.0,54218.0,54265.0,54313.0,54341.0,54394.0,54462.0,54535.0,54560.0,54625.0,54676.0,54734.0,54764.0,54797.0,54837.0,54876.0,54912.0,54958.0,55003.0,55058.0,55094.0,55108.0,55175.0,55613.0,55666.0,55730.0,55787.0,55810.0,55850.0,55876.0,55915.0,55951.0,55976.0,56010.0,56061.0,56184.0,56213.0,56258.0,56315.0,56416.0,56453.0,56523.0,56604.0,56763.0,56871.0,57092.0,57143.0,57292.0,57464.0,57572.0,57693.0,57756.0,57832.0,57892.0,57952.0,58027.0,58104.0,58192.0,58294.0,58370.0,58439.0,58483.0,58558.0,58613.0,58642.0,58667.0,58733.0,58908.0
5003482,24000.0,24040.0,24107.0,24125.0,24222.0,24270.0,24319.0,24348.0,24402.0,24472.0,24547.0,24573.0,24639.0,24687.0,24742.0,24771.0,24802.0,24840.0,24877.0,24911.0,24954.0,24997.0,25049.0,25083.0,25095.0,25153.0,25532.0,25578.0,25648.0,25708.0,25727.0,25760.0,25786.0,25827.0,25864.0,25889.0,25919.0,25964.0,26041.0,26070.0,26125.0,26193.0,26280.0,26323.0,26406.0,26501.0,26609.0,26682.0,26832.0,26866.0,26969.0,27087.0,27170.0,27262.0,27322.0,27394.0,27449.0,27504.0,27573.0,27607.0,27645.0,27689.0,27743.0,27792.0,27820.0,27891.0,27944.0,27976.0,28003.0,28068.0,28249.0
5003484,36000.0,36039.0,36104.0,36122.0,36216.0,36263.0,36311.0,36339.0,36391.0,36459.0,36531.0,36556.0,36617.0,36664.0,36718.0,36746.0,36776.0,36813.0,36849.0,36882.0,36924.0,36966.0,37017.0,37051.0,37065.0,37129.0,37543.0,37592.0,37650.0,37707.0,37730.0,37771.0,37801.0,37846.0,37884.0,37910.0,37947.0,38002.0,38127.0,38159.0,38207.0,38266.0,38365.0,38409.0,38494.0,38592.0,38742.0,38845.0,39054.0,39102.0,39215.0,39345.0,39447.0,39561.0,39628.0,39708.0,39763.0,39818.0,39887.0,39919.0,39956.0,39999.0,40056.0,40108.0,40138.0,40202.0,40250.0,40274.0,40295.0,40344.0,40548.0
5003486,48000.0,48040.0,48106.0,48124.0,48219.0,48266.0,48314.0,48342.0,48395.0,48464.0,48537.0,48562.0,48627.0,48677.0,48735.0,48765.0,48797.0,48837.0,48876.0,48911.0,48956.0,49001.0,49056.0,49093.0,49107.0,49173.0,49599.0,49650.0,49708.0,49762.0,49786.0,49828.0,49856.0,49900.0,49943.0,49972.0,50008.0,50063.0,50181.0,50208.0,50258.0,50320.0,50420.0,50460.0,50538.0,50627.0,50767.0,50862.0,51057.0,51101.0,51219.0,51355.0,51460.0,51578.0,51638.0,51710.0,51766.0,51821.0,51890.0,51926.0,51967.0,52015.0,52079.0,52138.0,52176.0,52248.0,52302.0,52329.0,52352.0,52406.0,52600.0
5003488,61200.0,61239.0,61305.0,61323.0,61418.0,61465.0,61513.0,61541.0,61594.0,61662.0,61735.0,61760.0,61825.0,61876.0,61934.0,61964.0,61997.0,62037.0,62076.0,62112.0,62158.0,62203.0,62258.0,62294.0,62308.0,62375.0,62813.0,62866.0,62930.0,62987.0,63010.0,63050.0,63076.0,63115.0,63151.0,63176.0,63210.0,63261.0,63384.0,63413.0,63458.0,63515.0,63616.0,63653.0,63723.0,63804.0,63963.0,64071.0,64292.0,64343.0,64492.0,64664.0,64772.0,64893.0,64956.0,65032.0,65092.0,65152.0,65227.0,65304.0,65392.0,65494.0,65570.0,65639.0,65683.0,65758.0,65813.0,65842.0,65867.0,65933.0,66108.0
5003490,74400.0,74435.0,74494.0,74510.0,74594.0,74636.0,74679.0,74704.0,74751.0,74812.0,74877.0,74899.0,74956.0,74996.0,75042.0,75066.0,75092.0,75123.0,75154.0,75182.0,75218.0,75254.0,75297.0,75324.0,75337.0,75399.0,75805.0,75855.0,75914.0,75970.0,75988.0,76021.0,76044.0,76078.0,76109.0,76131.0,76160.0,76205.0,76301.0,76327.0,76367.0,76417.0,76491.0,76524.0,76588.0,76662.0,76755.0,76818.0,76947.0,76976.0,77074.0,77187.0,77268.0,77359.0,77411.0,77473.0,77512.0,77551.0,77599.0,77629.0,77664.0,77704.0,77751.0,77794.0,77823.0,77886.0,77933.0,77958.0,77979.0,78030.0,78214.0
5003604,29400.0,29447.0,29526.0,29548.0,29661.0,29718.0,29776.0,29810.0,29873.0,29955.0,30042.0,30072.0,30146.0,30214.0,30292.0,30332.0,30376.0,30429.0,30482.0,30530.0,30591.0,30652.0,30726.0,30773.0,30787.0,30854.0,31290.0,31343.0,31420.0,31489.0,31514.0,31559.0,31593.0,31645.0,31701.0,31740.0,31786.0,31856.0,31963.0,32001.0,32062.0,32139.0,32293.0,32364.0,32501.0,32658.0,32925.0,33107.0,33478.0,33562.0,33737.0,33940.0,34046.0,34164.0,34239.0,34329.0,34388.0,34447.0,34521.0,34558.0,34600.0,34649.0,34703.0,34753.0,34790.0,34854.0,34901.0,34929.0,34954.0,35014.0,35198.0
5003606,42600.0,42639.0,42704.0,42722.0,42816.0,42863.0,42911.0,42939.0,42991.0,43059.0,43131.0,43156.0,43217.0,43264.0,43318.0,43346.0,43376.0,43413.0,43449.0,43482.0,43524.0,43566.0,43617.0,43651.0,43665.0,43729.0,44143.0,44192.0,44250.0,44307.0,44330.0,44371.0,44401.0,44446.0,44484.0,44510.0,44547.0,44602.0,44727.0,44759.0,44807.0,44866.0,44965.0,45009.0,45094.0,45192.0,45342.0,45445.0,45654.0,45702.0,45815.0,45945.0,46047.0,46161.0,46228.0,46308.0,46363.0,46418.0,46487.0,46519.0,46556.0,46599.0,46656.0,46708.0,46738.0,46802.0,46850.0,46874.0,46895.0,46944.0,47148.0
5003608,55200.0,55239.0,55305.0,55323.0,55418.0,55465.0,55513.0,55541.0,55594.0,55662.0,55735.0,55760.0,55825.0,55876.0,55934.0,55964.0,55997.0,56037.0,56076.0,56112.0,56158.0,56203.0,56258.0,56294.0,56308.0,56375.0,56813.0,56866.0,56930.0,56987.0,57010.0,57050.0,57076.0,57115.0,57151.0,57176.0,57210.0,57261.0,57384.0,57413.0,57458.0,57515.0,57616.0,57653.0,57723.0,57804.0,57963.0,58071.0,58292.0,58343.0,58492.0,58664.0,58772.0,58893.0,58956.0,59032.0,59092.0,59152.0,59227.0,59304.0,59392.0,59494.0,59570.0,59639.0,59683.0,59758.0,59813.0,59842.0,59867.0,59933.0,60108.0
5003708,25200.0,25241.0,25309.0,25328.0,25426.0,25475.0,25525.0,25554.0,25609.0,25680.0,25756.0,25782.0,25848.0,25895.0,25949.0,25977.0,26007.0,26044.0,26081.0,26114.0,26157.0,26199.0,26251.0,26286.0,26300.0,26364.0,26783.0,26834.0,26916.0,26985.0,27014.0,27067.0,27105.0,27164.0,27217.0,27253.0,27300.0,27371.0,27480.0,27518.0,27598.0,27699.0,27911.0,27979.0,28110.0,28260.0,28516.0,28691.0,29048.0,29129.0,29308.0,29514.0,29637.0,29775.0,29847.0,29934.0,29994.0,30054.0,30129.0,30165.0,30206.0,30254.0,30312.0,30364.0,30395.0,30462.0,30512.0,30542.0,30568.0,30638.0,30837.0
5003710,37200.0,37239.0,37304.0,37322.0,37416.0,37463.0,37511.0,37539.0,37591.0,37659.0,37731.0,37756.0,37817.0,37864.0,37918.0,37946.0,37976.0,38013.0,38049.0,38082.0,38124.0,38166.0,38217.0,38251.0,38265.0,38329.0,38743.0,38792.0,38850.0,38907.0,38930.0,38971.0,39001.0,39046.0,39084.0,39110.0,39147.0,39202.0,39327.0,39359.0,39407.0,39466.0,39565.0,39609.0,39694.0,39792.0,39942.0,40045.0,40254.0,40302.0,40415.0,40545.0,40647.0,40761.0,40828.0,40908.0,40963.0,41018.0,41087.0,41119.0,41156.0,41199.0,41256.0,41308.0,41338.0,41402.0,41450.0,41474.0,41495.0,41544.0,41748.0
5003712,49200.0,49240.0,49306.0,49324.0,49419.0,49466.0,49514.0,49542.0,49595.0,49664.0,49737.0,49762.0,49827.0,49877.0,49935.0,49965.0,49997.0,50037.0,50076.0,50111.0,50156.0,50201.0,50256.0,50293.0,50307.0,50373.0,50799.0,50850.0,50908.0,50962.0,50986.0,51028.0,51056.0,51100.0,51143.0,51172.0,51208.0,51263.0,51381.0,51408.0,51458.0,51520.0,51620.0,51660.0,51738.0,51827.0,51967.0,52062.0,52257.0,52301.0,52419.0,52555.0,52660.0,52778.0,52838.0,52910.0,52966.0,53021.0,53090.0,53126.0,53167.0,53215.0,53279.0,53338.0,53376.0,53448.0,53502.0,53529.0,53552.0,53606.0,53800.0
5003714,62400.0,62438.0,62502.0,62519.0,62611.0,62657.0,62704.0,62731.0,62782.0,62848.0,62919.0,62943.0,63005.0,63057.0,63116.0,63147.0,63180.0,63221.0,63261.0,63297.0,63343.0,63389.0,63445.0,63481.0,63495.0,63560.0,63985.0,64037.0,64102.0,64168.0,64189.0,64227.0,64253.0,64292.0,64326.0,64349.0,64381.0,64429.0,64529.0,64554.0,64593.0,64642.0,64754.0,64790.0,64859.0,64938.0,65085.0,65185.0,65389.0,65435.0,65574.0,65734.0,65839.0,65955.0,66013.0,66083.0,66134.0,66184.0,66246.0,66310.0,66383.0,66467.0,66538.0,66602.0,66639.0,66707.0,66757.0,66785.0,66810.0,66885.0,67111.0
5003993,27900.0,27941.0,28009.0,28028.0,28126.0,28175.0,28225.0,28254.0,28309.0,28380.0,28456.0,28482.0,28548.0,28595.0,28649.0,28677.0,28707.0,28744.0,28781.0,28814.0,28857.0,28899.0,28951.0,28986.0,29000.0,29064.0,29483.0,29534.0,29616.0,29685.0,29714.0,29767.0,29805.0,29864.0,29917.0,29953.0,30000.0,30071.0,30180.0,30218.0,30298.0,30399.0,30611.0,30679.0,30810.0,30960.0,31216.0,31391.0,31748.0,31829.0,32008.0,32214.0,32337.0,32475.0,32547.0,32634.0,32694.0,32754.0,32829.0,32865.0,32906.0,32954.0,33012.0,33064.0,33095.0,33162.0,33212.0,33242.0,33268.0,33338.0,33537.0
5004030,29100.0,29138.0,29201.0,29218.0,29309.0,29355.0,29401.0,29428.0,29479.0,29545.0,29616.0,29640.0,29702.0,29744.0,29792.0,29817.0,29844.0,29877.0,29909.0,29938.0,29975.0,30012.0,30057.0,30086.0,30099.0,30160.0,30554.0,30601.0,30665.0,30718.0,30737.0,30770.0,30791.0,30823.0,30857.0,30880.0,30912.0,30961.0,31038.0,31086.0,31128.0,31180.0,31247.0,31287.0,31363.0,31451.0,31548.0,31614.0,31749.0,31781.0,31880.0,31994.0,32079.0,32173.0,32227.0,32293.0,32331.0,32369.0,32417.0,32436.0,32458.0,32484.0,32545.0,32600.0,32625.0,32669.0,32702.0,32729.0,32752.0,32799.0,32993.0
