tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P
5093593,69300.0,69324.0,69339.0,69408.0,69438.0,69480.0,69522.0,69540.0,69600.0,69660.0,69720.0,69780.0,69900.0,69958.0,69979.0,70020.0,70080.0,70140.0,70162.0,70200.0,70260.0,70455.0,70800.0,70888.0,70920.0,71042.0,71099.0,71160.0,71212.0,71281.0,71330.0,71400.0,71520.0,71602.0,71760.0,71785.0,71820.0,71872.0,71940.0,71987.0,72060.0,72139.0,72180.0,72268.0,72300.0,72350.0,72420.0,72487.0,72540.0,72576.0,72660.0,72776.0,72960.0,73140.0,73150.0,73296.0,73343.0,73412.0,73506.0,73560.0,73583.0,73740.0,73801.0,73860.0,73980.0,74081.0,74123.0,74220.0,74272.0,74340.0,74396.0,74474.0,74515.0,74580.0,74640.0,74650.0,74660.0,74666.0,74680.0,74700.0
5093595,81000.0,81024.0,81039.0,81108.0,81138.0,81180.0,81222.0,81240.0,81300.0,81360.0,81420.0,81480.0,81540.0,81569.0,81580.0,81600.0,81660.0,81720.0,81742.0,81780.0,81840.0,81991.0,82260.0,82304.0,82320.0,82411.0,82453.0,82500.0,82552.0,82621.0,82670.0,82740.0,82800.0,82861.0,82980.0,83005.0,83040.0,83066.0,83100.0,83171.0,83280.0,83319.0,83340.0,83428.0,83460.0,83535.0,83640.0,83707.0,83760.0,83778.0,83820.0,83936.0,84120.0,84240.0,84248.0,84374.0,84414.0,84474.0,84554.0,84600.0,84623.0,84780.0,84841.0,84900.0,85020.0,85095.0,85127.0,85200.0,85252.0,85320.0,85404.0,85520.0,85581.0,85680.0,85800.0,85810.0,85820.0,85826.0,85840.0,85860.0
5096453,34200.0,34231.0,34250.0,34339.0,34377.0,34432.0,34495.0,34521.0,34582.0,34605.0,34640.0,34703.0,34749.0,34782.0,34794.0,34817.0,34888.0,34983.0,35047.0,35160.0,35204.0,35249.0,35330.0,35481.0,35537.0,35633.0,35677.0,35726.0,35788.0,35870.0,35929.0,36012.0,36092.0,36167.0,36311.0,36338.0,36375.0,36410.0,36456.0,36497.0,36561.0,36652.0,36699.0,36780.0,36810.0,36865.0,36941.0,36988.0,37025.0,37049.0,37106.0,37229.0,37424.0,37702.0,37730.0,38155.0,38292.0,38494.0,38766.0,38922.0,38940.0,39060.0,39115.0,39167.0,39248.0,39320.0,39350.0,39420.0,39445.0,39479.0,39519.0,39574.0,39603.0,39650.0,39674.0,39722.0,39772.0,39803.0,39874.0,39977.0
5096455,48600.0,48624.0,48639.0,48708.0,48738.0,48780.0,48822.0,48840.0,48900.0,48960.0,49020.0,49080.0,49140.0,49169.0,49180.0,49200.0,49260.0,49320.0,49342.0,49380.0,49440.0,49613.0,49920.0,49964.0,49980.0,50071.0,50113.0,50160.0,50212.0,50281.0,50330.0,50400.0,50520.0,50602.0,50760.0,50785.0,50820.0,50872.0,50940.0,50987.0,51060.0,51139.0,51180.0,51268.0,51300.0,51350.0,51420.0,51487.0,51540.0,51576.0,51660.0,51799.0,52020.0,52140.0,52148.0,52274.0,52314.0,52374.0,52454.0,52500.0,52523.0,52680.0,52772.0,52860.0,52980.0,53055.0,53087.0,53160.0,53212.0,53280.0,53336.0,53414.0,53455.0,53520.0,53580.0,53590.0,53600.0,53606.0,53620.0,53640.0
5096457,63000.0,63024.0,63039.0,63108.0,63138.0,63180.0,63264.0,63300.0,63360.0,63420.0,63480.0,63540.0,63600.0,63658.0,63679.0,63720.0,63780.0,63840.0,63883.0,63960.0,64020.0,64215.0,64560.0,64648.0,64680.0,64802.0,64859.0,64920.0,64972.0,65041.0,65090.0,65160.0,65280.0,65382.0,65580.0,65605.0,65640.0,65692.0,65760.0,65807.0,65880.0,65959.0,66000.0,66088.0,66120.0,66170.0,66240.0,66340.0,66420.0,66456.0,66540.0,66703.0,66960.0,67140.0,67150.0,67296.0,67343.0,67412.0,67506.0,67560.0,67583.0,67740.0,67832.0,67920.0,68100.0,68226.0,68279.0,68400.0,68478.0,68580.0,68636.0,68714.0,68755.0,68820.0,68880.0,68890.0,68900.0,68906.0,68920.0,68940.0
5096459,74400.0,74424.0,74439.0,74508.0,74538.0,74580.0,74622.0,74640.0,74700.0,74760.0,74820.0,74880.0,74940.0,74969.0,74980.0,75000.0,75060.0,75120.0,75142.0,75180.0,75240.0,75391.0,75660.0,75704.0,75720.0,75811.0,75853.0,75900.0,75952.0,76021.0,76070.0,76140.0,76200.0,76261.0,76380.0,76405.0,76440.0,76466.0,76500.0,76571.0,76680.0,76719.0,76740.0,76828.0,76860.0,76935.0,77040.0,77107.0,77160.0,77178.0,77220.0,77336.0,77520.0,77640.0,77648.0,77774.0,77814.0,77874.0,77954.0,78000.0,78023.0,78180.0,78241.0,78300.0,78420.0,78495.0,78527.0,78600.0,78652.0,78720.0,78804.0,78920.0,78981.0,79080.0,79200.0,79210.0,79220.0,79226.0,79240.0,79260.0
5096789,37800.0,37831.0,37850.0,37939.0,37977.0,38032.0,38095.0,38121.0,38182.0,38205.0,38240.0,38303.0,38349.0,38382.0,38394.0,38417.0,38488.0,38583.0,38647.0,38760.0,38804.0,38849.0,38930.0,39081.0,39137.0,39233.0,39277.0,39326.0,39388.0,39470.0,39529.0,39612.0,39692.0,39767.0,39911.0,39938.0,39975.0,40010.0,40056.0,40097.0,40161.0,40252.0,40299.0,40380.0,40410.0,40465.0,40541.0,40588.0,40625.0,40649.0,40706.0,40829.0,41024.0,41302.0,41330.0,41755.0,41892.0,42094.0,42366.0,42522.0,42540.0,42660.0,42715.0,42767.0,42848.0,42920.0,42950.0,43020.0,43045.0,43079.0,43119.0,43174.0,43203.0,43250.0,43274.0,43322.0,43372.0,43403.0,43474.0,43577.0
5096791,52200.0,52224.0,52239.0,52308.0,52338.0,52380.0,52422.0,52440.0,52500.0,52560.0,52620.0,52680.0,52740.0,52769.0,52780.0,52800.0,52860.0,52920.0,52942.0,52980.0,53040.0,53213.0,53520.0,53564.0,53580.0,53671.0,53713.0,53760.0,53812.0,53881.0,53930.0,54000.0,54120.0,54202.0,54360.0,54385.0,54420.0,54472.0,54540.0,54587.0,54660.0,54739.0,54780.0,54868.0,54900.0,54950.0,55020.0,55087.0,55140.0,55176.0,55260.0,55399.0,55620.0,55740.0,55748.0,55874.0,55914.0,55974.0,56054.0,56100.0,56123.0,56280.0,56372.0,56460.0,56580.0,56655.0,56687.0,56760.0,56812.0,56880.0,56936.0,57014.0,57055.0,57120.0,57180.0,57190.0,57200.0,57206.0,57220.0,57240.0
5096793,65700.0,65724.0,65739.0,65808.0,65838.0,65880.0,65922.0,65940.0,66000.0,66060.0,66120.0,66180.0,66300.0,66358.0,66379.0,66420.0,66480.0,66540.0,66562.0,66600.0,66660.0,66855.0,67200.0,67288.0,67320.0,67442.0,67499.0,67560.0,67612.0,67681.0,67730.0,67800.0,67920.0,68002.0,68160.0,68185.0,68220.0,68272.0,68340.0,68387.0,68460.0,68539.0,68580.0,68668.0,68700.0,68750.0,68820.0,68887.0,68940.0,68976.0,69060.0,69176.0,69360.0,69540.0,69550.0,69696.0,69743.0,69812.0,69906.0,69960.0,69983.0,70140.0,70201.0,70260.0,70380.0,70481.0,70523.0,70620.0,70672.0,70740.0,70796.0,70874.0,70915.0,70980.0,71040.0,71050.0,71060.0,71066.0,71080.0,71100.0
5096795,77400.0,77424.0,77439.0,77508.0,77538.0,77580.0,77622.0,77640.0,77700.0,77760.0,77820.0,77880.0,77940.0,77969.0,77980.0,78000.0,78060.0,78120.0,78142.0,78180.0,78240.0,78391.0,78660.0,78704.0,78720.0,78811.0,78853.0,78900.0,78952.0,79021.0,79070.0,79140.0,79200.0,79261.0,79380.0,79405.0,79440.0,79466.0,79500.0,79571.0,79680.0,79719.0,79740.0,79828.0,79860.0,79935.0,80040.0,80107.0,80160.0,80178.0,80220.0,80336.0,80520.0,80640.0,80648.0,80774.0,80814.0,80874.0,80954.0,81000.0,81023.0,81180.0,81241.0,81300.0,81420.0,81495.0,81527.0,81600.0,81652.0,81720.0,81804.0,81920.0,81981.0,82080.0,82200.0,82210.0,82220.0,82226.0,82240.0,82260.0
