tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P
0,7347.0,3669.0,7349.0,1631.0,1632.0,5053.0,1633.0,1634.0,1635.0,1636.0,1637.0,1638.0,1639.0,1640.0,231.0,232.0,233.0,234.0,235.0,236.0,237.0,213.0,214.0,4432.0,119.0,44.0,7603.0,45.0,46.0,47.0,48.0,49.0,51.0,52.0,262.0,270.0
5002601,84600.0,84660.0,84704.0,84756.0,84768.0,84787.0,84805.0,84852.0,84874.0,84931.0,84968.0,84986.0,85037.0,85098.0,85135.0,85209.0,85245.0,85266.0,85308.0,85324.0,85389.0,85412.0,85434.0,85457.0,85481.0,85510.0,85531.0,85555.0,85593.0,85639.0,85670.0,85715.0,85763.0,85789.0,85860.0,85956.0
5009824,84600.0,84681.0,84740.0,84810.0,84826.0,84852.0,84877.0,84939.0,84953.0,84990.0,85038.0,85069.0,85129.0,85173.0,85211.0,85287.0,85324.0,85343.0,85380.0,85394.0,85451.0,85472.0,85499.0,85527.0,85556.0,85592.0,85618.0,85647.0,85693.0,85748.0,85783.0,85834.0,85894.0,85926.0,85980.0,86075.0
5013126,83400.0,83481.0,83540.0,83610.0,83626.0,83652.0,83677.0,83739.0,83753.0,83790.0,83838.0,83869.0,83929.0,83973.0,84011.0,84087.0,84124.0,84143.0,84180.0,84194.0,84251.0,84272.0,84299.0,84327.0,84356.0,84392.0,84418.0,84447.0,84493.0,84548.0,84583.0,84634.0,84694.0,84726.0,84780.0,84875.0
5086148,84600.0,84678.0,84735.0,84802.0,84817.0,84842.0,84866.0,84926.0,84940.0,84975.0,85021.0,85051.0,85109.0,85151.0,85187.0,85260.0,85296.0,85314.0,85350.0,85363.0,85418.0,85438.0,85464.0,85491.0,85519.0,85553.0,85578.0,85607.0,85651.0,85704.0,85738.0,85787.0,85844.0,85875.0,85927.0,86018.0
5092199,83400.0,83478.0,83535.0,83602.0,83617.0,83642.0,83666.0,83726.0,83740.0,83775.0,83821.0,83851.0,83909.0,83951.0,83987.0,84060.0,84096.0,84114.0,84150.0,84163.0,84218.0,84238.0,84264.0,84291.0,84319.0,84353.0,84378.0,84407.0,84451.0,84504.0,84538.0,84587.0,84644.0,84675.0,84727.0,84818.0
5101453,84600.0,84678.0,84735.0,84802.0,84817.0,84842.0,84866.0,84926.0,84940.0,84975.0,85021.0,85051.0,85109.0,85151.0,85187.0,85260.0,85296.0,85314.0,85350.0,85363.0,85418.0,85438.0,85464.0,85491.0,85519.0,85553.0,85578.0,85607.0,85651.0,85704.0,85738.0,85787.0,85844.0,85875.0,85927.0,86018.0
5103467,83400.0,83478.0,83535.0,83602.0,83617.0,83642.0,83666.0,83726.0,83740.0,83775.0,83821.0,83851.0,83909.0,83951.0,83987.0,84060.0,84096.0,84114.0,84150.0,84163.0,84218.0,84238.0,84264.0,84291.0,84319.0,84353.0,84378.0,84407.0,84451.0,84504.0,84538.0,84587.0,84644.0,84675.0,84727.0,84818.0
