tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P
0,4341.0,4348.0,4646.0,4647.0,2363.0,2364.0,2618.0,5011.0,2762.0,2110.0,2111.0,2112.0,2114.0,2115.0,2116.0,2117.0,2118.0,2119.0,2120.0,2121.0,2123.0,2685.0,4795.0,2686.0,7510.0,4799.0,2205.0,2687.0,2688.0,2689.0,2696.0,2697.0,4414.0,5009.0,2201.0,4401.0,1813.0,1814.0,7026.0
5005751,24600.0,24667.0,24735.0,24767.0,24830.0,24957.0,25010.0,25060.0,25176.0,25272.0,25324.0,25340.0,25433.0,25461.0,25512.0,25547.0,25666.0,25682.0,25730.0,25761.0,25799.0,25825.0,25966.0,26047.0,26076.0,26122.0,26137.0,26171.0,26200.0,26231.0,26297.0,26343.0,26407.0,26437.0,26591.0,26678.0,27065.0,27122.0,27397.0
5005754,56400.0,56510.0,56621.0,56673.0,56776.0,56985.0,57065.0,57142.0,57318.0,57470.0,57620.0,57665.0,57839.0,57891.0,57986.0,58051.0,58275.0,58308.0,58405.0,58468.0,58544.0,58595.0,58801.0,58919.0,58961.0,59028.0,59051.0,59098.0,59138.0,59181.0,59247.0,59319.0,59419.0,59466.0,59710.0,59824.0,60273.0,60356.0,60678.0
5011554,61200.0,61306.0,61413.0,61463.0,61562.0,61762.0,61856.0,61946.0,62152.0,62301.0,62398.0,62427.0,62557.0,62596.0,62667.0,62716.0,62882.0,62911.0,62997.0,63053.0,63120.0,63165.0,63358.0,63469.0,63508.0,63571.0,63593.0,63643.0,63685.0,63731.0,63827.0,63895.0,63989.0,64033.0,64262.0,64344.0,65045.0,65113.0,65429.0
5085532,24600.0,24665.0,24730.0,24761.0,24822.0,24943.0,24994.0,25043.0,25154.0,25246.0,25296.0,25311.0,25400.0,25426.0,25475.0,25509.0,25624.0,25640.0,25686.0,25716.0,25752.0,25777.0,25913.0,25991.0,26018.0,26062.0,26077.0,26110.0,26138.0,26167.0,26230.0,26274.0,26335.0,26364.0,26513.0,26597.0,26969.0,27024.0,27288.0
5085535,56400.0,56506.0,56613.0,56663.0,56763.0,56963.0,57040.0,57114.0,57283.0,57429.0,57573.0,57617.0,57784.0,57834.0,57926.0,57989.0,58204.0,58236.0,58329.0,58390.0,58463.0,58512.0,58710.0,58824.0,58864.0,58928.0,58950.0,58995.0,59033.0,59075.0,59138.0,59207.0,59303.0,59348.0,59583.0,59693.0,60125.0,60205.0,60515.0
5095800,61200.0,61302.0,61404.0,61452.0,61548.0,61740.0,61830.0,61916.0,62115.0,62258.0,62351.0,62379.0,62504.0,62541.0,62610.0,62657.0,62817.0,62845.0,62927.0,62981.0,63046.0,63089.0,63275.0,63382.0,63420.0,63480.0,63501.0,63549.0,63590.0,63634.0,63726.0,63791.0,63882.0,63924.0,64144.0,64223.0,64897.0,64962.0,65266.0
5102233,61200.0,61302.0,61404.0,61452.0,61548.0,61740.0,61830.0,61916.0,62115.0,62258.0,62351.0,62379.0,62504.0,62541.0,62610.0,62657.0,62817.0,62845.0,62927.0,62981.0,63046.0,63089.0,63275.0,63382.0,63420.0,63480.0,63501.0,63549.0,63590.0,63634.0,63726.0,63791.0,63882.0,63924.0,64144.0,64223.0,64897.0,64962.0,65266.0
5113146,24600.0,24665.0,24730.0,24761.0,24822.0,24943.0,24994.0,25043.0,25154.0,25246.0,25296.0,25311.0,25400.0,25426.0,25475.0,25509.0,25624.0,25640.0,25686.0,25716.0,25752.0,25777.0,25913.0,25991.0,26018.0,26062.0,26077.0,26110.0,26138.0,26167.0,26230.0,26274.0,26335.0,26364.0,26513.0,26597.0,26969.0,27024.0,27288.0
5113149,56400.0,56506.0,56613.0,56663.0,56763.0,56963.0,57040.0,57114.0,57283.0,57429.0,57573.0,57617.0,57784.0,57834.0,57926.0,57989.0,58204.0,58236.0,58329.0,58390.0,58463.0,58512.0,58710.0,58824.0,58864.0,58928.0,58950.0,58995.0,59033.0,59075.0,59138.0,59207.0,59303.0,59348.0,59583.0,59693.0,60125.0,60205.0,60515.0
