tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P
0,7391.0,493.0,494.0,495.0,400.0,346.0,317.0,312.0,1444.0,1445.0,7078.0,1449.0,1450.0,1451.0,2191.0,2192.0,2193.0,2194.0,2195.0,2196.0,2197.0,2198.0,2200.0,2201.0,7239.0,4401.0,2213.0,2214.0,2215.0,2216.0,4599.0,2217.0,2218.0,2219.0,3365.0,3366.0,3367.0,3886.0,3887.0,3888.0,7186.0,7187.0,3954.0,3955.0,3956.0,3957.0,3958.0,3959.0,7234.0,4002.0,5112.0,4003.0
5002943,36000.0,36098.0,36206.0,36336.0,36441.0,36518.0,36631.0,36872.0,36978.0,37044.0,37265.0,37346.0,37368.0,37388.0,37448.0,37473.0,37506.0,37527.0,37565.0,37601.0,37647.0,37695.0,37720.0,37862.0,37898.0,37924.0,38037.0,38078.0,38122.0,38153.0,38204.0,38236.0,38274.0,38306.0,38325.0,38349.0,38416.0,38476.0,38517.0,38550.0,38614.0,38710.0,38810.0,38833.0,38863.0,38940.0,39005.0,39084.0,39135.0,39169.0,39206.0,39292.0
5002954,28500.0,28574.0,28656.0,28755.0,28835.0,28894.0,28979.0,29158.0,29272.0,29342.0,29563.0,29600.0,29623.0,29644.0,29718.0,29745.0,29776.0,29797.0,29836.0,29885.0,29947.0,30013.0,30048.0,30193.0,30230.0,30256.0,30374.0,30419.0,30466.0,30501.0,30597.0,30658.0,30715.0,30754.0,30778.0,30808.0,30880.0,30933.0,30976.0,31012.0,31075.0,31088.0,31194.0,31219.0,31238.0,31286.0,31326.0,31375.0,31427.0,31462.0,31500.0,31585.0
5003018,61200.0,61266.0,61339.0,61427.0,61498.0,61550.0,61670.0,61926.0,61999.0,62044.0,62257.0,62301.0,62324.0,62345.0,62383.0,62408.0,62438.0,62459.0,62496.0,62536.0,62587.0,62640.0,62668.0,62821.0,62860.0,62888.0,63003.0,63043.0,63086.0,63121.0,63198.0,63248.0,63276.0,63300.0,63315.0,63334.0,63399.0,63450.0,63519.0,63575.0,63644.0,63656.0,63762.0,63782.0,63801.0,63850.0,63891.0,63942.0,64005.0,64047.0,64094.0,64196.0
5003157,64800.0,64928.0,65070.0,65241.0,65379.0,65480.0,65620.0,65918.0,66018.0,66080.0,66281.0,66340.0,66375.0,66406.0,66498.0,66525.0,66562.0,66584.0,66625.0,66671.0,66729.0,66790.0,66822.0,66980.0,67020.0,67049.0,67192.0,67238.0,67287.0,67328.0,67415.0,67471.0,67514.0,67561.0,67590.0,67627.0,67721.0,67801.0,67859.0,67907.0,67984.0,68008.0,68142.0,68204.0,68228.0,68289.0,68341.0,68405.0,68463.0,68502.0,68545.0,68660.0
5003362,46800.0,46893.0,46996.0,47120.0,47220.0,47293.0,47405.0,47642.0,47750.0,47816.0,48042.0,48105.0,48130.0,48152.0,48217.0,48243.0,48277.0,48298.0,48337.0,48380.0,48434.0,48491.0,48520.0,48671.0,48709.0,48736.0,48872.0,48915.0,48960.0,48992.0,49072.0,49124.0,49164.0,49200.0,49222.0,49249.0,49364.0,49435.0,49473.0,49505.0,49571.0,49587.0,49693.0,49763.0,49794.0,49873.0,49940.0,50023.0,50084.0,50125.0,50171.0,50265.0
5003367,72000.0,72084.0,72177.0,72289.0,72380.0,72446.0,72552.0,72776.0,72848.0,72893.0,73089.0,73129.0,73160.0,73188.0,73226.0,73251.0,73281.0,73303.0,73344.0,73380.0,73426.0,73475.0,73501.0,73622.0,73653.0,73675.0,73819.0,73851.0,73889.0,73923.0,73995.0,74041.0,74067.0,74094.0,74111.0,74131.0,74184.0,74236.0,74277.0,74311.0,74366.0,74389.0,74480.0,74496.0,74514.0,74559.0,74597.0,74643.0,74696.0,74732.0,74772.0,74903.0
5003410,32400.0,32548.0,32712.0,32909.0,33069.0,33184.0,33304.0,33559.0,33641.0,33691.0,33901.0,33964.0,33987.0,34008.0,34057.0,34085.0,34118.0,34139.0,34178.0,34214.0,34260.0,34308.0,34334.0,34437.0,34463.0,34481.0,34595.0,34632.0,34671.0,34699.0,34786.0,34841.0,34877.0,34900.0,34914.0,34931.0,34995.0,35048.0,35072.0,35092.0,35148.0,35163.0,35240.0,35256.0,35279.0,35337.0,35386.0,35446.0,35489.0,35518.0,35550.0,35631.0
5003957,24900.0,24974.0,25056.0,25155.0,25235.0,25294.0,25379.0,25558.0,25672.0,25742.0,25963.0,26000.0,26023.0,26044.0,26118.0,26145.0,26176.0,26197.0,26236.0,26285.0,26347.0,26413.0,26448.0,26593.0,26630.0,26656.0,26774.0,26819.0,26866.0,26901.0,26997.0,27058.0,27115.0,27154.0,27178.0,27208.0,27280.0,27333.0,27376.0,27412.0,27475.0,27488.0,27594.0,27619.0,27638.0,27686.0,27726.0,27775.0,27827.0,27862.0,27900.0,27985.0
5003968,75600.0,75675.0,75758.0,75858.0,75939.0,75998.0,76083.0,76262.0,76334.0,76378.0,76557.0,76602.0,76627.0,76649.0,76687.0,76712.0,76743.0,76763.0,76800.0,76835.0,76880.0,76927.0,76952.0,77079.0,77111.0,77134.0,77237.0,77276.0,77321.0,77356.0,77416.0,77455.0,77487.0,77516.0,77534.0,77555.0,77608.0,77646.0,77685.0,77717.0,77780.0,77799.0,77888.0,77905.0,77922.0,77964.0,78000.0,78043.0,78101.0,78140.0,78183.0,78299.0
5004091,32400.0,32464.0,32535.0,32620.0,32689.0,32739.0,32799.0,32927.0,33003.0,33050.0,33237.0,33279.0,33295.0,33309.0,33356.0,33379.0,33408.0,33428.0,33464.0,33502.0,33550.0,33601.0,33627.0,33735.0,33762.0,33782.0,33878.0,33914.0,33950.0,33974.0,34034.0,34073.0,34098.0,34122.0,34137.0,34156.0,34210.0,34266.0,34307.0,34340.0,34396.0,34410.0,34485.0,34501.0,34515.0,34551.0,34582.0,34619.0,34667.0,34699.0,34734.0,34835.0
5004507,43200.0,43293.0,43396.0,43520.0,43620.0,43693.0,43805.0,44042.0,44150.0,44216.0,44442.0,44505.0,44530.0,44552.0,44617.0,44643.0,44677.0,44698.0,44737.0,44780.0,44834.0,44891.0,44920.0,45071.0,45109.0,45136.0,45272.0,45315.0,45360.0,45392.0,45472.0,45524.0,45564.0,45600.0,45622.0,45649.0,45764.0,45835.0,45873.0,45905.0,45971.0,45987.0,46093.0,46163.0,46194.0,46273.0,46340.0,46423.0,46484.0,46525.0,46571.0,46665.0
5004896,39600.0,39698.0,39806.0,39936.0,40041.0,40118.0,40231.0,40472.0,40578.0,40644.0,40865.0,40946.0,40968.0,40988.0,41048.0,41073.0,41106.0,41127.0,41165.0,41201.0,41247.0,41295.0,41320.0,41462.0,41498.0,41524.0,41637.0,41678.0,41722.0,41753.0,41804.0,41836.0,41874.0,41906.0,41925.0,41949.0,42016.0,42076.0,42117.0,42150.0,42214.0,42310.0,42410.0,42433.0,42463.0,42540.0,42605.0,42684.0,42735.0,42769.0,42806.0,42892.0
5005011,61200.0,61328.0,61470.0,61641.0,61779.0,61880.0,62020.0,62318.0,62418.0,62480.0,62681.0,62740.0,62775.0,62806.0,62898.0,62925.0,62962.0,62984.0,63025.0,63071.0,63129.0,63190.0,63222.0,63380.0,63420.0,63449.0,63592.0,63638.0,63687.0,63728.0,63815.0,63871.0,63914.0,63961.0,63990.0,64027.0,64121.0,64201.0,64259.0,64307.0,64384.0,64408.0,64542.0,64604.0,64628.0,64689.0,64741.0,64805.0,64863.0,64902.0,64945.0,65060.0
5005589,79200.0,79275.0,79358.0,79458.0,79539.0,79598.0,79683.0,79862.0,79934.0,79978.0,80157.0,80202.0,80227.0,80249.0,80287.0,80312.0,80343.0,80363.0,80400.0,80435.0,80480.0,80527.0,80552.0,80679.0,80711.0,80734.0,80837.0,80876.0,80921.0,80956.0,81016.0,81055.0,81087.0,81116.0,81134.0,81155.0,81208.0,81246.0,81285.0,81317.0,81380.0,81399.0,81488.0,81505.0,81522.0,81564.0,81600.0,81643.0,81701.0,81740.0,81783.0,81899.0
5007190,28800.0,28864.0,28935.0,29020.0,29089.0,29139.0,29199.0,29327.0,29403.0,29450.0,29637.0,29679.0,29695.0,29709.0,29756.0,29779.0,29808.0,29828.0,29864.0,29902.0,29950.0,30001.0,30027.0,30135.0,30162.0,30182.0,30278.0,30314.0,30350.0,30374.0,30434.0,30473.0,30498.0,30522.0,30537.0,30556.0,30610.0,30666.0,30707.0,30740.0,30796.0,30810.0,30885.0,30901.0,30915.0,30951.0,30982.0,31019.0,31067.0,31099.0,31134.0,31235.0
5007558,54000.0,54128.0,54270.0,54441.0,54579.0,54680.0,54820.0,55118.0,55218.0,55280.0,55481.0,55540.0,55575.0,55606.0,55698.0,55725.0,55762.0,55784.0,55825.0,55871.0,55929.0,55990.0,56022.0,56180.0,56220.0,56249.0,56392.0,56438.0,56487.0,56528.0,56615.0,56671.0,56714.0,56761.0,56790.0,56827.0,56921.0,57001.0,57059.0,57107.0,57184.0,57208.0,57342.0,57404.0,57428.0,57489.0,57541.0,57605.0,57663.0,57702.0,57745.0,57860.0
5008254,82800.0,82883.0,82975.0,83085.0,83174.0,83239.0,83355.0,83602.0,83670.0,83712.0,83903.0,83934.0,83962.0,83987.0,84039.0,84068.0,84104.0,84127.0,84168.0,84208.0,84259.0,84313.0,84342.0,84514.0,84558.0,84589.0,84701.0,84737.0,84782.0,84826.0,84904.0,84954.0,84990.0,85016.0,85032.0,85051.0,85108.0,85149.0,85202.0,85246.0,85307.0,85323.0,85409.0,85427.0,85446.0,85495.0,85536.0,85586.0,85647.0,85688.0,85734.0,85874.0
5009213,21600.0,21646.0,21697.0,21759.0,21809.0,21846.0,21897.0,22006.0,22052.0,22081.0,22209.0,22239.0,22253.0,22265.0,22294.0,22315.0,22343.0,22363.0,22400.0,22425.0,22456.0,22489.0,22507.0,22618.0,22646.0,22666.0,22760.0,22795.0,22837.0,22870.0,22927.0,22964.0,22991.0,23012.0,23025.0,23041.0,23087.0,23123.0,23156.0,23184.0,23236.0,23245.0,23319.0,23337.0,23350.0,23383.0,23411.0,23444.0,23487.0,23516.0,23547.0,23640.0
5009219,46800.0,46875.0,46959.0,47060.0,47141.0,47200.0,47303.0,47523.0,47620.0,47679.0,47842.0,47909.0,47938.0,47963.0,48016.0,48041.0,48071.0,48097.0,48144.0,48185.0,48237.0,48292.0,48320.0,48454.0,48488.0,48512.0,48626.0,48673.0,48719.0,48759.0,48836.0,48886.0,48915.0,48942.0,48959.0,48979.0,49042.0,49098.0,49156.0,49204.0,49271.0,49285.0,49390.0,49410.0,49431.0,49484.0,49529.0,49585.0,49645.0,49685.0,49729.0,49837.0
5009277,39600.0,39682.0,39773.0,39883.0,39972.0,40036.0,40105.0,40252.0,40339.0,40392.0,40615.0,40683.0,40702.0,40719.0,40758.0,40785.0,40817.0,40841.0,40886.0,40922.0,40968.0,41017.0,41043.0,41236.0,41285.0,41319.0,41420.0,41455.0,41492.0,41517.0,41583.0,41626.0,41665.0,41694.0,41712.0,41735.0,41811.0,41849.0,41878.0,41902.0,41954.0,41965.0,42061.0,42078.0,42091.0,42123.0,42150.0,42182.0,42234.0,42269.0,42307.0,42398.0
5009281,57600.0,57666.0,57739.0,57827.0,57898.0,57950.0,58070.0,58326.0,58399.0,58444.0,58657.0,58701.0,58724.0,58745.0,58783.0,58808.0,58838.0,58859.0,58896.0,58936.0,58987.0,59040.0,59068.0,59221.0,59260.0,59288.0,59403.0,59443.0,59486.0,59521.0,59598.0,59648.0,59676.0,59700.0,59715.0,59734.0,59799.0,59850.0,59919.0,59975.0,60044.0,60056.0,60162.0,60182.0,60201.0,60250.0,60291.0,60342.0,60405.0,60447.0,60494.0,60596.0
5011263,68400.0,68528.0,68670.0,68841.0,68979.0,69080.0,69220.0,69518.0,69618.0,69680.0,69881.0,69940.0,69975.0,70006.0,70098.0,70125.0,70162.0,70184.0,70225.0,70271.0,70329.0,70390.0,70422.0,70580.0,70620.0,70649.0,70792.0,70838.0,70887.0,70928.0,71015.0,71071.0,71114.0,71161.0,71190.0,71227.0,71321.0,71401.0,71459.0,71507.0,71584.0,71608.0,71742.0,71804.0,71828.0,71889.0,71941.0,72005.0,72063.0,72102.0,72145.0,72260.0
5011608,57600.0,57728.0,57870.0,58041.0,58179.0,58280.0,58420.0,58718.0,58818.0,58880.0,59081.0,59140.0,59175.0,59206.0,59298.0,59325.0,59362.0,59384.0,59425.0,59471.0,59529.0,59590.0,59622.0,59780.0,59820.0,59849.0,59992.0,60038.0,60087.0,60128.0,60215.0,60271.0,60314.0,60361.0,60390.0,60427.0,60521.0,60601.0,60659.0,60707.0,60784.0,60808.0,60942.0,61004.0,61028.0,61089.0,61141.0,61205.0,61263.0,61302.0,61345.0,61460.0
