tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P
5089331,65400.0,65427.0,65549.0,65582.0,65623.0,65669.0,65694.0,65732.0,65782.0,65831.0,65904.0,65995.0,66071.0,66104.0,66148.0,66205.0,66297.0,66340.0,66423.0,66479.0,66540.0,66723.0,66875.0,66903.0,66988.0,67133.0,67172.0,67200.0,67236.0,67264.0,67300.0,67347.0,67384.0,67507.0,67583.0
5099961,33000.0,33024.0,33142.0,33173.0,33211.0,33255.0,33279.0,33315.0,33362.0,33408.0,33477.0,33575.0,33657.0,33689.0,33731.0,33786.0,33875.0,33916.0,34000.0,34063.0,34137.0,34305.0,34443.0,34465.0,34531.0,34635.0,34674.0,34702.0,34738.0,34766.0,34802.0,34850.0,34889.0,35016.0,35094.0
5099963,40200.0,40226.0,40361.0,40391.0,40428.0,40470.0,40493.0,40528.0,40573.0,40618.0,40685.0,40778.0,40856.0,40887.0,40928.0,40981.0,41067.0,41108.0,41206.0,41266.0,41344.0,41526.0,41678.0,41705.0,41786.0,41913.0,41956.0,41986.0,42026.0,42056.0,42095.0,42146.0,42187.0,42322.0,42405.0
5099965,47400.0,47426.0,47561.0,47591.0,47628.0,47670.0,47693.0,47728.0,47773.0,47818.0,47885.0,47978.0,48056.0,48087.0,48128.0,48181.0,48267.0,48308.0,48406.0,48466.0,48544.0,48726.0,48878.0,48905.0,48986.0,49113.0,49156.0,49186.0,49226.0,49256.0,49295.0,49346.0,49387.0,49522.0,49605.0
5099969,61800.0,61821.0,61859.0,61893.0,61934.0,61981.0,62006.0,62044.0,62094.0,62144.0,62219.0,62307.0,62382.0,62421.0,62472.0,62538.0,62645.0,62694.0,62788.0,62862.0,62886.0,63115.0,63278.0,63308.0,63398.0,63524.0,63565.0,63594.0,63632.0,63661.0,63699.0,63749.0,63792.0,63934.0,64022.0
5099971,72600.0,72629.0,72662.0,72693.0,72731.0,72774.0,72797.0,72832.0,72878.0,72924.0,72993.0,73052.0,73101.0,73125.0,73157.0,73198.0,73265.0,73297.0,73376.0,73426.0,73449.0,73623.0,73757.0,73777.0,73839.0,73910.0,73944.0,73968.0,73999.0,74023.0,74054.0,74095.0,74124.0,74220.0,74279.0
5110302,36600.0,36627.0,36657.0,36692.0,36735.0,36784.0,36810.0,36850.0,36902.0,36954.0,37031.0,37102.0,37162.0,37195.0,37238.0,37294.0,37385.0,37426.0,37526.0,37583.0,37607.0,37827.0,38007.0,38031.0,38106.0,38179.0,38218.0,38246.0,38282.0,38310.0,38346.0,38393.0,38432.0,38560.0,38639.0
5110306,51000.0,51026.0,51161.0,51191.0,51228.0,51270.0,51293.0,51328.0,51373.0,51418.0,51485.0,51578.0,51656.0,51687.0,51728.0,51781.0,51867.0,51908.0,52006.0,52066.0,52144.0,52326.0,52478.0,52505.0,52586.0,52713.0,52756.0,52786.0,52826.0,52856.0,52895.0,52946.0,52987.0,53122.0,53205.0
5110308,58200.0,58224.0,58254.0,58298.0,58351.0,58412.0,58445.0,58495.0,58560.0,58625.0,58722.0,58809.0,58883.0,58921.0,58971.0,59035.0,59140.0,59188.0,59310.0,59381.0,59413.0,59604.0,59772.0,59807.0,59912.0,60052.0,60095.0,60125.0,60165.0,60195.0,60234.0,60285.0,60329.0,60474.0,60562.0
5110310,65400.0,65427.0,65549.0,65582.0,65623.0,65669.0,65694.0,65732.0,65782.0,65831.0,65904.0,65995.0,66071.0,66104.0,66148.0,66205.0,66297.0,66340.0,66423.0,66479.0,66540.0,66723.0,66875.0,66903.0,66988.0,67133.0,67172.0,67200.0,67236.0,67264.0,67300.0,67347.0,67384.0,67507.0,67583.0
