tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P
0,4953.0,768.0,769.0,770.0,771.0,772.0,773.0,774.0,775.0,776.0,777.0,779.0,780.0,781.0,782.0,783.0,784.0,785.0,786.0,791.0,7576.0,7585.0,7587.0,345.0,318.0,312.0,1444.0,1445.0,4407.0,2637.0,2721.0,7012.0,2201.0,4401.0,2213.0,2214.0,2215.0,2216.0,4599.0,2217.0,2218.0,2219.0,3365.0,3366.0,3367.0,3886.0,3888.0,3890.0
5004686,63000.0,63173.0,63196.0,63245.0,63265.0,63307.0,63336.0,63370.0,63416.0,63451.0,63494.0,63546.0,63615.0,63662.0,63704.0,63767.0,63805.0,63869.0,64028.0,64198.0,64276.0,64526.0,64816.0,64973.0,65119.0,65397.0,65508.0,65576.0,65694.0,65818.0,65918.0,65947.0,66268.0,66338.0,66536.0,66610.0,66705.0,66767.0,66849.0,66901.0,66953.0,66993.0,67017.0,67048.0,67169.0,67246.0,67379.0,67468.0
5011761,59400.0,59573.0,59596.0,59645.0,59665.0,59707.0,59736.0,59770.0,59816.0,59851.0,59894.0,59946.0,60015.0,60062.0,60104.0,60167.0,60205.0,60269.0,60428.0,60598.0,60676.0,60926.0,61216.0,61373.0,61519.0,61797.0,61908.0,61976.0,62094.0,62218.0,62318.0,62347.0,62668.0,62738.0,62936.0,63010.0,63105.0,63167.0,63249.0,63301.0,63353.0,63393.0,63417.0,63448.0,63569.0,63646.0,63779.0,63868.0
5087505,63000.0,63166.0,63188.0,63236.0,63255.0,63295.0,63323.0,63356.0,63400.0,63434.0,63475.0,63525.0,63591.0,63637.0,63677.0,63738.0,63774.0,63836.0,63989.0,64152.0,64227.0,64467.0,64746.0,64897.0,65038.0,65305.0,65412.0,65478.0,65592.0,65710.0,65806.0,65834.0,66143.0,66210.0,66400.0,66472.0,66563.0,66623.0,66702.0,66752.0,66802.0,66840.0,66864.0,66893.0,67009.0,67083.0,67211.0,67297.0
5094616,59400.0,59566.0,59588.0,59636.0,59655.0,59695.0,59723.0,59756.0,59800.0,59834.0,59875.0,59925.0,59991.0,60037.0,60077.0,60138.0,60174.0,60236.0,60389.0,60552.0,60627.0,60867.0,61146.0,61297.0,61438.0,61705.0,61812.0,61878.0,61992.0,62110.0,62206.0,62234.0,62543.0,62610.0,62800.0,62872.0,62963.0,63023.0,63102.0,63152.0,63202.0,63240.0,63264.0,63293.0,63409.0,63483.0,63611.0,63697.0
5107148,59400.0,59566.0,59588.0,59636.0,59655.0,59695.0,59723.0,59756.0,59800.0,59834.0,59875.0,59925.0,59991.0,60037.0,60077.0,60138.0,60174.0,60236.0,60389.0,60552.0,60627.0,60867.0,61146.0,61297.0,61438.0,61705.0,61812.0,61878.0,61992.0,62110.0,62206.0,62234.0,62543.0,62610.0,62800.0,62872.0,62963.0,63023.0,63102.0,63152.0,63202.0,63240.0,63264.0,63293.0,63409.0,63483.0,63611.0,63697.0
