tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P
0,896.0,897.0,893.0,894.0,1067.0,1068.0,1069.0,1070.0,1071.0,4528.0,1072.0,7577.0,1353.0,1354.0,7589.0,7578.0,7582.0,319.0,7491.0,274.0,7.0,194.0,195.0,196.0,197.0,198.0,199.0,1506.0,1507.0,1508.0,1509.0,1510.0,1511.0,1512.0,1538.0,4543.0,1560.0,1280.0,6366.0,6230.0,6228.0,7111.0,6365.0,6276.0,6362.0,7276.0,7149.0
5006052,32100.0,32154.0,32199.0,32262.0,32308.0,32381.0,32483.0,32544.0,32627.0,32686.0,32768.0,32877.0,32971.0,33095.0,33114.0,33215.0,33365.0,33546.0,33740.0,33772.0,33945.0,34046.0,34117.0,34161.0,34206.0,34265.0,34299.0,34355.0,34386.0,34426.0,34482.0,34534.0,34553.0,34623.0,34672.0,34708.0,34857.0,34906.0,34968.0,35024.0,35078.0,35134.0,35167.0,35190.0,35212.0,35276.0,35309.0
5006054,40800.0,40847.0,40886.0,40941.0,40981.0,41045.0,41140.0,41197.0,41276.0,41317.0,41375.0,41470.0,41552.0,41660.0,41677.0,41779.0,41904.0,42055.0,42217.0,42264.0,42518.0,42619.0,42695.0,42742.0,42799.0,42875.0,42918.0,42988.0,43028.0,43079.0,43147.0,43213.0,43234.0,43310.0,43374.0,43421.0,43573.0,43626.0,43693.0,43754.0,43814.0,43878.0,43915.0,43940.0,43971.0,44059.0,44104.0
5006056,54000.0,54053.0,54097.0,54159.0,54204.0,54275.0,54371.0,54428.0,54508.0,54550.0,54609.0,54704.0,54786.0,54894.0,54910.0,55022.0,55158.0,55323.0,55499.0,55551.0,55833.0,55937.0,56028.0,56084.0,56157.0,56253.0,56302.0,56383.0,56426.0,56480.0,56545.0,56619.0,56646.0,56743.0,56824.0,56883.0,57081.0,57144.0,57223.0,57295.0,57365.0,57443.0,57488.0,57520.0,57555.0,57656.0,57708.0
5006058,62400.0,62443.0,62478.0,62528.0,62564.0,62621.0,62706.0,62757.0,62826.0,62867.0,62925.0,63029.0,63119.0,63237.0,63256.0,63360.0,63521.0,63715.0,63921.0,63966.0,64212.0,64307.0,64399.0,64456.0,64540.0,64652.0,64704.0,64788.0,64825.0,64873.0,64935.0,64998.0,65022.0,65108.0,65173.0,65221.0,65384.0,65437.0,65512.0,65580.0,65647.0,65720.0,65762.0,65791.0,65826.0,65927.0,65978.0
5006061,79200.0,79238.0,79269.0,79313.0,79345.0,79395.0,79466.0,79508.0,79567.0,79605.0,79658.0,79738.0,79807.0,79898.0,79912.0,80021.0,80139.0,80281.0,80434.0,80472.0,80678.0,80752.0,80817.0,80857.0,80905.0,80969.0,81006.0,81067.0,81092.0,81124.0,81174.0,81226.0,81246.0,81317.0,81366.0,81402.0,81526.0,81571.0,81633.0,81689.0,81744.0,81812.0,81851.0,81878.0,81910.0,82002.0,82048.0
5006172,26400.0,26431.0,26457.0,26493.0,26519.0,26560.0,26613.0,26645.0,26689.0,26728.0,26782.0,26822.0,26856.0,26901.0,26908.0,26948.0,27027.0,27122.0,27223.0,27250.0,27399.0,27458.0,27516.0,27552.0,27589.0,27639.0,27662.0,27700.0,27718.0,27741.0,27786.0,27847.0,27863.0,27920.0,27964.0,27996.0,28118.0,28160.0,28222.0,28278.0,28332.0,28390.0,28423.0,28447.0,28471.0,28540.0,28575.0
5006178,48600.0,48651.0,48693.0,48753.0,48796.0,48865.0,48967.0,49028.0,49112.0,49160.0,49227.0,49299.0,49361.0,49443.0,49455.0,49536.0,49661.0,49812.0,49974.0,50028.0,50323.0,50419.0,50492.0,50537.0,50598.0,50680.0,50729.0,50809.0,50849.0,50899.0,50958.0,51008.0,51036.0,51135.0,51202.0,51251.0,51406.0,51469.0,51544.0,51612.0,51678.0,51745.0,51784.0,51811.0,51846.0,51948.0,52000.0
5006180,57000.0,57051.0,57093.0,57152.0,57195.0,57263.0,57363.0,57423.0,57505.0,57535.0,57576.0,57665.0,57741.0,57841.0,57857.0,58004.0,58128.0,58277.0,58436.0,58486.0,58761.0,58849.0,58909.0,58946.0,59008.0,59091.0,59150.0,59246.0,59281.0,59325.0,59401.0,59468.0,59494.0,59587.0,59651.0,59697.0,59839.0,59884.0,59946.0,60002.0,60056.0,60118.0,60154.0,60179.0,60208.0,60290.0,60332.0
5006182,65400.0,65448.0,65487.0,65543.0,65584.0,65647.0,65727.0,65775.0,65840.0,65874.0,65922.0,66008.0,66082.0,66180.0,66196.0,66370.0,66520.0,66700.0,66893.0,66940.0,67195.0,67285.0,67359.0,67405.0,67454.0,67520.0,67561.0,67629.0,67654.0,67687.0,67743.0,67800.0,67821.0,67896.0,67949.0,67988.0,68132.0,68177.0,68242.0,68301.0,68357.0,68430.0,68472.0,68502.0,68531.0,68614.0,68657.0
