tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P
5006464,28800.0,28835.0,28911.0,28955.0,29006.0,29048.0,29086.0,29173.0,29213.0,29274.0,29298.0,29324.0,29399.0,29429.0,29510.0,29583.0,29645.0,29705.0,29729.0,29763.0,29788.0,29831.0,29892.0,29930.0,29961.0,29980.0,30033.0,30071.0,30108.0,30143.0,30176.0,30213.0,30247.0,30294.0,30330.0,30379.0,30436.0,30485.0,30549.0,30559.0,30637.0,30741.0,30926.0,31017.0,31063.0,31099.0,31151.0,31228.0,31295.0,31334.0,31345.0
5006466,36000.0,36025.0,36079.0,36110.0,36146.0,36178.0,36215.0,36300.0,36339.0,36399.0,36423.0,36462.0,36550.0,36584.0,36665.0,36738.0,36800.0,36862.0,36916.0,36964.0,37000.0,37050.0,37122.0,37167.0,37210.0,37236.0,37310.0,37363.0,37416.0,37463.0,37506.0,37559.0,37608.0,37675.0,37712.0,37764.0,37842.0,37909.0,37998.0,38012.0,38103.0,38222.0,38433.0,38578.0,38629.0,38669.0,38728.0,38815.0,38891.0,38935.0,38948.0
5006468,43200.0,43227.0,43286.0,43320.0,43359.0,43392.0,43436.0,43537.0,43584.0,43655.0,43683.0,43733.0,43831.0,43869.0,44001.0,44120.0,44221.0,44320.0,44370.0,44430.0,44475.0,44528.0,44604.0,44651.0,44693.0,44719.0,44791.0,44843.0,44894.0,44931.0,44965.0,45014.0,45059.0,45120.0,45151.0,45195.0,45270.0,45335.0,45420.0,45433.0,45532.0,45673.0,45925.0,46033.0,46084.0,46124.0,46182.0,46268.0,46343.0,46386.0,46398.0
5006470,50400.0,50427.0,50486.0,50520.0,50559.0,50592.0,50636.0,50737.0,50784.0,50855.0,50883.0,50933.0,51031.0,51069.0,51201.0,51320.0,51421.0,51520.0,51570.0,51630.0,51675.0,51728.0,51804.0,51851.0,51893.0,51919.0,51991.0,52043.0,52094.0,52131.0,52165.0,52214.0,52259.0,52320.0,52351.0,52395.0,52470.0,52535.0,52620.0,52633.0,52732.0,52873.0,53125.0,53233.0,53284.0,53324.0,53382.0,53468.0,53543.0,53586.0,53598.0
5006472,57600.0,57623.0,57673.0,57702.0,57735.0,57763.0,57801.0,57889.0,57930.0,57992.0,58017.0,58052.0,58142.0,58177.0,58262.0,58338.0,58403.0,58466.0,58509.0,58551.0,58583.0,58630.0,58698.0,58740.0,58776.0,58798.0,58859.0,58903.0,58945.0,58985.0,59022.0,59080.0,59133.0,59205.0,59238.0,59285.0,59377.0,59456.0,59561.0,59578.0,59686.0,59855.0,60157.0,60264.0,60315.0,60355.0,60414.0,60501.0,60577.0,60621.0,60634.0
5006474,64800.0,64825.0,64878.0,64909.0,64945.0,64974.0,65015.0,65109.0,65153.0,65220.0,65245.0,65281.0,65372.0,65408.0,65504.0,65590.0,65664.0,65737.0,65763.0,65788.0,65807.0,65851.0,65914.0,65954.0,65998.0,66025.0,66099.0,66153.0,66205.0,66239.0,66270.0,66321.0,66367.0,66431.0,66477.0,66542.0,66627.0,66700.0,66797.0,66812.0,66971.0,67176.0,67542.0,67636.0,67687.0,67727.0,67786.0,67873.0,67949.0,67993.0,68006.0
5007140,40800.0,40825.0,40879.0,40910.0,40946.0,40978.0,41015.0,41100.0,41139.0,41199.0,41223.0,41262.0,41350.0,41384.0,41465.0,41538.0,41600.0,41662.0,41716.0,41764.0,41800.0,41850.0,41922.0,41967.0,42010.0,42036.0,42110.0,42163.0,42216.0,42263.0,42306.0,42359.0,42408.0,42475.0,42512.0,42564.0,42642.0,42709.0,42798.0,42812.0,42903.0,43022.0,43233.0,43378.0,43429.0,43469.0,43528.0,43615.0,43691.0,43735.0,43748.0
5007142,48000.0,48027.0,48086.0,48120.0,48159.0,48192.0,48236.0,48337.0,48384.0,48455.0,48483.0,48533.0,48631.0,48669.0,48801.0,48920.0,49021.0,49120.0,49170.0,49230.0,49275.0,49328.0,49404.0,49451.0,49493.0,49519.0,49591.0,49643.0,49694.0,49731.0,49765.0,49814.0,49859.0,49920.0,49951.0,49995.0,50070.0,50135.0,50220.0,50233.0,50332.0,50473.0,50725.0,50833.0,50884.0,50924.0,50982.0,51068.0,51143.0,51186.0,51198.0
5007144,55200.0,55223.0,55273.0,55302.0,55335.0,55363.0,55401.0,55489.0,55530.0,55592.0,55617.0,55652.0,55742.0,55777.0,55862.0,55938.0,56003.0,56066.0,56109.0,56151.0,56183.0,56230.0,56298.0,56340.0,56376.0,56398.0,56459.0,56503.0,56545.0,56585.0,56622.0,56680.0,56733.0,56805.0,56838.0,56885.0,56977.0,57056.0,57161.0,57178.0,57286.0,57455.0,57757.0,57864.0,57915.0,57955.0,58014.0,58101.0,58177.0,58221.0,58234.0
5007152,83700.0,83722.0,83770.0,83798.0,83830.0,83856.0,83898.0,83993.0,84037.0,84105.0,84131.0,84156.0,84222.0,84248.0,84304.0,84354.0,84397.0,84439.0,84464.0,84504.0,84535.0,84570.0,84621.0,84653.0,84683.0,84701.0,84752.0,84789.0,84826.0,84856.0,84884.0,84918.0,84948.0,84990.0,85027.0,85079.0,85167.0,85243.0,85343.0,85358.0,85524.0,85696.0,86004.0,86085.0,86132.0,86169.0,86223.0,86303.0,86373.0,86414.0,86426.0
5007860,38400.0,38425.0,38478.0,38509.0,38544.0,38573.0,38615.0,38711.0,38755.0,38823.0,38849.0,38878.0,38961.0,38994.0,39075.0,39148.0,39210.0,39270.0,39315.0,39359.0,39392.0,39438.0,39504.0,39546.0,39586.0,39610.0,39677.0,39726.0,39773.0,39813.0,39851.0,39904.0,39952.0,40017.0,40060.0,40119.0,40210.0,40288.0,40391.0,40406.0,40515.0,40643.0,40871.0,40994.0,41045.0,41085.0,41144.0,41231.0,41307.0,41351.0,41364.0
5007862,48000.0,48026.0,48082.0,48115.0,48153.0,48184.0,48226.0,48322.0,48366.0,48434.0,48460.0,48493.0,48586.0,48622.0,48709.0,48787.0,48853.0,48918.0,48979.0,49022.0,49054.0,49107.0,49183.0,49230.0,49267.0,49290.0,49353.0,49399.0,49444.0,49483.0,49519.0,49568.0,49613.0,49675.0,49715.0,49771.0,49866.0,49948.0,50056.0,50073.0,50170.0,50308.0,50554.0,50676.0,50727.0,50767.0,50826.0,50913.0,50989.0,51033.0,51046.0
5007864,57600.0,57625.0,57678.0,57709.0,57744.0,57773.0,57813.0,57905.0,57948.0,58013.0,58038.0,58065.0,58153.0,58188.0,58269.0,58342.0,58404.0,58465.0,58510.0,58560.0,58598.0,58654.0,58734.0,58785.0,58828.0,58854.0,58927.0,58980.0,59031.0,59069.0,59104.0,59154.0,59199.0,59262.0,59306.0,59366.0,59454.0,59530.0,59630.0,59646.0,59753.0,59901.0,60166.0,60321.0,60372.0,60412.0,60471.0,60558.0,60634.0,60678.0,60691.0
5007866,67500.0,67525.0,67578.0,67608.0,67643.0,67672.0,67711.0,67800.0,67841.0,67904.0,67929.0,67958.0,68035.0,68065.0,68146.0,68219.0,68281.0,68342.0,68393.0,68435.0,68466.0,68520.0,68597.0,68645.0,68687.0,68712.0,68783.0,68834.0,68884.0,68925.0,68963.0,69012.0,69057.0,69119.0,69163.0,69223.0,69308.0,69381.0,69478.0,69493.0,69595.0,69745.0,70013.0,70127.0,70178.0,70218.0,70276.0,70363.0,70439.0,70483.0,70496.0
5007868,74700.0,74725.0,74779.0,74810.0,74846.0,74878.0,74918.0,75010.0,75053.0,75118.0,75143.0,75174.0,75252.0,75283.0,75361.0,75431.0,75491.0,75549.0,75592.0,75626.0,75652.0,75703.0,75776.0,75822.0,75857.0,75878.0,75937.0,75979.0,76020.0,76056.0,76090.0,76135.0,76176.0,76232.0,76271.0,76326.0,76411.0,76484.0,76580.0,76594.0,76708.0,76842.0,77080.0,77197.0,77247.0,77286.0,77343.0,77428.0,77502.0,77545.0,77558.0
5007870,81900.0,81920.0,81963.0,81988.0,82017.0,82042.0,82074.0,82148.0,82182.0,82235.0,82256.0,82281.0,82342.0,82366.0,82426.0,82480.0,82526.0,82572.0,82600.0,82626.0,82645.0,82683.0,82737.0,82770.0,82798.0,82815.0,82862.0,82896.0,82928.0,82957.0,82985.0,83019.0,83050.0,83094.0,83128.0,83175.0,83238.0,83292.0,83363.0,83374.0,83468.0,83595.0,83822.0,83919.0,83966.0,84003.0,84056.0,84135.0,84204.0,84244.0,84254.0
5008426,25200.0,25220.0,25263.0,25288.0,25317.0,25341.0,25373.0,25446.0,25480.0,25532.0,25553.0,25570.0,25623.0,25644.0,25711.0,25771.0,25823.0,25874.0,25900.0,25926.0,25945.0,25980.0,26031.0,26063.0,26092.0,26110.0,26159.0,26195.0,26230.0,26255.0,26279.0,26300.0,26319.0,26345.0,26385.0,26441.0,26494.0,26540.0,26600.0,26610.0,26661.0,26732.0,26859.0,26965.0,27003.0,27033.0,27077.0,27142.0,27198.0,27231.0,27240.0
5008428,32400.0,32426.0,32482.0,32515.0,32553.0,32584.0,32620.0,32702.0,32740.0,32798.0,32820.0,32841.0,32929.0,32963.0,33042.0,33112.0,33172.0,33231.0,33274.0,33305.0,33328.0,33382.0,33460.0,33509.0,33547.0,33570.0,33635.0,33682.0,33729.0,33768.0,33804.0,33857.0,33905.0,33971.0,34017.0,34080.0,34155.0,34220.0,34305.0,34318.0,34387.0,34497.0,34693.0,34789.0,34840.0,34880.0,34939.0,35026.0,35102.0,35146.0,35159.0
5008430,39600.0,39625.0,39679.0,39710.0,39746.0,39778.0,39815.0,39900.0,39939.0,39999.0,40023.0,40062.0,40150.0,40184.0,40265.0,40338.0,40400.0,40462.0,40516.0,40564.0,40600.0,40650.0,40722.0,40767.0,40810.0,40836.0,40910.0,40963.0,41016.0,41063.0,41106.0,41159.0,41208.0,41275.0,41312.0,41364.0,41442.0,41509.0,41598.0,41612.0,41703.0,41822.0,42033.0,42178.0,42229.0,42269.0,42328.0,42415.0,42491.0,42535.0,42548.0
5008434,54000.0,54023.0,54073.0,54102.0,54135.0,54163.0,54201.0,54289.0,54330.0,54392.0,54417.0,54452.0,54542.0,54577.0,54662.0,54738.0,54803.0,54866.0,54909.0,54951.0,54983.0,55030.0,55098.0,55140.0,55176.0,55198.0,55259.0,55303.0,55345.0,55385.0,55422.0,55480.0,55533.0,55605.0,55638.0,55685.0,55777.0,55856.0,55961.0,55978.0,56086.0,56255.0,56557.0,56664.0,56715.0,56755.0,56814.0,56901.0,56977.0,57021.0,57034.0
5008436,61200.0,61225.0,61279.0,61310.0,61346.0,61377.0,61413.0,61495.0,61533.0,61591.0,61614.0,61647.0,61738.0,61774.0,61863.0,61943.0,62011.0,62079.0,62121.0,62161.0,62192.0,62239.0,62306.0,62348.0,62388.0,62412.0,62479.0,62528.0,62576.0,62621.0,62662.0,62703.0,62741.0,62793.0,62839.0,62902.0,62982.0,63051.0,63141.0,63155.0,63263.0,63420.0,63700.0,63800.0,63851.0,63891.0,63950.0,64037.0,64113.0,64157.0,64170.0
5008438,68400.0,68423.0,68472.0,68500.0,68533.0,68561.0,68602.0,68696.0,68739.0,68805.0,68831.0,68870.0,68950.0,68981.0,69050.0,69111.0,69163.0,69215.0,69247.0,69286.0,69316.0,69367.0,69440.0,69486.0,69517.0,69536.0,69588.0,69626.0,69662.0,69704.0,69743.0,69780.0,69814.0,69861.0,69899.0,69951.0,70057.0,70148.0,70268.0,70286.0,70440.0,70618.0,70936.0,71069.0,71115.0,71151.0,71203.0,71281.0,71349.0,71388.0,71400.0
5010039,27600.0,27632.0,27700.0,27739.0,27785.0,27823.0,27877.0,28001.0,28059.0,28147.0,28182.0,28222.0,28329.0,28371.0,28476.0,28570.0,28650.0,28729.0,28791.0,28867.0,28924.0,28990.0,29085.0,29145.0,29230.0,29281.0,29425.0,29529.0,29630.0,29692.0,29749.0,29813.0,29871.0,29950.0,30023.0,30125.0,30237.0,30333.0,30460.0,30480.0,30578.0,30738.0,31024.0,31191.0,31242.0,31282.0,31341.0,31428.0,31504.0,31548.0,31561.0
5010041,37200.0,37225.0,37278.0,37309.0,37344.0,37373.0,37415.0,37511.0,37555.0,37623.0,37649.0,37678.0,37761.0,37794.0,37875.0,37948.0,38010.0,38070.0,38115.0,38159.0,38192.0,38238.0,38304.0,38346.0,38386.0,38410.0,38477.0,38526.0,38573.0,38613.0,38651.0,38704.0,38752.0,38817.0,38860.0,38919.0,39010.0,39088.0,39191.0,39206.0,39315.0,39443.0,39671.0,39794.0,39845.0,39885.0,39944.0,40031.0,40107.0,40151.0,40164.0
5010043,63900.0,63925.0,63978.0,64008.0,64043.0,64072.0,64111.0,64200.0,64241.0,64304.0,64329.0,64358.0,64435.0,64465.0,64546.0,64619.0,64681.0,64742.0,64793.0,64835.0,64866.0,64920.0,64997.0,65045.0,65087.0,65112.0,65183.0,65234.0,65284.0,65325.0,65363.0,65412.0,65457.0,65519.0,65563.0,65623.0,65708.0,65781.0,65878.0,65893.0,65995.0,66145.0,66413.0,66527.0,66578.0,66618.0,66676.0,66763.0,66839.0,66883.0,66896.0
5010045,72900.0,72925.0,72979.0,73010.0,73046.0,73078.0,73118.0,73210.0,73253.0,73318.0,73343.0,73374.0,73452.0,73483.0,73561.0,73631.0,73691.0,73749.0,73792.0,73826.0,73852.0,73903.0,73976.0,74022.0,74057.0,74078.0,74137.0,74179.0,74220.0,74256.0,74290.0,74335.0,74376.0,74432.0,74471.0,74526.0,74611.0,74684.0,74780.0,74794.0,74908.0,75042.0,75280.0,75397.0,75447.0,75486.0,75543.0,75628.0,75702.0,75745.0,75758.0
5010047,80100.0,80120.0,80163.0,80188.0,80217.0,80242.0,80274.0,80348.0,80382.0,80435.0,80456.0,80481.0,80542.0,80566.0,80626.0,80680.0,80726.0,80772.0,80800.0,80826.0,80845.0,80883.0,80937.0,80970.0,80998.0,81015.0,81062.0,81096.0,81128.0,81157.0,81185.0,81219.0,81250.0,81294.0,81328.0,81375.0,81438.0,81492.0,81563.0,81574.0,81668.0,81795.0,82022.0,82119.0,82166.0,82203.0,82256.0,82335.0,82404.0,82444.0,82454.0
5010613,29700.0,29728.0,29789.0,29824.0,29865.0,29899.0,29986.0,30184.0,30276.0,30416.0,30470.0,30517.0,30645.0,30695.0,30827.0,30946.0,31047.0,31147.0,31211.0,31290.0,31349.0,31412.0,31502.0,31558.0,31621.0,31659.0,31765.0,31842.0,31917.0,31959.0,31999.0,32054.0,32104.0,32174.0,32246.0,32347.0,32466.0,32568.0,32703.0,32724.0,32815.0,33013.0,33367.0,33543.0,33594.0,33634.0,33693.0,33780.0,33856.0,33900.0,33913.0
5010615,39600.0,39625.0,39678.0,39709.0,39744.0,39773.0,39815.0,39911.0,39955.0,40023.0,40049.0,40078.0,40161.0,40194.0,40275.0,40348.0,40410.0,40470.0,40515.0,40559.0,40592.0,40638.0,40704.0,40746.0,40786.0,40810.0,40877.0,40926.0,40973.0,41013.0,41051.0,41104.0,41152.0,41217.0,41260.0,41319.0,41410.0,41488.0,41591.0,41606.0,41715.0,41843.0,42071.0,42194.0,42245.0,42285.0,42344.0,42431.0,42507.0,42551.0,42564.0
5010617,49200.0,49226.0,49282.0,49315.0,49353.0,49384.0,49426.0,49522.0,49566.0,49634.0,49660.0,49693.0,49786.0,49822.0,49909.0,49987.0,50053.0,50118.0,50179.0,50222.0,50254.0,50307.0,50383.0,50430.0,50467.0,50490.0,50553.0,50599.0,50644.0,50683.0,50719.0,50768.0,50813.0,50875.0,50915.0,50971.0,51066.0,51148.0,51256.0,51273.0,51370.0,51508.0,51754.0,51876.0,51927.0,51967.0,52026.0,52113.0,52189.0,52233.0,52246.0
5010619,58800.0,58825.0,58878.0,58909.0,58944.0,58973.0,59013.0,59105.0,59148.0,59213.0,59238.0,59265.0,59353.0,59388.0,59469.0,59542.0,59604.0,59665.0,59710.0,59760.0,59798.0,59854.0,59934.0,59985.0,60028.0,60054.0,60127.0,60180.0,60231.0,60269.0,60304.0,60354.0,60399.0,60462.0,60506.0,60566.0,60654.0,60730.0,60830.0,60846.0,60953.0,61101.0,61366.0,61521.0,61572.0,61612.0,61671.0,61758.0,61834.0,61878.0,61891.0
5011116,27000.0,27020.0,27063.0,27088.0,27117.0,27141.0,27173.0,27246.0,27280.0,27332.0,27353.0,27370.0,27423.0,27444.0,27511.0,27571.0,27623.0,27674.0,27700.0,27726.0,27745.0,27780.0,27831.0,27863.0,27892.0,27910.0,27959.0,27995.0,28030.0,28055.0,28079.0,28100.0,28119.0,28145.0,28185.0,28241.0,28294.0,28340.0,28400.0,28410.0,28461.0,28532.0,28659.0,28765.0,28803.0,28833.0,28877.0,28942.0,28998.0,29031.0,29040.0
5011124,56400.0,56423.0,56473.0,56502.0,56535.0,56563.0,56601.0,56689.0,56730.0,56792.0,56817.0,56852.0,56942.0,56977.0,57062.0,57138.0,57203.0,57266.0,57309.0,57351.0,57383.0,57430.0,57498.0,57540.0,57576.0,57598.0,57659.0,57703.0,57745.0,57785.0,57822.0,57880.0,57933.0,58005.0,58038.0,58085.0,58177.0,58256.0,58361.0,58378.0,58486.0,58655.0,58957.0,59064.0,59115.0,59155.0,59214.0,59301.0,59377.0,59421.0,59434.0
5011172,30600.0,30628.0,30689.0,30724.0,30765.0,30799.0,30886.0,31084.0,31176.0,31316.0,31370.0,31417.0,31545.0,31595.0,31727.0,31846.0,31947.0,32047.0,32111.0,32190.0,32249.0,32312.0,32402.0,32458.0,32521.0,32559.0,32665.0,32742.0,32817.0,32859.0,32899.0,32954.0,33004.0,33074.0,33146.0,33247.0,33366.0,33468.0,33603.0,33624.0,33715.0,33913.0,34267.0,34443.0,34494.0,34534.0,34593.0,34680.0,34756.0,34800.0,34813.0
5011174,69300.0,69325.0,69379.0,69410.0,69446.0,69478.0,69518.0,69610.0,69653.0,69718.0,69743.0,69774.0,69852.0,69883.0,69961.0,70031.0,70091.0,70149.0,70192.0,70226.0,70252.0,70303.0,70376.0,70422.0,70457.0,70478.0,70537.0,70579.0,70620.0,70656.0,70690.0,70735.0,70776.0,70832.0,70871.0,70926.0,71011.0,71084.0,71180.0,71194.0,71308.0,71442.0,71680.0,71797.0,71847.0,71886.0,71943.0,72028.0,72102.0,72145.0,72158.0
