tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P
5088191,84600.0,84627.0,84653.0,84691.0,84715.0,84742.0,84814.0,84835.0,84878.0,84938.0,84958.0,84990.0,85014.0,85051.0,85082.0,85100.0,85415.0,85771.0
5089709,24300.0,24347.0,24390.0,24427.0,24457.0,24487.0,24566.0,24598.0,24658.0,24729.0,24753.0,24790.0,24818.0,24862.0,24898.0,24920.0,25288.0,25549.0
5089711,27900.0,27947.0,27990.0,28027.0,28057.0,28087.0,28166.0,28198.0,28258.0,28329.0,28353.0,28390.0,28418.0,28462.0,28498.0,28520.0,28888.0,29149.0
5089713,31500.0,31550.0,31597.0,31637.0,31670.0,31694.0,31758.0,31792.0,31862.0,31935.0,31959.0,31998.0,32027.0,32072.0,32110.0,32132.0,32511.0,32727.0
5089715,35100.0,35150.0,35197.0,35237.0,35270.0,35294.0,35358.0,35392.0,35462.0,35535.0,35559.0,35598.0,35627.0,35672.0,35710.0,35732.0,36111.0,36327.0
5089717,38700.0,38747.0,38790.0,38831.0,38867.0,38891.0,38956.0,38994.0,39052.0,39118.0,39140.0,39175.0,39201.0,39242.0,39276.0,39296.0,39641.0,39800.0
5089724,60300.0,60374.0,60443.0,60486.0,60521.0,60558.0,60656.0,60695.0,60788.0,60873.0,60902.0,60947.0,60981.0,61034.0,61078.0,61104.0,61547.0,61698.0
5089726,63900.0,63974.0,64043.0,64086.0,64121.0,64158.0,64256.0,64295.0,64388.0,64473.0,64502.0,64547.0,64581.0,64634.0,64678.0,64704.0,65147.0,65298.0
5089728,74700.0,74741.0,74780.0,74818.0,74851.0,74872.0,74928.0,74947.0,75019.0,75082.0,75103.0,75136.0,75161.0,75200.0,75232.0,75251.0,75581.0,75776.0
5089730,78300.0,78323.0,78344.0,78382.0,78415.0,78436.0,78493.0,78509.0,78565.0,78623.0,78643.0,78674.0,78697.0,78733.0,78763.0,78781.0,79084.0,79322.0
5089732,81900.0,81923.0,81944.0,81982.0,82015.0,82036.0,82093.0,82109.0,82165.0,82223.0,82243.0,82274.0,82297.0,82333.0,82363.0,82381.0,82684.0,82922.0
5091481,42300.0,42347.0,42390.0,42431.0,42467.0,42491.0,42556.0,42594.0,42652.0,42718.0,42740.0,42775.0,42801.0,42842.0,42876.0,42896.0,43241.0,43400.0
5091483,45900.0,45948.0,45992.0,46033.0,46068.0,46094.0,46162.0,46197.0,46249.0,46321.0,46345.0,46383.0,46411.0,46456.0,46493.0,46515.0,46892.0,47047.0
5095500,56400.0,56434.0,56465.0,56501.0,56529.0,56550.0,56605.0,56629.0,56696.0,56755.0,56775.0,56806.0,56829.0,56865.0,56895.0,56913.0,57218.0,57413.0
