tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P
5005038,37500.0,37537.0,37579.0,37609.0,37637.0,37690.0,37731.0,37763.0,37807.0,37909.0,37988.0,38088.0,38108.0,38149.0,38182.0,38211.0,38258.0,38317.0,38373.0,38408.0,38448.0,38509.0,38573.0,38610.0,38740.0,38830.0,38910.0,39007.0,39106.0,39203.0,39372.0
5005040,42900.0,42937.0,42979.0,43009.0,43037.0,43090.0,43131.0,43163.0,43207.0,43309.0,43388.0,43488.0,43508.0,43549.0,43582.0,43611.0,43658.0,43717.0,43773.0,43808.0,43848.0,43909.0,43973.0,44010.0,44140.0,44230.0,44310.0,44407.0,44506.0,44603.0,44772.0
5005042,48300.0,48346.0,48397.0,48433.0,48468.0,48533.0,48583.0,48623.0,48677.0,48827.0,48939.0,49082.0,49108.0,49160.0,49202.0,49240.0,49293.0,49360.0,49423.0,49463.0,49507.0,49573.0,49648.0,49691.0,49839.0,49967.0,50062.0,50177.0,50272.0,50366.0,50529.0
5005044,53700.0,53746.0,53797.0,53833.0,53868.0,53933.0,53983.0,54023.0,54077.0,54227.0,54339.0,54482.0,54508.0,54560.0,54602.0,54640.0,54693.0,54760.0,54823.0,54863.0,54907.0,54973.0,55048.0,55091.0,55239.0,55367.0,55462.0,55577.0,55672.0,55766.0,55929.0
5005046,59100.0,59146.0,59197.0,59233.0,59268.0,59333.0,59383.0,59423.0,59477.0,59602.0,59680.0,59779.0,59799.0,59840.0,59873.0,59902.0,59959.0,60031.0,60099.0,60142.0,60189.0,60262.0,60333.0,60375.0,60538.0,60626.0,60725.0,60845.0,60945.0,61044.0,61215.0
5005048,64500.0,64546.0,64597.0,64633.0,64668.0,64733.0,64783.0,64823.0,64877.0,65002.0,65080.0,65179.0,65199.0,65240.0,65273.0,65302.0,65359.0,65431.0,65499.0,65542.0,65589.0,65662.0,65733.0,65775.0,65938.0,66026.0,66125.0,66245.0,66345.0,66444.0,66615.0
5005050,69900.0,69938.0,69981.0,70012.0,70041.0,70096.0,70139.0,70172.0,70218.0,70335.0,70405.0,70495.0,70515.0,70556.0,70589.0,70618.0,70665.0,70724.0,70779.0,70814.0,70853.0,70933.0,71032.0,71089.0,71230.0,71336.0,71423.0,71528.0,71620.0,71711.0,71869.0
5007787,33300.0,33346.0,33398.0,33435.0,33471.0,33537.0,33588.0,33628.0,33684.0,33853.0,33950.0,34074.0,34104.0,34164.0,34212.0,34254.0,34307.0,34373.0,34435.0,34474.0,34518.0,34604.0,34697.0,34752.0,34956.0,35102.0,35334.0,35615.0,35715.0,35814.0,35985.0
5007789,51600.0,51642.0,51689.0,51722.0,51754.0,51814.0,51860.0,51896.0,51945.0,52123.0,52224.0,52352.0,52377.0,52428.0,52469.0,52505.0,52556.0,52620.0,52680.0,52718.0,52760.0,52834.0,52924.0,52977.0,53123.0,53236.0,53339.0,53463.0,53561.0,53658.0,53826.0
5007793,64500.0,64537.0,64579.0,64608.0,64636.0,64689.0,64730.0,64762.0,64806.0,64964.0,65058.0,65178.0,65202.0,65250.0,65289.0,65323.0,65372.0,65433.0,65491.0,65527.0,65568.0,65643.0,65731.0,65783.0,65954.0,66121.0,66228.0,66358.0,66456.0,66552.0,66718.0
5007795,70200.0,70235.0,70275.0,70303.0,70330.0,70380.0,70419.0,70450.0,70492.0,70604.0,70668.0,70749.0,70767.0,70803.0,70832.0,70857.0,70894.0,70941.0,70985.0,71013.0,71044.0,71099.0,71165.0,71203.0,71338.0,71464.0,71544.0,71641.0,71736.0,71830.0,71992.0
5008009,31200.0,31235.0,31274.0,31302.0,31329.0,31379.0,31418.0,31448.0,31488.0,31557.0,31609.0,31675.0,31692.0,31726.0,31753.0,31777.0,31818.0,31870.0,31919.0,31950.0,31984.0,32049.0,32113.0,32150.0,32272.0,32380.0,32439.0,32511.0,32604.0,32695.0,32853.0
5009629,27000.0,27040.0,27085.0,27116.0,27146.0,27202.0,27246.0,27280.0,27327.0,27460.0,27520.0,27596.0,27617.0,27659.0,27693.0,27724.0,27775.0,27839.0,27899.0,27937.0,27980.0,28062.0,28141.0,28187.0,28366.0,28471.0,28593.0,28741.0,28838.0,28933.0,29098.0
5009635,48000.0,48042.0,48089.0,48122.0,48154.0,48214.0,48260.0,48296.0,48345.0,48523.0,48624.0,48752.0,48777.0,48828.0,48869.0,48905.0,48956.0,49020.0,49080.0,49118.0,49160.0,49234.0,49324.0,49377.0,49523.0,49636.0,49739.0,49863.0,49961.0,50058.0,50226.0
5012009,35100.0,35146.0,35198.0,35235.0,35271.0,35337.0,35388.0,35428.0,35484.0,35653.0,35750.0,35874.0,35904.0,35964.0,36012.0,36054.0,36107.0,36173.0,36235.0,36274.0,36318.0,36404.0,36497.0,36552.0,36756.0,36902.0,37134.0,37415.0,37515.0,37614.0,37785.0
5012011,41100.0,41141.0,41187.0,41220.0,41251.0,41309.0,41354.0,41389.0,41438.0,41584.0,41681.0,41805.0,41827.0,41871.0,41907.0,41939.0,41992.0,42059.0,42122.0,42162.0,42206.0,42273.0,42354.0,42401.0,42562.0,42660.0,42774.0,42912.0,43009.0,43105.0,43270.0
5012015,53700.0,53742.0,53789.0,53822.0,53854.0,53914.0,53960.0,53996.0,54045.0,54223.0,54324.0,54452.0,54477.0,54528.0,54569.0,54605.0,54656.0,54720.0,54780.0,54818.0,54860.0,54934.0,55024.0,55077.0,55223.0,55336.0,55439.0,55563.0,55661.0,55758.0,55926.0
5012017,60000.0,60037.0,60079.0,60108.0,60136.0,60189.0,60230.0,60262.0,60306.0,60464.0,60558.0,60678.0,60702.0,60750.0,60789.0,60823.0,60872.0,60933.0,60991.0,61027.0,61068.0,61143.0,61231.0,61283.0,61454.0,61621.0,61728.0,61858.0,61956.0,62052.0,62218.0
5013747,30000.0,30046.0,30098.0,30135.0,30171.0,30237.0,30288.0,30328.0,30384.0,30553.0,30650.0,30774.0,30804.0,30864.0,30912.0,30954.0,31007.0,31073.0,31135.0,31174.0,31218.0,31304.0,31397.0,31452.0,31656.0,31802.0,32034.0,32315.0,32415.0,32514.0,32685.0
5013751,42900.0,42941.0,42987.0,43020.0,43051.0,43109.0,43154.0,43189.0,43238.0,43384.0,43481.0,43605.0,43627.0,43671.0,43707.0,43739.0,43792.0,43859.0,43922.0,43962.0,44006.0,44073.0,44154.0,44201.0,44362.0,44460.0,44574.0,44712.0,44809.0,44905.0,45070.0
