tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P
0,3085.0,3034.0,3114.0,4353.0,4355.0,4354.0,3196.0,3345.0,4727.0,4728.0,461.0,2068.0,2069.0,2070.0,2084.0,768.0,769.0,770.0,771.0,772.0,773.0,774.0,775.0,776.0,777.0,906.0,907.0,908.0,909.0,786.0,792.0,7586.0,7587.0,345.0,320.0,7491.0,278.0,2.0,4726.0,7555.0,4962.0
5003353,27600.0,27705.0,27832.0,27903.0,27931.0,28056.0,28092.0,28337.0,28516.0,28602.0,28638.0,28710.0,28780.0,28905.0,28976.0,29109.0,29139.0,29195.0,29218.0,29264.0,29318.0,29382.0,29468.0,29536.0,29578.0,29650.0,29702.0,29745.0,29802.0,29860.0,30023.0,30309.0,30512.0,30655.0,30756.0,30950.0,30999.0,31053.0,31116.0,31314.0,31320.0
5084724,29100.0,29210.0,29344.0,29435.0,29470.0,29606.0,29653.0,29972.0,30090.0,30147.0,30171.0,30230.0,30268.0,30332.0,30402.0,30531.0,30552.0,30624.0,30653.0,30714.0,30774.0,30844.0,30939.0,31020.0,31067.0,31147.0,31212.0,31265.0,31336.0,31410.0,31570.0,31817.0,31992.0,32116.0,32203.0,32370.0,32411.0,32456.0,32509.0,32673.0,32678.0
