tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P
5018657,39000.0,39060.0,39099.0,39132.0,39228.0,39281.0,39333.0,39357.0,39433.0,39473.0,39558.0,39647.0,39708.0,39754.0,39802.0,39832.0,39857.0,39883.0,39949.0,40066.0,40126.0,40187.0,40227.0,40266.0,40305.0,40342.0,40397.0,40447.0,40516.0,40560.0,40621.0,40719.0,40803.0,40914.0,40932.0,41040.0,41203.0,41613.0,41716.0,41745.0,41841.0,41914.0,41965.0,42028.0,42062.0,42111.0,42140.0,42162.0,42227.0,42290.0,42323.0,42376.0,42403.0,42487.0,42528.0,42620.0,42687.0,42727.0,42774.0,42842.0,42893.0,42965.0,43033.0,43191.0,43229.0,43299.0,43355.0,43424.0,43483.0,43535.0,43562.0
5018659,51000.0,51060.0,51099.0,51132.0,51228.0,51281.0,51333.0,51357.0,51433.0,51473.0,51558.0,51647.0,51708.0,51754.0,51802.0,51832.0,51857.0,51883.0,51949.0,52066.0,52126.0,52187.0,52227.0,52266.0,52305.0,52342.0,52397.0,52447.0,52516.0,52560.0,52621.0,52719.0,52803.0,52914.0,52932.0,53040.0,53203.0,53613.0,53716.0,53745.0,53841.0,53914.0,53965.0,54028.0,54062.0,54111.0,54140.0,54162.0,54227.0,54290.0,54323.0,54376.0,54403.0,54487.0,54528.0,54620.0,54687.0,54727.0,54774.0,54842.0,54893.0,54965.0,55033.0,55191.0,55229.0,55299.0,55355.0,55424.0,55483.0,55535.0,55562.0
5018661,63600.0,63689.0,63747.0,63797.0,63990.0,64052.0,64108.0,64134.0,64216.0,64259.0,64351.0,64447.0,64514.0,64566.0,64621.0,64650.0,64675.0,64700.0,64760.0,64868.0,64922.0,64976.0,65011.0,65045.0,65090.0,65131.0,65182.0,65228.0,65291.0,65338.0,65404.0,65512.0,65605.0,65728.0,65748.0,65868.0,66051.0,66512.0,66614.0,66649.0,66764.0,66852.0,66914.0,66989.0,67028.0,67083.0,67117.0,67144.0,67225.0,67304.0,67342.0,67402.0,67433.0,67530.0,67577.0,67654.0,67718.0,67756.0,67799.0,67861.0,67908.0,67976.0,68048.0,68209.0,68248.0,68320.0,68381.0,68454.0,68506.0,68552.0,68575.0
5084697,24600.0,24657.0,24694.0,24726.0,24818.0,24868.0,24918.0,24941.0,25014.0,25052.0,25135.0,25222.0,25288.0,25339.0,25389.0,25424.0,25454.0,25485.0,25545.0,25651.0,25715.0,25779.0,25821.0,25862.0,25910.0,25955.0,25998.0,26037.0,26090.0,26140.0,26210.0,26297.0,26372.0,26471.0,26487.0,26561.0,26673.0,26956.0,27181.0,27208.0,27296.0,27364.0,27413.0,27473.0,27499.0,27536.0,27558.0,27575.0,27626.0,27675.0,27702.0,27746.0,27768.0,27832.0,27863.0,27925.0,27979.0,28011.0,28047.0,28100.0,28141.0,28203.0,28268.0,28414.0,28452.0,28520.0,28573.0,28644.0,28706.0,28761.0,28790.0
5084699,37800.0,37857.0,37894.0,37927.0,38019.0,38070.0,38120.0,38143.0,38216.0,38254.0,38336.0,38422.0,38480.0,38525.0,38571.0,38600.0,38624.0,38649.0,38712.0,38825.0,38883.0,38941.0,38979.0,39017.0,39055.0,39090.0,39143.0,39191.0,39257.0,39299.0,39358.0,39452.0,39533.0,39640.0,39657.0,39761.0,39918.0,40312.0,40411.0,40439.0,40531.0,40601.0,40651.0,40711.0,40744.0,40791.0,40819.0,40840.0,40902.0,40963.0,40995.0,41046.0,41072.0,41153.0,41192.0,41280.0,41344.0,41383.0,41428.0,41493.0,41543.0,41612.0,41677.0,41829.0,41866.0,41933.0,41987.0,42053.0,42110.0,42160.0,42186.0
5084701,49800.0,49857.0,49894.0,49927.0,50019.0,50070.0,50120.0,50143.0,50216.0,50254.0,50336.0,50422.0,50480.0,50525.0,50571.0,50600.0,50624.0,50649.0,50712.0,50825.0,50883.0,50941.0,50979.0,51017.0,51055.0,51090.0,51143.0,51191.0,51257.0,51299.0,51358.0,51452.0,51533.0,51640.0,51657.0,51761.0,51918.0,52312.0,52411.0,52439.0,52531.0,52601.0,52651.0,52711.0,52744.0,52791.0,52819.0,52840.0,52902.0,52963.0,52995.0,53046.0,53072.0,53153.0,53192.0,53280.0,53344.0,53383.0,53428.0,53493.0,53543.0,53612.0,53677.0,53829.0,53866.0,53933.0,53987.0,54053.0,54110.0,54160.0,54186.0
5084703,62400.0,62487.0,62544.0,62593.0,62724.0,62779.0,62833.0,62858.0,62937.0,62978.0,63067.0,63159.0,63223.0,63272.0,63318.0,63346.0,63370.0,63394.0,63446.0,63540.0,63599.0,63659.0,63698.0,63736.0,63772.0,63806.0,63853.0,63895.0,63953.0,63997.0,64057.0,64167.0,64262.0,64387.0,64406.0,64516.0,64751.0,65341.0,65496.0,65544.0,65703.0,65824.0,65885.0,65960.0,66002.0,66061.0,66097.0,66141.0,66273.0,66401.0,66440.0,66502.0,66533.0,66634.0,66682.0,66757.0,66829.0,66872.0,66914.0,66975.0,67023.0,67096.0,67167.0,67296.0,67337.0,67410.0,67472.0,67543.0,67600.0,67650.0,67676.0
5084849,28320.0,28409.0,28467.0,28517.0,28670.0,28751.0,28828.0,28863.0,28975.0,29034.0,29160.0,29293.0,29384.0,29453.0,29521.0,29578.0,29627.0,29676.0,29767.0,29930.0,29994.0,30059.0,30101.0,30143.0,30189.0,30232.0,30285.0,30333.0,30399.0,30476.0,30583.0,30703.0,30806.0,30942.0,30964.0,31055.0,31257.0,31764.0,32009.0,32036.0,32123.0,32190.0,32235.0,32290.0,32316.0,32353.0,32376.0,32390.0,32434.0,32477.0,32502.0,32542.0,32562.0,32631.0,32664.0,32725.0,32769.0,32795.0,32828.0,32876.0,32913.0,32964.0,33018.0,33159.0,33188.0,33241.0,33280.0,33336.0,33406.0,33469.0,33501.0
5084852,66600.0,66667.0,66710.0,66748.0,66861.0,66914.0,66964.0,66987.0,67060.0,67098.0,67181.0,67268.0,67321.0,67362.0,67404.0,67433.0,67457.0,67482.0,67541.0,67646.0,67701.0,67756.0,67792.0,67827.0,67864.0,67898.0,67951.0,67999.0,68065.0,68104.0,68158.0,68248.0,68325.0,68427.0,68443.0,68558.0,68718.0,69121.0,69215.0,69243.0,69335.0,69406.0,69458.0,69522.0,69553.0,69596.0,69622.0,69641.0,69697.0,69752.0,69781.0,69826.0,69849.0,69929.0,69967.0,70034.0,70088.0,70120.0,70164.0,70228.0,70277.0,70341.0,70408.0,70533.0,70572.0,70643.0,70696.0,70764.0,70822.0,70874.0,70901.0
5084854,79200.0,79253.0,79287.0,79317.0,79399.0,79440.0,79482.0,79501.0,79562.0,79594.0,79663.0,79736.0,79786.0,79825.0,79854.0,79878.0,79898.0,79919.0,79951.0,80007.0,80051.0,80095.0,80124.0,80153.0,80185.0,80214.0,80258.0,80298.0,80354.0,80394.0,80450.0,80529.0,80597.0,80687.0,80701.0,80809.0,80996.0,81466.0,81533.0,81558.0,81640.0,81703.0,81748.0,81802.0,81833.0,81877.0,81904.0,81920.0,81969.0,82018.0,82046.0,82090.0,82112.0,82184.0,82218.0,82280.0,82331.0,82362.0,82396.0,82446.0,82484.0,82542.0,82600.0,82711.0,82747.0,82813.0,82863.0,82928.0,82993.0,83051.0,83080.0
