tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P
0,7391.0,493.0,494.0,495.0,400.0,346.0,317.0,312.0,1444.0,1445.0,7078.0,1449.0,1450.0,1451.0,2191.0,2192.0,2193.0,2194.0,2195.0,2196.0,2197.0,2198.0,2200.0,2201.0,7239.0,4401.0,2213.0,2214.0,2215.0,2216.0,4599.0,2217.0,2218.0,2219.0,3365.0,3366.0,3367.0,3886.0,3887.0,3888.0,7186.0,7187.0,3954.0,3955.0,3956.0,3957.0,3993.0,3994.0
5003147,23700.0,23769.0,23846.0,23938.0,24013.0,24067.0,24130.0,24265.0,24348.0,24399.0,24587.0,24639.0,24665.0,24688.0,24778.0,24804.0,24836.0,24859.0,24901.0,24944.0,24999.0,25057.0,25087.0,25247.0,25288.0,25317.0,25437.0,25477.0,25521.0,25560.0,25653.0,25712.0,25761.0,25798.0,25821.0,25850.0,25914.0,25954.0,26002.0,26042.0,26117.0,26137.0,26238.0,26260.0,26278.0,26323.0,26445.0,26510.0
5003159,73800.0,73893.0,73997.0,74122.0,74223.0,74296.0,74396.0,74609.0,74694.0,74746.0,74949.0,74991.0,75023.0,75051.0,75106.0,75132.0,75166.0,75188.0,75229.0,75267.0,75315.0,75366.0,75393.0,75528.0,75562.0,75587.0,75715.0,75763.0,75808.0,75845.0,75910.0,75952.0,75982.0,76010.0,76027.0,76048.0,76106.0,76172.0,76210.0,76242.0,76313.0,76330.0,76426.0,76449.0,76468.0,76516.0,76646.0,76703.0
5003360,37800.0,37903.0,38017.0,38155.0,38266.0,38347.0,38433.0,38614.0,38708.0,38766.0,38971.0,39026.0,39051.0,39073.0,39128.0,39154.0,39187.0,39209.0,39249.0,39288.0,39338.0,39391.0,39419.0,39542.0,39573.0,39596.0,39712.0,39752.0,39797.0,39826.0,39890.0,39931.0,39969.0,40001.0,40021.0,40046.0,40111.0,40193.0,40231.0,40263.0,40324.0,40346.0,40442.0,40460.0,40486.0,40553.0,40734.0,40791.0
5003369,81000.0,81065.0,81137.0,81224.0,81294.0,81344.0,81444.0,81655.0,81726.0,81770.0,81949.0,81979.0,82001.0,82021.0,82069.0,82095.0,82127.0,82148.0,82185.0,82219.0,82262.0,82307.0,82331.0,82459.0,82491.0,82514.0,82619.0,82655.0,82696.0,82727.0,82801.0,82848.0,82878.0,82905.0,82922.0,82943.0,82996.0,83032.0,83071.0,83103.0,83164.0,83186.0,83269.0,83289.0,83306.0,83348.0,83461.0,83518.0
5003414,59400.0,59521.0,59656.0,59818.0,59949.0,60045.0,60158.0,60399.0,60507.0,60573.0,60759.0,60822.0,60856.0,60886.0,60991.0,61016.0,61051.0,61073.0,61113.0,61161.0,61222.0,61286.0,61319.0,61480.0,61521.0,61550.0,61690.0,61734.0,61786.0,61825.0,61923.0,61986.0,62053.0,62101.0,62131.0,62168.0,62330.0,62402.0,62465.0,62517.0,62591.0,62610.0,62754.0,62821.0,62847.0,62913.0,63091.0,63148.0
5003959,34200.0,34321.0,34455.0,34617.0,34748.0,34842.0,34928.0,35109.0,35228.0,35302.0,35529.0,35573.0,35602.0,35628.0,35696.0,35721.0,35757.0,35781.0,35824.0,35876.0,35942.0,36012.0,36050.0,36199.0,36237.0,36264.0,36374.0,36422.0,36468.0,36495.0,36583.0,36639.0,36709.0,36749.0,36774.0,36804.0,36868.0,36917.0,36957.0,36990.0,37052.0,37065.0,37153.0,37174.0,37197.0,37256.0,37414.0,37470.0
5003962,55800.0,55921.0,56056.0,56218.0,56349.0,56445.0,56558.0,56799.0,56907.0,56973.0,57159.0,57222.0,57256.0,57286.0,57391.0,57416.0,57451.0,57473.0,57513.0,57561.0,57622.0,57686.0,57719.0,57880.0,57921.0,57950.0,58090.0,58134.0,58186.0,58225.0,58323.0,58386.0,58453.0,58501.0,58531.0,58568.0,58730.0,58802.0,58865.0,58917.0,58991.0,59010.0,59154.0,59221.0,59247.0,59313.0,59491.0,59548.0
5004543,52200.0,52297.0,52405.0,52535.0,52640.0,52715.0,52812.0,53019.0,53127.0,53194.0,53398.0,53455.0,53482.0,53505.0,53573.0,53599.0,53634.0,53654.0,53691.0,53737.0,53795.0,53856.0,53889.0,54036.0,54073.0,54100.0,54212.0,54251.0,54294.0,54327.0,54400.0,54446.0,54494.0,54541.0,54570.0,54606.0,54782.0,54844.0,54885.0,54918.0,54980.0,54996.0,55121.0,55201.0,55234.0,55319.0,55547.0,55608.0
5004551,83400.0,83465.0,83537.0,83624.0,83694.0,83744.0,83844.0,84055.0,84126.0,84170.0,84349.0,84379.0,84401.0,84421.0,84469.0,84495.0,84527.0,84548.0,84585.0,84619.0,84662.0,84707.0,84731.0,84859.0,84891.0,84914.0,85019.0,85055.0,85096.0,85127.0,85201.0,85248.0,85278.0,85305.0,85322.0,85343.0,85396.0,85432.0,85471.0,85503.0,85564.0,85586.0,85669.0,85689.0,85706.0,85748.0,85861.0,85918.0
