tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P,081_P,082_P,083_P,084_P,085_P,086_P,087_P,088_P,089_P,090_P,091_P
5095284,24300.0,24319.0,24484.0,24700.0,24766.0,24791.0,24840.0,24904.0,24954.0,25004.0,25037.0,25095.0,25158.0,25169.0,25211.0,25243.0,25283.0,25306.0,25397.0,25419.0,25461.0,25510.0,25548.0,25578.0,25613.0,25668.0,25734.0,25809.0,25917.0,25975.0,26006.0,26102.0,26221.0,26393.0,26506.0,26693.0,26772.0,26832.0,26902.0,26966.0,27008.0,27079.0,27110.0,27169.0,27235.0,27318.0,27339.0,27400.0,27434.0,27486.0,27568.0,27594.0,27624.0,27655.0,27684.0,27741.0,27766.0,27786.0,27870.0,27923.0,28022.0,28132.0,28152.0,28190.0,28242.0,28314.0,28381.0,28438.0,28458.0,28478.0,28522.0,28557.0,28628.0,28715.0,28755.0,28781.0,28811.0,28845.0,28877.0,28932.0,28966.0,28987.0,29025.0,29064.0,29089.0,29110.0,29120.0,29180.0,29250.0,29270.0,29420.0
5097406,54600.0,54614.0,54736.0,54895.0,54968.0,54996.0,55050.0,55121.0,55177.0,55232.0,55269.0,55334.0,55403.0,55424.0,55503.0,55550.0,55607.0,55640.0,55734.0,55757.0,55801.0,55852.0,55891.0,55924.0,55963.0,56021.0,56091.0,56140.0,56210.0,56308.0,56362.0,56462.0,56628.0,56888.0,57059.0,57340.0,57434.0,57504.0,57578.0,57645.0,57690.0,57764.0,57800.0,57988.0,58201.0,58317.0,58346.0,58430.0,58513.0,58640.0,58843.0,58876.0,58913.0,58952.0,58988.0,59056.0,59078.0,59096.0,59184.0,59227.0,59329.0,59451.0,59473.0,59515.0,59566.0,59637.0,59721.0,59787.0,59810.0,59833.0,59884.0,59925.0,60008.0,60109.0,60156.0,60186.0,60221.0,60261.0,60299.0,60363.0,60402.0,60427.0,60472.0,60518.0,60543.0,60564.0,60574.0,60634.0,60704.0,60724.0,60874.0
5098841,25200.0,25214.0,25334.0,25490.0,25573.0,25605.0,25667.0,25748.0,25811.0,25874.0,25916.0,25990.0,26067.0,26084.0,26150.0,26195.0,26250.0,26283.0,26434.0,26471.0,26541.0,26623.0,26685.0,26731.0,26786.0,26860.0,26949.0,27024.0,27132.0,27234.0,27290.0,27400.0,27577.0,27766.0,27890.0,28095.0,28202.0,28283.0,28355.0,28435.0,28488.0,28577.0,28603.0,28664.0,28732.0,28826.0,28849.0,28918.0,28957.0,29017.0,29114.0,29140.0,29169.0,29199.0,29231.0,29292.0,29314.0,29332.0,29396.0,29442.0,29540.0,29638.0,29656.0,29690.0,29764.0,29867.0,29953.0,30010.0,30030.0,30050.0,30094.0,30129.0,30201.0,30288.0,30328.0,30354.0,30384.0,30418.0,30451.0,30506.0,30540.0,30561.0,30600.0,30641.0,30666.0,30687.0,30697.0,30757.0,30827.0,30847.0,30997.0
5099644,21600.0,21622.0,21813.0,22063.0,22129.0,22154.0,22203.0,22266.0,22316.0,22366.0,22399.0,22457.0,22518.0,22529.0,22571.0,22602.0,22640.0,22663.0,22744.0,22764.0,22802.0,22846.0,22878.0,22906.0,22939.0,22996.0,23063.0,23126.0,23216.0,23282.0,23318.0,23390.0,23470.0,23593.0,23674.0,23808.0,23879.0,23933.0,23996.0,24043.0,24075.0,24128.0,24150.0,24198.0,24252.0,24300.0,24312.0,24346.0,24366.0,24397.0,24447.0,24461.0,24476.0,24492.0,24518.0,24567.0,24582.0,24595.0,24650.0,24687.0,24790.0,24879.0,24895.0,24926.0,24970.0,25032.0,25092.0,25128.0,25141.0,25153.0,25181.0,25203.0,25248.0,25303.0,25328.0,25344.0,25363.0,25384.0,25404.0,25439.0,25460.0,25473.0,25497.0,25522.0,25547.0,25568.0,25578.0,25638.0,25708.0,25728.0,25878.0
5099649,67500.0,67513.0,67622.0,67763.0,67819.0,67840.0,67881.0,67935.0,67977.0,68019.0,68047.0,68096.0,68150.0,68170.0,68243.0,68286.0,68339.0,68370.0,68466.0,68490.0,68535.0,68587.0,68624.0,68664.0,68712.0,68763.0,68823.0,68877.0,68954.0,69037.0,69082.0,69185.0,69306.0,69460.0,69561.0,69729.0,69819.0,69887.0,69997.0,70086.0,70145.0,70244.0,70269.0,70322.0,70382.0,70458.0,70477.0,70533.0,70557.0,70594.0,70655.0,70673.0,70693.0,70713.0,70731.0,70765.0,70777.0,70787.0,70859.0,70883.0,70972.0,71071.0,71089.0,71123.0,71175.0,71247.0,71313.0,71370.0,71390.0,71410.0,71454.0,71489.0,71560.0,71647.0,71687.0,71713.0,71743.0,71777.0,71809.0,71864.0,71898.0,71919.0,71957.0,71997.0,72022.0,72043.0,72053.0,72113.0,72183.0,72203.0,72353.0
5105040,21600.0,21622.0,21813.0,22063.0,22129.0,22154.0,22203.0,22266.0,22316.0,22366.0,22399.0,22457.0,22518.0,22529.0,22571.0,22602.0,22640.0,22663.0,22744.0,22764.0,22802.0,22846.0,22878.0,22906.0,22939.0,22996.0,23063.0,23126.0,23216.0,23282.0,23318.0,23390.0,23470.0,23593.0,23674.0,23808.0,23879.0,23933.0,23996.0,24043.0,24075.0,24128.0,24150.0,24198.0,24252.0,24300.0,24312.0,24346.0,24366.0,24397.0,24447.0,24461.0,24476.0,24492.0,24518.0,24567.0,24582.0,24595.0,24650.0,24687.0,24790.0,24879.0,24895.0,24926.0,24970.0,25032.0,25092.0,25128.0,25141.0,25153.0,25181.0,25203.0,25248.0,25303.0,25328.0,25344.0,25363.0,25384.0,25404.0,25439.0,25460.0,25473.0,25497.0,25522.0,25547.0,25568.0,25578.0,25638.0,25708.0,25728.0,25878.0
5105737,25200.0,25214.0,25334.0,25490.0,25573.0,25605.0,25667.0,25748.0,25811.0,25874.0,25916.0,25990.0,26067.0,26084.0,26150.0,26195.0,26250.0,26283.0,26434.0,26471.0,26541.0,26623.0,26685.0,26731.0,26786.0,26860.0,26949.0,27024.0,27132.0,27234.0,27290.0,27400.0,27577.0,27766.0,27890.0,28095.0,28202.0,28283.0,28355.0,28435.0,28488.0,28577.0,28603.0,28664.0,28732.0,28826.0,28849.0,28918.0,28957.0,29017.0,29114.0,29140.0,29169.0,29199.0,29231.0,29292.0,29314.0,29332.0,29396.0,29442.0,29540.0,29638.0,29656.0,29690.0,29764.0,29867.0,29953.0,30010.0,30030.0,30050.0,30094.0,30129.0,30201.0,30288.0,30328.0,30354.0,30384.0,30418.0,30451.0,30506.0,30540.0,30561.0,30600.0,30641.0,30666.0,30687.0,30697.0,30757.0,30827.0,30847.0,30997.0
5111198,23400.0,23419.0,23584.0,23800.0,23866.0,23891.0,23940.0,24004.0,24054.0,24104.0,24137.0,24195.0,24258.0,24269.0,24311.0,24343.0,24383.0,24406.0,24497.0,24519.0,24561.0,24610.0,24648.0,24678.0,24713.0,24768.0,24834.0,24909.0,25017.0,25075.0,25106.0,25202.0,25321.0,25493.0,25606.0,25793.0,25872.0,25932.0,26002.0,26066.0,26108.0,26179.0,26210.0,26269.0,26335.0,26418.0,26439.0,26500.0,26534.0,26586.0,26668.0,26694.0,26724.0,26755.0,26784.0,26841.0,26866.0,26886.0,26970.0,27023.0,27122.0,27232.0,27252.0,27290.0,27342.0,27414.0,27481.0,27538.0,27558.0,27578.0,27622.0,27657.0,27728.0,27815.0,27855.0,27881.0,27911.0,27945.0,27977.0,28032.0,28066.0,28087.0,28125.0,28164.0,28189.0,28210.0,28220.0,28280.0,28350.0,28370.0,28520.0
5111544,27000.0,27014.0,27134.0,27290.0,27373.0,27405.0,27467.0,27548.0,27611.0,27674.0,27716.0,27790.0,27867.0,27884.0,27950.0,27995.0,28050.0,28083.0,28234.0,28271.0,28341.0,28423.0,28485.0,28531.0,28586.0,28660.0,28749.0,28824.0,28932.0,29034.0,29090.0,29200.0,29377.0,29566.0,29690.0,29895.0,30002.0,30083.0,30155.0,30235.0,30288.0,30377.0,30403.0,30464.0,30532.0,30626.0,30649.0,30718.0,30757.0,30817.0,30914.0,30940.0,30969.0,30999.0,31031.0,31092.0,31114.0,31132.0,31196.0,31242.0,31340.0,31438.0,31456.0,31490.0,31564.0,31667.0,31753.0,31810.0,31830.0,31850.0,31894.0,31929.0,32001.0,32088.0,32128.0,32154.0,32184.0,32218.0,32251.0,32306.0,32340.0,32361.0,32400.0,32441.0,32466.0,32487.0,32497.0,32557.0,32627.0,32647.0,32797.0
5112989,24300.0,24319.0,24484.0,24700.0,24766.0,24791.0,24840.0,24904.0,24954.0,25004.0,25037.0,25095.0,25158.0,25169.0,25211.0,25243.0,25283.0,25306.0,25397.0,25419.0,25461.0,25510.0,25548.0,25578.0,25613.0,25668.0,25734.0,25809.0,25917.0,25975.0,26006.0,26102.0,26221.0,26393.0,26506.0,26693.0,26772.0,26832.0,26902.0,26966.0,27008.0,27079.0,27110.0,27169.0,27235.0,27318.0,27339.0,27400.0,27434.0,27486.0,27568.0,27594.0,27624.0,27655.0,27684.0,27741.0,27766.0,27786.0,27870.0,27923.0,28022.0,28132.0,28152.0,28190.0,28242.0,28314.0,28381.0,28438.0,28458.0,28478.0,28522.0,28557.0,28628.0,28715.0,28755.0,28781.0,28811.0,28845.0,28877.0,28932.0,28966.0,28987.0,29025.0,29064.0,29089.0,29110.0,29120.0,29180.0,29250.0,29270.0,29420.0
