tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P
5008757,30000.0,30071.0,30106.0,30147.0,30180.0,30224.0,30352.0,30405.0,30474.0,30528.0,30611.0,30701.0,30791.0,30859.0,30983.0,31163.0,31242.0,31321.0,31373.0,31424.0,31476.0,31525.0,31583.0,31636.0,31709.0,31784.0,31887.0,32006.0,32108.0,32243.0,32264.0,32359.0,32558.0,32913.0,33104.0,33155.0,33195.0,33254.0,33341.0,33417.0,33461.0,33474.0
5008759,37800.0,37859.0,37889.0,37915.0,37935.0,37959.0,38031.0,38073.0,38128.0,38171.0,38237.0,38311.0,38362.0,38401.0,38472.0,38576.0,38635.0,38695.0,38734.0,38772.0,38813.0,38851.0,38901.0,38946.0,39008.0,39049.0,39107.0,39196.0,39273.0,39374.0,39390.0,39477.0,39609.0,39844.0,39962.0,40013.0,40053.0,40112.0,40199.0,40275.0,40319.0,40332.0
5008761,45000.0,45058.0,45087.0,45111.0,45130.0,45152.0,45216.0,45256.0,45307.0,45347.0,45408.0,45495.0,45555.0,45601.0,45684.0,45805.0,45860.0,45915.0,45951.0,45987.0,46026.0,46063.0,46112.0,46157.0,46219.0,46255.0,46305.0,46390.0,46463.0,46559.0,46573.0,46675.0,46805.0,47037.0,47153.0,47204.0,47244.0,47302.0,47389.0,47465.0,47509.0,47522.0
5008763,52200.0,52258.0,52287.0,52311.0,52330.0,52352.0,52416.0,52456.0,52507.0,52547.0,52608.0,52695.0,52755.0,52801.0,52884.0,53005.0,53060.0,53115.0,53151.0,53187.0,53226.0,53263.0,53312.0,53357.0,53419.0,53455.0,53505.0,53590.0,53663.0,53759.0,53773.0,53875.0,54005.0,54237.0,54353.0,54404.0,54444.0,54502.0,54589.0,54665.0,54709.0,54722.0
5008765,59400.0,59459.0,59489.0,59512.0,59530.0,59557.0,59638.0,59678.0,59730.0,59770.0,59832.0,59906.0,59953.0,59989.0,60053.0,60147.0,60199.0,60252.0,60286.0,60320.0,60362.0,60402.0,60449.0,60491.0,60549.0,60589.0,60645.0,60736.0,60814.0,60917.0,60932.0,61028.0,61167.0,61416.0,61576.0,61627.0,61667.0,61725.0,61812.0,61887.0,61931.0,61944.0
5008767,66600.0,66660.0,66690.0,66709.0,66725.0,66751.0,66828.0,66874.0,66934.0,66981.0,67053.0,67131.0,67181.0,67219.0,67289.0,67391.0,67448.0,67505.0,67542.0,67580.0,67627.0,67670.0,67718.0,67761.0,67821.0,67865.0,67925.0,68017.0,68096.0,68200.0,68217.0,68328.0,68479.0,68748.0,68868.0,68919.0,68959.0,69018.0,69105.0,69181.0,69225.0,69238.0
5008769,73800.0,73852.0,73878.0,73897.0,73912.0,73934.0,73998.0,74033.0,74079.0,74115.0,74169.0,74248.0,74292.0,74326.0,74387.0,74477.0,74531.0,74585.0,74620.0,74655.0,74692.0,74727.0,74780.0,74828.0,74895.0,74934.0,74987.0,75066.0,75134.0,75223.0,75237.0,75334.0,75468.0,75707.0,75816.0,75865.0,75904.0,75960.0,76044.0,76117.0,76159.0,76172.0
5008818,82800.0,82847.0,82870.0,82887.0,82900.0,82917.0,82966.0,82999.0,83041.0,83074.0,83124.0,83196.0,83227.0,83250.0,83293.0,83355.0,83396.0,83437.0,83464.0,83490.0,83519.0,83547.0,83582.0,83614.0,83659.0,83693.0,83740.0,83801.0,83853.0,83922.0,83933.0,84024.0,84145.0,84361.0,84446.0,84490.0,84524.0,84574.0,84648.0,84712.0,84749.0,84759.0
5010325,28800.0,28849.0,28874.0,28893.0,28908.0,28927.0,28981.0,29011.0,29050.0,29080.0,29125.0,29189.0,29221.0,29245.0,29289.0,29353.0,29394.0,29436.0,29463.0,29490.0,29524.0,29556.0,29588.0,29617.0,29656.0,29684.0,29724.0,29774.0,29817.0,29874.0,29882.0,29947.0,30046.0,30223.0,30309.0,30357.0,30395.0,30450.0,30532.0,30603.0,30644.0,30656.0
5010327,34800.0,34864.0,34896.0,34918.0,34935.0,34954.0,35010.0,35052.0,35107.0,35150.0,35215.0,35264.0,35299.0,35326.0,35374.0,35445.0,35489.0,35533.0,35562.0,35591.0,35635.0,35676.0,35729.0,35777.0,35844.0,35885.0,35941.0,36009.0,36067.0,36144.0,36156.0,36242.0,36358.0,36566.0,36680.0,36721.0,36753.0,36800.0,36870.0,36930.0,36965.0,36975.0
5010329,40800.0,40861.0,40891.0,40915.0,40935.0,40963.0,41044.0,41088.0,41146.0,41191.0,41259.0,41362.0,41417.0,41459.0,41534.0,41644.0,41700.0,41756.0,41793.0,41828.0,41874.0,41917.0,41982.0,42041.0,42122.0,42165.0,42225.0,42295.0,42355.0,42434.0,42446.0,42562.0,42689.0,42915.0,43056.0,43107.0,43147.0,43206.0,43293.0,43369.0,43413.0,43426.0
5010331,46800.0,46861.0,46891.0,46913.0,46931.0,46952.0,47013.0,47056.0,47113.0,47157.0,47224.0,47301.0,47373.0,47427.0,47526.0,47670.0,47740.0,47810.0,47856.0,47900.0,47943.0,47983.0,48038.0,48088.0,48156.0,48195.0,48250.0,48335.0,48408.0,48505.0,48520.0,48638.0,48789.0,49058.0,49181.0,49232.0,49272.0,49331.0,49418.0,49494.0,49538.0,49551.0
5012340,27000.0,27047.0,27071.0,27089.0,27104.0,27119.0,27162.0,27194.0,27236.0,27269.0,27319.0,27403.0,27432.0,27454.0,27494.0,27552.0,27585.0,27618.0,27639.0,27660.0,27688.0,27715.0,27743.0,27769.0,27805.0,27838.0,27884.0,27926.0,27962.0,28010.0,28018.0,28063.0,28183.0,28396.0,28467.0,28514.0,28551.0,28605.0,28685.0,28754.0,28794.0,28806.0
5012342,33600.0,33664.0,33696.0,33718.0,33735.0,33754.0,33810.0,33852.0,33907.0,33950.0,34015.0,34064.0,34099.0,34126.0,34174.0,34245.0,34289.0,34333.0,34362.0,34391.0,34435.0,34476.0,34529.0,34577.0,34644.0,34685.0,34741.0,34809.0,34867.0,34944.0,34956.0,35042.0,35158.0,35366.0,35480.0,35521.0,35553.0,35600.0,35670.0,35730.0,35765.0,35775.0
5012344,39600.0,39661.0,39691.0,39715.0,39735.0,39763.0,39844.0,39888.0,39946.0,39991.0,40059.0,40162.0,40217.0,40259.0,40334.0,40444.0,40500.0,40556.0,40593.0,40628.0,40674.0,40717.0,40782.0,40841.0,40922.0,40965.0,41025.0,41095.0,41155.0,41234.0,41246.0,41362.0,41489.0,41715.0,41856.0,41907.0,41947.0,42006.0,42093.0,42169.0,42213.0,42226.0
5012346,45600.0,45661.0,45691.0,45713.0,45731.0,45752.0,45813.0,45856.0,45913.0,45957.0,46024.0,46101.0,46173.0,46227.0,46326.0,46470.0,46540.0,46610.0,46656.0,46700.0,46743.0,46783.0,46838.0,46888.0,46956.0,46995.0,47050.0,47135.0,47208.0,47305.0,47320.0,47438.0,47589.0,47858.0,47981.0,48032.0,48072.0,48131.0,48218.0,48294.0,48338.0,48351.0
5012348,51600.0,51661.0,51691.0,51713.0,51731.0,51752.0,51813.0,51856.0,51913.0,51957.0,52024.0,52101.0,52173.0,52227.0,52326.0,52470.0,52540.0,52610.0,52656.0,52700.0,52743.0,52783.0,52838.0,52888.0,52956.0,52995.0,53050.0,53135.0,53208.0,53305.0,53320.0,53438.0,53589.0,53858.0,53981.0,54032.0,54072.0,54131.0,54218.0,54294.0,54338.0,54351.0
5012350,57600.0,57653.0,57680.0,57698.0,57712.0,57736.0,57807.0,57850.0,57906.0,57950.0,58017.0,58102.0,58151.0,58188.0,58256.0,58356.0,58409.0,58463.0,58498.0,58532.0,58571.0,58607.0,58656.0,58701.0,58763.0,58800.0,58851.0,58942.0,59020.0,59123.0,59139.0,59244.0,59393.0,59659.0,59768.0,59819.0,59859.0,59918.0,60005.0,60081.0,60125.0,60138.0
5012352,63600.0,63665.0,63698.0,63720.0,63738.0,63767.0,63852.0,63892.0,63945.0,63986.0,64048.0,64130.0,64165.0,64192.0,64240.0,64310.0,64369.0,64429.0,64468.0,64506.0,64552.0,64595.0,64636.0,64673.0,64723.0,64757.0,64804.0,64887.0,64959.0,65053.0,65068.0,65189.0,65331.0,65584.0,65686.0,65737.0,65777.0,65836.0,65923.0,65999.0,66043.0,66056.0
