tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P
5098468,48600.0,48601.0,48766.0,48800.0,48829.0,48854.0,49002.0,49061.0,49300.0,49385.0,49417.0,49457.0,49495.0,49602.0,49699.0,49815.0,50103.0,50239.0,50336.0,50421.0,50471.0,50651.0,50669.0,50687.0,50705.0,50814.0,50866.0,50902.0,50926.0,51007.0
5098471,63000.0,63001.0,63188.0,63227.0,63260.0,63287.0,63445.0,63505.0,63744.0,63826.0,63857.0,63895.0,63931.0,64006.0,64074.0,64169.0,64530.0,64696.0,64799.0,64889.0,64942.0,65177.0,65195.0,65213.0,65231.0,65340.0,65392.0,65428.0,65452.0,65533.0
5098472,73800.0,73801.0,74020.0,74065.0,74104.0,74126.0,74257.0,74297.0,74459.0,74535.0,74563.0,74598.0,74632.0,74690.0,74742.0,74777.0,74980.0,75083.0,75189.0,75282.0,75335.0,75570.0,75588.0,75606.0,75624.0,75733.0,75785.0,75821.0,75845.0,75926.0
5098474,81000.0,81000.0,81129.0,81156.0,81179.0,81198.0,81311.0,81350.0,81505.0,81573.0,81599.0,81631.0,81660.0,81699.0,81735.0,81767.0,81912.0,82002.0,82106.0,82197.0,82249.0,82434.0,82452.0,82470.0,82488.0,82597.0,82649.0,82685.0,82709.0,82790.0
5113982,30600.0,30601.0,30759.0,30792.0,30819.0,30845.0,31003.0,31057.0,31276.0,31387.0,31429.0,31481.0,31529.0,31596.0,31657.0,31745.0,31970.0,32074.0,32174.0,32261.0,32312.0,32543.0,32561.0,32579.0,32597.0,32706.0,32758.0,32794.0,32818.0,32899.0
5113985,52200.0,52201.0,52366.0,52400.0,52429.0,52454.0,52602.0,52661.0,52900.0,52985.0,53017.0,53057.0,53095.0,53202.0,53299.0,53415.0,53703.0,53839.0,53936.0,54021.0,54071.0,54251.0,54269.0,54287.0,54305.0,54414.0,54466.0,54502.0,54526.0,54607.0
5113988,66600.0,66601.0,66788.0,66827.0,66860.0,66887.0,67045.0,67105.0,67344.0,67426.0,67457.0,67495.0,67531.0,67606.0,67674.0,67769.0,68130.0,68296.0,68399.0,68489.0,68542.0,68777.0,68795.0,68813.0,68831.0,68940.0,68992.0,69028.0,69052.0,69133.0
5114106,27000.0,27001.0,27175.0,27211.0,27242.0,27265.0,27399.0,27448.0,27644.0,27721.0,27750.0,27786.0,27820.0,27894.0,27961.0,28002.0,28225.0,28435.0,28546.0,28643.0,28700.0,28980.0,28998.0,29016.0,29034.0,29143.0,29195.0,29231.0,29255.0,29336.0
5114108,34200.0,34201.0,34359.0,34392.0,34419.0,34445.0,34603.0,34657.0,34876.0,34987.0,35029.0,35081.0,35129.0,35196.0,35257.0,35345.0,35570.0,35674.0,35774.0,35861.0,35912.0,36143.0,36161.0,36179.0,36197.0,36306.0,36358.0,36394.0,36418.0,36499.0
5114110,48600.0,48601.0,48766.0,48800.0,48829.0,48854.0,49002.0,49061.0,49300.0,49385.0,49417.0,49457.0,49495.0,49602.0,49699.0,49815.0,50103.0,50239.0,50336.0,50421.0,50471.0,50651.0,50669.0,50687.0,50705.0,50814.0,50866.0,50902.0,50926.0,51007.0
5114113,63000.0,63001.0,63188.0,63227.0,63260.0,63287.0,63445.0,63505.0,63744.0,63826.0,63857.0,63895.0,63931.0,64006.0,64074.0,64169.0,64530.0,64696.0,64799.0,64889.0,64942.0,65177.0,65195.0,65213.0,65231.0,65340.0,65392.0,65428.0,65452.0,65533.0
