tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P
0,6004.0,7.0,11.0,14.0,15.0,834.0,835.0,836.0,837.0,1506.0,1507.0,1508.0,1509.0,1510.0,1511.0,1512.0,1538.0,4548.0,980.0,981.0,1518.0,1519.0,1520.0,1521.0,4546.0,1559.0,1560.0,1280.0,6348.0,1182.0,1550.0,1551.0,1552.0,1553.0,7023.0,7014.0,4315.0,4316.0
5007568,56700.0,56807.0,57000.0,57056.0,57120.0,57188.0,57240.0,57300.0,57352.0,57540.0,57593.0,57660.0,57720.0,57780.0,57793.0,57840.0,57910.0,57962.0,58020.0,58036.0,58064.0,58079.0,58092.0,58123.0,58142.0,58154.0,58175.0,58200.0,58236.0,58260.0,58320.0,58380.0,58454.0,58500.0,58560.0,58670.0,58833.0,58860.0
5013677,25500.0,25598.0,25774.0,25814.0,25861.0,25911.0,25949.0,25993.0,26007.0,26056.0,26072.0,26093.0,26134.0,26181.0,26192.0,26233.0,26308.0,26364.0,26425.0,26452.0,26498.0,26522.0,26543.0,26594.0,26625.0,26645.0,26679.0,26723.0,26804.0,26857.0,26886.0,26911.0,27013.0,27076.0,27148.0,27284.0,27485.0,27518.0
5100201,25500.0,25594.0,25763.0,25802.0,25847.0,25895.0,25932.0,25974.0,25987.0,26035.0,26051.0,26071.0,26110.0,26155.0,26166.0,26205.0,26277.0,26331.0,26390.0,26416.0,26460.0,26483.0,26503.0,26552.0,26582.0,26601.0,26634.0,26677.0,26755.0,26806.0,26834.0,26858.0,26956.0,27017.0,27086.0,27217.0,27411.0,27442.0
5114085,25500.0,25594.0,25763.0,25802.0,25847.0,25895.0,25932.0,25974.0,25987.0,26035.0,26051.0,26071.0,26110.0,26155.0,26166.0,26205.0,26277.0,26331.0,26390.0,26416.0,26460.0,26483.0,26503.0,26552.0,26582.0,26601.0,26634.0,26677.0,26755.0,26806.0,26834.0,26858.0,26956.0,27017.0,27086.0,27217.0,27411.0,27442.0
