tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P
5005375,60720.0,60760.0,60827.0,60845.0,60941.0,60989.0,61038.0,61067.0,61146.0,61179.0,61251.0,61274.0,61300.0,61326.0,61353.0,61369.0,61421.0,61486.0,61537.0,61595.0,61625.0,61658.0,61698.0,61737.0,61773.0,61819.0,61864.0,61919.0,61955.0,61977.0,62079.0,62228.0,62284.0,62339.0,62392.0,62426.0,62499.0,62561.0,62630.0,62692.0,62745.0,62789.0,62876.0,63043.0,63080.0,63139.0,63192.0,63217.0,63262.0,63292.0,63337.0,63375.0,63401.0,63447.0,63517.0,63624.0,63653.0,63697.0,63752.0,63845.0,63884.0,63960.0,64048.0,64219.0,64335.0,64573.0,64627.0,64772.0,64940.0,65044.0,65159.0,65218.0,65290.0,65332.0,65374.0,65425.0,65479.0,65557.0,65596.0
5005377,73500.0,73538.0,73601.0,73618.0,73708.0,73753.0,73799.0,73826.0,73900.0,73931.0,73999.0,74021.0,74046.0,74071.0,74096.0,74111.0,74160.0,74220.0,74261.0,74308.0,74332.0,74358.0,74390.0,74422.0,74451.0,74488.0,74525.0,74570.0,74599.0,74617.0,74700.0,74821.0,74866.0,74911.0,74954.0,74982.0,75038.0,75091.0,75149.0,75201.0,75250.0,75291.0,75371.0,75524.0,75563.0,75616.0,75665.0,75683.0,75715.0,75737.0,75770.0,75800.0,75821.0,75849.0,75892.0,75971.0,75993.0,76026.0,76067.0,76146.0,76180.0,76245.0,76320.0,76421.0,76490.0,76631.0,76663.0,76763.0,76879.0,76949.0,77028.0,77074.0,77129.0,77170.0,77211.0,77261.0,77294.0,77341.0,77364.0
5006237,28920.0,28971.0,29056.0,29079.0,29202.0,29263.0,29325.0,29361.0,29461.0,29503.0,29595.0,29625.0,29659.0,29692.0,29726.0,29747.0,29813.0,29895.0,29959.0,30032.0,30070.0,30111.0,30161.0,30210.0,30255.0,30312.0,30369.0,30438.0,30483.0,30510.0,30638.0,30825.0,30895.0,30964.0,31031.0,31074.0,31164.0,31248.0,31340.0,31422.0,31469.0,31508.0,31585.0,31734.0,31774.0,31843.0,31918.0,31939.0,31976.0,32005.0,32049.0,32093.0,32123.0,32162.0,32221.0,32344.0,32374.0,32443.0,32530.0,32677.0,32732.0,32837.0,32958.0,33212.0,33386.0,33740.0,33821.0,33971.0,34145.0,34249.0,34364.0,34429.0,34508.0,34556.0,34603.0,34662.0,34709.0,34777.0,34811.0
5006239,42720.0,42760.0,42826.0,42844.0,42940.0,42988.0,43037.0,43065.0,43143.0,43176.0,43248.0,43271.0,43297.0,43323.0,43350.0,43366.0,43418.0,43482.0,43534.0,43594.0,43625.0,43659.0,43700.0,43741.0,43778.0,43825.0,43872.0,43929.0,43966.0,43988.0,44094.0,44248.0,44306.0,44363.0,44418.0,44453.0,44528.0,44592.0,44663.0,44726.0,44780.0,44825.0,44913.0,45084.0,45118.0,45176.0,45231.0,45262.0,45317.0,45346.0,45391.0,45428.0,45453.0,45495.0,45559.0,45688.0,45718.0,45767.0,45828.0,45936.0,45976.0,46053.0,46142.0,46289.0,46390.0,46595.0,46642.0,46755.0,46885.0,46981.0,47087.0,47143.0,47210.0,47260.0,47310.0,47371.0,47427.0,47507.0,47546.0
5006241,55320.0,55360.0,55427.0,55445.0,55541.0,55589.0,55638.0,55667.0,55746.0,55779.0,55851.0,55874.0,55900.0,55926.0,55953.0,55969.0,56021.0,56086.0,56137.0,56195.0,56225.0,56258.0,56298.0,56337.0,56373.0,56419.0,56464.0,56519.0,56555.0,56577.0,56679.0,56828.0,56884.0,56939.0,56992.0,57026.0,57099.0,57161.0,57230.0,57292.0,57345.0,57389.0,57476.0,57643.0,57680.0,57739.0,57792.0,57817.0,57862.0,57892.0,57937.0,57975.0,58001.0,58047.0,58117.0,58224.0,58253.0,58297.0,58352.0,58445.0,58484.0,58560.0,58648.0,58819.0,58935.0,59173.0,59227.0,59372.0,59540.0,59644.0,59759.0,59818.0,59890.0,59932.0,59974.0,60025.0,60079.0,60157.0,60196.0
5006243,69720.0,69758.0,69821.0,69838.0,69928.0,69973.0,70019.0,70046.0,70120.0,70151.0,70219.0,70241.0,70266.0,70291.0,70316.0,70331.0,70380.0,70440.0,70481.0,70528.0,70552.0,70578.0,70610.0,70642.0,70671.0,70708.0,70745.0,70790.0,70819.0,70837.0,70920.0,71041.0,71086.0,71131.0,71174.0,71202.0,71258.0,71311.0,71369.0,71421.0,71470.0,71511.0,71591.0,71744.0,71783.0,71836.0,71885.0,71903.0,71935.0,71957.0,71990.0,72020.0,72041.0,72069.0,72112.0,72191.0,72213.0,72246.0,72287.0,72366.0,72400.0,72465.0,72540.0,72641.0,72710.0,72851.0,72883.0,72983.0,73099.0,73169.0,73248.0,73294.0,73349.0,73390.0,73431.0,73481.0,73514.0,73561.0,73584.0
5006245,81300.0,81333.0,81389.0,81404.0,81484.0,81524.0,81565.0,81589.0,81655.0,81682.0,81742.0,81762.0,81784.0,81806.0,81828.0,81842.0,81885.0,81940.0,81978.0,82021.0,82043.0,82067.0,82097.0,82126.0,82152.0,82186.0,82220.0,82261.0,82287.0,82303.0,82379.0,82490.0,82532.0,82573.0,82613.0,82639.0,82693.0,82733.0,82777.0,82816.0,82854.0,82886.0,82949.0,83070.0,83104.0,83159.0,83200.0,83215.0,83243.0,83260.0,83285.0,83310.0,83328.0,83350.0,83384.0,83445.0,83466.0,83496.0,83534.0,83603.0,83631.0,83685.0,83748.0,83824.0,83876.0,83982.0,84006.0,84095.0,84198.0,84262.0,84334.0,84371.0,84416.0,84441.0,84466.0,84497.0,84562.0,84655.0,84700.0
5006586,26100.0,26135.0,26193.0,26209.0,26293.0,26335.0,26378.0,26403.0,26472.0,26501.0,26564.0,26584.0,26607.0,26630.0,26653.0,26667.0,26712.0,26768.0,26807.0,26851.0,26874.0,26899.0,26929.0,26959.0,26986.0,27021.0,27056.0,27098.0,27125.0,27142.0,27220.0,27334.0,27377.0,27419.0,27460.0,27486.0,27542.0,27592.0,27647.0,27696.0,27740.0,27777.0,27850.0,27990.0,28023.0,28071.0,28115.0,28129.0,28154.0,28177.0,28213.0,28248.0,28272.0,28294.0,28327.0,28384.0,28409.0,28447.0,28495.0,28569.0,28600.0,28660.0,28728.0,28807.0,28861.0,28971.0,28997.0,29086.0,29189.0,29259.0,29337.0,29397.0,29470.0,29496.0,29522.0,29555.0,29580.0,29616.0,29634.0
5006588,36900.0,36940.0,37007.0,37025.0,37122.0,37170.0,37219.0,37248.0,37327.0,37360.0,37432.0,37456.0,37483.0,37509.0,37536.0,37552.0,37604.0,37670.0,37723.0,37784.0,37816.0,37850.0,37892.0,37934.0,37972.0,38020.0,38068.0,38126.0,38164.0,38187.0,38295.0,38452.0,38511.0,38569.0,38625.0,38661.0,38738.0,38798.0,38865.0,38924.0,38990.0,39045.0,39154.0,39364.0,39405.0,39466.0,39534.0,39553.0,39587.0,39624.0,39680.0,39717.0,39743.0,39789.0,39858.0,39969.0,40000.0,40069.0,40155.0,40262.0,40308.0,40398.0,40501.0,40650.0,40752.0,40959.0,41006.0,41112.0,41234.0,41329.0,41435.0,41494.0,41565.0,41611.0,41657.0,41715.0,41752.0,41806.0,41832.0
5006590,49500.0,49546.0,49624.0,49645.0,49757.0,49813.0,49870.0,49903.0,49994.0,50032.0,50116.0,50143.0,50174.0,50205.0,50236.0,50255.0,50315.0,50389.0,50453.0,50527.0,50565.0,50606.0,50657.0,50707.0,50752.0,50810.0,50867.0,50937.0,50982.0,51010.0,51140.0,51329.0,51400.0,51470.0,51538.0,51582.0,51673.0,51736.0,51805.0,51867.0,51920.0,51964.0,52051.0,52221.0,52272.0,52334.0,52390.0,52412.0,52451.0,52487.0,52543.0,52580.0,52606.0,52639.0,52689.0,52812.0,52850.0,52896.0,52953.0,53048.0,53085.0,53157.0,53239.0,53373.0,53464.0,53650.0,53693.0,53839.0,54008.0,54112.0,54227.0,54279.0,54342.0,54381.0,54420.0,54468.0,54543.0,54651.0,54703.0
