tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P
5005037,34800.0,34877.0,34915.0,34956.0,35018.0,35083.0,35110.0,35212.0,35257.0,35305.0,35349.0,35388.0,35415.0,35456.0,35497.0,35525.0,35552.0,35580.0,35600.0,35615.0,35678.0,35744.0,35806.0,35831.0,35855.0,35873.0,35904.0,35942.0,35968.0,35990.0,36007.0,36046.0
5005039,40200.0,40308.0,40349.0,40395.0,40472.0,40552.0,40576.0,40740.0,40783.0,40830.0,40885.0,40936.0,40973.0,41027.0,41082.0,41119.0,41155.0,41192.0,41218.0,41238.0,41356.0,41479.0,41544.0,41580.0,41614.0,41639.0,41682.0,41736.0,41773.0,41804.0,41828.0,41883.0
5005041,45600.0,45718.0,45770.0,45828.0,45912.0,46000.0,46027.0,46211.0,46268.0,46330.0,46390.0,46450.0,46493.0,46554.0,46616.0,46658.0,46699.0,46741.0,46771.0,46793.0,46928.0,47070.0,47144.0,47182.0,47218.0,47244.0,47290.0,47347.0,47386.0,47418.0,47444.0,47502.0
5005043,51000.0,51118.0,51170.0,51228.0,51312.0,51400.0,51427.0,51611.0,51668.0,51730.0,51790.0,51850.0,51893.0,51954.0,52016.0,52058.0,52099.0,52141.0,52171.0,52193.0,52328.0,52470.0,52544.0,52582.0,52618.0,52644.0,52690.0,52747.0,52786.0,52818.0,52844.0,52902.0
5005045,56400.0,56516.0,56561.0,56610.0,56696.0,56786.0,56813.0,56978.0,57033.0,57093.0,57158.0,57218.0,57261.0,57326.0,57392.0,57436.0,57479.0,57524.0,57556.0,57580.0,57680.0,57784.0,57855.0,57893.0,57929.0,57955.0,58001.0,58058.0,58097.0,58129.0,58155.0,58213.0
5005047,61800.0,61916.0,61961.0,62010.0,62096.0,62186.0,62213.0,62378.0,62433.0,62493.0,62558.0,62618.0,62661.0,62726.0,62792.0,62836.0,62879.0,62924.0,62956.0,62980.0,63080.0,63184.0,63255.0,63293.0,63329.0,63355.0,63401.0,63458.0,63497.0,63529.0,63555.0,63613.0
5005049,67200.0,67316.0,67361.0,67410.0,67496.0,67586.0,67613.0,67778.0,67833.0,67893.0,67958.0,68018.0,68061.0,68126.0,68192.0,68236.0,68279.0,68324.0,68356.0,68380.0,68480.0,68584.0,68655.0,68693.0,68729.0,68755.0,68801.0,68858.0,68897.0,68929.0,68955.0,69013.0
5007786,30600.0,30706.0,30775.0,30852.0,30955.0,31062.0,31100.0,31374.0,31433.0,31498.0,31567.0,31629.0,31674.0,31741.0,31809.0,31855.0,31900.0,31946.0,31979.0,32004.0,32105.0,32211.0,32271.0,32306.0,32340.0,32365.0,32408.0,32461.0,32497.0,32527.0,32551.0,32604.0
5007788,48900.0,49040.0,49102.0,49170.0,49255.0,49344.0,49377.0,49566.0,49622.0,49682.0,49742.0,49799.0,49840.0,49902.0,49966.0,50009.0,50051.0,50094.0,50124.0,50147.0,50275.0,50408.0,50480.0,50517.0,50553.0,50579.0,50624.0,50681.0,50720.0,50752.0,50777.0,50834.0
5007792,61200.0,61378.0,61441.0,61511.0,61608.0,61709.0,61745.0,61960.0,62025.0,62095.0,62159.0,62220.0,62263.0,62327.0,62392.0,62436.0,62479.0,62523.0,62554.0,62577.0,62710.0,62849.0,62937.0,62975.0,63012.0,63039.0,63086.0,63144.0,63184.0,63217.0,63243.0,63300.0
5007794,67500.0,67678.0,67741.0,67811.0,67908.0,68009.0,68045.0,68260.0,68325.0,68395.0,68459.0,68520.0,68563.0,68627.0,68692.0,68736.0,68779.0,68823.0,68854.0,68877.0,69010.0,69149.0,69237.0,69275.0,69312.0,69339.0,69386.0,69444.0,69484.0,69517.0,69543.0,69600.0
5007800,83100.0,83198.0,83243.0,83292.0,83354.0,83419.0,83438.0,83543.0,83586.0,83632.0,83682.0,83726.0,83757.0,83805.0,83854.0,83887.0,83919.0,83952.0,83975.0,83993.0,84050.0,84110.0,84174.0,84206.0,84237.0,84260.0,84300.0,84349.0,84383.0,84411.0,84433.0,84482.0
5008008,28800.0,28877.0,28915.0,28956.0,29018.0,29083.0,29110.0,29212.0,29257.0,29305.0,29349.0,29388.0,29415.0,29456.0,29497.0,29525.0,29552.0,29580.0,29600.0,29615.0,29678.0,29744.0,29806.0,29831.0,29855.0,29873.0,29904.0,29942.0,29968.0,29990.0,30007.0,30046.0
5008010,33900.0,33977.0,34015.0,34056.0,34118.0,34183.0,34210.0,34312.0,34357.0,34405.0,34449.0,34488.0,34515.0,34556.0,34597.0,34625.0,34652.0,34680.0,34700.0,34715.0,34778.0,34844.0,34906.0,34931.0,34955.0,34973.0,35004.0,35042.0,35068.0,35090.0,35107.0,35146.0
5009634,45300.0,45440.0,45502.0,45570.0,45655.0,45744.0,45777.0,45966.0,46022.0,46082.0,46142.0,46199.0,46240.0,46302.0,46366.0,46409.0,46451.0,46494.0,46524.0,46547.0,46675.0,46808.0,46880.0,46917.0,46953.0,46979.0,47024.0,47081.0,47120.0,47152.0,47177.0,47234.0
5012008,32400.0,32506.0,32575.0,32652.0,32755.0,32862.0,32900.0,33174.0,33233.0,33298.0,33367.0,33429.0,33474.0,33541.0,33609.0,33655.0,33700.0,33746.0,33779.0,33804.0,33905.0,34011.0,34071.0,34106.0,34140.0,34165.0,34208.0,34261.0,34297.0,34327.0,34351.0,34404.0
5012010,38100.0,38251.0,38316.0,38388.0,38475.0,38566.0,38597.0,38771.0,38824.0,38882.0,38935.0,38990.0,39029.0,39096.0,39164.0,39210.0,39255.0,39301.0,39334.0,39359.0,39477.0,39600.0,39670.0,39708.0,39744.0,39770.0,39816.0,39873.0,39912.0,39944.0,39970.0,40028.0
5012014,51000.0,51140.0,51202.0,51270.0,51355.0,51444.0,51477.0,51666.0,51722.0,51782.0,51842.0,51899.0,51940.0,52002.0,52066.0,52109.0,52151.0,52194.0,52224.0,52247.0,52375.0,52508.0,52580.0,52617.0,52653.0,52679.0,52724.0,52781.0,52820.0,52852.0,52877.0,52934.0
5012016,56700.0,56878.0,56941.0,57011.0,57108.0,57209.0,57245.0,57460.0,57525.0,57595.0,57659.0,57720.0,57763.0,57827.0,57892.0,57936.0,57979.0,58023.0,58054.0,58077.0,58210.0,58349.0,58437.0,58475.0,58512.0,58539.0,58586.0,58644.0,58684.0,58717.0,58743.0,58800.0
5013018,67740.0,67845.0,67886.0,67931.0,68001.0,68074.0,68099.0,68237.0,68287.0,68342.0,68395.0,68448.0,68486.0,68539.0,68593.0,68629.0,68664.0,68701.0,68727.0,68746.0,68836.0,68930.0,68988.0,69023.0,69057.0,69082.0,69125.0,69178.0,69214.0,69244.0,69268.0,69322.0
5013750,40200.0,40351.0,40416.0,40488.0,40575.0,40666.0,40697.0,40871.0,40924.0,40982.0,41035.0,41090.0,41129.0,41196.0,41264.0,41310.0,41355.0,41401.0,41434.0,41459.0,41577.0,41700.0,41770.0,41808.0,41844.0,41870.0,41916.0,41973.0,42012.0,42044.0,42070.0,42128.0
5013754,52200.0,52340.0,52402.0,52470.0,52555.0,52644.0,52677.0,52866.0,52922.0,52982.0,53042.0,53099.0,53140.0,53202.0,53266.0,53309.0,53351.0,53394.0,53424.0,53447.0,53575.0,53708.0,53780.0,53817.0,53853.0,53879.0,53924.0,53981.0,54020.0,54052.0,54077.0,54134.0
5013756,58200.0,58378.0,58441.0,58511.0,58608.0,58709.0,58745.0,58960.0,59025.0,59095.0,59159.0,59220.0,59263.0,59327.0,59392.0,59436.0,59479.0,59523.0,59554.0,59577.0,59710.0,59849.0,59937.0,59975.0,60012.0,60039.0,60086.0,60144.0,60184.0,60217.0,60243.0,60300.0
5017499,55500.0,55678.0,55741.0,55811.0,55908.0,56009.0,56045.0,56260.0,56325.0,56395.0,56459.0,56520.0,56563.0,56627.0,56692.0,56736.0,56779.0,56823.0,56854.0,56877.0,57010.0,57149.0,57237.0,57275.0,57312.0,57339.0,57386.0,57444.0,57484.0,57517.0,57543.0,57600.0
5017505,74100.0,74225.0,74273.0,74325.0,74398.0,74475.0,74506.0,74654.0,74707.0,74764.0,74825.0,74877.0,74914.0,74973.0,75033.0,75073.0,75112.0,75153.0,75182.0,75203.0,75287.0,75374.0,75431.0,75468.0,75504.0,75530.0,75575.0,75631.0,75669.0,75701.0,75726.0,75783.0
5018764,27000.0,27080.0,27106.0,27135.0,27191.0,27249.0,27280.0,27383.0,27420.0,27460.0,27496.0,27531.0,27556.0,27593.0,27631.0,27657.0,27682.0,27708.0,27726.0,27740.0,27776.0,27814.0,27876.0,27907.0,27937.0,27959.0,27997.0,28045.0,28078.0,28105.0,28126.0,28176.0
5018766,32100.0,32177.0,32215.0,32256.0,32318.0,32383.0,32410.0,32512.0,32557.0,32605.0,32649.0,32688.0,32715.0,32756.0,32797.0,32825.0,32852.0,32880.0,32900.0,32915.0,32978.0,33044.0,33106.0,33131.0,33155.0,33173.0,33204.0,33242.0,33268.0,33290.0,33307.0,33346.0
5018774,53700.0,53818.0,53870.0,53928.0,54012.0,54100.0,54127.0,54311.0,54368.0,54430.0,54490.0,54550.0,54593.0,54654.0,54716.0,54758.0,54799.0,54841.0,54871.0,54893.0,55028.0,55170.0,55244.0,55282.0,55318.0,55344.0,55390.0,55447.0,55486.0,55518.0,55544.0,55602.0
5018776,59100.0,59216.0,59261.0,59310.0,59396.0,59486.0,59513.0,59678.0,59733.0,59793.0,59858.0,59918.0,59961.0,60026.0,60092.0,60136.0,60179.0,60224.0,60256.0,60280.0,60380.0,60484.0,60555.0,60593.0,60629.0,60655.0,60701.0,60758.0,60797.0,60829.0,60855.0,60913.0
5018778,64500.0,64616.0,64661.0,64710.0,64796.0,64886.0,64913.0,65078.0,65133.0,65193.0,65258.0,65318.0,65361.0,65426.0,65492.0,65536.0,65579.0,65624.0,65656.0,65680.0,65780.0,65884.0,65955.0,65993.0,66029.0,66055.0,66101.0,66158.0,66197.0,66229.0,66255.0,66313.0
5018780,69900.0,69997.0,70041.0,70090.0,70164.0,70242.0,70267.0,70394.0,70440.0,70490.0,70554.0,70597.0,70628.0,70683.0,70739.0,70777.0,70814.0,70852.0,70879.0,70898.0,70982.0,71069.0,71130.0,71164.0,71197.0,71221.0,71262.0,71314.0,71349.0,71378.0,71401.0,71452.0
5018796,27000.0,27089.0,27147.0,27211.0,27288.0,27369.0,27394.0,27552.0,27598.0,27647.0,27701.0,27751.0,27786.0,27829.0,27873.0,27902.0,27931.0,27961.0,27982.0,27998.0,28057.0,28119.0,28170.0,28200.0,28229.0,28250.0,28286.0,28331.0,28362.0,28387.0,28407.0,28452.0
5018798,36000.0,36151.0,36216.0,36288.0,36375.0,36466.0,36497.0,36671.0,36724.0,36782.0,36835.0,36890.0,36929.0,36996.0,37064.0,37110.0,37155.0,37201.0,37234.0,37259.0,37377.0,37500.0,37570.0,37608.0,37644.0,37670.0,37716.0,37773.0,37812.0,37844.0,37870.0,37928.0
5018800,42000.0,42151.0,42216.0,42288.0,42375.0,42466.0,42497.0,42671.0,42724.0,42782.0,42835.0,42890.0,42929.0,42996.0,43064.0,43110.0,43155.0,43201.0,43234.0,43259.0,43377.0,43500.0,43570.0,43608.0,43644.0,43670.0,43716.0,43773.0,43812.0,43844.0,43870.0,43928.0
5018804,54000.0,54178.0,54241.0,54311.0,54408.0,54509.0,54545.0,54760.0,54825.0,54895.0,54959.0,55020.0,55063.0,55127.0,55192.0,55236.0,55279.0,55323.0,55354.0,55377.0,55510.0,55649.0,55737.0,55775.0,55812.0,55839.0,55886.0,55944.0,55984.0,56017.0,56043.0,56100.0
5018811,80100.0,80198.0,80243.0,80292.0,80354.0,80419.0,80438.0,80543.0,80586.0,80632.0,80682.0,80726.0,80757.0,80805.0,80854.0,80887.0,80919.0,80952.0,80975.0,80993.0,81050.0,81110.0,81174.0,81206.0,81237.0,81260.0,81300.0,81349.0,81383.0,81411.0,81433.0,81482.0
5018813,84600.0,84698.0,84743.0,84792.0,84854.0,84919.0,84938.0,85043.0,85086.0,85132.0,85182.0,85226.0,85257.0,85305.0,85354.0,85387.0,85419.0,85452.0,85475.0,85493.0,85550.0,85610.0,85674.0,85706.0,85737.0,85760.0,85800.0,85849.0,85883.0,85911.0,85933.0,85982.0
5018815,28800.0,28906.0,28975.0,29052.0,29155.0,29262.0,29300.0,29574.0,29633.0,29698.0,29767.0,29829.0,29874.0,29941.0,30009.0,30055.0,30100.0,30146.0,30179.0,30204.0,30305.0,30411.0,30471.0,30506.0,30540.0,30565.0,30608.0,30661.0,30697.0,30727.0,30751.0,30804.0
5018821,47100.0,47240.0,47302.0,47370.0,47455.0,47544.0,47577.0,47766.0,47822.0,47882.0,47942.0,47999.0,48040.0,48102.0,48166.0,48209.0,48251.0,48294.0,48324.0,48347.0,48475.0,48608.0,48680.0,48717.0,48753.0,48779.0,48824.0,48881.0,48920.0,48952.0,48977.0,49034.0
5018824,63600.0,63778.0,63841.0,63911.0,64008.0,64109.0,64145.0,64360.0,64425.0,64495.0,64559.0,64620.0,64663.0,64727.0,64792.0,64836.0,64879.0,64923.0,64954.0,64977.0,65110.0,65249.0,65337.0,65375.0,65412.0,65439.0,65486.0,65544.0,65584.0,65617.0,65643.0,65700.0
5018826,69600.0,69725.0,69773.0,69825.0,69898.0,69975.0,70006.0,70154.0,70207.0,70264.0,70325.0,70377.0,70414.0,70473.0,70533.0,70573.0,70612.0,70653.0,70682.0,70703.0,70787.0,70874.0,70931.0,70968.0,71004.0,71030.0,71075.0,71131.0,71169.0,71201.0,71226.0,71283.0
5018827,77100.0,77198.0,77243.0,77292.0,77354.0,77419.0,77438.0,77543.0,77586.0,77632.0,77682.0,77726.0,77757.0,77805.0,77854.0,77887.0,77919.0,77952.0,77975.0,77993.0,78050.0,78110.0,78174.0,78206.0,78237.0,78260.0,78300.0,78349.0,78383.0,78411.0,78433.0,78482.0
5084008,23700.0,23786.0,23842.0,23903.0,23977.0,24055.0,24079.0,24231.0,24275.0,24322.0,24374.0,24422.0,24456.0,24497.0,24539.0,24567.0,24595.0,24624.0,24644.0,24660.0,24717.0,24776.0,24825.0,24853.0,24880.0,24900.0,24935.0,24978.0,25008.0,25032.0,25051.0,25096.0
5084012,34200.0,34302.0,34369.0,34442.0,34541.0,34644.0,34681.0,34944.0,35001.0,35063.0,35129.0,35189.0,35232.0,35296.0,35362.0,35406.0,35449.0,35494.0,35525.0,35549.0,35646.0,35748.0,35806.0,35840.0,35872.0,35896.0,35937.0,35988.0,36023.0,36052.0,36075.0,36126.0
5084014,43800.0,43935.0,43994.0,44060.0,44142.0,44227.0,44259.0,44441.0,44495.0,44553.0,44611.0,44666.0,44705.0,44765.0,44826.0,44867.0,44907.0,44949.0,44978.0,45000.0,45123.0,45251.0,45320.0,45356.0,45390.0,45415.0,45459.0,45513.0,45550.0,45581.0,45605.0,45660.0
5084020,62400.0,62571.0,62632.0,62699.0,62792.0,62889.0,62924.0,63131.0,63193.0,63261.0,63323.0,63381.0,63423.0,63484.0,63547.0,63589.0,63630.0,63673.0,63703.0,63725.0,63853.0,63987.0,64072.0,64109.0,64144.0,64170.0,64215.0,64271.0,64309.0,64340.0,64365.0,64421.0
5084316,30600.0,30702.0,30769.0,30842.0,30941.0,31044.0,31081.0,31344.0,31401.0,31463.0,31529.0,31589.0,31632.0,31696.0,31762.0,31806.0,31849.0,31894.0,31925.0,31949.0,32046.0,32148.0,32206.0,32240.0,32272.0,32296.0,32337.0,32388.0,32423.0,32452.0,32475.0,32526.0
5084318,48900.0,49035.0,49094.0,49160.0,49242.0,49327.0,49359.0,49541.0,49595.0,49653.0,49711.0,49766.0,49805.0,49865.0,49926.0,49967.0,50007.0,50049.0,50078.0,50100.0,50223.0,50351.0,50420.0,50456.0,50490.0,50515.0,50559.0,50613.0,50650.0,50681.0,50705.0,50760.0
5084322,61200.0,61371.0,61432.0,61499.0,61592.0,61689.0,61724.0,61931.0,61993.0,62061.0,62123.0,62181.0,62223.0,62284.0,62347.0,62389.0,62430.0,62473.0,62503.0,62525.0,62653.0,62787.0,62872.0,62909.0,62944.0,62970.0,63015.0,63071.0,63109.0,63140.0,63165.0,63221.0
5084324,67500.0,67671.0,67732.0,67799.0,67892.0,67989.0,68024.0,68231.0,68293.0,68361.0,68423.0,68481.0,68523.0,68584.0,68647.0,68689.0,68730.0,68773.0,68803.0,68825.0,68953.0,69087.0,69172.0,69209.0,69244.0,69270.0,69315.0,69371.0,69409.0,69440.0,69465.0,69521.0
5084330,83100.0,83194.0,83237.0,83284.0,83344.0,83406.0,83424.0,83525.0,83566.0,83611.0,83659.0,83701.0,83731.0,83777.0,83824.0,83856.0,83887.0,83919.0,83941.0,83958.0,84013.0,84071.0,84133.0,84164.0,84194.0,84216.0,84254.0,84301.0,84333.0,84360.0,84381.0,84429.0
5086643,28800.0,28902.0,28969.0,29042.0,29141.0,29244.0,29281.0,29544.0,29601.0,29663.0,29729.0,29789.0,29832.0,29896.0,29962.0,30006.0,30049.0,30094.0,30125.0,30149.0,30246.0,30348.0,30406.0,30440.0,30472.0,30496.0,30537.0,30588.0,30623.0,30652.0,30675.0,30726.0
5086649,47100.0,47235.0,47294.0,47360.0,47442.0,47527.0,47559.0,47741.0,47795.0,47853.0,47911.0,47966.0,48005.0,48065.0,48126.0,48167.0,48207.0,48249.0,48278.0,48300.0,48423.0,48551.0,48620.0,48656.0,48690.0,48715.0,48759.0,48813.0,48850.0,48881.0,48905.0,48960.0
5086652,63600.0,63771.0,63832.0,63899.0,63992.0,64089.0,64124.0,64331.0,64393.0,64461.0,64523.0,64581.0,64623.0,64684.0,64747.0,64789.0,64830.0,64873.0,64903.0,64925.0,65053.0,65187.0,65272.0,65309.0,65344.0,65370.0,65415.0,65471.0,65509.0,65540.0,65565.0,65621.0
5086654,69600.0,69720.0,69766.0,69816.0,69887.0,69960.0,69990.0,70132.0,70183.0,70238.0,70297.0,70347.0,70383.0,70439.0,70497.0,70536.0,70574.0,70613.0,70641.0,70661.0,70741.0,70825.0,70880.0,70915.0,70949.0,70974.0,71017.0,71071.0,71108.0,71138.0,71162.0,71218.0
5086655,77100.0,77194.0,77237.0,77284.0,77344.0,77406.0,77424.0,77525.0,77566.0,77611.0,77659.0,77701.0,77731.0,77777.0,77824.0,77856.0,77887.0,77919.0,77941.0,77958.0,78013.0,78071.0,78133.0,78164.0,78194.0,78216.0,78254.0,78301.0,78333.0,78360.0,78381.0,78429.0
5087257,46440.0,46542.0,46590.0,46644.0,46715.0,46788.0,46822.0,46974.0,47028.0,47086.0,47141.0,47194.0,47232.0,47283.0,47335.0,47370.0,47404.0,47439.0,47464.0,47482.0,47553.0,47627.0,47697.0,47729.0,47760.0,47782.0,47821.0,47869.0,47902.0,47929.0,47951.0,47999.0
5087259,51840.0,51942.0,51990.0,52044.0,52115.0,52188.0,52222.0,52374.0,52428.0,52486.0,52541.0,52594.0,52632.0,52683.0,52735.0,52770.0,52804.0,52839.0,52864.0,52882.0,52953.0,53027.0,53097.0,53129.0,53160.0,53182.0,53221.0,53269.0,53302.0,53329.0,53351.0,53399.0
5087261,57360.0,57461.0,57500.0,57544.0,57612.0,57682.0,57706.0,57839.0,57887.0,57940.0,57991.0,58042.0,58079.0,58130.0,58182.0,58217.0,58251.0,58286.0,58311.0,58329.0,58416.0,58506.0,58562.0,58596.0,58628.0,58652.0,58693.0,58744.0,58779.0,58808.0,58831.0,58883.0
5087263,62640.0,62741.0,62780.0,62824.0,62892.0,62962.0,62986.0,63119.0,63167.0,63220.0,63271.0,63322.0,63359.0,63410.0,63462.0,63497.0,63531.0,63566.0,63591.0,63609.0,63696.0,63786.0,63842.0,63876.0,63908.0,63932.0,63973.0,64024.0,64059.0,64088.0,64111.0,64163.0
5087265,67740.0,67841.0,67880.0,67924.0,67992.0,68062.0,68086.0,68219.0,68267.0,68320.0,68371.0,68422.0,68459.0,68510.0,68562.0,68597.0,68631.0,68666.0,68691.0,68709.0,68796.0,68886.0,68942.0,68976.0,69008.0,69032.0,69073.0,69124.0,69159.0,69188.0,69211.0,69263.0
5089562,40200.0,40345.0,40408.0,40477.0,40561.0,40648.0,40678.0,40845.0,40896.0,40952.0,41003.0,41056.0,41093.0,41157.0,41223.0,41267.0,41310.0,41355.0,41386.0,41410.0,41523.0,41642.0,41709.0,41745.0,41780.0,41805.0,41849.0,41904.0,41942.0,41973.0,41998.0,42053.0
5089566,52200.0,52335.0,52394.0,52460.0,52542.0,52627.0,52659.0,52841.0,52895.0,52953.0,53011.0,53066.0,53105.0,53165.0,53226.0,53267.0,53307.0,53349.0,53378.0,53400.0,53523.0,53651.0,53720.0,53756.0,53790.0,53815.0,53859.0,53913.0,53950.0,53981.0,54005.0,54060.0
5089568,58200.0,58371.0,58432.0,58499.0,58592.0,58689.0,58724.0,58931.0,58993.0,59061.0,59123.0,59181.0,59223.0,59284.0,59347.0,59389.0,59430.0,59473.0,59503.0,59525.0,59653.0,59787.0,59872.0,59909.0,59944.0,59970.0,60015.0,60071.0,60109.0,60140.0,60165.0,60221.0
5091172,45300.0,45435.0,45494.0,45560.0,45642.0,45727.0,45759.0,45941.0,45995.0,46053.0,46111.0,46166.0,46205.0,46265.0,46326.0,46367.0,46407.0,46449.0,46478.0,46500.0,46623.0,46751.0,46820.0,46856.0,46890.0,46915.0,46959.0,47013.0,47050.0,47081.0,47105.0,47160.0
