tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P
0,3732.0,3733.0,3734.0,3735.0,3736.0,7204.0,3739.0,3738.0,7170.0,3740.0,3741.0,5165.0,7169.0,3743.0,3780.0,3744.0,3745.0,3746.0,3749.0,3750.0,3752.0,3751.0,3689.0,7594.0,3690.0,4330.0
5008327,48600.0,48622.0,48668.0,48692.0,48754.0,48823.0,49012.0,49086.0,49118.0,49148.0,49190.0,49235.0,49276.0,49387.0,49404.0,49437.0,49542.0,49590.0,49801.0,49817.0,49909.0,49927.0,50050.0,50069.0,50144.0,50439.0
5008329,52200.0,52222.0,52268.0,52292.0,52354.0,52423.0,52612.0,52686.0,52718.0,52748.0,52790.0,52835.0,52876.0,52987.0,53004.0,53037.0,53142.0,53190.0,53401.0,53417.0,53509.0,53527.0,53650.0,53669.0,53744.0,54039.0
5008333,66600.0,66616.0,66650.0,66668.0,66715.0,66767.0,66911.0,66974.0,67003.0,67028.0,67064.0,67110.0,67152.0,67265.0,67282.0,67314.0,67397.0,67453.0,67709.0,67728.0,67848.0,67873.0,67999.0,68024.0,68099.0,68394.0
5008335,70200.0,70206.0,70219.0,70226.0,70244.0,70264.0,70320.0,70440.0,70560.0,70610.0,70680.0,70702.0,70722.0,70776.0,70784.0,70800.0,70920.0,71040.0,71280.0,71400.0,71460.0,71520.0,71580.0,71640.0,71677.0,71820.0
5009438,43200.0,43222.0,43268.0,43292.0,43354.0,43423.0,43612.0,43686.0,43718.0,43748.0,43790.0,43835.0,43876.0,43987.0,44004.0,44037.0,44142.0,44190.0,44401.0,44417.0,44509.0,44527.0,44650.0,44669.0,44744.0,45039.0
5009440,46800.0,46822.0,46868.0,46892.0,46954.0,47023.0,47212.0,47286.0,47318.0,47348.0,47390.0,47435.0,47476.0,47587.0,47604.0,47637.0,47742.0,47790.0,48001.0,48017.0,48109.0,48127.0,48250.0,48269.0,48344.0,48639.0
5009852,25200.0,25206.0,25219.0,25226.0,25244.0,25264.0,25320.0,25380.0,25440.0,25465.0,25500.0,25511.0,25521.0,25548.0,25552.0,25560.0,25680.0,25740.0,25860.0,25980.0,26040.0,26100.0,26160.0,26220.0,26257.0,26400.0
5009854,28800.0,28820.0,28862.0,28884.0,28941.0,29004.0,29178.0,29250.0,29287.0,29318.0,29361.0,29398.0,29432.0,29523.0,29537.0,29563.0,29644.0,29694.0,29904.0,29919.0,29996.0,30011.0,30107.0,30120.0,30188.0,30456.0
5009856,32400.0,32420.0,32462.0,32484.0,32541.0,32604.0,32778.0,32850.0,32887.0,32918.0,32961.0,32998.0,33032.0,33123.0,33137.0,33163.0,33244.0,33294.0,33504.0,33519.0,33596.0,33611.0,33707.0,33720.0,33788.0,34056.0
5009862,57600.0,57616.0,57650.0,57668.0,57715.0,57767.0,57911.0,57974.0,58003.0,58028.0,58064.0,58110.0,58152.0,58265.0,58282.0,58314.0,58397.0,58453.0,58709.0,58728.0,58848.0,58873.0,58999.0,59024.0,59099.0,59394.0
5011095,39600.0,39618.0,39656.0,39676.0,39728.0,39785.0,39944.0,40016.0,40053.0,40084.0,40129.0,40174.0,40215.0,40325.0,40342.0,40373.0,40441.0,40490.0,40712.0,40729.0,40814.0,40837.0,40953.0,40974.0,40999.0,41098.0
5011099,46800.0,46817.0,46853.0,46872.0,46921.0,46976.0,47128.0,47203.0,47237.0,47268.0,47312.0,47353.0,47390.0,47490.0,47505.0,47534.0,47613.0,47661.0,47886.0,47906.0,48001.0,48029.0,48132.0,48167.0,48193.0,48294.0
5011102,61200.0,61218.0,61256.0,61276.0,61328.0,61385.0,61543.0,61627.0,61668.0,61706.0,61759.0,61802.0,61841.0,61947.0,61963.0,61994.0,62084.0,62137.0,62382.0,62405.0,62521.0,62540.0,62632.0,62657.0,62705.0,62893.0
5011104,64800.0,64818.0,64856.0,64876.0,64928.0,64985.0,65143.0,65227.0,65268.0,65306.0,65359.0,65402.0,65441.0,65547.0,65563.0,65594.0,65684.0,65737.0,65982.0,66005.0,66121.0,66140.0,66232.0,66257.0,66305.0,66493.0
5017266,27000.0,27018.0,27056.0,27076.0,27128.0,27185.0,27343.0,27427.0,27468.0,27506.0,27559.0,27602.0,27641.0,27747.0,27763.0,27794.0,27884.0,27937.0,28182.0,28205.0,28321.0,28340.0,28432.0,28457.0,28505.0,28693.0
5017268,30600.0,30618.0,30657.0,30677.0,30730.0,30789.0,30953.0,31026.0,31062.0,31095.0,31142.0,31191.0,31236.0,31357.0,31375.0,31411.0,31489.0,31541.0,31765.0,31799.0,31932.0,31950.0,32028.0,32045.0,32068.0,32158.0
5017272,37800.0,37818.0,37856.0,37876.0,37928.0,37985.0,38144.0,38216.0,38253.0,38284.0,38329.0,38374.0,38415.0,38525.0,38542.0,38573.0,38641.0,38690.0,38912.0,38929.0,39014.0,39037.0,39153.0,39174.0,39199.0,39298.0
5017273,50400.0,50417.0,50453.0,50472.0,50521.0,50576.0,50728.0,50803.0,50837.0,50868.0,50912.0,50953.0,50990.0,51090.0,51105.0,51134.0,51213.0,51261.0,51486.0,51506.0,51601.0,51629.0,51732.0,51767.0,51793.0,51894.0
5017275,54000.0,54018.0,54056.0,54076.0,54128.0,54185.0,54343.0,54427.0,54468.0,54506.0,54559.0,54602.0,54641.0,54747.0,54763.0,54794.0,54884.0,54937.0,55182.0,55205.0,55321.0,55340.0,55432.0,55457.0,55505.0,55693.0
5017279,70200.0,70215.0,70247.0,70264.0,70307.0,70355.0,70486.0,70558.0,70593.0,70623.0,70665.0,70710.0,70751.0,70862.0,70879.0,70911.0,70989.0,71040.0,71263.0,71279.0,71366.0,71380.0,71467.0,71484.0,71504.0,71581.0
5017281,73800.0,73815.0,73847.0,73864.0,73907.0,73955.0,74086.0,74158.0,74193.0,74223.0,74265.0,74310.0,74351.0,74462.0,74479.0,74511.0,74589.0,74640.0,74863.0,74879.0,74966.0,74980.0,75067.0,75084.0,75104.0,75181.0
5017514,32400.0,32418.0,32457.0,32477.0,32530.0,32589.0,32753.0,32826.0,32862.0,32895.0,32942.0,32991.0,33036.0,33157.0,33175.0,33211.0,33289.0,33341.0,33565.0,33599.0,33732.0,33750.0,33828.0,33845.0,33868.0,33958.0
5017516,36000.0,36018.0,36056.0,36076.0,36128.0,36185.0,36344.0,36416.0,36453.0,36484.0,36529.0,36574.0,36615.0,36725.0,36742.0,36773.0,36841.0,36890.0,37112.0,37129.0,37214.0,37237.0,37353.0,37374.0,37399.0,37498.0
5017519,48600.0,48617.0,48653.0,48672.0,48721.0,48776.0,48928.0,49003.0,49037.0,49068.0,49112.0,49153.0,49190.0,49290.0,49305.0,49334.0,49413.0,49461.0,49686.0,49706.0,49801.0,49829.0,49932.0,49967.0,49993.0,50094.0
5017522,59400.0,59418.0,59456.0,59476.0,59528.0,59585.0,59743.0,59827.0,59868.0,59906.0,59959.0,60002.0,60041.0,60147.0,60163.0,60194.0,60284.0,60337.0,60582.0,60605.0,60721.0,60740.0,60832.0,60857.0,60905.0,61093.0
5017524,63000.0,63018.0,63056.0,63076.0,63128.0,63185.0,63343.0,63427.0,63468.0,63506.0,63559.0,63602.0,63641.0,63747.0,63763.0,63794.0,63884.0,63937.0,64182.0,64205.0,64321.0,64340.0,64432.0,64457.0,64505.0,64693.0
5017527,75600.0,75606.0,75619.0,75626.0,75644.0,75664.0,75720.0,75840.0,75900.0,75925.0,75960.0,75982.0,76002.0,76056.0,76064.0,76080.0,76200.0,76320.0,76560.0,76680.0,76740.0,76800.0,76860.0,76920.0,76957.0,77100.0
5017529,79200.0,79206.0,79219.0,79226.0,79244.0,79264.0,79320.0,79440.0,79500.0,79525.0,79560.0,79582.0,79602.0,79656.0,79664.0,79680.0,79800.0,79920.0,80160.0,80280.0,80340.0,80400.0,80460.0,80520.0,80557.0,80700.0
5017531,82800.0,82806.0,82819.0,82826.0,82844.0,82864.0,82920.0,83040.0,83100.0,83125.0,83160.0,83182.0,83202.0,83256.0,83264.0,83280.0,83400.0,83520.0,83760.0,83880.0,83940.0,84000.0,84060.0,84120.0,84157.0,84300.0
5084298,39600.0,39606.0,39619.0,39626.0,39644.0,39664.0,39720.0,39780.0,39840.0,39890.0,39960.0,39982.0,40002.0,40056.0,40064.0,40080.0,40140.0,40200.0,40320.0,40380.0,40440.0,40500.0,40560.0,40620.0,40657.0,40800.0
5084304,59400.0,59417.0,59453.0,59472.0,59521.0,59575.0,59723.0,59805.0,59843.0,59870.0,59909.0,59949.0,59986.0,60086.0,60101.0,60130.0,60212.0,60267.0,60490.0,60503.0,60590.0,60614.0,60705.0,60726.0,60777.0,60979.0
5084310,79200.0,79206.0,79219.0,79226.0,79244.0,79264.0,79320.0,79440.0,79500.0,79525.0,79560.0,79582.0,79602.0,79656.0,79664.0,79680.0,79800.0,79920.0,80160.0,80280.0,80340.0,80400.0,80460.0,80520.0,80557.0,80700.0
5084312,82800.0,82806.0,82819.0,82826.0,82844.0,82864.0,82920.0,83040.0,83100.0,83125.0,83160.0,83182.0,83202.0,83256.0,83264.0,83280.0,83400.0,83520.0,83760.0,83880.0,83940.0,84000.0,84060.0,84120.0,84157.0,84300.0
5087850,30600.0,30618.0,30655.0,30675.0,30726.0,30783.0,30939.0,31009.0,31044.0,31076.0,31121.0,31168.0,31211.0,31328.0,31346.0,31380.0,31455.0,31505.0,31720.0,31753.0,31881.0,31898.0,31973.0,31989.0,32011.0,32098.0
5087852,34200.0,34218.0,34255.0,34275.0,34326.0,34383.0,34539.0,34609.0,34644.0,34676.0,34721.0,34768.0,34811.0,34928.0,34946.0,34980.0,35055.0,35105.0,35320.0,35353.0,35481.0,35498.0,35573.0,35589.0,35611.0,35698.0
5087855,50400.0,50417.0,50452.0,50470.0,50517.0,50570.0,50715.0,50787.0,50820.0,50850.0,50892.0,50931.0,50967.0,51063.0,51077.0,51105.0,51181.0,51227.0,51443.0,51462.0,51553.0,51580.0,51679.0,51713.0,51738.0,51835.0
5087857,54000.0,54017.0,54053.0,54072.0,54122.0,54177.0,54330.0,54411.0,54450.0,54486.0,54538.0,54579.0,54617.0,54719.0,54734.0,54764.0,54851.0,54902.0,55138.0,55160.0,55272.0,55290.0,55378.0,55402.0,55448.0,55629.0
