tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P
5007561,67200.0,67258.0,67315.0,67414.0,67489.0,67548.0,67583.0,67619.0,67717.0,67752.0,67862.0,67910.0,67949.0,67991.0,68016.0,68074.0,68107.0,68191.0,68209.0,68229.0,68248.0,68347.0,68480.0,68517.0,68609.0,68648.0,68695.0,68770.0,68837.0,68873.0,68899.0,68924.0,68977.0,69036.0,69069.0,69088.0,69178.0,69271.0,69382.0,69475.0,69538.0,69770.0,69980.0,70093.0,70140.0
5008247,56640.0,56715.0,56788.0,56866.0,56926.0,56989.0,57026.0,57065.0,57180.0,57213.0,57307.0,57350.0,57382.0,57425.0,57450.0,57490.0,57513.0,57573.0,57579.0,57598.0,57618.0,57718.0,57872.0,57910.0,58007.0,58049.0,58080.0,58129.0,58217.0,58255.0,58283.0,58308.0,58333.0,58361.0,58413.0,58443.0,58512.0,58593.0,58716.0,58819.0,58890.0,59078.0,59288.0,59401.0,59448.0
5010234,67440.0,67515.0,67588.0,67666.0,67726.0,67789.0,67826.0,67865.0,67980.0,68013.0,68107.0,68150.0,68182.0,68225.0,68250.0,68290.0,68313.0,68373.0,68379.0,68398.0,68418.0,68518.0,68672.0,68710.0,68807.0,68849.0,68880.0,68929.0,69017.0,69055.0,69083.0,69108.0,69133.0,69161.0,69213.0,69243.0,69312.0,69393.0,69516.0,69619.0,69690.0,69878.0,70088.0,70201.0,70248.0
5011258,46200.0,46256.0,46310.0,46392.0,46454.0,46551.0,46585.0,46620.0,46704.0,46738.0,46857.0,46914.0,46988.0,47061.0,47093.0,47135.0,47159.0,47221.0,47230.0,47245.0,47265.0,47367.0,47491.0,47531.0,47632.0,47676.0,47719.0,47787.0,47853.0,47889.0,47915.0,47940.0,47981.0,48028.0,48061.0,48079.0,48173.0,48241.0,48349.0,48440.0,48502.0,48691.0,48901.0,49014.0,49061.0
5011607,53400.0,53456.0,53510.0,53592.0,53654.0,53751.0,53785.0,53820.0,53904.0,53938.0,54057.0,54114.0,54188.0,54261.0,54293.0,54335.0,54359.0,54421.0,54430.0,54445.0,54465.0,54567.0,54691.0,54731.0,54832.0,54876.0,54919.0,54987.0,55053.0,55089.0,55115.0,55140.0,55181.0,55228.0,55261.0,55279.0,55373.0,55441.0,55549.0,55640.0,55702.0,55891.0,56101.0,56214.0,56261.0
5011718,70800.0,70840.0,70879.0,70940.0,70987.0,71036.0,71066.0,71097.0,71172.0,71199.0,71279.0,71322.0,71348.0,71380.0,71402.0,71440.0,71462.0,71519.0,71525.0,71541.0,71557.0,71639.0,71772.0,71805.0,71889.0,71925.0,71963.0,72025.0,72094.0,72136.0,72168.0,72199.0,72238.0,72282.0,72311.0,72327.0,72388.0,72455.0,72544.0,72619.0,72671.0,72874.0,73082.0,73195.0,73242.0
5011787,53040.0,53103.0,53164.0,53273.0,53355.0,53417.0,53446.0,53477.0,53573.0,53613.0,53760.0,53816.0,53849.0,53897.0,53924.0,53972.0,54000.0,54071.0,54080.0,54101.0,54121.0,54220.0,54349.0,54401.0,54533.0,54590.0,54635.0,54708.0,54781.0,54821.0,54851.0,54876.0,54913.0,54954.0,54990.0,55010.0,55086.0,55161.0,55276.0,55373.0,55439.0,55765.0,55975.0,56088.0,56135.0
5013704,45900.0,45963.0,46024.0,46133.0,46215.0,46277.0,46306.0,46337.0,46433.0,46473.0,46620.0,46676.0,46709.0,46757.0,46784.0,46832.0,46860.0,46931.0,46940.0,46961.0,46981.0,47080.0,47209.0,47261.0,47393.0,47450.0,47495.0,47568.0,47641.0,47681.0,47711.0,47736.0,47773.0,47814.0,47850.0,47870.0,47946.0,48021.0,48136.0,48233.0,48299.0,48625.0,48835.0,48948.0,48995.0
5015472,49800.0,49856.0,49910.0,49992.0,50054.0,50151.0,50185.0,50220.0,50304.0,50338.0,50457.0,50514.0,50588.0,50661.0,50693.0,50735.0,50759.0,50821.0,50830.0,50845.0,50865.0,50967.0,51091.0,51131.0,51232.0,51276.0,51319.0,51387.0,51453.0,51489.0,51515.0,51540.0,51581.0,51628.0,51661.0,51679.0,51773.0,51841.0,51949.0,52040.0,52102.0,52291.0,52501.0,52614.0,52661.0
5017645,35400.0,35461.0,35521.0,35601.0,35661.0,35736.0,35774.0,35813.0,35919.0,35963.0,36068.0,36124.0,36200.0,36291.0,36322.0,36367.0,36393.0,36458.0,36468.0,36484.0,36505.0,36612.0,36792.0,36840.0,36962.0,37014.0,37063.0,37143.0,37211.0,37249.0,37278.0,37305.0,37379.0,37462.0,37524.0,37559.0,37701.0,37831.0,38012.0,38164.0,38267.0,38560.0,38770.0,38883.0,38930.0
5017655,81600.0,81638.0,81674.0,81727.0,81768.0,81814.0,81842.0,81871.0,81937.0,81968.0,82033.0,82071.0,82094.0,82113.0,82132.0,82164.0,82182.0,82228.0,82235.0,82250.0,82263.0,82328.0,82425.0,82463.0,82558.0,82598.0,82628.0,82676.0,82731.0,82762.0,82785.0,82808.0,82832.0,82859.0,82886.0,82902.0,82967.0,83019.0,83091.0,83151.0,83192.0,83296.0,83504.0,83617.0,83664.0
5019132,30540.0,30580.0,30618.0,30691.0,30747.0,30791.0,30814.0,30838.0,30914.0,30944.0,30999.0,31034.0,31070.0,31120.0,31145.0,31176.0,31194.0,31239.0,31252.0,31267.0,31293.0,31424.0,31524.0,31571.0,31690.0,31741.0,31789.0,31865.0,31904.0,31934.0,31956.0,31978.0,32045.0,32121.0,32170.0,32198.0,32285.0,32327.0,32401.0,32463.0,32506.0,32644.0,32854.0,32967.0,33014.0
5019134,38340.0,38394.0,38447.0,38513.0,38563.0,38616.0,38652.0,38690.0,38807.0,38839.0,38933.0,38973.0,39031.0,39071.0,39100.0,39132.0,39150.0,39197.0,39202.0,39217.0,39234.0,39321.0,39456.0,39487.0,39565.0,39599.0,39627.0,39673.0,39722.0,39756.0,39782.0,39803.0,39843.0,39888.0,39928.0,39950.0,40012.0,40061.0,40147.0,40219.0,40268.0,40404.0,40614.0,40727.0,40774.0
5019537,74400.0,74440.0,74479.0,74540.0,74587.0,74636.0,74666.0,74697.0,74772.0,74799.0,74879.0,74922.0,74948.0,74980.0,75002.0,75040.0,75062.0,75119.0,75125.0,75141.0,75157.0,75239.0,75372.0,75405.0,75489.0,75525.0,75563.0,75625.0,75694.0,75736.0,75768.0,75799.0,75838.0,75882.0,75911.0,75927.0,75988.0,76055.0,76144.0,76219.0,76271.0,76474.0,76682.0,76795.0,76842.0
5084543,46200.0,46254.0,46306.0,46384.0,46444.0,46537.0,46569.0,46603.0,46684.0,46717.0,46831.0,46886.0,46957.0,47027.0,47058.0,47098.0,47121.0,47181.0,47190.0,47204.0,47223.0,47321.0,47440.0,47479.0,47576.0,47618.0,47659.0,47725.0,47788.0,47822.0,47848.0,47872.0,47912.0,47957.0,47988.0,48006.0,48096.0,48161.0,48265.0,48352.0,48412.0,48594.0,48796.0,48905.0,48950.0
5085788,49800.0,49854.0,49906.0,49984.0,50044.0,50137.0,50169.0,50203.0,50284.0,50317.0,50431.0,50486.0,50557.0,50627.0,50658.0,50698.0,50721.0,50781.0,50790.0,50804.0,50823.0,50921.0,51040.0,51079.0,51176.0,51218.0,51259.0,51325.0,51388.0,51422.0,51448.0,51472.0,51512.0,51557.0,51588.0,51606.0,51696.0,51761.0,51865.0,51952.0,52012.0,52194.0,52396.0,52505.0,52550.0
5085796,48300.0,48349.0,48396.0,48474.0,48534.0,48589.0,48628.0,48668.0,48754.0,48784.0,48853.0,48912.0,48945.0,48985.0,49004.0,49045.0,49068.0,49128.0,49151.0,49231.0,49248.0,49334.0,49481.0,49518.0,49611.0,49650.0,49696.0,49771.0,49858.0,49888.0,49911.0,49934.0,50045.0,50171.0,50214.0,50238.0,50326.0,50389.0,50451.0,50503.0,50538.0,50689.0,50891.0,51000.0,51045.0
5085798,55500.0,55549.0,55597.0,55665.0,55717.0,55760.0,55793.0,55828.0,55965.0,56003.0,56100.0,56140.0,56168.0,56206.0,56230.0,56266.0,56287.0,56340.0,56350.0,56365.0,56381.0,56460.0,56577.0,56611.0,56696.0,56732.0,56770.0,56831.0,56873.0,56905.0,56928.0,56950.0,56981.0,57017.0,57041.0,57054.0,57193.0,57270.0,57370.0,57454.0,57512.0,57744.0,57946.0,58055.0,58100.0
5085800,62700.0,62749.0,62797.0,62865.0,62917.0,62960.0,62993.0,63028.0,63165.0,63203.0,63300.0,63340.0,63368.0,63406.0,63430.0,63466.0,63487.0,63540.0,63550.0,63565.0,63581.0,63660.0,63777.0,63811.0,63896.0,63932.0,63970.0,64031.0,64073.0,64105.0,64128.0,64150.0,64181.0,64217.0,64241.0,64254.0,64393.0,64470.0,64570.0,64654.0,64712.0,64944.0,65146.0,65255.0,65300.0
5085802,69900.0,69935.0,69968.0,70050.0,70113.0,70164.0,70197.0,70231.0,70310.0,70351.0,70413.0,70464.0,70492.0,70562.0,70579.0,70622.0,70647.0,70710.0,70723.0,70737.0,70758.0,70867.0,70981.0,71020.0,71119.0,71162.0,71206.0,71276.0,71381.0,71414.0,71438.0,71460.0,71494.0,71532.0,71566.0,71586.0,71631.0,71703.0,71768.0,71823.0,71860.0,71970.0,72172.0,72281.0,72326.0
5086542,70800.0,70839.0,70876.0,70935.0,70980.0,71027.0,71056.0,71086.0,71158.0,71184.0,71261.0,71302.0,71327.0,71358.0,71379.0,71416.0,71437.0,71492.0,71498.0,71513.0,71528.0,71607.0,71735.0,71767.0,71847.0,71882.0,71919.0,71978.0,72044.0,72085.0,72115.0,72145.0,72183.0,72225.0,72252.0,72268.0,72327.0,72391.0,72477.0,72549.0,72599.0,72794.0,72995.0,73103.0,73148.0
5086550,42600.0,42656.0,42710.0,42801.0,42871.0,42996.0,43027.0,43059.0,43152.0,43188.0,43303.0,43347.0,43384.0,43421.0,43446.0,43487.0,43511.0,43571.0,43577.0,43593.0,43611.0,43701.0,43833.0,43873.0,43973.0,44015.0,44052.0,44112.0,44161.0,44197.0,44224.0,44249.0,44288.0,44332.0,44365.0,44384.0,44474.0,44542.0,44658.0,44756.0,44822.0,45036.0,45238.0,45347.0,45392.0
5087106,57600.0,57656.0,57711.0,57806.0,57878.0,57935.0,57968.0,58003.0,58097.0,58131.0,58237.0,58283.0,58321.0,58361.0,58385.0,58440.0,58472.0,58553.0,58570.0,58589.0,58608.0,58702.0,58830.0,58865.0,58954.0,58992.0,59037.0,59109.0,59173.0,59207.0,59233.0,59257.0,59308.0,59365.0,59397.0,59415.0,59502.0,59591.0,59697.0,59787.0,59848.0,60071.0,60273.0,60382.0,60427.0
5087673,61200.0,61256.0,61311.0,61406.0,61478.0,61535.0,61568.0,61603.0,61697.0,61731.0,61837.0,61883.0,61921.0,61961.0,61985.0,62040.0,62072.0,62153.0,62170.0,62189.0,62208.0,62302.0,62430.0,62465.0,62554.0,62592.0,62637.0,62709.0,62773.0,62807.0,62833.0,62857.0,62908.0,62965.0,62997.0,63015.0,63102.0,63191.0,63297.0,63387.0,63448.0,63671.0,63873.0,63982.0,64027.0
