tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P
5084303,57600.0,57759.0,57806.0,57840.0,57917.0,57937.0,58144.0,58209.0,58301.0,58350.0,58433.0,58474.0,58518.0,58559.0,58591.0,58635.0,58676.0,58724.0,58837.0,58861.0,58896.0,58919.0
5084307,66600.0,66759.0,66806.0,66840.0,66917.0,66937.0,67144.0,67209.0,67301.0,67350.0,67433.0,67474.0,67518.0,67559.0,67591.0,67635.0,67676.0,67724.0,67837.0,67861.0,67896.0,67919.0
5084309,77400.0,77640.0,77700.0,77718.0,77760.0,77820.0,78060.0,78120.0,78300.0,78327.0,78373.0,78396.0,78420.0,78488.0,78540.0,78660.0,78677.0,78697.0,78745.0,78755.0,78770.0,78780.0
5085127,46800.0,47040.0,47100.0,47118.0,47160.0,47220.0,47460.0,47520.0,47640.0,47667.0,47713.0,47736.0,47760.0,47828.0,47880.0,48000.0,48017.0,48037.0,48085.0,48095.0,48110.0,48120.0
5085133,64800.0,64959.0,65006.0,65040.0,65117.0,65137.0,65344.0,65409.0,65501.0,65550.0,65633.0,65674.0,65718.0,65759.0,65791.0,65835.0,65876.0,65924.0,66037.0,66061.0,66096.0,66119.0
5085137,72000.0,72168.0,72204.0,72240.0,72321.0,72342.0,72543.0,72611.0,72698.0,72746.0,72828.0,72869.0,72913.0,72948.0,72974.0,73034.0,73080.0,73134.0,73261.0,73288.0,73328.0,73354.0
5087593,52200.0,52440.0,52500.0,52518.0,52560.0,52620.0,52860.0,52920.0,53040.0,53067.0,53113.0,53136.0,53160.0,53228.0,53280.0,53400.0,53417.0,53437.0,53485.0,53495.0,53510.0,53520.0
5087597,59400.0,59559.0,59606.0,59640.0,59717.0,59737.0,59944.0,60009.0,60101.0,60150.0,60233.0,60274.0,60318.0,60359.0,60391.0,60435.0,60476.0,60524.0,60637.0,60661.0,60696.0,60719.0
5087599,70200.0,70368.0,70404.0,70440.0,70521.0,70542.0,70743.0,70811.0,70898.0,70946.0,71028.0,71069.0,71113.0,71148.0,71174.0,71234.0,71280.0,71334.0,71461.0,71488.0,71528.0,71554.0
5087601,73800.0,73968.0,74004.0,74040.0,74121.0,74142.0,74343.0,74411.0,74498.0,74546.0,74628.0,74669.0,74713.0,74748.0,74774.0,74834.0,74880.0,74934.0,75061.0,75088.0,75128.0,75154.0
5087856,52200.0,52394.0,52439.0,52473.0,52548.0,52569.0,52792.0,52859.0,52953.0,53009.0,53105.0,53152.0,53204.0,53241.0,53270.0,53329.0,53363.0,53403.0,53498.0,53518.0,53548.0,53568.0
5087858,55800.0,56023.0,56081.0,56120.0,56208.0,56232.0,56468.0,56528.0,56609.0,56665.0,56761.0,56808.0,56860.0,56898.0,56927.0,56979.0,57015.0,57057.0,57157.0,57178.0,57210.0,57232.0
5087860,68400.0,68520.0,68562.0,68593.0,68663.0,68685.0,68875.0,68930.0,69001.0,69049.0,69130.0,69170.0,69214.0,69249.0,69276.0,69329.0,69372.0,69422.0,69540.0,69565.0,69602.0,69626.0
5087862,72000.0,72120.0,72162.0,72193.0,72263.0,72285.0,72475.0,72530.0,72601.0,72649.0,72730.0,72770.0,72814.0,72849.0,72876.0,72929.0,72972.0,73022.0,73140.0,73165.0,73202.0,73226.0
5088452,37800.0,38003.0,38055.0,38081.0,38138.0,38158.0,38346.0,38411.0,38489.0,38538.0,38622.0,38663.0,38708.0,38744.0,38772.0,38828.0,38868.0,38915.0,39026.0,39050.0,39085.0,39109.0
5088455,50400.0,50594.0,50639.0,50673.0,50748.0,50769.0,50992.0,51059.0,51153.0,51209.0,51305.0,51352.0,51404.0,51441.0,51470.0,51529.0,51563.0,51603.0,51698.0,51718.0,51748.0,51768.0
5088456,57600.0,57823.0,57881.0,57920.0,58008.0,58032.0,58268.0,58328.0,58409.0,58465.0,58561.0,58608.0,58660.0,58698.0,58727.0,58779.0,58815.0,58857.0,58957.0,58978.0,59010.0,59032.0
5088458,61200.0,61423.0,61481.0,61520.0,61608.0,61632.0,61868.0,61928.0,62009.0,62065.0,62161.0,62208.0,62260.0,62298.0,62327.0,62379.0,62415.0,62457.0,62557.0,62578.0,62610.0,62632.0
5088460,64800.0,65023.0,65081.0,65120.0,65208.0,65232.0,65468.0,65528.0,65609.0,65665.0,65761.0,65808.0,65860.0,65898.0,65927.0,65979.0,66015.0,66057.0,66157.0,66178.0,66210.0,66232.0
5088461,73800.0,73920.0,73962.0,73993.0,74063.0,74085.0,74275.0,74330.0,74401.0,74449.0,74530.0,74570.0,74614.0,74649.0,74676.0,74729.0,74772.0,74822.0,74940.0,74965.0,75002.0,75026.0
5088463,77400.0,77506.0,77559.0,77587.0,77649.0,77671.0,77870.0,77927.0,77996.0,78047.0,78135.0,78178.0,78225.0,78261.0,78288.0,78343.0,78383.0,78429.0,78538.0,78561.0,78595.0,78618.0
5090628,41400.0,41603.0,41655.0,41681.0,41738.0,41758.0,41946.0,42011.0,42089.0,42138.0,42222.0,42263.0,42308.0,42344.0,42372.0,42428.0,42468.0,42515.0,42626.0,42650.0,42685.0,42709.0
5090633,48600.0,48794.0,48839.0,48873.0,48948.0,48969.0,49192.0,49259.0,49353.0,49409.0,49505.0,49552.0,49604.0,49641.0,49670.0,49729.0,49763.0,49803.0,49898.0,49918.0,49948.0,49968.0
5090634,59400.0,59623.0,59681.0,59720.0,59808.0,59832.0,60068.0,60128.0,60209.0,60265.0,60361.0,60408.0,60460.0,60498.0,60527.0,60579.0,60615.0,60657.0,60757.0,60778.0,60810.0,60832.0
5090636,63000.0,63223.0,63281.0,63320.0,63408.0,63432.0,63668.0,63728.0,63809.0,63865.0,63961.0,64008.0,64060.0,64098.0,64127.0,64179.0,64215.0,64257.0,64357.0,64378.0,64410.0,64432.0
5101312,30600.0,30753.0,30787.0,30819.0,30892.0,30911.0,31120.0,31179.0,31263.0,31307.0,31382.0,31419.0,31458.0,31493.0,31520.0,31558.0,31598.0,31644.0,31754.0,31777.0,31812.0,31835.0
5101327,77400.0,77506.0,77559.0,77587.0,77649.0,77671.0,77870.0,77927.0,77996.0,78047.0,78135.0,78178.0,78225.0,78261.0,78288.0,78343.0,78383.0,78429.0,78538.0,78561.0,78595.0,78618.0
5105816,48600.0,48794.0,48839.0,48873.0,48948.0,48969.0,49192.0,49259.0,49353.0,49409.0,49505.0,49552.0,49604.0,49641.0,49670.0,49729.0,49763.0,49803.0,49898.0,49918.0,49948.0,49968.0
5105819,63000.0,63223.0,63281.0,63320.0,63408.0,63432.0,63668.0,63728.0,63809.0,63865.0,63961.0,64008.0,64060.0,64098.0,64127.0,64179.0,64215.0,64257.0,64357.0,64378.0,64410.0,64432.0
5110943,36000.0,36203.0,36255.0,36281.0,36338.0,36358.0,36546.0,36611.0,36689.0,36738.0,36822.0,36863.0,36908.0,36944.0,36972.0,37028.0,37068.0,37115.0,37226.0,37250.0,37285.0,37309.0
5110948,55800.0,56023.0,56081.0,56120.0,56208.0,56232.0,56468.0,56528.0,56609.0,56665.0,56761.0,56808.0,56860.0,56898.0,56927.0,56979.0,57015.0,57057.0,57157.0,57178.0,57210.0,57232.0
