tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P
5006856,67500.0,67542.0,67570.0,67592.0,67625.0,67683.0,67736.0,67777.0,67826.0,67879.0,67924.0,67947.0,67969.0,67994.0,68028.0,68073.0,68141.0,68187.0,68233.0,68274.0,68331.0,68375.0,68436.0,68531.0,68576.0,68720.0,68843.0,69018.0,69150.0,69335.0,69510.0,69567.0,69607.0,69656.0,69705.0,69748.0,69795.0,69856.0,69897.0,69991.0,70021.0,70051.0,70085.0,70152.0,70219.0,70266.0,70299.0,70338.0,70382.0,70415.0,70458.0,70509.0,70548.0,70600.0,70622.0,70644.0,70707.0,70747.0,70804.0,70853.0,70911.0,70970.0,71018.0,71052.0,71077.0,71100.0,71170.0,71436.0,71445.0
5006858,78000.0,78042.0,78070.0,78092.0,78124.0,78175.0,78221.0,78256.0,78289.0,78324.0,78360.0,78379.0,78397.0,78417.0,78451.0,78496.0,78564.0,78611.0,78658.0,78700.0,78758.0,78796.0,78849.0,78931.0,78969.0,79106.0,79211.0,79388.0,79521.0,79693.0,79840.0,79888.0,79921.0,79962.0,80003.0,80039.0,80078.0,80129.0,80168.0,80259.0,80291.0,80321.0,80355.0,80421.0,80484.0,80528.0,80559.0,80595.0,80637.0,80668.0,80713.0,80767.0,80808.0,80858.0,80879.0,80901.0,80961.0,81000.0,81055.0,81102.0,81157.0,81213.0,81258.0,81290.0,81315.0,81340.0,81417.0,81666.0,81675.0
5007843,77400.0,77443.0,77471.0,77493.0,77526.0,77567.0,77604.0,77632.0,77663.0,77696.0,77737.0,77758.0,77779.0,77801.0,77831.0,77870.0,77930.0,77971.0,78010.0,78045.0,78094.0,78132.0,78184.0,78265.0,78303.0,78480.0,78642.0,78827.0,78966.0,79143.0,79246.0,79279.0,79318.0,79366.0,79414.0,79456.0,79502.0,79564.0,79594.0,79662.0,79692.0,79713.0,79737.0,79784.0,79834.0,79869.0,79894.0,79923.0,79956.0,79980.0,80014.0,80055.0,80087.0,80136.0,80157.0,80178.0,80236.0,80271.0,80319.0,80361.0,80444.0,80528.0,80596.0,80645.0,80668.0,80688.0,80748.0,80991.0,80999.0
5008620,48600.0,48649.0,48681.0,48707.0,48745.0,48805.0,48860.0,48902.0,48959.0,49020.0,49058.0,49078.0,49097.0,49117.0,49153.0,49201.0,49273.0,49323.0,49395.0,49460.0,49550.0,49602.0,49674.0,49786.0,49839.0,50058.0,50204.0,50326.0,50417.0,50611.0,50802.0,50864.0,50901.0,50947.0,50993.0,51033.0,51077.0,51136.0,51170.0,51249.0,51283.0,51316.0,51353.0,51427.0,51492.0,51537.0,51569.0,51606.0,51649.0,51680.0,51715.0,51757.0,51789.0,51842.0,51864.0,51887.0,51950.0,52001.0,52072.0,52134.0,52199.0,52264.0,52317.0,52355.0,52382.0,52408.0,52486.0,52742.0,52751.0
5008622,59400.0,59449.0,59481.0,59507.0,59544.0,59590.0,59631.0,59663.0,59723.0,59789.0,59822.0,59839.0,59856.0,59874.0,59912.0,59963.0,60040.0,60093.0,60139.0,60181.0,60238.0,60270.0,60315.0,60384.0,60416.0,60554.0,60655.0,60808.0,60922.0,61120.0,61232.0,61268.0,61302.0,61343.0,61385.0,61421.0,61461.0,61514.0,61552.0,61639.0,61663.0,61698.0,61737.0,61815.0,61877.0,61920.0,61950.0,61986.0,62027.0,62057.0,62099.0,62150.0,62189.0,62242.0,62264.0,62287.0,62351.0,62388.0,62440.0,62484.0,62535.0,62587.0,62629.0,62659.0,62681.0,62704.0,62773.0,63022.0,63031.0
5009413,48600.0,48649.0,48681.0,48707.0,48744.0,48808.0,48866.0,48911.0,48968.0,49031.0,49081.0,49107.0,49132.0,49159.0,49198.0,49250.0,49329.0,49384.0,49439.0,49489.0,49557.0,49604.0,49669.0,49770.0,49817.0,49999.0,50089.0,50237.0,50348.0,50604.0,50829.0,50903.0,50942.0,50990.0,51039.0,51082.0,51129.0,51191.0,51238.0,51346.0,51376.0,51411.0,51449.0,51525.0,51598.0,51648.0,51684.0,51726.0,51774.0,51810.0,51855.0,51909.0,51951.0,52017.0,52045.0,52074.0,52154.0,52205.0,52276.0,52338.0,52410.0,52483.0,52542.0,52585.0,52610.0,52634.0,52708.0,52993.0,53003.0
5012744,34200.0,34261.0,34301.0,34333.0,34380.0,34449.0,34512.0,34560.0,34620.0,34685.0,34731.0,34755.0,34778.0,34803.0,34850.0,34912.0,35006.0,35072.0,35117.0,35158.0,35215.0,35260.0,35322.0,35418.0,35463.0,35601.0,35669.0,35872.0,36024.0,36285.0,36519.0,36595.0,36634.0,36681.0,36729.0,36771.0,36817.0,36876.0,36921.0,37026.0,37047.0,37079.0,37115.0,37185.0,37246.0,37288.0,37318.0,37353.0,37393.0,37424.0,37470.0,37525.0,37568.0,37627.0,37652.0,37677.0,37748.0,37787.0,37841.0,37887.0,37950.0,38013.0,38064.0,38101.0,38125.0,38149.0,38221.0,38511.0,38521.0
5014579,34800.0,34858.0,34896.0,34926.0,34971.0,35037.0,35097.0,35143.0,35196.0,35253.0,35296.0,35318.0,35339.0,35363.0,35407.0,35465.0,35553.0,35613.0,35674.0,35729.0,35806.0,35847.0,35904.0,35993.0,36035.0,36178.0,36240.0,36340.0,36415.0,36587.0,36757.0,36813.0,36846.0,36887.0,36928.0,36964.0,37003.0,37054.0,37096.0,37193.0,37210.0,37241.0,37276.0,37344.0,37408.0,37452.0,37483.0,37520.0,37562.0,37593.0,37639.0,37693.0,37735.0,37783.0,37803.0,37824.0,37882.0,37919.0,37971.0,38015.0,38079.0,38144.0,38197.0,38234.0,38256.0,38279.0,38351.0,38650.0,38660.0
5014581,45000.0,45049.0,45081.0,45107.0,45145.0,45205.0,45260.0,45302.0,45359.0,45420.0,45458.0,45478.0,45497.0,45517.0,45553.0,45601.0,45673.0,45723.0,45795.0,45860.0,45950.0,46002.0,46074.0,46186.0,46239.0,46458.0,46604.0,46726.0,46817.0,47011.0,47202.0,47264.0,47301.0,47347.0,47393.0,47433.0,47477.0,47536.0,47570.0,47649.0,47683.0,47716.0,47753.0,47827.0,47892.0,47937.0,47969.0,48006.0,48049.0,48080.0,48115.0,48157.0,48189.0,48242.0,48264.0,48287.0,48350.0,48401.0,48472.0,48534.0,48599.0,48664.0,48717.0,48755.0,48782.0,48808.0,48886.0,49142.0,49151.0
5014583,55800.0,55844.0,55873.0,55896.0,55929.0,55984.0,56034.0,56073.0,56125.0,56181.0,56226.0,56249.0,56271.0,56296.0,56333.0,56382.0,56456.0,56508.0,56552.0,56592.0,56647.0,56697.0,56766.0,56873.0,56922.0,57064.0,57188.0,57341.0,57456.0,57691.0,57821.0,57863.0,57890.0,57923.0,57956.0,57985.0,58017.0,58058.0,58105.0,58213.0,58245.0,58272.0,58302.0,58362.0,58426.0,58470.0,58501.0,58538.0,58580.0,58612.0,58651.0,58698.0,58734.0,58786.0,58808.0,58830.0,58893.0,58938.0,59001.0,59056.0,59115.0,59175.0,59223.0,59258.0,59281.0,59300.0,59359.0,59584.0,59592.0
