tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P
0,2825.0,2867.0,1035.0,1314.0,1316.0,1315.0,4332.0,4333.0,4334.0,4712.0,4582.0,4987.0,2979.0,2980.0,2981.0,7447.0,2954.0,7067.0,2956.0,2965.0,2983.0,2984.0,7449.0,2927.0,2929.0,2930.0,7441.0,2933.0
5008682,60000.0,60090.0,60194.0,60229.0,60268.0,60295.0,60364.0,60442.0,60476.0,60494.0,60517.0,60586.0,60652.0,60706.0,60731.0,60764.0,60867.0,60927.0,60952.0,61004.0,61054.0,61111.0,61132.0,61219.0,61275.0,61312.0,61402.0,61465.0
5008710,39600.0,39690.0,39794.0,39829.0,39868.0,39895.0,39964.0,40042.0,40076.0,40094.0,40117.0,40186.0,40252.0,40306.0,40331.0,40364.0,40467.0,40527.0,40552.0,40604.0,40654.0,40711.0,40732.0,40819.0,40875.0,40912.0,41002.0,41065.0
5008711,54000.0,54090.0,54194.0,54229.0,54268.0,54295.0,54364.0,54442.0,54476.0,54494.0,54517.0,54586.0,54652.0,54706.0,54731.0,54764.0,54867.0,54927.0,54952.0,55004.0,55054.0,55111.0,55132.0,55219.0,55275.0,55312.0,55402.0,55465.0
5018783,36000.0,36090.0,36194.0,36229.0,36268.0,36295.0,36364.0,36442.0,36476.0,36494.0,36517.0,36586.0,36652.0,36706.0,36731.0,36764.0,36867.0,36927.0,36952.0,37004.0,37054.0,37111.0,37132.0,37219.0,37275.0,37312.0,37402.0,37465.0
5091182,60000.0,60087.0,60187.0,60221.0,60258.0,60284.0,60350.0,60425.0,60457.0,60474.0,60497.0,60563.0,60626.0,60679.0,60703.0,60735.0,60834.0,60892.0,60916.0,60966.0,61014.0,61069.0,61089.0,61173.0,61227.0,61263.0,61349.0,61410.0
5093947,36000.0,36087.0,36187.0,36221.0,36258.0,36284.0,36350.0,36425.0,36457.0,36474.0,36497.0,36563.0,36626.0,36679.0,36703.0,36735.0,36834.0,36892.0,36916.0,36966.0,37014.0,37069.0,37089.0,37173.0,37227.0,37263.0,37349.0,37410.0
5099864,39600.0,39687.0,39787.0,39821.0,39858.0,39884.0,39950.0,40025.0,40057.0,40074.0,40097.0,40163.0,40226.0,40279.0,40303.0,40335.0,40434.0,40492.0,40516.0,40566.0,40614.0,40669.0,40689.0,40773.0,40827.0,40863.0,40949.0,41010.0
5099865,54000.0,54087.0,54187.0,54221.0,54258.0,54284.0,54350.0,54425.0,54457.0,54474.0,54497.0,54563.0,54626.0,54679.0,54703.0,54735.0,54834.0,54892.0,54916.0,54966.0,55014.0,55069.0,55089.0,55173.0,55227.0,55263.0,55349.0,55410.0
5106928,39600.0,39687.0,39787.0,39821.0,39858.0,39884.0,39950.0,40025.0,40057.0,40074.0,40097.0,40163.0,40226.0,40279.0,40303.0,40335.0,40434.0,40492.0,40516.0,40566.0,40614.0,40669.0,40689.0,40773.0,40827.0,40863.0,40949.0,41010.0
5106929,54000.0,54087.0,54187.0,54221.0,54258.0,54284.0,54350.0,54425.0,54457.0,54474.0,54497.0,54563.0,54626.0,54679.0,54703.0,54735.0,54834.0,54892.0,54916.0,54966.0,55014.0,55069.0,55089.0,55173.0,55227.0,55263.0,55349.0,55410.0
5115980,36000.0,36087.0,36187.0,36221.0,36258.0,36284.0,36350.0,36425.0,36457.0,36474.0,36497.0,36563.0,36626.0,36679.0,36703.0,36735.0,36834.0,36892.0,36916.0,36966.0,37014.0,37069.0,37089.0,37173.0,37227.0,37263.0,37349.0,37410.0
5116329,60000.0,60087.0,60187.0,60221.0,60258.0,60284.0,60350.0,60425.0,60457.0,60474.0,60497.0,60563.0,60626.0,60679.0,60703.0,60735.0,60834.0,60892.0,60916.0,60966.0,61014.0,61069.0,61089.0,61173.0,61227.0,61263.0,61349.0,61410.0
