tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P,081_P,082_P,083_P,084_P,085_P,086_P,087_P,088_P,089_P,090_P
0,2353.0,4643.0,4644.0,4645.0,4440.0,2628.0,2629.0,6095.0,7062.0,6075.0,2631.0,2359.0,2360.0,4348.0,4646.0,4647.0,2346.0,4435.0,2632.0,2633.0,2369.0,2370.0,2371.0,2372.0,2373.0,2377.0,2378.0,2183.0,2184.0,2185.0,7043.0,1424.0,2186.0,2187.0,2188.0,2189.0,1436.0,3952.0,2190.0,4434.0,2379.0,2380.0,2382.0,5099.0,2383.0,2002.0,1358.0,298.0,496.0,7490.0,497.0,515.0,516.0,4384.0,519.0,521.0,522.0,7659.0,523.0,669.0,670.0,671.0,672.0,4382.0,1196.0,1197.0,1198.0,1199.0,1200.0,4385.0,1201.0,4695.0,1243.0,4696.0,4697.0,1250.0,4698.0,4383.0,4699.0,4388.0,5059.0,1266.0,1267.0,1268.0,1269.0,1265.0,6115.0,1205.0,4593.0,4595.0
5003067,57600.0,57653.0,57714.0,57754.0,57796.0,57848.0,57919.0,57953.0,57997.0,58034.0,58061.0,58122.0,58195.0,58279.0,58367.0,58408.0,58478.0,58571.0,58695.0,58819.0,58999.0,59036.0,59078.0,59136.0,59180.0,59299.0,59375.0,59481.0,59524.0,59571.0,59687.0,59716.0,59773.0,59839.0,59901.0,59942.0,59998.0,60033.0,60079.0,60176.0,60253.0,60303.0,60346.0,60406.0,60498.0,60668.0,60914.0,61342.0,61487.0,61511.0,61548.0,61671.0,61766.0,61824.0,61894.0,61933.0,61989.0,62023.0,62057.0,62159.0,62258.0,62294.0,62351.0,62379.0,62479.0,62527.0,62614.0,62691.0,62737.0,62780.0,62842.0,62904.0,62959.0,63008.0,63041.0,63102.0,63156.0,63195.0,63239.0,63297.0,63329.0,63385.0,63440.0,63473.0,63529.0,63564.0,63667.0,63704.0,63798.0,63953.0
5003069,72600.0,72643.0,72693.0,72725.0,72759.0,72801.0,72859.0,72887.0,72923.0,72953.0,72975.0,73025.0,73089.0,73162.0,73225.0,73255.0,73305.0,73371.0,73459.0,73548.0,73610.0,73642.0,73678.0,73716.0,73754.0,73833.0,73880.0,73954.0,73984.0,74016.0,74101.0,74122.0,74162.0,74208.0,74254.0,74285.0,74326.0,74352.0,74386.0,74454.0,74519.0,74555.0,74579.0,74612.0,74664.0,74785.0,75024.0,75440.0,75527.0,75541.0,75568.0,75657.0,75725.0,75769.0,75822.0,75851.0,75892.0,75916.0,75932.0,75980.0,76027.0,76054.0,76097.0,76119.0,76189.0,76223.0,76284.0,76334.0,76364.0,76402.0,76457.0,76511.0,76553.0,76591.0,76617.0,76664.0,76706.0,76737.0,76771.0,76816.0,76847.0,76899.0,76940.0,76964.0,77005.0,77031.0,77106.0,77133.0,77182.0,77263.0
5003201,27600.0,27655.0,27719.0,27760.0,27803.0,27857.0,27931.0,27966.0,28012.0,28051.0,28079.0,28146.0,28219.0,28303.0,28375.0,28409.0,28466.0,28541.0,28642.0,28743.0,28843.0,28886.0,28936.0,28993.0,29049.0,29170.0,29273.0,29367.0,29405.0,29446.0,29564.0,29594.0,29651.0,29718.0,29787.0,29833.0,29894.0,29945.0,30012.0,30103.0,30191.0,30251.0,30342.0,30468.0,30663.0,30852.0,31043.0,31374.0,31585.0,31620.0,31651.0,31754.0,31834.0,31887.0,31951.0,31986.0,32035.0,32065.0,32084.0,32141.0,32197.0,32230.0,32283.0,32309.0,32392.0,32432.0,32508.0,32569.0,32605.0,32648.0,32711.0,32773.0,32820.0,32862.0,32891.0,32943.0,32989.0,33023.0,33061.0,33113.0,33141.0,33190.0,33235.0,33262.0,33307.0,33335.0,33418.0,33448.0,33542.0,33696.0
5003203,42600.0,42652.0,42712.0,42751.0,42792.0,42842.0,42912.0,42945.0,42988.0,43024.0,43050.0,43111.0,43188.0,43276.0,43364.0,43405.0,43474.0,43566.0,43689.0,43813.0,43913.0,43947.0,43987.0,44034.0,44079.0,44174.0,44249.0,44345.0,44384.0,44425.0,44534.0,44561.0,44614.0,44676.0,44737.0,44778.0,44832.0,44865.0,44909.0,45010.0,45100.0,45150.0,45186.0,45236.0,45314.0,45460.0,45662.0,46012.0,46118.0,46135.0,46165.0,46264.0,46340.0,46390.0,46452.0,46487.0,46536.0,46565.0,46586.0,46650.0,46712.0,46747.0,46803.0,46831.0,46916.0,46957.0,47051.0,47117.0,47157.0,47202.0,47268.0,47334.0,47386.0,47432.0,47464.0,47522.0,47573.0,47611.0,47653.0,47709.0,47740.0,47793.0,47846.0,47878.0,47931.0,47964.0,48062.0,48097.0,48190.0,48342.0
5003205,57000.0,57053.0,57114.0,57154.0,57196.0,57248.0,57319.0,57353.0,57397.0,57434.0,57461.0,57522.0,57595.0,57679.0,57767.0,57808.0,57878.0,57971.0,58095.0,58219.0,58399.0,58436.0,58478.0,58536.0,58580.0,58699.0,58775.0,58881.0,58924.0,58971.0,59087.0,59116.0,59173.0,59239.0,59301.0,59342.0,59398.0,59433.0,59479.0,59576.0,59653.0,59703.0,59746.0,59806.0,59898.0,60068.0,60314.0,60742.0,60887.0,60911.0,60948.0,61071.0,61166.0,61224.0,61294.0,61333.0,61389.0,61423.0,61457.0,61559.0,61658.0,61694.0,61751.0,61779.0,61879.0,61927.0,62014.0,62091.0,62137.0,62180.0,62242.0,62304.0,62359.0,62408.0,62441.0,62502.0,62556.0,62595.0,62639.0,62697.0,62729.0,62785.0,62840.0,62873.0,62929.0,62964.0,63067.0,63104.0,63198.0,63353.0
5003207,71400.0,71447.0,71501.0,71536.0,71573.0,71618.0,71681.0,71711.0,71750.0,71783.0,71807.0,71860.0,71926.0,72001.0,72069.0,72101.0,72155.0,72227.0,72322.0,72418.0,72489.0,72517.0,72550.0,72591.0,72631.0,72706.0,72767.0,72848.0,72881.0,72917.0,73011.0,73035.0,73075.0,73121.0,73167.0,73198.0,73239.0,73268.0,73305.0,73378.0,73447.0,73482.0,73514.0,73558.0,73625.0,73754.0,73963.0,74327.0,74420.0,74435.0,74464.0,74558.0,74630.0,74681.0,74743.0,74775.0,74821.0,74848.0,74866.0,74920.0,74973.0,75002.0,75048.0,75071.0,75149.0,75186.0,75254.0,75307.0,75339.0,75386.0,75454.0,75521.0,75564.0,75602.0,75628.0,75675.0,75717.0,75748.0,75782.0,75829.0,75856.0,75903.0,75943.0,75967.0,76007.0,76032.0,76107.0,76135.0,76211.0,76336.0
5003734,23400.0,23447.0,23501.0,23536.0,23573.0,23619.0,23682.0,23712.0,23751.0,23784.0,23808.0,23862.0,23925.0,23997.0,24057.0,24085.0,24132.0,24195.0,24279.0,24362.0,24424.0,24457.0,24495.0,24540.0,24581.0,24660.0,24713.0,24790.0,24821.0,24855.0,24952.0,24977.0,25029.0,25089.0,25138.0,25171.0,25215.0,25251.0,25299.0,25380.0,25458.0,25503.0,25547.0,25608.0,25704.0,25846.0,25983.0,26222.0,26423.0,26456.0,26484.0,26575.0,26645.0,26696.0,26759.0,26790.0,26834.0,26860.0,26876.0,26924.0,26970.0,26997.0,27039.0,27060.0,27116.0,27143.0,27203.0,27258.0,27291.0,27330.0,27387.0,27443.0,27481.0,27515.0,27538.0,27580.0,27618.0,27646.0,27677.0,27718.0,27745.0,27791.0,27831.0,27855.0,27896.0,27921.0,27996.0,28024.0,28124.0,28288.0
5003946,55800.0,55852.0,55912.0,55951.0,55992.0,56042.0,56112.0,56145.0,56188.0,56224.0,56250.0,56311.0,56388.0,56476.0,56564.0,56605.0,56674.0,56766.0,56889.0,57013.0,57113.0,57147.0,57187.0,57234.0,57279.0,57374.0,57449.0,57545.0,57584.0,57625.0,57734.0,57761.0,57814.0,57876.0,57937.0,57978.0,58032.0,58065.0,58109.0,58210.0,58300.0,58350.0,58386.0,58436.0,58514.0,58660.0,58862.0,59212.0,59318.0,59335.0,59365.0,59464.0,59540.0,59590.0,59652.0,59687.0,59736.0,59765.0,59786.0,59850.0,59912.0,59947.0,60003.0,60031.0,60116.0,60157.0,60251.0,60317.0,60357.0,60402.0,60468.0,60534.0,60586.0,60632.0,60664.0,60722.0,60773.0,60811.0,60853.0,60909.0,60940.0,60993.0,61046.0,61078.0,61131.0,61164.0,61262.0,61297.0,61390.0,61542.0
5004909,30000.0,30070.0,30151.0,30204.0,30259.0,30328.0,30423.0,30468.0,30527.0,30576.0,30612.0,30695.0,30783.0,30884.0,30971.0,31012.0,31080.0,31171.0,31293.0,31415.0,31535.0,31581.0,31635.0,31705.0,31761.0,31899.0,32014.0,32117.0,32159.0,32203.0,32323.0,32353.0,32411.0,32478.0,32545.0,32590.0,32649.0,32694.0,32753.0,32867.0,32948.0,33004.0,33093.0,33216.0,33406.0,33598.0,33898.0,34419.0,34532.0,34551.0,34579.0,34670.0,34739.0,34783.0,34836.0,34865.0,34907.0,34932.0,34948.0,34997.0,35046.0,35069.0,35105.0,35123.0,35184.0,35214.0,35284.0,35333.0,35363.0,35405.0,35465.0,35525.0,35566.0,35603.0,35628.0,35674.0,35714.0,35744.0,35777.0,35821.0,35846.0,35889.0,35928.0,35951.0,35990.0,36015.0,36087.0,36114.0,36192.0,36320.0
5004910,52200.0,52253.0,52314.0,52354.0,52396.0,52448.0,52519.0,52553.0,52597.0,52634.0,52661.0,52722.0,52795.0,52879.0,52967.0,53008.0,53078.0,53171.0,53295.0,53419.0,53599.0,53636.0,53678.0,53736.0,53780.0,53899.0,53975.0,54081.0,54124.0,54171.0,54287.0,54316.0,54373.0,54439.0,54501.0,54542.0,54598.0,54633.0,54679.0,54776.0,54853.0,54903.0,54946.0,55006.0,55098.0,55268.0,55514.0,55942.0,56087.0,56111.0,56148.0,56271.0,56366.0,56424.0,56494.0,56533.0,56589.0,56623.0,56657.0,56759.0,56858.0,56894.0,56951.0,56979.0,57079.0,57127.0,57214.0,57291.0,57337.0,57380.0,57442.0,57504.0,57559.0,57608.0,57641.0,57702.0,57756.0,57795.0,57839.0,57897.0,57929.0,57985.0,58040.0,58073.0,58129.0,58164.0,58267.0,58304.0,58398.0,58553.0
