tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P
0,4533.0,4844.0,4177.0,4178.0,4142.0,4143.0,4144.0,5088.0,5089.0,4176.0,4149.0,3045.0,4150.0,4151.0,2997.0,4156.0,4169.0,4170.0,4153.0,4154.0,4416.0,4201.0,4202.0,4203.0,5090.0,4204.0,4205.0,4206.0,3140.0,3545.0,3546.0,3551.0,3547.0,3548.0,3552.0,3553.0,3554.0,3555.0,3556.0,3557.0,3560.0,7323.0,3561.0,3225.0,3226.0,3227.0,3228.0,3229.0,7472.0,3230.0,3231.0,3246.0,3247.0,7056.0,3248.0,3343.0,3236.0,3237.0,3238.0,3239.0,3240.0,3068.0,3069.0,3070.0,4983.0
5011875,33900.0,33970.0,34227.0,34278.0,34382.0,34459.0,34523.0,34562.0,34595.0,34646.0,34706.0,34826.0,34909.0,34963.0,35001.0,35139.0,35201.0,35308.0,35386.0,35458.0,35517.0,35580.0,35632.0,35657.0,35680.0,35703.0,35719.0,35764.0,35798.0,35866.0,35978.0,36020.0,36104.0,36149.0,36346.0,36375.0,36441.0,36482.0,36513.0,36525.0,36603.0,36683.0,36720.0,36826.0,36868.0,36924.0,36991.0,37016.0,37060.0,37098.0,37144.0,37169.0,37212.0,37235.0,37266.0,37323.0,37375.0,37408.0,37481.0,37497.0,37541.0,37634.0,37681.0,37749.0,37815.0
5091831,33900.0,33967.0,34214.0,34263.0,34363.0,34437.0,34499.0,34536.0,34568.0,34617.0,34674.0,34790.0,34870.0,34922.0,34959.0,35092.0,35150.0,35253.0,35328.0,35397.0,35454.0,35515.0,35565.0,35589.0,35612.0,35635.0,35649.0,35692.0,35725.0,35791.0,35898.0,35939.0,36020.0,36063.0,36252.0,36280.0,36343.0,36382.0,36412.0,36423.0,36498.0,36575.0,36610.0,36712.0,36752.0,36806.0,36870.0,36894.0,36936.0,36973.0,37017.0,37041.0,37082.0,37104.0,37134.0,37189.0,37239.0,37271.0,37341.0,37357.0,37399.0,37489.0,37534.0,37599.0,37662.0
5111886,33900.0,33967.0,34214.0,34263.0,34363.0,34437.0,34499.0,34536.0,34568.0,34617.0,34674.0,34790.0,34870.0,34922.0,34959.0,35092.0,35150.0,35253.0,35328.0,35397.0,35454.0,35515.0,35565.0,35589.0,35612.0,35635.0,35649.0,35692.0,35725.0,35791.0,35898.0,35939.0,36020.0,36063.0,36252.0,36280.0,36343.0,36382.0,36412.0,36423.0,36498.0,36575.0,36610.0,36712.0,36752.0,36806.0,36870.0,36894.0,36936.0,36973.0,37017.0,37041.0,37082.0,37104.0,37134.0,37189.0,37239.0,37271.0,37341.0,37357.0,37399.0,37489.0,37534.0,37599.0,37662.0
