tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P,075_P,076_P,077_P,078_P,079_P,080_P,081_P,082_P,083_P
5002980,66900.0,67044.0,67080.0,67111.0,67134.0,67159.0,67193.0,67234.0,67280.0,67301.0,67363.0,67403.0,67451.0,67484.0,67545.0,67581.0,67638.0,67657.0,67700.0,67737.0,67777.0,67843.0,67936.0,67999.0,68051.0,68085.0,68133.0,68167.0,68230.0,68319.0,68376.0,68446.0,68510.0,68555.0,68608.0,68669.0,68706.0,68789.0,68859.0,68910.0,69003.0,69191.0,69355.0,69554.0,69731.0,69846.0,69904.0,69971.0,70016.0,70051.0,70091.0,70119.0,70219.0,70245.0,70279.0,70334.0,70391.0,70416.0,70455.0,70515.0,70551.0,70572.0,70626.0,70665.0,70698.0,70733.0,70755.0,70813.0,70840.0,70865.0,70890.0,70930.0,70962.0,70989.0,71055.0,71096.0,71123.0,71263.0,71309.0,71342.0,71356.0,71411.0,71468.0
5003002,43200.0,43363.0,43404.0,43439.0,43465.0,43494.0,43533.0,43581.0,43635.0,43659.0,43730.0,43776.0,43831.0,43868.0,43938.0,43979.0,44044.0,44067.0,44122.0,44168.0,44218.0,44289.0,44417.0,44490.0,44550.0,44589.0,44645.0,44685.0,44751.0,44864.0,44936.0,45026.0,45104.0,45151.0,45206.0,45266.0,45303.0,45397.0,45476.0,45533.0,45663.0,45847.0,46007.0,46202.0,46389.0,46530.0,46586.0,46651.0,46694.0,46727.0,46764.0,46792.0,46895.0,46928.0,46970.0,47039.0,47104.0,47126.0,47161.0,47214.0,47251.0,47273.0,47328.0,47368.0,47402.0,47437.0,47459.0,47519.0,47547.0,47573.0,47599.0,47641.0,47674.0,47703.0,47773.0,47816.0,47844.0,48033.0,48092.0,48134.0,48151.0,48222.0,48314.0
5003594,28200.0,28353.0,28396.0,28433.0,28460.0,28490.0,28531.0,28581.0,28636.0,28665.0,28751.0,28807.0,28874.0,28919.0,29004.0,29054.0,29133.0,29161.0,29216.0,29262.0,29312.0,29397.0,29517.0,29623.0,29709.0,29766.0,29834.0,29881.0,29969.0,30095.0,30176.0,30276.0,30352.0,30434.0,30532.0,30610.0,30658.0,30767.0,30859.0,30926.0,31057.0,31249.0,31417.0,31621.0,31791.0,31919.0,31986.0,32063.0,32108.0,32143.0,32182.0,32217.0,32342.0,32372.0,32411.0,32470.0,32527.0,32551.0,32588.0,32646.0,32682.0,32703.0,32758.0,32797.0,32831.0,32866.0,32887.0,32948.0,32976.0,33002.0,33029.0,33072.0,33106.0,33135.0,33205.0,33248.0,33276.0,33460.0,33520.0,33563.0,33581.0,33651.0,33714.0
5003596,42120.0,42286.0,42325.0,42359.0,42384.0,42412.0,42449.0,42494.0,42545.0,42569.0,42639.0,42685.0,42740.0,42777.0,42847.0,42888.0,42953.0,42976.0,43029.0,43074.0,43123.0,43203.0,43346.0,43423.0,43486.0,43528.0,43582.0,43620.0,43694.0,43811.0,43886.0,43978.0,44052.0,44110.0,44178.0,44254.0,44300.0,44398.0,44480.0,44539.0,44661.0,44879.0,45069.0,45300.0,45504.0,45645.0,45709.0,45782.0,45828.0,45863.0,45903.0,45934.0,46046.0,46084.0,46133.0,46195.0,46263.0,46288.0,46327.0,46386.0,46426.0,46450.0,46511.0,46555.0,46593.0,46632.0,46656.0,46724.0,46756.0,46786.0,46816.0,46864.0,46902.0,46934.0,47013.0,47061.0,47091.0,47340.0,47398.0,47440.0,47457.0,47527.0,47599.0
5003598,56520.0,56690.0,56728.0,56760.0,56784.0,56810.0,56845.0,56888.0,56937.0,56962.0,57036.0,57084.0,57142.0,57181.0,57254.0,57297.0,57365.0,57388.0,57442.0,57488.0,57537.0,57616.0,57741.0,57812.0,57870.0,57909.0,57966.0,58006.0,58075.0,58198.0,58277.0,58374.0,58462.0,58519.0,58587.0,58670.0,58720.0,58825.0,58913.0,58977.0,59110.0,59337.0,59535.0,59776.0,59992.0,60147.0,60226.0,60316.0,60379.0,60428.0,60483.0,60536.0,60727.0,60766.0,60816.0,60879.0,60946.0,60972.0,61013.0,61075.0,61117.0,61142.0,61205.0,61251.0,61290.0,61330.0,61354.0,61424.0,61456.0,61486.0,61516.0,61565.0,61603.0,61636.0,61716.0,61765.0,61798.0,62047.0,62108.0,62151.0,62169.0,62241.0,62317.0
5003600,70200.0,70344.0,70380.0,70411.0,70434.0,70459.0,70493.0,70534.0,70580.0,70601.0,70663.0,70703.0,70751.0,70784.0,70845.0,70881.0,70938.0,70957.0,71000.0,71037.0,71077.0,71143.0,71236.0,71299.0,71351.0,71385.0,71433.0,71467.0,71530.0,71619.0,71676.0,71746.0,71810.0,71855.0,71908.0,71969.0,72006.0,72089.0,72159.0,72210.0,72303.0,72491.0,72655.0,72854.0,73031.0,73146.0,73204.0,73271.0,73316.0,73351.0,73391.0,73419.0,73519.0,73545.0,73579.0,73634.0,73691.0,73716.0,73755.0,73815.0,73851.0,73872.0,73926.0,73965.0,73998.0,74033.0,74055.0,74113.0,74140.0,74165.0,74190.0,74230.0,74262.0,74289.0,74355.0,74396.0,74423.0,74563.0,74609.0,74642.0,74656.0,74711.0,74768.0
5003602,81600.0,81744.0,81779.0,81809.0,81831.0,81855.0,81888.0,81928.0,81971.0,81990.0,82045.0,82081.0,82124.0,82153.0,82207.0,82239.0,82290.0,82307.0,82348.0,82383.0,82420.0,82483.0,82558.0,82611.0,82655.0,82684.0,82729.0,82760.0,82822.0,82897.0,82945.0,83005.0,83057.0,83101.0,83153.0,83202.0,83232.0,83301.0,83359.0,83401.0,83502.0,83703.0,83879.0,84093.0,84254.0,84349.0,84404.0,84467.0,84509.0,84541.0,84578.0,84604.0,84696.0,84725.0,84761.0,84810.0,84862.0,84885.0,84921.0,84978.0,85014.0,85035.0,85089.0,85128.0,85161.0,85196.0,85217.0,85274.0,85300.0,85325.0,85350.0,85390.0,85421.0,85448.0,85513.0,85553.0,85578.0,85719.0,85769.0,85805.0,85820.0,85879.0,85930.0
5003637,51600.0,51773.0,51811.0,51844.0,51868.0,51895.0,51931.0,51975.0,52023.0,52047.0,52118.0,52165.0,52221.0,52259.0,52330.0,52371.0,52437.0,52460.0,52508.0,52549.0,52594.0,52668.0,52800.0,52856.0,52902.0,52933.0,52981.0,53015.0,53085.0,53186.0,53250.0,53330.0,53416.0,53464.0,53520.0,53597.0,53644.0,53746.0,53832.0,53894.0,54026.0,54251.0,54448.0,54688.0,55056.0,55208.0,55275.0,55351.0,55397.0,55432.0,55472.0,55500.0,55602.0,55635.0,55677.0,55736.0,55789.0,55813.0,55851.0,55910.0,55949.0,55972.0,56032.0,56075.0,56112.0,56150.0,56173.0,56239.0,56270.0,56299.0,56328.0,56374.0,56411.0,56442.0,56518.0,56565.0,56595.0,56767.0,56826.0,56868.0,56885.0,56957.0,57024.0
5003639,64800.0,64965.0,65002.0,65034.0,65057.0,65083.0,65118.0,65161.0,65209.0,65231.0,65295.0,65337.0,65388.0,65422.0,65486.0,65523.0,65583.0,65603.0,65651.0,65692.0,65735.0,65805.0,65907.0,65961.0,66005.0,66035.0,66083.0,66117.0,66177.0,66274.0,66336.0,66412.0,66477.0,66526.0,66585.0,66672.0,66725.0,66816.0,66892.0,66947.0,67086.0,67328.0,67539.0,67796.0,68099.0,68213.0,68268.0,68331.0,68378.0,68414.0,68455.0,68482.0,68578.0,68604.0,68637.0,68683.0,68736.0,68764.0,68807.0,68873.0,68908.0,68929.0,68983.0,69022.0,69055.0,69089.0,69110.0,69172.0,69201.0,69228.0,69255.0,69299.0,69333.0,69363.0,69435.0,69479.0,69507.0,69636.0,69691.0,69730.0,69746.0,69811.0,69864.0
5003831,52200.0,52373.0,52411.0,52444.0,52468.0,52495.0,52531.0,52575.0,52623.0,52647.0,52718.0,52765.0,52821.0,52859.0,52930.0,52971.0,53037.0,53060.0,53108.0,53149.0,53194.0,53268.0,53400.0,53456.0,53502.0,53533.0,53581.0,53615.0,53685.0,53786.0,53850.0,53930.0,54016.0,54064.0,54120.0,54197.0,54244.0,54346.0,54432.0,54494.0,54626.0,54851.0,55048.0,55288.0,55656.0,55808.0,55875.0,55951.0,55997.0,56032.0,56072.0,56100.0,56202.0,56235.0,56277.0,56336.0,56389.0,56413.0,56451.0,56510.0,56549.0,56572.0,56632.0,56675.0,56712.0,56750.0,56773.0,56839.0,56870.0,56899.0,56928.0,56974.0,57011.0,57042.0,57118.0,57165.0,57195.0,57367.0,57426.0,57468.0,57485.0,57557.0,57624.0
