tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P,070_P,071_P,072_P,073_P,074_P
5015050,46800.0,46855.0,46885.0,46914.0,46943.0,46967.0,46995.0,47017.0,47055.0,47090.0,47120.0,47148.0,47180.0,47214.0,47225.0,47244.0,47286.0,47314.0,47346.0,47430.0,47456.0,47477.0,47497.0,47511.0,47531.0,47554.0,47596.0,47622.0,47686.0,47726.0,47771.0,47799.0,47825.0,47862.0,47918.0,47954.0,48078.0,48121.0,48176.0,48193.0,48230.0,48255.0,48316.0,48362.0,48392.0,48422.0,48447.0,48464.0,48501.0,48558.0,48607.0,48647.0,48675.0,48703.0,48735.0,48766.0,48790.0,48852.0,48910.0,48945.0,48999.0,49038.0,49100.0,49142.0,49186.0,49278.0,49329.0,49372.0,49418.0,49464.0,49512.0,49538.0,49671.0,49750.0
5015052,57600.0,57654.0,57677.0,57700.0,57731.0,57757.0,57787.0,57810.0,57850.0,57887.0,57919.0,57953.0,57992.0,58033.0,58047.0,58070.0,58119.0,58154.0,58194.0,58297.0,58327.0,58351.0,58374.0,58390.0,58413.0,58439.0,58486.0,58524.0,58616.0,58673.0,58738.0,58769.0,58797.0,58842.0,58893.0,58926.0,59010.0,59051.0,59104.0,59121.0,59158.0,59180.0,59235.0,59293.0,59331.0,59366.0,59395.0,59413.0,59447.0,59500.0,59546.0,59584.0,59613.0,59642.0,59677.0,59701.0,59720.0,59781.0,59841.0,59876.0,59921.0,59954.0,60007.0,60042.0,60094.0,60203.0,60247.0,60284.0,60321.0,60358.0,60410.0,60437.0,60593.0,60686.0
5015056,73500.0,73536.0,73568.0,73600.0,73627.0,73649.0,73675.0,73695.0,73730.0,73762.0,73790.0,73815.0,73843.0,73872.0,73882.0,73899.0,73935.0,73958.0,73984.0,74050.0,74074.0,74093.0,74112.0,74125.0,74144.0,74165.0,74202.0,74226.0,74285.0,74322.0,74364.0,74388.0,74411.0,74447.0,74488.0,74515.0,74575.0,74615.0,74667.0,74687.0,74730.0,74746.0,74786.0,74820.0,74841.0,74865.0,74885.0,74898.0,74921.0,74957.0,74988.0,75015.0,75036.0,75057.0,75081.0,75105.0,75123.0,75174.0,75222.0,75250.0,75289.0,75317.0,75367.0,75401.0,75438.0,75515.0,75555.0,75589.0,75625.0,75660.0,75695.0,75713.0,75810.0,75868.0
5016230,78600.0,78639.0,78659.0,78678.0,78701.0,78720.0,78742.0,78759.0,78788.0,78815.0,78837.0,78862.0,78890.0,78919.0,78929.0,78946.0,78982.0,79006.0,79033.0,79105.0,79127.0,79145.0,79162.0,79174.0,79191.0,79211.0,79246.0,79319.0,79496.0,79605.0,79728.0,79755.0,79780.0,79817.0,79869.0,79903.0,79945.0,79994.0,80058.0,80081.0,80130.0,80155.0,80217.0,80269.0,80303.0,80325.0,80343.0,80354.0,80391.0,80449.0,80499.0,80541.0,80570.0,80599.0,80634.0,80668.0,80694.0,80732.0,80785.0,80817.0,80866.0,80901.0,80963.0,81005.0,81037.0,81104.0,81145.0,81179.0,81224.0,81269.0,81315.0,81339.0,81457.0,81528.0
5018435,37800.0,37839.0,37876.0,37913.0,37943.0,37968.0,37997.0,38019.0,38058.0,38094.0,38125.0,38151.0,38181.0,38212.0,38223.0,38241.0,38279.0,38305.0,38334.0,38411.0,38435.0,38455.0,38474.0,38487.0,38506.0,38527.0,38565.0,38589.0,38648.0,38685.0,38726.0,38754.0,38779.0,38818.0,38864.0,38893.0,38971.0,39007.0,39053.0,39072.0,39113.0,39142.0,39214.0,39258.0,39287.0,39320.0,39348.0,39366.0,39401.0,39455.0,39502.0,39541.0,39570.0,39599.0,39633.0,39666.0,39691.0,39758.0,39811.0,39843.0,39885.0,39915.0,39965.0,39999.0,40047.0,40147.0,40197.0,40238.0,40277.0,40316.0,40363.0,40388.0,40515.0,40590.0
5018437,50400.0,50455.0,50485.0,50514.0,50543.0,50567.0,50595.0,50617.0,50655.0,50690.0,50720.0,50748.0,50780.0,50814.0,50825.0,50844.0,50886.0,50914.0,50946.0,51030.0,51056.0,51077.0,51097.0,51111.0,51131.0,51154.0,51196.0,51222.0,51286.0,51326.0,51371.0,51399.0,51425.0,51462.0,51518.0,51554.0,51678.0,51721.0,51776.0,51793.0,51830.0,51855.0,51916.0,51962.0,51992.0,52022.0,52047.0,52064.0,52101.0,52158.0,52207.0,52247.0,52275.0,52303.0,52335.0,52366.0,52390.0,52452.0,52510.0,52545.0,52599.0,52638.0,52700.0,52742.0,52786.0,52878.0,52929.0,52972.0,53018.0,53064.0,53112.0,53138.0,53271.0,53350.0
5018439,61200.0,61239.0,61262.0,61285.0,61314.0,61338.0,61366.0,61388.0,61426.0,61461.0,61491.0,61524.0,61562.0,61601.0,61614.0,61636.0,61685.0,61720.0,61759.0,61860.0,61890.0,61914.0,61937.0,61953.0,61976.0,62002.0,62050.0,62077.0,62142.0,62182.0,62226.0,62255.0,62282.0,62321.0,62366.0,62395.0,62482.0,62520.0,62569.0,62584.0,62618.0,62640.0,62694.0,62740.0,62769.0,62799.0,62824.0,62841.0,62869.0,62912.0,62950.0,62981.0,63009.0,63037.0,63070.0,63096.0,63115.0,63155.0,63207.0,63238.0,63281.0,63312.0,63375.0,63417.0,63472.0,63586.0,63626.0,63660.0,63698.0,63735.0,63786.0,63813.0,64002.0,64114.0
5084531,65100.0,65138.0,65178.0,65218.0,65241.0,65260.0,65282.0,65299.0,65329.0,65357.0,65381.0,65407.0,65437.0,65468.0,65478.0,65495.0,65533.0,65558.0,65586.0,65657.0,65676.0,65691.0,65706.0,65716.0,65731.0,65748.0,65777.0,65835.0,65976.0,66063.0,66161.0,66192.0,66220.0,66258.0,66321.0,66361.0,66437.0,66473.0,66520.0,66537.0,66575.0,66592.0,66634.0,66678.0,66706.0,66732.0,66754.0,66768.0,66797.0,66841.0,66879.0,66911.0,66936.0,66961.0,66991.0,67019.0,67040.0,67076.0,67124.0,67153.0,67187.0,67212.0,67266.0,67303.0,67351.0,67452.0,67487.0,67516.0,67558.0,67599.0,67641.0,67664.0,67795.0,67873.0
5084533,72300.0,72348.0,72367.0,72386.0,72412.0,72433.0,72458.0,72477.0,72510.0,72541.0,72568.0,72592.0,72619.0,72647.0,72656.0,72672.0,72706.0,72725.0,72746.0,72802.0,72823.0,72840.0,72856.0,72867.0,72883.0,72901.0,72932.0,72993.0,73142.0,73234.0,73337.0,73364.0,73388.0,73428.0,73476.0,73506.0,73555.0,73598.0,73655.0,73679.0,73730.0,73760.0,73832.0,73883.0,73915.0,73944.0,73968.0,73983.0,74008.0,74047.0,74081.0,74110.0,74138.0,74166.0,74200.0,74243.0,74276.0,74318.0,74366.0,74395.0,74434.0,74462.0,74501.0,74527.0,74570.0,74659.0,74695.0,74725.0,74747.0,74768.0,74827.0,74859.0,74982.0,75056.0
5085263,46800.0,46853.0,46882.0,46910.0,46938.0,46961.0,46988.0,47009.0,47045.0,47079.0,47108.0,47135.0,47166.0,47198.0,47209.0,47227.0,47268.0,47295.0,47326.0,47406.0,47431.0,47451.0,47471.0,47485.0,47505.0,47527.0,47566.0,47591.0,47653.0,47691.0,47734.0,47761.0,47786.0,47822.0,47876.0,47910.0,48029.0,48070.0,48123.0,48139.0,48175.0,48199.0,48258.0,48302.0,48331.0,48360.0,48384.0,48400.0,48435.0,48490.0,48537.0,48576.0,48603.0,48630.0,48661.0,48691.0,48714.0,48774.0,48830.0,48863.0,48915.0,48952.0,49012.0,49052.0,49095.0,49183.0,49232.0,49273.0,49317.0,49361.0,49407.0,49432.0,49560.0,49636.0
