tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P
5008073,61200.0,61257.0,61303.0,61335.0,61391.0,61417.0,61535.0,61554.0,61610.0,61821.0,61994.0,62012.0,62082.0,62117.0,62182.0,62233.0,62259.0,62303.0,62323.0,62441.0,62475.0,62594.0,62615.0,62679.0,62744.0,62798.0,62836.0,62923.0,62993.0,63051.0,63095.0,63152.0,63180.0,63230.0,63248.0,63265.0,63349.0,63400.0,63450.0,63487.0,63575.0,63635.0,63675.0,63804.0,63846.0
5008075,70200.0,70253.0,70295.0,70325.0,70376.0,70400.0,70508.0,70527.0,70581.0,70784.0,70948.0,70964.0,71031.0,71065.0,71129.0,71180.0,71205.0,71247.0,71266.0,71378.0,71410.0,71524.0,71544.0,71604.0,71658.0,71710.0,71744.0,71827.0,71888.0,71938.0,71983.0,72039.0,72064.0,72108.0,72126.0,72143.0,72230.0,72276.0,72321.0,72355.0,72431.0,72483.0,72517.0,72628.0,72666.0
5008077,77400.0,77450.0,77490.0,77518.0,77567.0,77590.0,77694.0,77713.0,77769.0,77981.0,78150.0,78168.0,78223.0,78251.0,78312.0,78361.0,78384.0,78422.0,78439.0,78541.0,78570.0,78673.0,78691.0,78746.0,78778.0,78823.0,78859.0,78935.0,78983.0,79023.0,79055.0,79109.0,79134.0,79182.0,79200.0,79217.0,79300.0,79338.0,79375.0,79403.0,79478.0,79530.0,79564.0,79675.0,79712.0
5008079,84600.0,84650.0,84690.0,84718.0,84767.0,84790.0,84894.0,84913.0,84969.0,85181.0,85350.0,85368.0,85423.0,85451.0,85512.0,85561.0,85584.0,85622.0,85639.0,85741.0,85770.0,85873.0,85891.0,85946.0,85978.0,86023.0,86059.0,86135.0,86183.0,86223.0,86255.0,86309.0,86334.0,86382.0,86400.0,86417.0,86500.0,86538.0,86575.0,86603.0,86678.0,86730.0,86764.0,86875.0,86912.0
5012296,27000.0,27071.0,27129.0,27169.0,27238.0,27270.0,27418.0,27448.0,27537.0,27869.0,28041.0,28066.0,28138.0,28174.0,28246.0,28303.0,28332.0,28380.0,28402.0,28531.0,28568.0,28699.0,28721.0,28791.0,28864.0,28925.0,28970.0,29096.0,29188.0,29265.0,29330.0,29395.0,29427.0,29523.0,29573.0,29620.0,29857.0,29949.0,30039.0,30107.0,30197.0,30259.0,30300.0,30433.0,30477.0
5012298,36000.0,36056.0,36101.0,36132.0,36186.0,36211.0,36326.0,36346.0,36403.0,36618.0,36785.0,36804.0,36873.0,36908.0,36978.0,37033.0,37061.0,37107.0,37128.0,37250.0,37286.0,37410.0,37431.0,37497.0,37566.0,37620.0,37662.0,37747.0,37810.0,37862.0,37917.0,37975.0,38001.0,38051.0,38069.0,38086.0,38174.0,38229.0,38283.0,38324.0,38414.0,38476.0,38517.0,38649.0,38693.0
5012300,45000.0,45056.0,45101.0,45132.0,45186.0,45211.0,45326.0,45346.0,45403.0,45618.0,45785.0,45804.0,45873.0,45908.0,45978.0,46033.0,46061.0,46107.0,46128.0,46250.0,46286.0,46410.0,46431.0,46497.0,46566.0,46620.0,46662.0,46747.0,46810.0,46862.0,46917.0,46975.0,47001.0,47051.0,47069.0,47086.0,47174.0,47229.0,47283.0,47324.0,47414.0,47476.0,47517.0,47649.0,47693.0
5012302,54000.0,54052.0,54094.0,54123.0,54173.0,54197.0,54303.0,54322.0,54376.0,54578.0,54743.0,54763.0,54828.0,54861.0,54923.0,54973.0,54998.0,55039.0,55058.0,55168.0,55200.0,55311.0,55330.0,55389.0,55446.0,55499.0,55536.0,55672.0,55739.0,55794.0,55856.0,55912.0,55938.0,55986.0,56003.0,56019.0,56102.0,56150.0,56197.0,56232.0,56322.0,56384.0,56425.0,56558.0,56602.0
5012304,63000.0,63056.0,63101.0,63133.0,63187.0,63212.0,63328.0,63348.0,63407.0,63626.0,63799.0,63820.0,63886.0,63919.0,63983.0,64033.0,64058.0,64100.0,64119.0,64231.0,64264.0,64378.0,64398.0,64459.0,64524.0,64575.0,64613.0,64714.0,64774.0,64823.0,64866.0,64927.0,64954.0,65001.0,65019.0,65036.0,65121.0,65175.0,65228.0,65268.0,65350.0,65406.0,65443.0,65563.0,65604.0
5013820,32400.0,32462.0,32512.0,32547.0,32607.0,32635.0,32762.0,32787.0,32859.0,33130.0,33298.0,33317.0,33383.0,33416.0,33486.0,33541.0,33571.0,33622.0,33645.0,33780.0,33819.0,33956.0,33979.0,34051.0,34182.0,34238.0,34279.0,34380.0,34467.0,34539.0,34596.0,34653.0,34678.0,34729.0,34747.0,34764.0,34847.0,34901.0,34954.0,34994.0,35084.0,35146.0,35187.0,35320.0,35364.0
5013822,41400.0,41456.0,41501.0,41532.0,41586.0,41611.0,41726.0,41746.0,41803.0,42018.0,42185.0,42204.0,42273.0,42308.0,42378.0,42433.0,42461.0,42507.0,42528.0,42650.0,42686.0,42810.0,42831.0,42897.0,42966.0,43020.0,43062.0,43147.0,43210.0,43262.0,43317.0,43375.0,43401.0,43451.0,43469.0,43486.0,43574.0,43629.0,43683.0,43724.0,43814.0,43876.0,43917.0,44049.0,44093.0
5013824,50400.0,50455.0,50500.0,50531.0,50585.0,50610.0,50724.0,50744.0,50802.0,51017.0,51187.0,51204.0,51278.0,51315.0,51388.0,51446.0,51474.0,51520.0,51541.0,51664.0,51700.0,51825.0,51846.0,51912.0,51981.0,52036.0,52079.0,52188.0,52260.0,52320.0,52382.0,52441.0,52467.0,52516.0,52535.0,52552.0,52640.0,52702.0,52763.0,52810.0,52900.0,52962.0,53003.0,53135.0,53178.0
5013826,59400.0,59457.0,59503.0,59535.0,59591.0,59617.0,59735.0,59754.0,59810.0,60021.0,60194.0,60212.0,60282.0,60317.0,60382.0,60433.0,60459.0,60503.0,60523.0,60641.0,60675.0,60794.0,60815.0,60879.0,60944.0,60998.0,61036.0,61123.0,61193.0,61251.0,61295.0,61352.0,61380.0,61430.0,61448.0,61465.0,61549.0,61600.0,61650.0,61687.0,61775.0,61835.0,61875.0,62004.0,62046.0
5013828,68400.0,68453.0,68495.0,68525.0,68576.0,68600.0,68708.0,68727.0,68781.0,68984.0,69148.0,69164.0,69231.0,69265.0,69329.0,69380.0,69405.0,69447.0,69466.0,69578.0,69610.0,69724.0,69744.0,69804.0,69858.0,69910.0,69944.0,70027.0,70088.0,70138.0,70183.0,70239.0,70264.0,70308.0,70326.0,70343.0,70430.0,70476.0,70521.0,70555.0,70631.0,70683.0,70717.0,70828.0,70866.0
5014878,25200.0,25244.0,25280.0,25305.0,25348.0,25368.0,25458.0,25475.0,25526.0,25717.0,25878.0,25891.0,25935.0,25957.0,26009.0,26050.0,26071.0,26107.0,26123.0,26218.0,26245.0,26341.0,26358.0,26409.0,26434.0,26480.0,26513.0,26566.0,26599.0,26627.0,26649.0,26702.0,26728.0,26773.0,26790.0,26806.0,26888.0,26915.0,26942.0,26962.0,27014.0,27050.0,27074.0,27150.0,27175.0
5014880,32400.0,32462.0,32512.0,32547.0,32607.0,32635.0,32760.0,32780.0,32839.0,33060.0,33240.0,33300.0,33380.0,33420.0,33487.0,33540.0,33565.0,33607.0,33626.0,33737.0,33769.0,33882.0,33901.0,33960.0,34020.0,34080.0,34140.0,34200.0,34266.0,34320.0,34380.0,34500.0,34560.0,34620.0,34638.0,34655.0,34740.0,34784.0,34827.0,34860.0,34962.0,35033.0,35079.0,35229.0,35280.0
5014882,39600.0,39663.0,39714.0,39749.0,39810.0,39839.0,39968.0,39988.0,40046.0,40265.0,40437.0,40453.0,40525.0,40561.0,40630.0,40685.0,40719.0,40775.0,40800.0,40949.0,40992.0,41143.0,41169.0,41249.0,41320.0,41382.0,41421.0,41531.0,41585.0,41629.0,41705.0,41766.0,41795.0,41856.0,41877.0,41896.0,41994.0,42048.0,42101.0,42141.0,42231.0,42293.0,42334.0,42467.0,42511.0
5014884,46800.0,46863.0,46914.0,46949.0,47010.0,47039.0,47169.0,47191.0,47256.0,47498.0,47669.0,47689.0,47772.0,47814.0,47886.0,47943.0,47976.0,48031.0,48056.0,48202.0,48244.0,48392.0,48417.0,48495.0,48583.0,48638.0,48679.0,48805.0,48877.0,48937.0,48982.0,49042.0,49072.0,49146.0,49166.0,49185.0,49283.0,49337.0,49390.0,49429.0,49519.0,49581.0,49622.0,49755.0,49799.0
5014886,54000.0,54062.0,54112.0,54147.0,54207.0,54235.0,54360.0,54384.0,54455.0,54720.0,54900.0,54960.0,55040.0,55080.0,55147.0,55200.0,55229.0,55277.0,55299.0,55426.0,55463.0,55592.0,55614.0,55680.0,55800.0,55860.0,55920.0,56040.0,56106.0,56160.0,56220.0,56280.0,56340.0,56400.0,56418.0,56435.0,56520.0,56586.0,56651.0,56700.0,56788.0,56849.0,56889.0,57018.0,57060.0
5014888,61200.0,61262.0,61312.0,61347.0,61407.0,61435.0,61560.0,61584.0,61655.0,61920.0,62100.0,62160.0,62240.0,62280.0,62347.0,62400.0,62429.0,62477.0,62499.0,62626.0,62663.0,62792.0,62814.0,62880.0,63000.0,63060.0,63120.0,63240.0,63306.0,63360.0,63420.0,63480.0,63540.0,63600.0,63618.0,63635.0,63720.0,63786.0,63851.0,63900.0,64002.0,64073.0,64119.0,64269.0,64320.0
5014890,68400.0,68463.0,68514.0,68549.0,68610.0,68639.0,68768.0,68789.0,68849.0,69075.0,69250.0,69265.0,69349.0,69392.0,69462.0,69517.0,69552.0,69610.0,69636.0,69791.0,69836.0,69993.0,70020.0,70104.0,70158.0,70211.0,70268.0,70335.0,70493.0,70623.0,70688.0,70748.0,70774.0,70820.0,70838.0,70855.0,70939.0,70988.0,71036.0,71072.0,71148.0,71200.0,71234.0,71345.0,71382.0
5014892,75600.0,75653.0,75696.0,75726.0,75777.0,75801.0,75909.0,75928.0,75985.0,76197.0,76360.0,76375.0,76424.0,76449.0,76514.0,76565.0,76590.0,76632.0,76651.0,76763.0,76795.0,76908.0,76927.0,76988.0,77031.0,77078.0,77117.0,77193.0,77239.0,77277.0,77305.0,77360.0,77385.0,77430.0,77448.0,77465.0,77552.0,77597.0,77641.0,77675.0,77763.0,77824.0,77864.0,77993.0,78036.0
5015544,28800.0,28871.0,28929.0,28969.0,29038.0,29070.0,29218.0,29248.0,29337.0,29669.0,29841.0,29866.0,29938.0,29974.0,30046.0,30103.0,30132.0,30180.0,30202.0,30331.0,30368.0,30499.0,30521.0,30591.0,30664.0,30725.0,30770.0,30896.0,30988.0,31065.0,31130.0,31195.0,31227.0,31323.0,31373.0,31420.0,31657.0,31749.0,31839.0,31907.0,31997.0,32059.0,32100.0,32233.0,32277.0
5015546,37800.0,37856.0,37901.0,37932.0,37986.0,38011.0,38126.0,38146.0,38203.0,38418.0,38585.0,38604.0,38673.0,38708.0,38778.0,38833.0,38861.0,38907.0,38928.0,39050.0,39086.0,39210.0,39231.0,39297.0,39366.0,39420.0,39462.0,39547.0,39610.0,39662.0,39717.0,39775.0,39801.0,39851.0,39869.0,39886.0,39974.0,40029.0,40083.0,40124.0,40214.0,40276.0,40317.0,40449.0,40493.0
5015548,46800.0,46855.0,46900.0,46931.0,46985.0,47010.0,47124.0,47144.0,47202.0,47417.0,47587.0,47604.0,47678.0,47715.0,47788.0,47846.0,47874.0,47920.0,47941.0,48064.0,48100.0,48225.0,48246.0,48312.0,48381.0,48436.0,48479.0,48588.0,48660.0,48720.0,48782.0,48841.0,48867.0,48916.0,48935.0,48952.0,49040.0,49102.0,49163.0,49210.0,49300.0,49362.0,49403.0,49535.0,49578.0
5015550,55800.0,55852.0,55894.0,55923.0,55974.0,55998.0,56106.0,56126.0,56183.0,56397.0,56566.0,56582.0,56646.0,56678.0,56744.0,56797.0,56823.0,56866.0,56885.0,56999.0,57032.0,57147.0,57167.0,57227.0,57301.0,57354.0,57397.0,57501.0,57561.0,57610.0,57662.0,57723.0,57751.0,57803.0,57822.0,57840.0,57929.0,57988.0,58046.0,58089.0,58179.0,58241.0,58282.0,58415.0,58459.0
5015552,64800.0,64856.0,64901.0,64933.0,64987.0,65012.0,65128.0,65148.0,65207.0,65426.0,65599.0,65620.0,65686.0,65719.0,65783.0,65833.0,65858.0,65900.0,65919.0,66031.0,66064.0,66178.0,66198.0,66259.0,66324.0,66375.0,66413.0,66514.0,66574.0,66623.0,66666.0,66727.0,66754.0,66801.0,66819.0,66836.0,66921.0,66975.0,67028.0,67068.0,67150.0,67206.0,67243.0,67363.0,67404.0
5015554,72600.0,72650.0,72690.0,72718.0,72767.0,72790.0,72894.0,72913.0,72969.0,73181.0,73350.0,73368.0,73423.0,73451.0,73512.0,73561.0,73584.0,73622.0,73639.0,73741.0,73770.0,73873.0,73891.0,73946.0,73978.0,74023.0,74059.0,74135.0,74183.0,74223.0,74255.0,74309.0,74334.0,74382.0,74400.0,74417.0,74500.0,74538.0,74575.0,74603.0,74678.0,74730.0,74764.0,74875.0,74912.0
5015556,79800.0,79850.0,79890.0,79918.0,79967.0,79990.0,80094.0,80113.0,80169.0,80381.0,80550.0,80568.0,80623.0,80651.0,80712.0,80761.0,80784.0,80822.0,80839.0,80941.0,80970.0,81073.0,81091.0,81146.0,81178.0,81223.0,81259.0,81335.0,81383.0,81423.0,81455.0,81509.0,81534.0,81582.0,81600.0,81617.0,81700.0,81738.0,81775.0,81803.0,81878.0,81930.0,81964.0,82075.0,82112.0
5084158,27000.0,27069.0,27124.0,27163.0,27230.0,27261.0,27402.0,27431.0,27516.0,27836.0,28001.0,28025.0,28094.0,28129.0,28198.0,28253.0,28281.0,28328.0,28349.0,28473.0,28509.0,28635.0,28657.0,28722.0,28792.0,28851.0,28894.0,29015.0,29104.0,29178.0,29241.0,29304.0,29335.0,29427.0,29475.0,29520.0,29748.0,29836.0,29923.0,29988.0,30075.0,30135.0,30174.0,30302.0,30344.0
5084160,36000.0,36054.0,36097.0,36127.0,36179.0,36203.0,36313.0,36332.0,36387.0,36594.0,36755.0,36773.0,36839.0,36873.0,36940.0,36993.0,37019.0,37063.0,37083.0,37201.0,37235.0,37354.0,37375.0,37439.0,37505.0,37557.0,37597.0,37679.0,37740.0,37790.0,37843.0,37899.0,37924.0,37972.0,37990.0,38007.0,38090.0,38143.0,38195.0,38234.0,38321.0,38381.0,38420.0,38547.0,38589.0
5084162,45000.0,45054.0,45097.0,45127.0,45179.0,45203.0,45313.0,45332.0,45387.0,45594.0,45755.0,45773.0,45839.0,45873.0,45940.0,45993.0,46019.0,46063.0,46083.0,46201.0,46235.0,46354.0,46375.0,46439.0,46505.0,46557.0,46597.0,46679.0,46740.0,46790.0,46843.0,46899.0,46924.0,46972.0,46990.0,47007.0,47090.0,47143.0,47195.0,47234.0,47321.0,47381.0,47420.0,47547.0,47589.0
5084164,54000.0,54050.0,54090.0,54118.0,54166.0,54189.0,54291.0,54309.0,54361.0,54555.0,54714.0,54733.0,54795.0,54827.0,54887.0,54935.0,54959.0,54999.0,55017.0,55123.0,55154.0,55261.0,55279.0,55335.0,55390.0,55441.0,55477.0,55608.0,55672.0,55725.0,55785.0,55839.0,55864.0,55910.0,55927.0,55943.0,56022.0,56068.0,56113.0,56147.0,56234.0,56294.0,56333.0,56461.0,56503.0
5084166,63000.0,63054.0,63097.0,63127.0,63179.0,63203.0,63315.0,63334.0,63390.0,63602.0,63768.0,63788.0,63851.0,63883.0,63944.0,63993.0,64017.0,64058.0,64076.0,64184.0,64215.0,64325.0,64344.0,64403.0,64466.0,64515.0,64552.0,64649.0,64706.0,64754.0,64795.0,64854.0,64880.0,64925.0,64942.0,64958.0,65040.0,65092.0,65143.0,65181.0,65260.0,65314.0,65350.0,65466.0,65504.0
5089145,32400.0,32443.0,32478.0,32502.0,32544.0,32564.0,32654.0,32673.0,32728.0,32935.0,33092.0,33108.0,33190.0,33231.0,33295.0,33346.0,33369.0,33407.0,33424.0,33526.0,33556.0,33660.0,33678.0,33734.0,33764.0,33808.0,33834.0,33913.0,33968.0,34014.0,34042.0,34089.0,34113.0,34153.0,34172.0,34190.0,34281.0,34318.0,34354.0,34382.0,34457.0,34509.0,34543.0,34653.0,34689.0
