tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P
5005196,74400.0,74440.0,74467.0,74485.0,74519.0,74545.0,74603.0,74655.0,74687.0,74716.0,74735.0,74758.0,74788.0,74818.0,74842.0,74863.0,74910.0,74929.0,74951.0,75012.0,75032.0,75072.0,75111.0,75157.0,75173.0,75208.0,75226.0,75270.0,75304.0,75325.0,75349.0,75369.0,75382.0,75404.0,75438.0,75467.0,75491.0,75510.0,75529.0,75552.0,75571.0,75586.0,75627.0,75662.0,75683.0,75714.0,75736.0,75778.0,75807.0,75842.0,75915.0,75951.0,75980.0,76010.0,76039.0,76069.0,76085.0,76200.0,76268.0
5005198,81600.0,81640.0,81667.0,81685.0,81719.0,81745.0,81803.0,81855.0,81887.0,81916.0,81935.0,81958.0,81988.0,82018.0,82042.0,82063.0,82110.0,82129.0,82151.0,82212.0,82232.0,82272.0,82311.0,82357.0,82373.0,82408.0,82426.0,82470.0,82504.0,82525.0,82549.0,82569.0,82582.0,82604.0,82638.0,82667.0,82691.0,82710.0,82729.0,82752.0,82771.0,82786.0,82827.0,82862.0,82883.0,82914.0,82936.0,82978.0,83007.0,83042.0,83115.0,83151.0,83180.0,83210.0,83239.0,83269.0,83285.0,83400.0,83468.0
5010165,44100.0,44171.0,44220.0,44248.0,44300.0,44340.0,44400.0,44460.0,44520.0,44572.0,44607.0,44648.0,44700.0,44760.0,44791.0,44819.0,44880.0,44940.0,45000.0,45120.0,45161.0,45240.0,45322.0,45420.0,45439.0,45480.0,45515.0,45600.0,45673.0,45720.0,45745.0,45766.0,45780.0,45816.0,45872.0,45920.0,45960.0,45998.0,46036.0,46080.0,46114.0,46140.0,46200.0,46275.0,46320.0,46390.0,46440.0,46512.0,46560.0,46599.0,46680.0,46746.0,46800.0,46860.0,46920.0,46959.0,46980.0,47168.0,47280.0
5010167,51300.0,51371.0,51420.0,51448.0,51500.0,51540.0,51600.0,51660.0,51720.0,51772.0,51807.0,51848.0,51900.0,51960.0,51991.0,52019.0,52080.0,52140.0,52200.0,52320.0,52361.0,52440.0,52522.0,52620.0,52639.0,52680.0,52715.0,52800.0,52873.0,52920.0,52945.0,52966.0,52980.0,53016.0,53072.0,53120.0,53160.0,53198.0,53236.0,53280.0,53314.0,53340.0,53400.0,53475.0,53520.0,53590.0,53640.0,53712.0,53760.0,53799.0,53880.0,53946.0,54000.0,54060.0,54120.0,54159.0,54180.0,54368.0,54480.0
5010171,65700.0,65756.0,65795.0,65817.0,65857.0,65887.0,65950.0,66024.0,66088.0,66153.0,66197.0,66249.0,66315.0,66346.0,66381.0,66413.0,66482.0,66505.0,66530.0,66601.0,66619.0,66654.0,66715.0,66788.0,66809.0,66856.0,66892.0,66979.0,67030.0,67062.0,67081.0,67097.0,67107.0,67142.0,67197.0,67244.0,67283.0,67301.0,67319.0,67340.0,67375.0,67401.0,67437.0,67480.0,67506.0,67556.0,67591.0,67638.0,67669.0,67700.0,67765.0,67811.0,67849.0,67891.0,67933.0,67977.0,68001.0,68117.0,68186.0
5010175,80100.0,80165.0,80210.0,80234.0,80279.0,80313.0,80388.0,80463.0,80510.0,80545.0,80569.0,80597.0,80633.0,80678.0,80710.0,80739.0,80803.0,80826.0,80854.0,80928.0,80954.0,81005.0,81040.0,81083.0,81105.0,81154.0,81179.0,81240.0,81281.0,81308.0,81339.0,81365.0,81382.0,81411.0,81456.0,81495.0,81526.0,81550.0,81574.0,81601.0,81624.0,81642.0,81695.0,81745.0,81774.0,81814.0,81843.0,81886.0,81915.0,81961.0,82057.0,82092.0,82121.0,82161.0,82200.0,82238.0,82259.0,82359.0,82418.0
5012497,54600.0,54646.0,54678.0,54697.0,54733.0,54760.0,54818.0,54883.0,54915.0,54953.0,54979.0,55009.0,55048.0,55097.0,55121.0,55142.0,55189.0,55208.0,55229.0,55303.0,55328.0,55378.0,55450.0,55537.0,55556.0,55596.0,55616.0,55666.0,55707.0,55734.0,55760.0,55782.0,55796.0,55823.0,55864.0,55900.0,55930.0,55956.0,55982.0,56014.0,56037.0,56054.0,56107.0,56146.0,56169.0,56221.0,56258.0,56315.0,56353.0,56409.0,56526.0,56564.0,56596.0,56642.0,56687.0,56737.0,56764.0,56889.0,56964.0
5013629,28200.0,28255.0,28294.0,28320.0,28368.0,28405.0,28477.0,28577.0,28621.0,28656.0,28679.0,28707.0,28742.0,28780.0,28808.0,28834.0,28891.0,28914.0,28939.0,29034.0,29079.0,29166.0,29244.0,29338.0,29356.0,29395.0,29419.0,29477.0,29528.0,29560.0,29601.0,29635.0,29657.0,29699.0,29765.0,29822.0,29869.0,29902.0,29935.0,29975.0,30018.0,30050.0,30105.0,30168.0,30205.0,30304.0,30375.0,30477.0,30546.0,30611.0,30745.0,30851.0,30938.0,31044.0,31149.0,31246.0,31298.0,31433.0,31513.0
5013631,36600.0,36655.0,36694.0,36719.0,36765.0,36800.0,36870.0,36949.0,37008.0,37058.0,37092.0,37132.0,37183.0,37223.0,37251.0,37276.0,37332.0,37355.0,37383.0,37467.0,37518.0,37616.0,37696.0,37793.0,37813.0,37858.0,37888.0,37960.0,38017.0,38053.0,38093.0,38126.0,38147.0,38195.0,38270.0,38335.0,38388.0,38420.0,38452.0,38490.0,38534.0,38567.0,38636.0,38699.0,38737.0,38792.0,38831.0,38899.0,38945.0,38996.0,39102.0,39163.0,39214.0,39262.0,39310.0,39367.0,39398.0,39535.0,39617.0
5013633,43800.0,43852.0,43889.0,43912.0,43955.0,43988.0,44052.0,44131.0,44178.0,44221.0,44250.0,44284.0,44329.0,44373.0,44399.0,44423.0,44476.0,44496.0,44521.0,44614.0,44680.0,44808.0,44882.0,44971.0,44990.0,45031.0,45053.0,45108.0,45150.0,45177.0,45202.0,45223.0,45237.0,45269.0,45318.0,45361.0,45396.0,45423.0,45450.0,45482.0,45512.0,45535.0,45585.0,45633.0,45661.0,45711.0,45747.0,45802.0,45839.0,45882.0,45971.0,46025.0,46069.0,46114.0,46159.0,46207.0,46233.0,46351.0,46421.0
