tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P
0,4564.0,3444.0,3447.0,3454.0,3455.0,5022.0,3461.0,4537.0,2176.0,1982.0,7435.0,4413.0,1480.0,1358.0,5192.0,339.0
5019326,27000.0,27072.0,27164.0,27377.0,27446.0,27683.0,28034.0,28059.0,28184.0,28497.0,28853.0,29061.0,29437.0,29577.0,29663.0,29766.0
