tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P
0,7330.0,2051.0,6086.0,3161.0,3162.0,3163.0,3164.0,3084.0,469.0,470.0,471.0,472.0,473.0,4705.0,475.0,476.0,477.0,478.0,479.0,480.0,481.0,482.0,483.0,485.0,487.0,488.0,489.0,490.0,491.0,492.0,493.0,494.0,495.0,400.0,281.0,6.0,194.0,195.0,196.0,197.0,198.0,199.0,200.0,201.0,148.0,149.0,150.0,27.0,28.0,29.0,4680.0,90.0,91.0,92.0,93.0,94.0,126.0,6182.0,322.0,323.0,332.0
5004350,37800.0,37866.0,37931.0,37967.0,38034.0,38081.0,38154.0,38339.0,38374.0,38436.0,38463.0,38488.0,38520.0,38557.0,38597.0,38664.0,38698.0,38755.0,38785.0,38830.0,38866.0,38927.0,38972.0,39063.0,39161.0,39224.0,39278.0,39330.0,39382.0,39425.0,39495.0,39585.0,39729.0,39845.0,40237.0,40353.0,40453.0,40522.0,40564.0,40612.0,40675.0,40717.0,40815.0,40840.0,40880.0,40923.0,40962.0,41028.0,41062.0,41091.0,41114.0,41135.0,41170.0,41195.0,41238.0,41303.0,41356.0,41414.0,41444.0,41578.0,41710.0
5004352,48600.0,48668.0,48736.0,48771.0,48838.0,48886.0,48969.0,49180.0,49217.0,49281.0,49310.0,49335.0,49370.0,49409.0,49449.0,49516.0,49555.0,49618.0,49653.0,49704.0,49745.0,49814.0,49869.0,49975.0,50088.0,50156.0,50217.0,50276.0,50335.0,50383.0,50462.0,50557.0,50704.0,50823.0,51222.0,51356.0,51460.0,51536.0,51583.0,51636.0,51707.0,51754.0,51863.0,51896.0,51945.0,51998.0,52045.0,52126.0,52166.0,52198.0,52223.0,52247.0,52291.0,52323.0,52378.0,52460.0,52527.0,52600.0,52632.0,52778.0,52907.0
5004354,60300.0,60384.0,60468.0,60500.0,60562.0,60608.0,60693.0,60911.0,60951.0,61021.0,61053.0,61080.0,61112.0,61147.0,61197.0,61279.0,61317.0,61379.0,61412.0,61460.0,61498.0,61563.0,61611.0,61728.0,61854.0,61929.0,62003.0,62074.0,62146.0,62204.0,62299.0,62419.0,62622.0,62786.0,63339.0,63500.0,63606.0,63698.0,63755.0,63839.0,63950.0,63998.0,64108.0,64145.0,64204.0,64267.0,64324.0,64421.0,64470.0,64505.0,64532.0,64558.0,64606.0,64640.0,64699.0,64788.0,64861.0,64940.0,64973.0,65124.0,65267.0
5004356,72000.0,72064.0,72127.0,72155.0,72208.0,72248.0,72319.0,72500.0,72533.0,72591.0,72617.0,72643.0,72675.0,72711.0,72749.0,72811.0,72842.0,72894.0,72922.0,72963.0,72995.0,73050.0,73085.0,73176.0,73273.0,73337.0,73390.0,73441.0,73492.0,73534.0,73602.0,73677.0,73825.0,73945.0,74349.0,74470.0,74574.0,74637.0,74676.0,74728.0,74796.0,74840.0,74941.0,74974.0,75016.0,75061.0,75101.0,75170.0,75205.0,75234.0,75257.0,75279.0,75318.0,75346.0,75394.0,75466.0,75525.0,75590.0,75619.0,75752.0,75872.0
5005850,25200.0,25269.0,25338.0,25378.0,25455.0,25506.0,25565.0,25716.0,25757.0,25829.0,25861.0,25890.0,25926.0,25966.0,26005.0,26069.0,26101.0,26155.0,26180.0,26217.0,26246.0,26296.0,26321.0,26392.0,26469.0,26515.0,26568.0,26619.0,26671.0,26713.0,26783.0,26846.0,26966.0,27063.0,27388.0,27488.0,27587.0,27666.0,27715.0,27761.0,27822.0,27867.0,27969.0,27997.0,28040.0,28086.0,28128.0,28199.0,28235.0,28260.0,28280.0,28299.0,28338.0,28366.0,28415.0,28488.0,28548.0,28612.0,28650.0,28821.0,28933.0
5005852,36000.0,36066.0,36131.0,36167.0,36234.0,36281.0,36354.0,36539.0,36574.0,36636.0,36663.0,36688.0,36720.0,36757.0,36797.0,36864.0,36898.0,36955.0,36985.0,37030.0,37066.0,37127.0,37172.0,37263.0,37361.0,37424.0,37478.0,37530.0,37582.0,37625.0,37695.0,37785.0,37929.0,38045.0,38437.0,38553.0,38653.0,38722.0,38764.0,38812.0,38875.0,38917.0,39015.0,39040.0,39080.0,39123.0,39162.0,39228.0,39262.0,39291.0,39314.0,39335.0,39370.0,39395.0,39438.0,39503.0,39556.0,39614.0,39644.0,39778.0,39910.0
5005854,46800.0,46868.0,46936.0,46971.0,47038.0,47086.0,47169.0,47380.0,47417.0,47481.0,47510.0,47535.0,47570.0,47609.0,47649.0,47716.0,47755.0,47818.0,47853.0,47904.0,47945.0,48014.0,48069.0,48175.0,48288.0,48356.0,48417.0,48476.0,48535.0,48583.0,48662.0,48757.0,48904.0,49023.0,49422.0,49556.0,49660.0,49736.0,49783.0,49836.0,49907.0,49954.0,50063.0,50096.0,50145.0,50198.0,50245.0,50326.0,50366.0,50398.0,50423.0,50447.0,50491.0,50523.0,50578.0,50660.0,50727.0,50800.0,50832.0,50978.0,51107.0
5005856,57600.0,57674.0,57747.0,57781.0,57846.0,57886.0,57970.0,58185.0,58221.0,58284.0,58312.0,58339.0,58373.0,58412.0,58451.0,58516.0,58555.0,58619.0,58651.0,58698.0,58735.0,58800.0,58850.0,58958.0,59074.0,59136.0,59198.0,59257.0,59317.0,59366.0,59446.0,59542.0,59695.0,59819.0,60236.0,60375.0,60485.0,60574.0,60628.0,60702.0,60800.0,60842.0,60939.0,60972.0,61028.0,61089.0,61143.0,61236.0,61283.0,61321.0,61350.0,61378.0,61426.0,61460.0,61519.0,61608.0,61680.0,61758.0,61789.0,61930.0,62064.0
5005858,70200.0,70264.0,70327.0,70355.0,70408.0,70448.0,70519.0,70700.0,70733.0,70791.0,70817.0,70843.0,70875.0,70911.0,70949.0,71011.0,71042.0,71094.0,71122.0,71163.0,71195.0,71250.0,71285.0,71376.0,71473.0,71537.0,71590.0,71641.0,71692.0,71734.0,71802.0,71877.0,72025.0,72145.0,72549.0,72670.0,72774.0,72837.0,72876.0,72928.0,72996.0,73040.0,73141.0,73174.0,73216.0,73261.0,73301.0,73370.0,73405.0,73434.0,73457.0,73479.0,73518.0,73546.0,73594.0,73666.0,73725.0,73790.0,73819.0,73952.0,74072.0
